id,scene,question,answer,evidence,qa_type
1,13、INT. BUFFALO COURTROOM - DAY,What does the judge state about Henry's sentence?,The court sentences Henry Torne to four years in prison for Felony 1st Degree Armed Robbery.,JUDGE ...the court sentences Henry Torne to four years in prison for the crime of Felony 1st Degree Armed Robbery.,dialogue/beliefs
2,7、INT. HENRY'S HOUSE - MOMENTS LATER,"In [7、INT. HENRY'S HOUSE - MOMENTS LATER], What is Debbie's emotional state when she asks Henry if he still loves her?",Crestfallen,She's crestfallen.,character states
3,25、INT. MAX AND HENRY'S CELL - MORNING,What does Max claim about Henry's dream?,Your dream is your myth is your truth.,MAX: Don't forget. Your dream is your myth is your truth.,dialogue/beliefs
4,14、INT. PRISON CELL - DAY,Why does Max approve of Henry's crime?,Because he considers bank robbery clean and simple,MAX Good. Clean. Simple. I like it.,causal/relational queries
5,2、INT. TOLL BOOTH - MOMENTS LATER,When does the clock flip to 6:00?,After Henry downs the last of his coffee,A CLOCK flips to 6:00.,temporal references
6,31、INT. GARAGE - MINUTES LATER,What is the purpose of Joe's offer to Henry?,To recruit Henry as a distributor for Jin Chi.,You could become a distributor for Jin Chi.,causal/relational queries
7,52、INT. CAFE ORPHEUM - DAY,What is the significance of 'Actors on a tree' according to Julie?,"The director's joke commenting on American culture, portraying actors' faces as falling fruit.",He's making a comment on the American culture. Actors faces as falling fruit.,terminology/abbreviation/concept
8,31、INT. GARAGE - MINUTES LATER,Why does Joe thank Henry?,Because Henry did not give up Joe's name.,I just wanted to thank you. For not giving up my name.,causal/relational queries
9,50、INT. MAIN THEATRE - CONTINUOUS,What does Darek mean by 'listen' in the passage?,"An action, contrasting with passive hearing.",DAREK: 'To hear is to be weak. To listen is to be strong. To listen is an action.',terminology/abbreviation/concept
10,47、INT. VISITOR'S AREA - DAY,"In [47、INT. VISITOR'S AREA - DAY], What is Max's current situation?",Max is in jail.,MAX: 'I'm in Jail. That's what I say.',character states
11,15、INT. PRISON CELL - MORNING,How is Henry described after waking up?,Disoriented,Henry's disoriented.,detailed description
12,15、INT. PRISON CELL - MORNING,What action does the guard take upon seeing Henry in his bunk?,Bangs his baton against the bars of the cell,"A GUARD, seeing Henry still in his bunk, bangs his baton against the bars of the cell.",detailed description
13,46、INT. HENRY'S APARTMENT - DAWN,"In [46、INT. HENRY'S APARTMENT - DAWN], What is Henry's emotional state?",Reeling,"Henry's still in his clothes, lying on his bed, his mind reeling",character states
14,14、INT. PRISON CELL - DAY,Why does Max mention mistaken identity?,Because Henry denied committing the crime,HENRY But I didn't do it. MAX Ah. Mistaken identity...,causal/relational queries
15,"65、INT. THEATRE BACKSTAGE, DOWNSTAIRS - SAME TIME","In [65、INT. THEATRE BACKSTAGE, DOWNSTAIRS - SAME TIME], Where does Max follow Simon through?",a tight hallway of dressing rooms,Max follows Simon through a tight hallway of DRESSING ROOMS.,scene localization
16,43、INT. BATHROOM - MOMENTS LATER,When does Henry start peeing again?,After reading about the tunnel discovery,After a moment Henry starts peeing again,temporal references
17,1、INT. TOLL BOOTH - DAWN,"In [1、INT. TOLL BOOTH - DAWN], What is Henry's current physical state?",Neither asleep nor awake,He's neither asleep nor awake,character states
18,"63、EXT. ALLEY, BEHIND THE ORPHEUM - A MINUTE LATER","In [63、EXT. ALLEY, BEHIND THE ORPHEUM - A MINUTE LATER], Where does Henry say the tunnel ends?",the back door of the theatre,HENRY (CONT'D) And ends up somewhere in there.,scene localization
19,25、INT. MAX AND HENRY'S CELL - MORNING,What does Max say he has never missed in twenty-three years?,A hot bath.,MAX: The only thing I've ever missed in twenty three years is a hot bath.,dialogue/beliefs
20,17、INT. DINING ROOM - MOMENTS LATER,"In [17、INT. DINING ROOM - MOMENTS LATER], What is Henry's current situation according to Max?",He is in jail.,"MAX: Henry, you're in jail.",character states
21,104、INT. APARTMENT - SAME TIME | 149、INT. TUNNEL ROOM - A FEW MINUTES LATER,What does Max state about what Joe should do while Joe is speaking about his wife and their unborn child?,Max states that Joe should go home before it's too late.,"Max interrupts Joe, telling him to go home, repeating it and adding a warning to leave before it's too late.",character states
22,144、INT. TUNNEL - A MINUTE LATER | 112、INT. TUNNEL - NIGHT,"What happens after Joe shouts 'Fuck, yeah' upon seeing the hole?",Henry joins Max and Joe in the tunnel and begins digging quickly and intensely.,"After Joe looks up and shouts 'Fuck, yeah,' the next event described is Henry entering the tunnel and immediately picking up a shovel to dig hard and fast.",temporal references
23,122、INT. THEATRE - SAME TIME | 119、INT. THEATER - SAME TIME,What does Gayev state about the train's arrival time?,Gayev states that the train arrived two hours late and criticizes the management for the delay.,Gayev notes that Madame Ranevskaya's train arrived two hours late. He asks how such a delay could happen and criticizes it as poor management.,character states
24,112、INT. TUNNEL - NIGHT | 142、INT. TUNNEL ROOM - NIGHT | 112、INT. TUNNEL - NIGHT,When did Joe first discover the concrete surface beneath the tunnel ceiling?,"Joe discovered the concrete surface after digging through the tunnel ceiling, when the dirt suddenly collapsed onto him and he clawed his way free.","Joe drives his shovel into the packed dirt of the tunnel ceiling. The earth gives way suddenly, collapsing onto him in a cloud of dust and debris. Buried beneath the fallen soil, he thrashes and gasps, clawing his way free. He stumbles to his feet, dazed and covered in dirt. Above, where the tunnel roof had been, a smooth slab of concrete is now exposed.",temporal references
25,142、INT. TUNNEL ROOM - NIGHT | 112、INT. TUNNEL - NIGHT,Why does Max emphasize that the job and Julie are not the same?,"Max emphasizes that the job and Julie are not the same to clarify that their mission is to rob the bank and escape with the money, and that personal feelings for Julie should not interfere with their objective.","Max insists that the job is one thing, and Julie is another—they are not the same.",causal/relational queries
26,149、INT. TUNNEL ROOM - A FEW MINUTES LATER | 104、INT. APARTMENT - SAME TIME | 149、INT. TUNNEL ROOM - A FEW MINUTES LATER,Why did Max stuff a glove into Eddie's mouth?,Max stuffed a glove into Eddie's mouth to silence him after pinning him to the ground.,"With Eddie pinned to the ground, Max straddled him and mocked him, calling him their new partner. He then stuffed a glove into Eddie's mouth to silence him.",causal/relational queries
27,112、INT. TUNNEL - NIGHT | 140、INT. TUNNEL - CONTINUOUS | 144、INT. TUNNEL - A MINUTE LATER | 112、INT. TUNNEL - NIGHT,What does Joe state about his condition while preparing for the heist?,"Joe does not explicitly state his condition, but his actions imply he is unwell, as he leans over and vomits on the ground before beginning to prepare the explosive charges.",Joe leans over and vomits on the ground. Joe begins preparing the explosive charges.,character states
28,149、INT. TUNNEL ROOM - A FEW MINUTES LATER,What does Eddie claim about his role in the confrontation after being restrained?,Eddie claims that they couldn't have taken him down without him.,"Eddie thrashes and shouts through a glove stuffed in his mouth, yelling that they couldn’t have taken him down without him.",character states
29,"115、INT. ORPHEUM THEATRE, GREEN ROOM - SAME TIME",What does Darek state about the future during his speech in the green room?,Darek states that the future is not something to fear.,"After speaking about the illusion of the American dream and the relentless force of change, he declared that the play would show the audience the future was not something to fear.",character states
