id,scene,question,answer,evidence,qa_type
1,1、INT. DELIVERY ROOM - NIGHT,What causes Kate to reel after the nurse's statement?,The nurse informing her that her baby is dead.,Nurse: 'Your baby is dead. There's nothing else we can do.',causal/relational queries
2,56、INT. CAFETERIA - DAY,"In [56、INT. CAFETERIA - DAY], What does Esther do while the others mock her?",Ignores them and prays over her lunch,Esther ignores them- and prays over her lunch,character states
3,55、INT. CLASSROOM - DAY,"In [55、INT. CLASSROOM - DAY], What is Esther's emotional state upon entering the classroom?",She appears wary and uncertain.,"her usually unflappable smile seems wary, uncertain in the face of these staring third graders",character states
4,1、INT. DELIVERY ROOM - NIGHT,Why does Kate try to sit up?,She changed her mind about the procedure.,"Kate: 'Wait, I've changed my mind. I don't want to do this anymore.'",causal/relational queries
5,5、INT. LIVING ROOM -.DAY,"In [5、INT. LIVING ROOM -.DAY], What is Rate's emotional state after completing her task?",Feels lonely and the house seems too big,the house suddenly seems quiet and lonely and too big,character states
6,8、EXT. FOREST - DAY,"In [8、EXT. FOREST - DAY], What does Kate pull from her coat pocket?",A JOURNAL filled with handwritten entries,She pulls a JOURNAL filled with handwritten entries from her coat pocket,objects/props
7,13、INT. MAX'S BEDROOM - HIGHT (TIMECUT),"In [13、INT. MAX'S BEDROOM - HIGHT (TIMECUT)], What action does Kate take to comfort Max?",Gives Max a gentle kiss on the forehead.,Kate gives Max a gentle kiss on the forehead.,character states
8,20、INT. HOME FOR GIRLS - PLAYROOM - DAY,What does Sister Abigail say about Kate's emotions?,"That's what really worries you, isn't it?","SISTER ABIGAIL: That's what really worries you, isn't it? Something bad happened, the last time you felt this way.",dialogue/beliefs
9,4、INT. DOCTOR BROWNING'S OFFICE - DAY,Why did Dr. Browning advise Kate to keep writing in her journal?,To help her process her grief.,Keep writing in your journal. You're doing fine.,causal/relational queries
10,31、INT: HOME FOR GIRLS - CHAPEL DAY,What does John believe about Esther's chances for a normal life?,We're probably the best chance she has at a normal life.,JOHN ... We're probably the best chance she has at a. normal life.,dialogue/beliefs
11,22、INT.JoHN'S CAR - NIGHT,What does John wish Kate could've heard?,The things she was saying before you came in.,I wish you co'uld've heard the things. she was saying before you c&me in.,dialogue/beliefs
12,29、EXT. HOTEL ROOM BALCONY - DAY,What motivates John to suggest adopting Esther?,Their past losses and desire to help her.,JOHN: We can't replace Yolanda... Esther is alive and needs a family.,causal/relational queries
13,30、INT. HOME FOR GIRLS - SISTER ABIGAIL'S OFFICE - DAY -,What does Sister Abigail suspect about Esther's past?,She suspects Esther has been sexually abused.,I strongly suspect that she's been sexually abused as well.,dialogue/beliefs
14,44、INT. ESTHER'S BEDROOM - DAY,"In [44、INT. ESTHER'S BEDROOM - DAY], What is Kate's emotional state when Esther questions her choice of wallpaper?",Taken aback and stammers,Kate is taken aback. She stammers for a beat.,character states
15,30、INT. HOME FOR GIRLS - SISTER ABIGAIL'S OFFICE - DAY -,What does Sister Abigail believe explains Esther's behavior?,She believes severe trauma caused her lack of a 'spark'.,It might also explain some of her idiosyncratic behaviors.,dialogue/beliefs
16,9、EXT. SCHOOL FOR THE DEAF - DAY,When does Max show her art project to Kate?,After Kate helps her into the van,"Kate kisses Max's head and helps her into the van, buckling her car seat. Max shows her an art project she's bringing home.",temporal references
17,45、INT. SHOPPING MALL - DAY,"In [45、INT. SHOPPING MALL - DAY], What is Max's behavioral state when Kate suggests showing Hodgepodge?",Nods eagerly,Max nods eagerly.,character states
18,56、INT. CAFETERIA - DAY,"In [56、INT. CAFETERIA - DAY], What is Brenda's behavioral state during the scene?","Makes an earnest, mocking face","Brenda folds her hands and makes an earnest, mocking face",character states
19,54、INT. FAMILY ROOM - DAY,"In [54、INT. FAMILY ROOM - DAY], What is Max's emotional state when Kate confronts her?",Confused and nervous.,"Max shakes her head, confused. She looks nervous.",character states
20,4、INT. DOCTOR BROWNING'S OFFICE - DAY,What caused Dr. Browning to ask Kate about her sobriety?,Kate's mention of driving by the wine shop.,"I drove by the wine shop, on my way home the other day.",causal/relational queries
21,21、INT. HOME FOR GIRLS - ENTRY - DAY,What does Kate notice during her hug with Sister Abigail?,Esther peering around the corner,"Kate gives her a warm hug. But mid-embrace, she notices something: Esther is at the end of the hallway, peering at them from around a corner.",detailed description
22,27、INT. HOME FOR GIRLS - BASEMENT - MORNING,What does Sister Judith ask while searching the storage area?,Yolanda? Are you hiding-down here?,SISTER JUDITH Yolanda? Are you hiding-down here?,dialogue/beliefs
23,44、INT. ESTHER'S BEDROOM - DAY,"In [44、INT. ESTHER'S BEDROOM - DAY], What is Esther's behavioral state regarding the jeans?",Resists wearing them,ESTHER: Jeans are ugly. ... That doesn't mean I have to look like a boy.,character states
24,48、INT. KITCHEN - DUSK,When does Kate plan to return to work?,After getting Esther settled.,"We'll get Esther settled, then I'll probably go back, to work.",temporal references
25,49、EXT. COLEMAN RESIDENCE - POOL - NIGHT -,When does Esther open the big present labeled 'FROMi DADDY'?,After she unwraps the book of sign language,She unwraps a BOOK OF SIGN LANGUAGE... She's opening a big present labeled 'FROMi DADDY',temporal references
26,28、INT. HOTEL ROOM -- MORNING -,What does Kate believe about the phone call?,She knows something is wrong before it's answered.,"She knows. Even before he answers the phone, somehow she knows.",dialogue/beliefs
27,48、INT. KITCHEN - DUSK,When does Kate mention teaching piano lessons?,After deciding not to return to Yale.,I'm not talking about Yale. I'm going to teach piano lessons from home.,temporal references
28,54、INT. FAMILY ROOM - DAY,"In [54、INT. FAMILY ROOM - DAY], How does Max behave after being told to take a time-out?",She pouts and follows Kate upstairs.,Max pouts and follows Kate upstairs.,character states
29,16、INT.-LAWYER'S OFFICE -- DAY,What does Kate do when the lawyer asks about her employment?,She hesitates.,Kate hesitates.,detailed description
30,38、INT. COLEMAN RESIDENCE - VARIOUS - DAY,What does Daniel ask John about Esther?,Why is she dressed like that?,"DANIEL
Why is she dressed like that?",dialogue/beliefs
