doc_title,chunk_id,fact,scene_context
108、INT. BEN'S KITCHEN - EVENING,doc_107_chunk_0,Ben is the father of Johan,"Johan injured, Ben crouched before him, Susan hovering"
103、EXT. STREET CORNER - EVENING,doc_102_chunk_2,Ben joins the club.,Stanley invites Ben to join the club and Ben accepts the handshake.
113、EXT. STREET IN VREDEDORP - MORNING,doc_112_chunk_10,Ben promises Seroke that he will not reveal what Seroke told him.,After Seroke demands secrecy about information he shared with Ben.
123、INT. CLOETE'S OFFICE - LATE AFTERNOON,doc_122_chunk_0,Ben was summoned by Cloete.,Office scene
124、EXT. SCHOOL YARD - LATE AFTERNOON,doc_123_chunk_0,Ben refuses to talk to Viviers at the current moment.,"End of school day, yard under veranda."
117、EXT. STREET - MORNING,doc_116_chunk_0,Ben is being followed by Jaimie.,"Saturday morning, Ben leaving home, about twenty yards past the house"
126、INT. BEN'S KITCHEN - AFTERNOON,doc_125_chunk_1,Ben commands Stanley to be silent.,During a family argument in a room with a chair.
1、EXT. DAN PIENAAR SECONDARY SCHOOL FOR BOYS - DAY,doc_0_chunk_3,Ben hadn't seen Jonathan.,
109、INT. BEN'S LIVING ROOM - LATE EVENING,doc_108_chunk_0,Ben is established as Johan's father.,"Main room after the shattering, Johan in his room calling"
108、INT. BEN'S KITCHEN - EVENING,doc_107_chunk_4,Ben hides the two affidavits in the drawer of the stool box.,Morning of the autopsy in the mortuary
135、EXT. INDIAN TOWNSHIP - DAY,doc_134_chunk_2,Ben is invited to enter the house.,"Hassiem's house, outside the door"
113、EXT. STREET IN VREDEDORP - MORNING,doc_112_chunk_5,Ben Du Toit agrees to proceed with the current activity.,"After Sadie departs, Stanley urges haste."
138、INT. BEN'S STUDY - DAY,doc_137_chunk_4,Ben explicitly refuses to have a man-to-man talk with Captain Stolz.,"Conversation about Gordon Ngubene, Ben refuses man-to-man talk with Captain Stolz."
138、INT. BEN'S STUDY - DAY,doc_137_chunk_8,Ben is Johan's father.,garage
135、EXT. INDIAN TOWNSHIP - DAY,doc_134_chunk_9,Ben congratulates Dr. Hassiem.,In the room with Dr. Hassiem and the daughter
123、INT. CLOETE'S OFFICE - LATE AFTERNOON,doc_122_chunk_3,Ben exits the room.,"Room: Cloete insults Ben, Ben slaps Cloete and exits."
137、INT. BUILDING IN CONSTRUCTION - LATE AFTERNOON,doc_136_chunk_2,Ben Du Toit gains access to the information that Stolz was killed.,"Stanley, late at night"
