doc_title,chunk_id,fact,scene_context
5、EXT: SAL'S FAMOUS PIZZERIA--DAY,doc_4_chunk_0,Sal is the owner of Sal's Famous Pizzeria,Arrival at Sal's Famous Pizzeria
59、INT: SAL'S FAMOUS PIZZERIA--DAY,doc_58_chunk_0,Sal stops blasting Mookie.,Jade enters
78、INT: STOREROOM--NIGHT,doc_77_chunk_2,Sal explicitly commands Vito and Pino to depart.,
19、INT: SAL'S FAMOUS PIZZERIA--DAY,doc_18_chunk_4,Sal refuses to allow Buggin' Out to return.,"Sal's store: After Buggin' Out demands Malcolm X, Angela Davis, and Michael Jordan be added to the Wall of Fame."
82、INT: SAL'S FAMOUS PIZZERIA--NIGHT,doc_81_chunk_0,Sal has the paper.,"Sal's Famous Pizzeria, during the attack"
97、EXT: SAL'S FAMOUS PIZZERIA--DAY,doc_96_chunk_4,Sal refuses to open another Sal's Famous Pizzeria.,
81、EXT: SAL'S FAMOUS PIZZERIA--NIGHT,doc_80_chunk_8,Sal has two sons.,Street scene during mob confrontation
97、EXT: SAL'S FAMOUS PIZZERIA--DAY,doc_96_chunk_2,Sal has reached a breaking point in the argument with Mookie.,Argument between Sal and Mookie over money
80、INT: SAL'S FAMOUS PIZZERIA--NIGHT,doc_79_chunk_5,Sal stops the music by hitting Radio Raheem's box.,Store confrontation
59、INT: SAL'S FAMOUS PIZZERIA--DAY,doc_58_chunk_1,Sal makes a special item for Jade on every visit to Sal's Famous Pizzeria.,Sal's Famous Pizzeria
