scene,question,answer,evidence,qa_type
13、INT. ALICE'S HOUSE - 3 WEEKS LATER - HBO PROMO FOR 'HIGH EB,What does Micky say about the movie 'High on Crack Street' and public perception?,"Now I gotta worry about this movie tonight on HBO, everybody lookin' at me like I did somethin' wrong, ain't my fault he's on TV.","MICKY: Now I gotta worry about this movie tonight on HBO, everybody lookin' at me like I did somethin' wrong, ain't my fault he's on TV.",dialogue/beliefs
9、EXT. ABANDONED LOWELL CRACK CORNER - NIGHT,"In [9、EXT. ABANDONED LOWELL CRACK CORNER - NIGHT], What is the businessman's emotional state?",Nervous,nervous-looking upper middle class NPR-type businessman,character states
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,"In [16、EXT. LOWELL STREET NEARY MICKY'S - DAY], What is Micky's physical state after exercising?",Catching his breath,"Micky stops jumping, catching his breath.",character states
9、EXT. ABANDONED LOWELL CRACK CORNER - NIGHT,"In [9、EXT. ABANDONED LOWELL CRACK CORNER - NIGHT], What is Karen's physical condition?",Skinny,Skinny Karen stands on the corner,character states
3、EXT. ALICE & GEORGE WARD'S HOUSE - LIMOUSINE (PARKED) -,"In [3、EXT. ALICE & GEORGE WARD'S HOUSE - LIMOUSINE (PARKED) -], What is Micky's emotional state?",Micky is lost in thought and has decided not to fight anymore.,"Micky, lost in thought; Nah, I don't think I wanna do this no more",character states
5、EXT. LEXINGTON ART-HOUSE MOVIE THEATER - NIGHT,Why did Micky go to Lexington?,He didn't want to show his face in Lowell.,I came here because I don't wanna show my face in Lowell.,causal/relational queries
"14、INT. TRAP, 1ST FLOOR - B.H.C. - NIGHT",What does Dicky tell Corrections Officer about Dicky?,He doesn't have to cry anymore.,He don't gotta cry no more.,dialogue/beliefs
3、EXT. ALICE & GEORGE WARD'S HOUSE - LIMOUSINE (PARKED) -,"In [3、EXT. ALICE & GEORGE WARD'S HOUSE - LIMOUSINE (PARKED) -], What is Micky's physical condition?",Micky has bandages on his head and is lying on the couch in his clothes.,bandages on his head; lying sleeping in his clothes on the couch,character states
18、EXT. CRACK STREET - CONTINUOUS,"In [18、EXT. CRACK STREET - CONTINUOUS], What is Dicky's emotional state during his confrontation with Charlene?",He is agitated.,"sweating, agitated",character states
7、INT. CRACK HOUSE IN LOWELL - DAY,"In [7、INT. CRACK HOUSE IN LOWELL - DAY], Where is Dicky holding onto Quackah?",In the crack house's kitchen,still holding onto Quackah,scene localization
5、EXT. LEXINGTON ART-HOUSE MOVIE THEATER - NIGHT,Why does Charlene think Micky took her to Lexington?,She believes he has a girlfriend and is avoiding her.,"You have a girlfriend, just say it, that's why you took me to Lexington.",causal/relational queries
11、INT. BUSINESSMAN'S VOLVO STATION WAGON - NIGHT,Why does the businessman put his hands on the roof?,"Dicky ordered him to, and he was nervous.","DICKY... Get outta the cah put ya hands on the roof! The business man gets out, nervous, hands up, pants undone, puts his hands on the roof.",causal/relational queries
13、INT. ALICE'S HOUSE - 3 WEEKS LATER - HBO PROMO FOR 'HIGH EB,What advice does Mickey O'Keefe give Micky regarding the movie?,"It's bettah for ya if ya don't see it, Micky, it's just gonna make ya feel bad.","MICKEY O'KEEFE: It's bettah for ya if ya don't see it, Micky, it's just gonna make ya feel bad.",dialogue/beliefs
18、EXT. CRACK STREET - CONTINUOUS,"In [18、EXT. CRACK STREET - CONTINUOUS], What is Dicky's physical condition when he approaches the crack house?",He is limping.,Dicky limps toward them,character states
"12、INT. OLYMPIA RESTAURANT - DOWNTOWN, LOWELL - NIGHT",When is the press conference scheduled?,Five days before the fight,"ALICE: Yeah, five days before the fight --",temporal references
11、INT. BUSINESSMAN'S VOLVO STATION WAGON - NIGHT,Why does the businessman plead to God?,He is nervous and has a family he supports.,"Please, God, I never did this before, I have two kids, a wife and I support my mother and my aunt.",causal/relational queries
7、INT. CRACK HOUSE IN LOWELL - DAY,"In [7、INT. CRACK HOUSE IN LOWELL - DAY], Where is Dicky smoking crack?",In the crack house's kitchen,CRACK HOUSE - KITCHEN - DAY,scene localization
2、EXT. MICKY'S APARTMENT ABOVE GARAGE - MORNING - LATER IN THIB,"In [2、EXT. MICKY'S APARTMENT ABOVE GARAGE - MORNING - LATER IN THIB], What is Alice's emotional state early in the morning?",Excited,"Both smiling, excited about the day, the fight.",character states
4、INT. LEXINGTON ART-HOUSE MOVIE THEATER - NIGHT,Why is Micky asleep according to the passage?,The passage does not state why Micky is asleep.,"Charlene sit watches, looks at Micky asleep with his head back, mouth open.",causal/relational queries
