id,scene,question,answer,evidence,qa_type
1,64、EXT. ALLEY,Why does Sammael leap over the wall?,He was hit by the green goo explosion.,"It hits him square in the chest: an explosion of green goo!! With a shriek, the thing leaps over a wall.",causal/relational queries
2,"54、INT. ""MAGIK EXHIBITION"" HALL - NIGHT",What does Hellboy say about the smell in the room?,It stinks in here -- Finely aged roadkill.,HELLBOY (whispers into radio) Blue: It stinks in here -- Finely aged roadkill.,dialogue/beliefs
3,51、EXT. COURTYARD / LOADING DOCK MACHEN LIBRARY - NIGHT,What does Clay instruct regarding the doors?,Seal the doors. Red and Blue are coming in.,Seal the doors. Red and Blue are coming in.,dialogue/beliefs
4,59、INT. MACHEN LIBRARY - MAGIK EXHIBIT HALL - NIGHT,How does Hellboy end up crashing into the brass doors?,"Sammael swings an arm, causing Hellboy to crash into the brass doors.","BAMMM!! From out of nowhere, Sammael appears and swings an arm!! Hellboy CRASHES into the brass doors!",detailed description
5,62、EXT. AN ALLEY - BEHIND MACHEN LIBRARY - NIGHT,When does the tongue attack occur?,Before Hellboy can reach the weapon,Before Hellboy can reach the weapon -- WSHHHP!!! A 7-foot tongue lashes out,temporal references
6,53、INT. MAIN CORRIDOR / MACHEN LIBRARY (SET) - NIGHT,What does Abe do with his hand before touching the door?,Removes a leather glove and spreads his webbed fingers.,Abe removes a leather glove from his hand. FWAP!! he spreads his webbed fingers on the door.,detailed description
7,55、INT. MAIN CORRIDOR / MACHEN LIBRARY (SET) - NIGHT,What did Abe find in one of the books?,"A small, medieval engraving of Sammael","Abe has found a small, medieval engraving of Sammael in one of the books.",detailed description
8,12、EXT. THE HILLTOP - ALLIED SOLDIERS - NIGHT,"In [12、EXT. THE HILLTOP - ALLIED SOLDIERS - NIGHT], What is the behavioral state of Broom and Whitman?",Diving into a ditch to avoid a German foot patrol.,Broom and Whitman dive into a ditch barely in time to avoid a German foot patrol.,character states
9,20、EXT. ABBEY RUINS - ALTAR AREA - NIGHT,"In [20、EXT. ABBEY RUINS - ALTAR AREA - NIGHT], What remains after the cosmic portal implodes?","Burnt rails and an empty, smoking metal glove","a few burnt rails and the metal glove, empty and smoking",objects/props
10,13、EXT. ABBEY RUINS - ALTAR AREA - NIGHT,"In [13、EXT. ABBEY RUINS - ALTAR AREA - NIGHT], What object is inserted into the machine by one of the Nazi scientists?",A 20-inch solid gold cylinder,One of them inserts a 20 inch SOLID GOLD CYLINDER into the machine.,objects/props
11,55、INT. MAIN CORRIDOR / MACHEN LIBRARY (SET) - NIGHT,What description is given of Sammael in the text?,"The desolate one, son of Nergal","There's not much here: the entity's name is Sammael, the desolate one, son of Nergal --",detailed description
12,3、INT. SUBMARINE STATEROOM - NIGHT,Why is Broom carrying the wooden box?,To transport books and amulets for his mission.,"Broom grabs a worn-down wooden box full of books and amulets... This is an important mission, Sgt. Whitman.",causal/relational queries
13,16、EXT. ABBEY RUINS - ALTAR AREA - NIGHT,What is Grigory doing as his body rises?,"Screaming with his body rising, veins swollen in his neck, face distorted by ecstasy and pain","Grigory screams as his body rises. Veins swell in his neck, his face distorted by ecstasy and pain.",detailed description
14,19、EXT. ABBEY RUINS - ALTAR AREA - NIGHT,"In [19、EXT. ABBEY RUINS - ALTAR AREA - NIGHT], What object does the Nazi scientist reach for before the explosion?",A gold cylinder,The NAZI SCIENTIST reaches for a second GOLD CYLINDER.,objects/props
15,4、INT/EXT. SCOTLAND - TUNNEL - NIGHT,"In [4、INT/EXT. SCOTLAND - TUNNEL - NIGHT], What is Whitman's emotional state when responding to Broom?",Impatient,Whitman's dialogue is accompanied by '(impatient)',character states
16,37、EXT. B.P.R.D. BUILDING COMPLEX - DAY,"In [37、EXT. B.P.R.D. BUILDING COMPLEX - DAY], Where is the high-tech complex situated?",On a wooded hill in New Jersey at the edge of a bluff,"On a wooded, new jersey hill, a low-slung, high-tech complex rests at the edge of a bluff",scene localization
17,38、EXT. B.P.R.D. COMPLEX - GATE ENTRANCE - DAY,"In [38、EXT. B.P.R.D. COMPLEX - GATE ENTRANCE - DAY], What is Myers' physical condition?",Very wet and shivering,"very wet YOUNG MAN named MYERS, shivering",character states
18,24、EXT. CHAPEL RUINS - NIGHT,When does Matlin take the photo?,After directing the soldiers into a group shot,Matlin prepares his camera and directs them into a group shot. CLICK!!!,temporal references
19,35、INT. DOCTORS OFFICE - EXAMINATION ROOM - DAY,What does Broom say about getting a second opinion?,He says it won't be necessary.,BROOM: 'That won't be necessary.',dialogue/beliefs
20,31、INT. ICE CAVE - MAIN NAVE - DAY,"In [31、INT. ICE CAVE - MAIN NAVE - DAY], Where is the scene set?",A cathedral-like vault,A cathedral-like vault that could easily hold a stadium.,scene localization
21,"29、EXT. HIGH MOUNTAINS (SET), EASTERN EUROPE - DAY","In [29、EXT. HIGH MOUNTAINS (SET), EASTERN EUROPE - DAY], What is the guide's emotional state when examining his pay?",Greedy,examines his pay greedily,character states
22,"28、EXT. HIGH MOUNTAINS, EASTERN EUROPE - DAY","In [28、EXT. HIGH MOUNTAINS, EASTERN EUROPE - DAY], Where do the three figures climb during the snowstorm?","Birgau Pass, Moldavia","Super: BIRGAU PASS, MOLDAVIA, PRESENT DAY.",scene localization
23,46、INT. HELLBOY'S DEN - NIGHT,What does Hellboy say about the comics?,They never got the eyes right.,Those comics -- They never got the eyes right.,dialogue/beliefs
24,8、EXT. NEARBY - BROOM - NIGHT,Why does Broom say they don't have forty minutes?,The backup from Londonderry is forty minutes away.,"RADIO MAN: Londonderry, sir. Forty minutes away. BROOM: We don't have forty minutes.",causal/relational queries
25,63、EXT. AN ALLEY - BEHIND MACHEN LIBRARY - NIGHT,When does Hellboy hand Myers the gun and a fresh clip?,After Hellboy tries to reload but his arm hurts.,"He grabs his gun and tries to reload, but his arm hurts too much. Hellboy... Here -- He hands him the gun and a fresh clip.",temporal references
26,10、EXT. BEHIND THE ALTAR - NIGHT,"In [10、EXT. BEHIND THE ALTAR - NIGHT], What symbol is engraved on Von Krupt's pocket watch?",A swastika,On the gold lid: a SWASTIKA.,terminology/abbreviation/concept
27,1、INT. DARKROOM - INTERVIEW,What does OLD MATLIN claim to possess?,the negative,But I have the negative.,dialogue/beliefs
28,66、EXT. WEST SIDE STREET - NIGHT,What happens to the 4X4 after Hellboy stops it?,It somersaults over them and lands with a thud.,"The impact somersaults the car over them both. It lands with a thud on the street, air bags exploding.",detailed description
29,50、INT./EXT. GARBAGE TRUCK LAB - LIBRARY CROWD - NIGHT,"In [50、INT./EXT. GARBAGE TRUCK LAB - LIBRARY CROWD - NIGHT], What does Abe claim about Hellboy's dating prospects?","Liz left us, Red. Take the hint.","ABE
Liz left us, Red. Take the hint.",dialogue/beliefs
30,19、EXT. ABBEY RUINS - ALTAR AREA - NIGHT,"In [19、EXT. ABBEY RUINS - ALTAR AREA - NIGHT], What item does Broom grab from a dead G.I.'s belt?",A grenade,Broom crawls to a dead G.I. and grabs a grenade from his belt.,objects/props
31,21、EXT. INSIDE THE CHURCH - NIGHT,"In [21、EXT. INSIDE THE CHURCH - NIGHT], What does Broom pick up from the outer rings of the smoking machine?","A sample of white, viscous goo","He picks up a sample of white, viscous goo from the outer rings of the smoking machine.",objects/props
32,"18、EXT. RUINS, IN THE UNDERBRUSH - NIGHT | 23、EXT. INSIDE CHAPEL RUINS - NIGHT",What does Broom state about the creature after wrapping it in a blanket?,Broom states that the creature is a boy and just a baby boy.,"Broom looks down and says, 'It's a boy. Just a baby boy.'",character states
33,"3、INT. SUBMARINE STATEROOM - NIGHT | 8、EXT. NEARBY - BROOM - NIGHT | 18、EXT. RUINS, IN THE UNDERBRUSH - NIGHT",When did Broom realize the portal was open?,Broom realized the portal was open after the Nazi scientist stepped toward the box holding the gold cylinders and paused beside it.,"The Nazi scientist stepped toward the box holding the gold cylinders and paused beside it. Broom turned to Whitman, his voice a fierce whisper. 'Listen to me!!! The portal is open!!! We have to stop them!!!'",temporal references
34,6、EXT. DITCH | 21、EXT. INSIDE THE CHURCH - NIGHT | 23、EXT. INSIDE CHAPEL RUINS - NIGHT,What does Broom state about the creature after it climbs into his arms?,Broom states that the creature is a boy and just a baby boy.,"Broom looks down and says, 'It's a boy. Just a baby boy.'",character states
35,17、EXT. RUINS - IN THE UNDERBRUSH - NIGHT | 23、EXT. INSIDE CHAPEL RUINS - NIGHT | 24、EXT. CHAPEL RUINS - NIGHT,What does Broom state about the creature after it climbs into his arms?,Broom states that the creature is a boy and just a baby boy.,"Broom looks down and says, 'It's a boy. Just a baby boy.'",character states
36,6、EXT. DITCH | 21、EXT. INSIDE THE CHURCH - NIGHT | 23、EXT. INSIDE CHAPEL RUINS - NIGHT | 24、EXT. CHAPEL RUINS - NIGHT,What does Broom state about the creature after it takes the candy bar?,Broom states that the creature is a boy and just a baby boy.,"Broom looks down and says, 'It's a boy. Just a baby boy.'",character states
