doc_title,chunk_id,text,scene_context
67 面包店	内	日,doc_67_chunk_0,来两个牛角面包,在面包店，赵国卉点牛角面包
79 街道	外	日,doc_79_chunk_0,去,大街上，赵国卉让小黄狗去找陈识
84 火车站	外	日,doc_84_chunk_0,他犯的事，我担着,车站月台：与邹馆长对话，关于男人犯的事。
12 陈识家	内	夜,doc_11_chunk_0,是人就有恶习，我的恶习,民国家居，赵国卉回应陈识关于抽烟的疑问。
15 陈识家	内	夜,doc_14_chunk_0,你收的徒弟，看我的眼神不正，是个小人,屋内黑暗，赵国卉与陈识讨论徒弟眼神不正
31 陈识家	内	日,doc_30_chunk_0,睡午觉,院内，与邹馆长对话，主题：陈识的下落
21 街道	外	日,doc_20_chunk_0,逛街不买东西，你说的,街边，与陈识对话，讨论逛街不买东西
33 陈识家	内	日,doc_32_chunk_0,娶我，是为了今天，住贫民窟，养女人，都是你的掩护，让人觉得你与世无争，你要出卖你徒弟,院内：赵国卉与陈识对话，讨论婚姻掩护和出卖徒弟。
14 陈识家	外	日,doc_13_chunk_0,洗把脸，我男人回来得要一会,陈识家院子，赵国卉在梯子上收拾砖瓦，回应耿良辰的比拳请求。
71 面包店	内	日,doc_71_chunk_0,看看，跟你多像,餐厅，赵国卉与男侍应生对话，主题涉及照片
71 面包店	内	日,doc_71_chunk_0,我十七岁遇上个人，他连张照片都没留下，大概这个样子，不是他留给我的，是他落下的，他欠我的，所以对着他的样子祈祷，求什么都应该实现，今天我求一个活着，这个人离我两百米，我心念不强，再远，怕不能应验,餐厅，赵国卉与男侍应生对话，主题涉及照片和祈祷
7 起士林西餐厅	内	日,doc_6_chunk_0,别吃了，见不得占便宜没够的男人,西餐厅，赵国卉劝陈识停止吃面包
73 面包店	内	日,doc_73_chunk_0,纽约货，值点钱，五十个面包，帮帮我,在餐厅，赵国卉向男侍应生请求帮助。
36 仓房	内	日,doc_35_chunk_0,他在这里教你，一年了，我都不知道，当初你学拳，是为了看我一眼吧,仓房：与耿良辰对话
36 仓房	内	日,doc_35_chunk_0,看一眼，把命丢了，我不想当这个祸害,仓房：与耿良辰对话
36 仓房	内	日,doc_35_chunk_0,机灵点，觉得不对，要知道逃,仓房：与耿良辰对话
11 马车	内	日,doc_10_chunk_0,我是嫁人，不是卖身，你得给我句话，见你的心意,在天津，与陈识讨论婚姻承诺和日常安排
11 马车	内	日,doc_10_chunk_0,一个月陪我逛一次街,在天津，与陈识讨论婚姻承诺和日常安排
11 马车	内	日,doc_10_chunk_0,天津九条河，螃蟹比大米便宜,在天津，与陈识讨论婚姻承诺和日常安排
26 茶汤摊	外	日,doc_25_chunk_0,跟我一样，从小干活的手,茶汤女摊位：赵国卉与茶汤女对话，主题：手部工作
26 茶汤摊	外	日,doc_25_chunk_0,比我漂亮,耿良辰摊位：赵国卉与耿良辰对话，主题：外貌
9 西餐馆	外	夜,doc_8_chunk_0,然后呢？,餐馆路过的地方，与陈识对话
9 西餐馆	外	夜,doc_8_chunk_0,多少？,餐馆路过的地方，与陈识对话
9 西餐馆	外	夜,doc_8_chunk_0,这不是我最好的命，我最好的命，是被一个来吃饭的巴西人看上，嫁到南美种可可,餐馆路过的地方，与陈识对话
25 陈识家	内	夜,doc_24_chunk_0,让他走,房间内，赵国卉让耿良辰离开。
25 陈识家	内	夜,doc_24_chunk_0,你师父平时都买八十只，他三十，我五十，你这点够谁吃的,院内，赵国卉与耿良辰讨论螃蟹数量。
