doc_title,chunk_id,description,scene_context
86 火车站	外	日,doc_86_chunk_0,赵国卉拿着行李走向月台,
21 街道	外	日,doc_20_chunk_0,赵国卉转身逃离,
69 面包店	内	日,doc_69_chunk_0,赵国卉抽着烟看着紧闭门板的武馆,
9 西餐馆	外	夜,doc_8_chunk_0,傲娇的走了,餐馆内，对话结束
29 陈识家	内	日,doc_28_chunk_0,赵国卉给耿良辰开门回到床边,
73 面包店	内	日,doc_73_chunk_0,赵国卉把自己的烟圈给男侍应生,
64 酒店	内	日,doc_64_chunk_0,赵国卉依然将脸转到两边，不想直视,酒店，陈识准备去新武馆
25 陈识家	内	夜,doc_24_chunk_0,赵国卉瞟了一眼,院内，吃螃蟹时
75 新武馆	外	日,doc_75_chunk_0,赵国卉看着自己的男人跑出来，追了上去，小黄狗也跟着后面,武馆外，陈识跑向火车站
83 街道	外	日,doc_83_chunk_0,赵国卉奋力奔向车站,火车站外
31 陈识家	内	日,doc_30_chunk_0,赵国卉正在院内起火做饭，小黄狗跑到身边，赵国卉温柔的摸摸它,院内
17 陈识家	内	日,doc_16_chunk_0,赵国卉正在收拾瓦顶，看着陈识从屋外急步回来,
17 陈识家	内	日,doc_16_chunk_0,赵国卉进屋将烟圈带上,
43 西餐厅	内	日,doc_42_chunk_0,赵国卉走到餐厅,餐厅内
43 西餐厅	内	日,doc_42_chunk_0,赵国卉走过来,餐厅内
43 西餐厅	内	日,doc_42_chunk_0,赵国卉递给他一个面包,餐厅内
33 陈识家	内	日,doc_32_chunk_0,赵国卉坐在院内,院内
33 陈识家	内	日,doc_32_chunk_0,赵国卉起身拿着行李走了,
79 街道	外	日,doc_79_chunk_0,赵国卉上气不接下气的停下，让小黄狗去找陈识,大街：赵国卉追上陈识后停下
81 街道	外	日,doc_81_chunk_0,跑得正辛苦的赵国卉扶着墙喘气,大街上
26 茶汤摊	外	日,doc_25_chunk_0,坐在茶汤女的摊位上，拉住给她端汤的茶汤女的手,
26 茶汤摊	外	日,doc_25_chunk_0,路过耿良辰的摊位,
26 茶汤摊	外	日,doc_25_chunk_0,笑笑离开，走到半路发现陈识当初买给自己的小黄狗跟着自己,
15 陈识家	内	夜,doc_14_chunk_0,赵国卉带着烟圈,屋内，电闪雷鸣，黑暗，两人裸身相拥
84 火车站	外	日,doc_84_chunk_0,悲伤的坐在月台边,车站月台边
84 火车站	外	日,doc_84_chunk_0,点点头,车站内
84 火车站	外	日,doc_84_chunk_0,看着一行人离开，在售票处买票,车站售票处
36 仓房	内	日,doc_35_chunk_0,穿着旗袍披着雨衣来到仓房，拿着刀四处打探仓房,仓房
36 仓房	内	日,doc_35_chunk_0,用刀劈碎了碗,仓房
36 仓房	内	日,doc_35_chunk_0,起身离开,仓房
22 街道	外	夜,doc_21_chunk_0,赵国卉无精打采走在街道间，看着来来往往的行人,街道间
22 街道	外	夜,doc_21_chunk_0,赵国卉踩着高跟鞋去追,街道间
24 巷子	外	夜,doc_23_chunk_1,陈识拉着赵国卉离开,
24 巷子	外	夜,doc_23_chunk_1,陈识背起赵国卉,
24 巷子	外	夜,doc_23_chunk_1,陈识背着赵国卉一路走到家,
7 起士林西餐厅	内	日,doc_6_chunk_0,向陈识端来一壶茶,西餐厅
7 起士林西餐厅	内	日,doc_6_chunk_0,淡定的回到前台,西餐厅
7 起士林西餐厅	内	日,doc_6_chunk_0,站在前台静如处子,西餐厅
67 面包店	内	日,doc_67_chunk_0,赵国卉带着小狗和行李来到一家面包店坐下，看着街对面的新武馆,面包店，街对面有新武馆
67 面包店	内	日,doc_67_chunk_0,赵国卉看着外国面孔,面包店
12 陈识家	内	夜,doc_11_chunk_0,赵国卉手指上套着一只烟，烟灰掉在席子上，余火烧黑了席子,民国家居
12 陈识家	内	夜,doc_11_chunk_0,侧躺抽烟,民国家居
76 街头	外	日,doc_76_chunk_0,赵国卉在后面追,茶馆附近街道，追陈识
76 街头	外	日,doc_76_chunk_0,赵国卉取下发髻将旗袍割下一块布，将箱子绑在自己的手上,街道上，箱子掉落时
76 街头	外	日,doc_76_chunk_0,赵国卉继续去追,街道上，处理箱子后
13 大桥	外	日,doc_12_chunk_0,赵国卉向前跑,大桥上，被车辆和马车货物堵塞
