scene,question,answer,evidence,qa_type
52、EXT. THE WAGON DAWN,"In [52、EXT. THE WAGON DAWN], What is Valentina's emotional state?",Miserable and exhausted from living in fear,She looks miserable. TONY puts his arms around her. Holds her tightly to him. I'm tired of it... I'm sick of living like this,character states
53、EXT BOND STREET EVENING,"In [53、EXT BOND STREET EVENING], What is Percy's emotional state?",Unhappy and nervously glancing at the money box,He doesn't look happy. He sneaks nervous glances at the glass box of money.,character states
34、INT DOCTOR PARNASSUS' CABIN MOMENTS LATER,"In [34、INT DOCTOR PARNASSUS' CABIN MOMENTS LATER], What is Valentina's emotional state upon arriving?",Dismayed,"VALENTINA and ANTON arrive in the doorway, dismayed.",character states
44、EXT OUTSIDE PUB NIGHT,"In [44、EXT OUTSIDE PUB NIGHT], What is Anton's emotional state when he glances at Doctor Parnassus?",Irritated,"ANTON, irritated, glances back at DOCTOR PARNASSUS",character states
41、INT DOCTOR PARNASSUS' CABIN MOMENTS LATER,"In [41、INT DOCTOR PARNASSUS' CABIN MOMENTS LATER], What emotional state is Doctor Parnassus in when he confronts Mr. Nick?",He is desperate and willing to comply.,DOCTOR PARNASSUS: What do you want? I'll do anything.,character states
50、EXT. WAGON NIGHT,"In [50、EXT. WAGON NIGHT], What is Anton's emotional state when he is sitting near the wagon?",Despondent and drinking from a bottle,ANTON is sitting despondently a short way from the wagon swigging from a bottle,character states
11、INT/EXT MAGICAL LANDSCAPE,What does Valentina state about imagination?,"Without imagination, all [beauty, truth, wisdom, justice] are dead.","VALENTINA (V.O.) Beauty, Truth, Wisdom, Justice... without imagination all are dead.",dialogue/beliefs
10、EXT A HOLIDAY FAIR NIGHT,Why does Dr. Parnassus ask the Family From Hell to leave?,Their loud argument and disruptive behavior.,DR. PARNASSUS stirs from his trance. He's had enough of this. Kindly go elsewhere and take your detritus with you?,causal/relational queries
10、EXT A HOLIDAY FAIR NIGHT,What causes the audience to ignore Anton's dove trick?,The Family From Hell's loud argument in front of the stage.,This impressive trick is totally ignored by a group loudly arguing just in front of the stage - THE FAMILY FROM HELL.,causal/relational queries
51、EXT RUBBISH TIP DAWN,"In [51、EXT RUBBISH TIP DAWN], What emotional states describe Anton in the scene?","Depressed, angry, forlorn","It's ANTON, depressed, angry, forlorn.",character states
33、INT BACKSTAGE THAT MOMENT,What does 'Saint George' refer to in the passage?,A name given to the man by Valentina to save her from the dragon.,I dub thee Saint George. You can save me from the dragon.,terminology/abbreviation/concept
56、INT/EXT SHAMPOO COMMERCIAL LANDSCAPE,"In [56、INT/EXT SHAMPOO COMMERCIAL LANDSCAPE], What is Gregor's behavior while the other Russians are trying to break the door?",Calmly picking flowers and breathing in their aroma.,sits quietly in a corner picking pretty flowers... gently breathes in the aroma of the flowers,character states
12、INT/EXT MAGICAL LANDSCAPE,"In [12、INT/EXT MAGICAL LANDSCAPE], What is Diego's emotional state when he encounters Anton?",Confusion and terror,CUT TO DIEGO who is in a state of confusion and terror.,character states
17、INT DOCTOR PARNASSUS' DEN THAT MOMENT,"In [17、INT DOCTOR PARNASSUS' DEN THAT MOMENT], What does Dr. Parnassus say about immortality?",Immortality's a curse! Any fool can tell you that!,DR. PARNASSUS: Immortality's a curse! Any fool can tell you that!,dialogue/beliefs
19、INT MONASTERY DINING HALL NIGHT,"In [19、INT MONASTERY DINING HALL NIGHT], What is Dr. Parnassus's behavioral state while telling the story?","In a trance, sitting on a dais","his eyes closed, in a trance, telling a story",character states
48、INT/EXT THEATRE/WAGON NIGHT,"In [48、INT/EXT THEATRE/WAGON NIGHT], What is Anton's emotional state after the incident?",Mortified,ANTON is mortified.,character states
39、INT THE WAGON THAT MOMENT,"In [39、INT THE WAGON THAT MOMENT], What emotional response does Valentina show toward George?",Admiration and approval,VALENTINA smiles at George with admiration and approval,character states
14、INT BACK STAGE DRESSING ROOM A MOMENT LATER,What is Valentina doing while looking at the magazine?,Struggling out of her 'Wisdom' costume,"Valentina, half-undressed, is struggling out of her `Wisdom' costume while at the same time looking at pictures of beautiful homes and gardens",detailed description
43、EXT THE WAGON NIGHT,"In [43、EXT THE WAGON NIGHT], What emotion does Anton display when he winces?",Pained,CUT TO ANTON who winces.,character states
16、EXT CITY STREETS LATER,"In [16、EXT CITY STREETS LATER], What is Valentina's state when Anton talks about the moon?",Lost in thought,VALENTINA is sitting next to him lost in thought,character states
34、INT DOCTOR PARNASSUS' CABIN MOMENTS LATER,"In [34、INT DOCTOR PARNASSUS' CABIN MOMENTS LATER], What condition does Doctor Parnassus admit to?",Drunk and under considerable stress,Doctor Parnassus is attempting to get ready for the show but he's so drunk he can hardly stand. ... I'm under considerable stress.,character states
8、EXT DINGY BACK STREET,When does Dr. Parnassus reveal the door?,After the police officer confronts him.,DR. PARNASSUS pushes aside the mirror to reveal a door in the back wall of the shallow stage. It is swinging open.,temporal references
15、EXT EDGE OF FAIR / THE WAGON CONTINUOUS,When does DOCTOR PARNASSUS say 'He's come to collect'?,After MR. NICK vanishes,MR NICK has vanished. DOCTOR PARNASSUS (distraught) He's come to collect. PERCY I thought so.,temporal references
48、INT/EXT THEATRE/WAGON NIGHT,"In [48、INT/EXT THEATRE/WAGON NIGHT], What is Tony's physical condition?",Battered and bleeding,"TONY, battered and bleeding, helps her lift PARNASSUS.",character states
50、EXT. WAGON NIGHT,"In [50、EXT. WAGON NIGHT], What is Percy's emotional state when he tells Tony to take a long walk off a short pier?",Angry,PERCY is angrily banging about,character states
5、INT/EXT MAGICAL FOREST,What does Martin yell after tripping and seeing the real forest?,Come back! You bitch!,MARTIN Come back! You bitch!,dialogue/beliefs
5、INT/EXT MAGICAL FOREST,What does Martin call Valentina when he pursues her?,Little sexpot,MARTIN Come here you little sexpot!,dialogue/beliefs
53、EXT BOND STREET EVENING,"In [53、EXT BOND STREET EVENING], What is Dr. Parnassus's emotional state?",Distinctly uncomfortable,"DR. PARNASSUS, peeking under his blindfold, is distinctly uncomforable by his daughter's lack of attire.",character states
63、INT/EXT DR. PARNASSUS' DRUNKEN IMAGINATION,"In [63、INT/EXT DR. PARNASSUS' DRUNKEN IMAGINATION], Where do Tony and Valentina first encounter the valet?",By the door of a sleek limo,a uniformed valet with an open umbrella stands by the door of a sleek limo,scene localization
11、INT/EXT MAGICAL LANDSCAPE,What does Dr. Parnassus express in response to the family's chaos?,"Enraged frustration, demanding silence.",DR. PARNASSUS (V.O.) OH FOR CRYING OUT LOUD! SHUT UP!,dialogue/beliefs
17、INT DOCTOR PARNASSUS' DEN THAT MOMENT,What does Valentina say in response to Dr. Parnassus's claim about immortality?,That's normal isn't it?,VALENTINA: That's normal isn't it?,dialogue/beliefs
39、INT THE WAGON THAT MOMENT,"In [39、INT THE WAGON THAT MOMENT], What is George's emotional state when he says most coins were coming tomorrow?",Unperturbed,GEORGE (unperturbed),character states
45、INT/EXT THE MIND OF DR. PARNASSUS THAT MOMENT,"In [45、INT/EXT THE MIND OF DR. PARNASSUS THAT MOMENT], What is Anton's emotional state?",Terrified,"Terrified, ANTON and the screaming SALLY are spun through a black void",character states
7、INT/EXT MAGICAL FOREST,"In [7、INT/EXT MAGICAL FOREST], What do the HAND CREATURES look like?",Little heads and arms where the wrists should be,They look like HANDS... with little heads and arms where the wrists should be,detailed description
46、EXT OUTSIDE PUB THAT MOMENT,"In [46、EXT OUTSIDE PUB THAT MOMENT], What is Tony's physical condition after being attacked?",Battered and injured after being attacked by the crowd,"A battered TONY, chased by the enraged crowd, just manages to clamber on board",character states
46、EXT OUTSIDE PUB THAT MOMENT,"In [46、EXT OUTSIDE PUB THAT MOMENT], What is Sally's emotional state when she is dumped from the wagon?",Terrified after being dumped from the wagon,"It's the terrified SALLY, sent sprawling in the middle of the road",character states
7、INT/EXT MAGICAL FOREST,How does MARTIN react when he is let go?,"Bounces high, turns somersaults, lands on feet","He bounces high in the air, turns a couple somersaults and lands on his feet",detailed description
