scene,question,answer,evidence,qa_type
61 神算店 内 日,"在[61 神算店 内 日]中, 颂帕的儿子丹的情况是什么？",一年前失踪了,大师：他有一个儿子叫丹，一年前失踪了,character states
15 泰国马路 外 夜,在[15 泰国马路 外 夜]中，唐仁认为曼谷是什么？,世界上最最好玩的地方，男人的天堂,曼谷可是全世界上最最好玩的地方，男人的天堂啦,dialogue/beliefs
43 船厂码头 外 夜,唐仁为什么决定不搭船？,因为担心去赤道几内亚会死且秦风说可能死在船上,唐仁：我们会死在那里吗？秦风：也许··我们会··死船上,causal/relational queries
37 居民小巷 外 日,唐仁为什么担心坐牢？,因为他没有身份，犯事会被警察随意处置,我说他们会听我的吗？本来就没有身份，不犯事还好，犯事了还不是他们说我什么就是什么吗？我可不想一辈子坐牢啦,causal/relational queries
53 坤泰家 内 日,"在[53 坤泰家 内 日]中, 唐仁的当前身份状态是什么？",被通缉,坤泰：你们两个都是被通缉的人,character states
41 夜上海 外 夜,黄兰登为何让托尼跟上？,为调查阿香与唐仁的关联,黄兰登对着托尼：跟我来！,causal/relational queries
54 警局 内 日,"在[54 警局 内 日]中, 黄兰登的情绪状态如何？",情绪激动，命令严厉,黄兰登：加大警力到机场、火车站、码头，把唐仁给我找出来，如果唐仁离开曼谷，你们就都给我滚蛋！OUT！GET OUT！,character states
11 警局 内 日,警局大人对黄兰登和坤泰说了什么？,干什么呢，你们!黑帮片啊，你们!你们两个，到会议室来！,警局大人：干什么呢，你们!黑帮片啊，你们!你们两个，到会议室来！,dialogue/beliefs
39 泰国街头 外 夜,秦风为什么要求泰哥提供案情报告？,因为他想知道自己杀了谁,你不想知道你杀了谁吗？,causal/relational queries
27 唐仁家 内 夜,秦风如何判断唐仁打麻将？,通过烟味、血丝、指甲泥垢、右手烟熏黄及裤子磨损特征,你那天身上烟味很重，眼睛里都是血丝，指甲里都是泥垢，尤其是右手，左手被烟熏黄，但你平时用右手抽烟，裤子右腿比左腿脏，裤腿被磨得发亮,detailed description
9 牌馆 外 日,"在[9 牌馆 外 日]中, 唐仁胡的牌是什么？",一到九万的顺子，右边杠东,桌上显示唐仁胡的牌是一到九万的顺子，右边杠东,objects/props
50 颂帕工厂 内 夜,"在[50 颂帕工厂 内 夜]中, 唐仁在灯无法关闭时表现出什么情绪？",绝望,唐仁绝望的神情，拍了一下关了,character states
59 警局大院 外 日,"在[59 警局大院 外 日]中, 黄兰登此时的情绪状态如何？",情绪急躁,黄兰登说“擦个屁啊，抓人啊”,character states
41 夜上海 外 夜,黄兰登为什么前往阿香家？,因为阿香的金项链与唐仁的一致,黄兰登回想到，阿香脖子上佩戴的金项链和在街头追捕唐仁脖子佩戴的一模一样，立马转身向阿香家走去,causal/relational queries
46 停车场 内 日,"在[46 停车场 内 日]中, 秦风和唐仁在何处发现鱼鳞？",海天大厦地下停车场,秦风爬到另外一个位置，发现一片鱼鳞,scene localization
2 秦风卧室 内 日,奶奶劝解秦风时提到的建议是什么？,一次考不上就考两次，没什么大不了，给你买了机票，去泰国玩一周,奶奶：一次考不上就考两次，没什么大不了，给你买了机票，去泰国玩一周,dialogue/beliefs
12 警局会议室 内 日,"在[12 警局会议室 内 日]中, 黄金的下落如何？",被颂帕的同伙拿走,据我推测应该是颂帕的同伙，杀人越货,objects/props
26 金铺 内 夜,秦风如何处理钱款？,生气地把钱给到唐仁,秦风生气的把钱给到唐仁，自己转身走了,detailed description
68 思诺家 内 日,"在[68 思诺家 内 日]中, 电视正在播放什么内容？",两人的通缉新闻,突然看到后面电视正在播放两人的通缉新闻,objects/props
42 夜上海 内 夜,在黄兰登发现窗帘后的脚后，发生了什么？,黄兰登推开北哥并发现越南仔,黄兰登看到窗帘后面有一双脚，慢慢走到窗帘边，一把推开北哥...三表哥？,temporal references
