scene,question,answer,evidence,qa_type
1、EXT. JOHN'S STREET - DAY,What does John believe about the person he refers to?,He believes the person has a sense of humor and can communicate on the same level.,Someone with a sense of humour. Someone you can communicate with on the same level.,dialogue/beliefs
19、INT. SPARE BEDROOM - DAY,Why did John feel stupid after demonstrating the lamp?,"He switched it on and off repeatedly, leading to his embarrassment.","he switches it on, off, on, off, and then feels stupid",causal/relational queries
24、INT. KITCHEN - DAY,"In [24、INT. KITCHEN - DAY], What is John's behavioral state when Nadia attempts to place the ring on his finger?",He resists then allows it.,He automatically yanks it away... he allows Nadia to push the ring onto his ring finger.,character states
24、INT. KITCHEN - DAY,"In [24、INT. KITCHEN - DAY], What is John's emotional state when he refuses the ring?",He is conflicted and hesitant.,I can't take this. I'm not really a ring guy.,character states
27、INT. BEDROOM - DAY,Why does John check the landing after hearing the noises?,To confirm the coast is clear.,He squeezes his door open and peers down the dark landing. The coast is clear.,causal/relational queries
50、INT. BRANCH MANAGER'S OFFICE - DAY,What does 'first class communication skills' refer to in the passage?,Effective verbal communication in a delicate customer situation,On one occasion John showed first class communication skills in a delicate customer situation.,terminology/abbreviation/concept
"48、INT. NATWEST BANK, ST ALBANS - DAY",Why does John develop alternative solutions?,To resolve or minimize problems before they grow larger.,VOICE OVER: He usually resolves or minimises most problems before they grow into larger problems...,causal/relational queries
22、INT. SPARE ROOM / LANDING - DAY,Why does John hold the saucer under the ash?,To catch the ash as he blows it,"Holding the saucer under the ash, he blows on it gently.",causal/relational queries
26、INT. LOUNGE / STAIRS - NIGHT,"In [26、INT. LOUNGE / STAIRS - NIGHT], What is John's behavioral state when he is in the doorway?",Hovering,"John watches her, hovering in the doorway of the darkened lounge.",character states
25、INT. LOUNGE - NIGHT,"In [25、INT. LOUNGE - NIGHT], What is Nadia knitting when John leaves?",A half-finished jumper,"Nadia is knitting a half-finished jumper, blood red.",character states
37、INT. JOHN'S HOUSE - DAY,"In [37、INT. JOHN'S HOUSE - DAY], What message is stored on the answer machine?",You have reached From Russia With Love. If you are interested...,ANSWER MACHINE You have reached From Russia With Love. If you are interested...,objects/props
3、EXT. GARDEN - DAY,"In [3、EXT. GARDEN - DAY], What is John's current behavioral state?",Encircling his house and leaving a thick trail of yellow powder.,"John encircles his house, leaving a thick trail of yellow powder behind him.",character states
13、INT. / EXT. JOHN'S CAR (MOVING) - DAY,When does John panic?,When Nadia vomits,Suddenly she winds the window down and vomits out of the speeding car. John panics...,temporal references
29、INT. BEDROOM - NIGHT,What caused John to moan during the encounter?,She unzipped his fly,She unzips his fly. He lets out a moan,causal/relational queries
52、INT. LIVING ROOM - DAY,What does the BRANCH MANAGER say about the man's ability to handle customer situations?,He is adequate at resolving difficult or emotional customer situations.,BRANCH MANAGER (V.O.) He is adequate at resolving difficult or emotional customer situations...,dialogue/beliefs
2、INT. BEDROOM - DAY,"In [2、INT. BEDROOM - DAY], What does John say about people turning thirty?",I think that by the time most people turn thirty they know where they're going.,"JOHN (V.O.)
I think that by the time most people
turn thirty they know where they're
going.",dialogue/beliefs
34、EXT. JOHN'S GARDEN - DAY,What causes the crows to scatter?,John's sprinting down his lawn,"John sprints down his lawn, scattering the big black crows eating his garden.",causal/relational queries
45、INT. NADIA'S ROOM - DAY,How are John and Nadia's eyes described during the scene?,They don't take their eyes off each other,They don't take their eyes off each other.,detailed description
57、INT. BRANCH MANAGER'S OFFICE - DAY,What does John say after the report is finished?,Thank you -- I think that's very fair.,JOHN Thank you -- I think that's very fair.,dialogue/beliefs
23、INT. KITCHEN - DAY,What action does Nadia perform immediately after entering the kitchen?,takes the spoon from John,"Nadia walks right into the kitchen. She's changed, jeans and a tee shirt. Nadia takes the spoon from him",detailed description
