id,scene,question,answer,evidence,qa_type
1,1、EXT. JOHN'S STREET - DAY,What does John believe about the person he refers to?,He believes the person has a sense of humor and can communicate on the same level.,Someone with a sense of humour. Someone you can communicate with on the same level.,dialogue/beliefs
2,19、INT. SPARE BEDROOM - DAY,Why did John feel stupid after demonstrating the lamp?,"He switched it on and off repeatedly, leading to his embarrassment.","he switches it on, off, on, off, and then feels stupid",causal/relational queries
3,24、INT. KITCHEN - DAY,"In [24、INT. KITCHEN - DAY], What is John's behavioral state when Nadia attempts to place the ring on his finger?",He resists then allows it.,He automatically yanks it away... he allows Nadia to push the ring onto his ring finger.,character states
4,24、INT. KITCHEN - DAY,"In [24、INT. KITCHEN - DAY], What is John's emotional state when he refuses the ring?",He is conflicted and hesitant.,I can't take this. I'm not really a ring guy.,character states
5,27、INT. BEDROOM - DAY,Why does John check the landing after hearing the noises?,To confirm the coast is clear.,He squeezes his door open and peers down the dark landing. The coast is clear.,causal/relational queries
6,50、INT. BRANCH MANAGER'S OFFICE - DAY,What does 'first class communication skills' refer to in the passage?,Effective verbal communication in a delicate customer situation,On one occasion John showed first class communication skills in a delicate customer situation.,terminology/abbreviation/concept
7,"48、INT. NATWEST BANK, ST ALBANS - DAY",Why does John develop alternative solutions?,To resolve or minimize problems before they grow larger.,VOICE OVER: He usually resolves or minimises most problems before they grow into larger problems...,causal/relational queries
8,22、INT. SPARE ROOM / LANDING - DAY,Why does John hold the saucer under the ash?,To catch the ash as he blows it,"Holding the saucer under the ash, he blows on it gently.",causal/relational queries
9,26、INT. LOUNGE / STAIRS - NIGHT,"In [26、INT. LOUNGE / STAIRS - NIGHT], What is John's behavioral state when he is in the doorway?",Hovering,"John watches her, hovering in the doorway of the darkened lounge.",character states
10,25、INT. LOUNGE - NIGHT,"In [25、INT. LOUNGE - NIGHT], What is Nadia knitting when John leaves?",A half-finished jumper,"Nadia is knitting a half-finished jumper, blood red.",character states
11,37、INT. JOHN'S HOUSE - DAY,"In [37、INT. JOHN'S HOUSE - DAY], What message is stored on the answer machine?",You have reached From Russia With Love. If you are interested...,ANSWER MACHINE You have reached From Russia With Love. If you are interested...,objects/props
12,3、EXT. GARDEN - DAY,"In [3、EXT. GARDEN - DAY], What is John's current behavioral state?",Encircling his house and leaving a thick trail of yellow powder.,"John encircles his house, leaving a thick trail of yellow powder behind him.",character states
13,13、INT. / EXT. JOHN'S CAR (MOVING) - DAY,When does John panic?,When Nadia vomits,Suddenly she winds the window down and vomits out of the speeding car. John panics...,temporal references
14,29、INT. BEDROOM - NIGHT,What caused John to moan during the encounter?,She unzipped his fly,She unzips his fly. He lets out a moan,causal/relational queries
15,52、INT. LIVING ROOM - DAY,What does the BRANCH MANAGER say about the man's ability to handle customer situations?,He is adequate at resolving difficult or emotional customer situations.,BRANCH MANAGER (V.O.) He is adequate at resolving difficult or emotional customer situations...,dialogue/beliefs
16,2、INT. BEDROOM - DAY,"In [2、INT. BEDROOM - DAY], What does John say about people turning thirty?",I think that by the time most people turn thirty they know where they're going.,"JOHN (V.O.)
I think that by the time most people
turn thirty they know where they're
going.",dialogue/beliefs
17,34、EXT. JOHN'S GARDEN - DAY,What causes the crows to scatter?,John's sprinting down his lawn,"John sprints down his lawn, scattering the big black crows eating his garden.",causal/relational queries
18,45、INT. NADIA'S ROOM - DAY,How are John and Nadia's eyes described during the scene?,They don't take their eyes off each other,They don't take their eyes off each other.,detailed description
19,57、INT. BRANCH MANAGER'S OFFICE - DAY,What does John say after the report is finished?,Thank you -- I think that's very fair.,JOHN Thank you -- I think that's very fair.,dialogue/beliefs
20,23、INT. KITCHEN - DAY,What action does Nadia perform immediately after entering the kitchen?,takes the spoon from John,"Nadia walks right into the kitchen. She's changed, jeans and a tee shirt. Nadia takes the spoon from him",detailed description
21,25、INT. LOUNGE - NIGHT | 43、INT. NADIA'S BEDROOM - DAY | 29、INT. BEDROOM - NIGHT,What does Nadia do immediately after seeing John's reaction during their physical encounter?,"She lets go, turns, and walks out of the bedroom without saying anything.","She looks down, sees what has happened, and lets go. Without a word, she turns and walks out of the bedroom, closing the door behind her.",character states
22,29、INT. BEDROOM - NIGHT,Why is John unable to speak when he tries to tell Nadia to leave?,John is unable to speak because Nadia has placed her hand across his mouth.,His eyes widen but he can't speak—she has placed her hand across his mouth.,causal/relational queries
23,24、INT. KITCHEN - DAY | 43、INT. NADIA'S BEDROOM - DAY | 29、INT. BEDROOM - NIGHT | 19、INT. SPARE BEDROOM - DAY,What does John say after Nadia places the ring on his finger?,He says that it is no big deal and thanks her multiple times.,"He says, 'Okay. No big deal. Thank you. Yes thanks. Thank you.'",character states
24,43、INT. NADIA'S BEDROOM - DAY | 45、INT. NADIA'S ROOM - DAY | 29、INT. BEDROOM - NIGHT,Why does Nadia leave the bedroom without speaking?,"Nadia leaves the bedroom without speaking after she sees that John has reached climax and she releases him, indicating the intimate moment has ended.","She looks down, sees what has happened, and lets go. Without a word, she turns and walks out of the bedroom, closing the door behind her.",causal/relational queries
25,43、INT. NADIA'S BEDROOM - DAY | 29、INT. BEDROOM - NIGHT | 45、INT. NADIA'S ROOM - DAY | 22、INT. SPARE ROOM / LANDING - DAY,What does Nadia do immediately after the sexual encounter with John ends?,"Nadia remains lying with her back turned and arms folded, keeping her eyes wide open and watching John as he leaves the room.","Nadia, still lying with her back turned and arms folded, keeps her eyes wide open, watching his departure without moving.",character states
26,23、INT. KITCHEN - DAY | 24、INT. KITCHEN - DAY,What does John state about his feelings toward accepting the ring at first?,"John states that he cannot take the ring and says he is not a ring person, indicating his initial reluctance to accept it.","He says he can’t take it and puts the ring back, closing the box. He refuses again, saying he’s not a ring person.",character states
27,43、INT. NADIA'S BEDROOM - DAY | 29、INT. BEDROOM - NIGHT,Why does Nadia leave the bedroom without speaking after being intimate with John?,"Nadia leaves because she notices John's physical reaction and loses interest, choosing to end the encounter silently.","She looks down, sees what has happened, and lets go. Without a word, she turns and walks out of the bedroom, closing the door behind her.",causal/relational queries
28,32、INT. NADIA'S ROOM - DAY | 42、INT. LANDING - DAY | 43、INT. NADIA'S BEDROOM - DAY,What does Nadia do after John ends the engagement and places the ring on the bed?,Nadia does not respond verbally but initiates a physical encounter by pulling off John's tee shirt and climbing on top of him.,"After John removes the ring and places it on the bed, telling Nadia he is ending things and booking a flight to leave, she does not respond verbally. Instead, she moves to the bed and pulls his tee shirt off. She climbs on top of him, taking control of the moment.",character states
29,36、INT. JOHN'S GARDEN - DAY | 25、INT. LOUNGE - NIGHT,What does Nadia state about how she feels when she stretches and yawns?,Nadia does not state how she feels when she stretches and yawns.,"The passage describes Nadia setting her knitting aside, stretching, and yawning, but it does not include any statement from her about her feelings.",character states
30,19、INT. SPARE BEDROOM - DAY | 29、INT. BEDROOM - NIGHT | 45、INT. NADIA'S ROOM - DAY | 29、INT. BEDROOM - NIGHT,What does Nadia do immediately after observing John's release in the bedroom?,"She turns and walks out of the bedroom, closing the door behind her.","She looks down, sees what has happened, and lets go. Without a word, she turns and walks out of the bedroom, closing the door behind her.",character states
31,34、EXT. JOHN'S GARDEN - DAY | 36、INT. JOHN'S GARDEN - DAY | 25、INT. LOUNGE - NIGHT,What does John state about his actions when he returns to the garden?,John does not state anything about his actions when he returns to the garden.,"The passage describes John's actions upon returning to the garden, such as climbing back over the fence and looking around, but there is no statement or dialogue from John about these actions.",character states
32,42、INT. LANDING - DAY | 43、INT. NADIA'S BEDROOM - DAY | 45、INT. NADIA'S ROOM - DAY,What does John state about the relationship before ending the engagement?,John states that the relationship is a mistake and that it is over.,"John tells her it's over, calls the relationship a mistake, and says she must leave.",character states
33,42、INT. LANDING - DAY | 43、INT. NADIA'S BEDROOM - DAY,What does Nadia do after John ends the engagement and places the ring on the bed?,"Nadia does not respond verbally, but instead pulls John's tee shirt off and climbs on top of him.","After John removes the ring and places it on the bed, telling Nadia he is ending things and booking a flight to leave, she does not respond verbally. Instead, she moves to the bed and pulls his tee shirt off. She climbs on top of him, taking control of the moment.",character states
34,47、INT. NADIA'S ROOM - DAY | 43、INT. NADIA'S BEDROOM - DAY | 45、INT. NADIA'S ROOM - DAY | 22、INT. SPARE ROOM / LANDING - DAY,What does John state about his intentions before leaving the room?,John states that he is ending the relationship and plans to leave by booking a flight.,"After John removes the ring and places it on the bed, telling Nadia he is ending things and booking a flight to leave",character states
35,13、INT. / EXT. JOHN'S CAR (MOVING) - DAY,Why does John swerve the car onto the hard shoulder during the drive?,"John swerves the car onto the hard shoulder because Nadia suddenly vomits out of the moving car, startling him.",Nadia winds the window down and vomits out of the moving car. John swerves onto the hard shoulder as horns blare around them.,causal/relational queries
