id,scene,question,answer,evidence,qa_type
1,14、INT. TWINKY'S APARTMENT - NIGHT,"In [14、INT. TWINKY'S APARTMENT - NIGHT], What is Bobby's emotional state during the scene?",Morose,Bobby sits morosely on the couch,character states
2,19、INT. BOBBY'S CAR - FREEWAY - DAY,"In [19、INT. BOBBY'S CAR - FREEWAY - DAY], What is BOBBY's emotional state as shown in the passage?",Frustrated,I can't take this shit anymore.,character states
3,14、INT. TWINKY'S APARTMENT - NIGHT,"In [14、INT. TWINKY'S APARTMENT - NIGHT], How does Elton react to Betty's behavior?",Nearly beside himself,"Elton, nearly beside himself, looks over to Bobby",character states
4,10、INT. BOWLING ALLEY - NIGHT,"In [10、INT. BOWLING ALLEY - NIGHT], What is Rayette's emotional state when she speaks to Bobby?",Reluctant,RAYETTE (reluctant),character states
5,3、INT. MORTUARY CHAPEL - DAY,"In [3、INT. MORTUARY CHAPEL - DAY], What does the casket lining contain?",The pale profile of his mother's face,pale profile of his mother's face resting within the satin folds of the casket lining,objects/props
6,11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,"In [11、EXT. BOWLING ALLEY PARKING LOT - NIGHT], What is Rayette's emotional state when Bobby calls her pathetic?",Close to tears.,RAYETTE (close to tears),character states
7,50、EXT. BOBBY'S CAR - HIGHWAY - DAY,Why does Palm ask Bobby for a lift?,"Her car was damaged, so she needed transportation.",Can you give us a lift?,causal/relational queries
8,42、INT. RAYETTE'S LIVING ROOM - DAY,"In [42、INT. RAYETTE'S LIVING ROOM - DAY], What causes Rayette to weep silently after Bobby leaves?",Bobby's decision to leave permanently.,"She is still faced away from him, her shoulders trembling as she weeps soundlessly.",causal/relational queries
9,42、INT. RAYETTE'S LIVING ROOM - DAY,Why does Bobby have to leave Rayette's house?,Bobby's father is sick.,I have to go home. My father's sick.,causal/relational queries
10,35、INT. ELTON AND STONEY'S MOBILE HOME - NIGHT,What caused Elton to nearly break his neck?,Hanging 90 feet up on a tour.,"I once hung suspendered 90 feet up on a tour, like a damn circus artist... Near broke my damn neck...",causal/relational queries
11,35、INT. ELTON AND STONEY'S MOBILE HOME - NIGHT,Why does Elton refuse to work again?,He hated being a derrickman.,I swore to God I'd never hire on to this type a work again... I once hung suspendered 90 feet up... Near broke my damn neck...,causal/relational queries
12,50、EXT. BOBBY'S CAR - HIGHWAY - DAY,Why is Palm upset?,Her car's steering malfunctioned after she bought it new from a used-car lot.,"Look at my car! Piece of shit! I just bought it brand new from a used-car lot, and the steering goes to the pot on me!",causal/relational queries
13,45、INT. RAYETTE'S LIVING ROOM - DAY,What action does Bobby's hand perform on the record player?,Slashes at the arm and pulls it across the grooves,"BOBBY'S HAND slashes at the arm of the record player, pulling it across the grooves",detailed description
14,39、INT. STUDIO A RECORDING BOOTH - DAY,Why does the second engineer interrupt Tita's performance?,"Because she was singing, which he deemed inappropriate for the recording.","I'd like to remind you again, this isn't an opera or a musical comedy. Oh... I'm sorry. Was I singing again?",causal/relational queries
15,36、EXT. SIGNAL HILL RIG - DAY,What does Bobby accuse Elton of doing during their conversation?,Comparing his life to Bobby's.,"BOBBY (CONT'D) I'm sitting here, listening to some asshole cracker compare his life to mine!",dialogue/beliefs
16,13、INT. SIGNAL HILL DOGHOUSE - DAY,Why is Bobby in a buoyant mood?,He laid down a winning poker hand.,"Bobby, in a buoyant mood, lays down a winning poker hand",causal/relational queries
17,40、INT. RECORDING STUDIO - DAY,What caused Carl to sprain his neck?,He ran into a Jeep while riding his bicycle.,"11 months ago he was on his bicycle, on his way to the post office in La Roche... and he ran into a Jeep and sprained his neck.",causal/relational queries
18,13、INT. SIGNAL HILL DOGHOUSE - DAY,What caused Bobby to rake in the pile of bills and change?,He laid down a winning poker hand.,Bobby... lays down a winning poker hand and rakes in a pile of bills and change,causal/relational queries
19,11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,"In [11、EXT. BOWLING ALLEY PARKING LOT - NIGHT], What is Rayette's emotional state after Bobby's hesitant answer?",Filled with forgiveness.,fill her with forgiveness,character states
20,9、INT. RAYETTE'S LIVING ROOM - NIGHT,When does Bobby prevent Rayette from moving to the stereo?,After she starts for the stereo and he takes hold of her hand.,"As she starts for the stereo, he takes hold of her hand.",temporal references
21,28、INT. BOBBY'S CAR - FREEWAY - DAY,What does Elton yell at Bob to do?,Get his butt off there and come on now.,"Again, Elton leans out the window, yelling at him: ELTON You better get your butt off there, Bob! Come on, now!!",dialogue/beliefs
22,2、INT. RECITAL HALL GREEN ROOM - NIGHT,What is Bobby's mother doing to his hair?,Combing it with maternal concentration,His mother combs his hair with maternal concentration.,detailed description
23,38、INT. RECORDING STUDIO - DAY,Why did Bobby check the door numbers?,To locate Studio A,"Bobby... moves through a network of hallways, checking the door numbers. He arrives at a door designated as Studio A.",causal/relational queries
24,23、EXT. TRUCK - FREEWAY - DAY,When does Bobby reveal the upright piano?,After he pauses to look beneath the padded protector,"On his way out of the truck, Bobby pauses to look beneath one of the padded protectors, then pulls it off to reveal an upright piano.",temporal references
25,45、INT. RAYETTE'S LIVING ROOM - DAY,What happens to Tammy Wynette during Bobby's action?,She is stifled by the record player's arm,pulling it across the grooves and stifling Tammy Wynette,detailed description
26,44、INT. BOBBY'S CAR - DAY,Why does he throw the car into gear?,Because he is angry,angrily throws it into gear,causal/relational queries
27,9、INT. RAYETTE'S LIVING ROOM - NIGHT,When does the song conclude?,After Rayette kisses Bobby and he drinks from the can.,"The song concludes, and setting aside her ardor for the moment:",temporal references
28,12、EXT. SIGNAL HILL DERRICK - DAY,"In [12、EXT. SIGNAL HILL DERRICK - DAY], What is Bobby's experience level with the rig operations?",He is a novice.,Bobby is still somewhat of a novice in the operations of the rig.,character states
29,36、EXT. SIGNAL HILL RIG - DAY,What does Elton say about the woman's reaction to the situation?,"She's all tore up about it, which I hate a see.","ELTON (CONT'D) That's right. She told me. An' she's all tore up about it, which I hate a see.",dialogue/beliefs
30,20、EXT. FREEWAY - DAY,"In [20、EXT. FREEWAY - DAY], What is Bobby's behavioral state?",Looking for the cause of the jam,"Bobby steps up onto the fender of a car, looking for the cause of the jam",character states
31,6、EXT. BOBBY'S CAR - NIGHT,"In [6、EXT. BOBBY'S CAR - NIGHT], Where does the car move to after leaving the Hill?",The seamy districts adjacent to the Hill,moves off the Hill into the seamy districts adjacent to it,scene localization
32,4、EXT. SIGNAL HILL OIL FIELD - DAY | 15、EXT. SIGNAL HILL FIELD - DAY | 36、EXT. SIGNAL HILL RIG - DAY,What does the driller say about Bobby when Bobby announces he is quitting?,The driller says Bobby is more trouble than he's worth and that he is glad to be rid of him.,"The driller stops, turns back, and tells Bobby he doesn't care what he does, calling him more trouble than he's worth and saying he's glad to be rid of him.",character states
33,11、EXT. BOWLING ALLEY PARKING LOT - NIGHT | 10、INT. BOWLING ALLEY - NIGHT,What does Bobby say in response when Rayette asks if he loves her?,"Bobby hesitates and then says, 'Well now, what do you think?'","She asks if he loves her. He hesitates, then says, 'Well now, what do you think?'",character states
34,33、INT. DINER - LATE NIGHT | 42、INT. RAYETTE'S LIVING ROOM - DAY | 45、INT. RAYETTE'S LIVING ROOM - DAY,What does Bobby state about his father's condition?,Bobby states that his father is sick and that he has to go home for two or three weeks.,He says his father is sick and he has to go home for two or three weeks.,character states
