scene,question,answer,evidence,qa_type
"9、EXT. ROYAL BARGE, THAMES - DAY",Why does Walsingham mention Mary Stuart's son?,To highlight the threat she poses as Elizabeth's heir apparent.,WALSINGHAM: Mary Stuart has a son - ELIZABETH: Why does everyone torment me with Mary Stuart?,causal/relational queries
48、INT/EXT. LONDON HOUSE - NIGHT,When does the woman hurry away?,After the agents burst in,"Beyond, the woman - not Bess - is hurrying away.",temporal references
61、EXT. GALLOWS - DAY,"In [61、EXT. GALLOWS - DAY], What is Throckmorton's physical condition after the fall?",His neck is broken.,His neck breaks.,character states
5、EXT. THAMES - DAY,"In [5、EXT. THAMES - DAY], What role does HOWARD play in the scene?",He warns the Queen about potential assassination by Catholics.,"HOWARD (V.O.) Why do you go among the people, majesty? I tell you plainly, you will be murdered! Every Catholic in England is a potential assassin!",character states
5、EXT. THAMES - DAY,"In [5、EXT. THAMES - DAY], What is the behavioral state of BABINGTON and SAVAGE as they observe the Queen?","They stare intently without cheering, showing a chilling demeanor.",Two young men walking arm-in-arm stare more intently than any; but they do not cheer or wave. There's something chilling in the way they track the distant figure of the Queen.,character states
20、INT. CHAPEL ROYAL - DAY,"In [20、INT. CHAPEL ROYAL - DAY], What is the Queen's emotional state?",Privately amused,privately amused,character states
"4、EXT. BALCONY, ESCORIAL PALACE - DAY","In [4、EXT. BALCONY, ESCORIAL PALACE - DAY], What is Philip's behavioral state?",Feeds on his people's adoration,"the king's eyes glow and he breathes in deeply, feeding on his people's adoration",character states
38、INT QUEEN'S PRIVATE QUARTERS - DAY,What does 'majesty' refer to in the dialogue?,"A title of respect for a monarch, specifically Elizabeth","Reward my mission, majesty, not me.",terminology/abbreviation/concept
33、INT. QUEEN'S PRIVATE QUARTERS - DAY,How does Raleigh describe the ship's size during his ocean crossing?,Small - tiny - a speck in such immensity,Your ship is small - tiny - a speck in such immensity,detailed description
"34、INT. PRIVY CHAMBER, WHITEHALL PALACE - DAY",What actions does Raleigh's voiceover describe?,"Studying charts, watching the compass, and praying for a fair wind.","Study your charts, and watch your compass, and pray for a fair wind - and hope.",detailed description
"52、INT. QUEEN'S PRIVATE QUARTERS, WHITEHALL PALACE - DAY","In [52、INT. QUEEN'S PRIVATE QUARTERS, WHITEHALL PALACE - DAY], What emotional state does Elizabeth display when Walsingham enters?",Shows irritation and fear,"frown of irritation, flash of fear in Bess's eyes",character states
33、INT. QUEEN'S PRIVATE QUARTERS - DAY,What is Elizabeth doing as Raleigh recounts his adventures?,"Listening attentively, her eyes looking far away","Elizabeth listens attentively, her eyes looking far away into the distance",detailed description
59、EXT. GALLOWS - DAY,"In [59、EXT. GALLOWS - DAY], What is Throckmorton's physical condition?",Ravaged by the tortures he's endured,His face is ravaged by the tortures he's endured,character states
41、INT. WHITEHALL PALACE - NIGHT,"In [41、INT. WHITEHALL PALACE - NIGHT], What is Bess's current action?",Navigating the palace corridor while stepping over sleeping courtiers.,"Bess makes her way down the dark palace corridor, stepping over sleeping courtiers as she goes.",character states
59、EXT. GALLOWS - DAY,"In [59、EXT. GALLOWS - DAY], What is Throckmorton's behavioral state?","Holds his head high, ready for death","He holds his head high, ready for death",character states
"9、EXT. ROYAL BARGE, THAMES - DAY",What causes Elizabeth's disagreement with Walsingham about finding a husband?,Her preference for the 'impossible' over the 'possible' in marital choices.,ELIZABETH: I find the impossible far more interesting. WALSINGHAM: I confine myself to the possible.,causal/relational queries
7、EXT. THAMES - DAY,What does Howard believe about Catholics?,All Catholics are traitors loyal to the Pope of Rome.,"HOWARD (V.O.) Treachery, ma'am. All Catholics are traitors! Their loyalty is to the Pope of Rome.",dialogue/beliefs
"6、INT. PRIVY CHAMBER, WHITEHALL PALACE - DAY",What belief does Hatton express about Mary Stuart?,She is the poison at the heart of England.,HATTON She is the poison at the heart of England.,dialogue/beliefs
60、INT. SECRET ROOM - DAY,"In [60、INT. SECRET ROOM - DAY], What is Reston's role among the conspirators?",He is a leader guiding their prayers and actions.,Reston and the conspirators pray. Reston puts his hands on Babington's shoulders and forces him to pray with them.,character states
"14、EXT. FOREST, SPAIN - DAY","In [14、EXT. FOREST, SPAIN - DAY], What is Philip's emotional state when he sees the felled forest?","He is troubled and sensitive, feeling too much.",I am cursed with sensitivity. I feel too much.,character states
"25、INT. HALLWAY, WHITEHALL PALACE - DAY",What does Raleigh do when he thanks Bess?,Gives a bow and singles out Bess with his eyes,"Raleigh gives a bow, his eyes singling out Bess.",detailed description
41、INT. WHITEHALL PALACE - NIGHT,"In [41、INT. WHITEHALL PALACE - NIGHT], What is Margaret's action?",Observing Bess from the shadows.,Margaret watches her from the shadows.,character states
"34、INT. PRIVY CHAMBER, WHITEHALL PALACE - DAY",What is Elizabeth's facial expression indicating?,"She appears distracted, not listening to Walsingham.","We are on her face, and we can see that she hears nothing of what he tells her. Her mind is all on Raleigh's voice.",detailed description
