scene,question,answer,evidence,qa_type
31、INT. STATE DEPARTMENT. LINTON'S OFFICE - DAY,What caused Linton to want to alter the section about France's statements?,He believed it did not accurately reflect their position,I don't like this section. Cut that. I don't think this is really what France are saying. Let's change that.,causal/relational queries
19、INT. FOREIGN OFFICE LOBBY - DAY,What does Chad claim about Liza's paper?,Chad says her paper clashes violently with the current climate and almost seems intentional.,"CHAD: 'You could not write anything that clashes more violently with the current climate than you the one you wrote if you were trying, and it almost seems like you were trying.'",dialogue/beliefs
53、INT. WASHINGTON HOTEL - CONTINUOUS,"In [53、INT. WASHINGTON HOTEL - CONTINUOUS], What is Toby's emotional state when Malcolm confronts him?","He experiences a heart attack, showing fear.",TOBY (heart attack),character states
34、INT. STATE DEPARTMENT - CORRIDOR/BATHROOM - DAY,Why does Karen instruct Liza to verify the committee's name?,To confirm it is definitely the Future Planning Committee.,"KAREN: Okay, find out if it is definitely the Future Planning Committee.",causal/relational queries
54、INT. BLACK CAT INDIE CLUB - NIGHT,"In [54、INT. BLACK CAT INDIE CLUB - NIGHT], Why is Liza worried according to her dialogue?",Her paper on the war with too many cons led to being called 'Connie' and risking her career.,LIZA: 'My career's on the line.',character states
34、INT. STATE DEPARTMENT - CORRIDOR/BATHROOM - DAY,Why does Karen react angrily to Liza's question about shouting?,Because Liza implies she is a monster.,"KAREN: I'm not a fucking monster Liza, okay? Will you stop implying I'm some kind of monster?",causal/relational queries
19、INT. FOREIGN OFFICE LOBBY - DAY,What does Karen say about the committee she wants to join?,"Karen states she wants to join the committee they don't want her in, calling it a confused Groucho Marx.","KAREN: 'Whichever committee they don't want me to be a member of, I want to be a member of that. It's a confused Groucho Marx.'",dialogue/beliefs
33、INT. STATE DEPARTMENT. KAREN'S OFFICE - DAY,What did Linton do after Karen left?,He took advantage of her absence to bring up a topic.,Linton sees his chance to take advantage of Karen being out of the room.,causal/relational queries
9、INT. SIMON'S OFFICE - DAY.,How is Toby described when Malcolm enters?,"Toby is behind Malcolm, appearing sheepish.",Malcolm walks in with Toby sheepishly behind him.,detailed description
5、INT. MALCOLM'S OFFICE. DAY.,"In [5、INT. MALCOLM'S OFFICE. DAY.], What is Malcolm's emotional state during his interaction with Simon?",Angry and confrontational.,"NO YOU DO NOT THINK THAT! Sam! I'm going to have to go over to International Development, and pull Simon Foster's fucking hair.",character states
65、INT. COMMITTEE ROOM 712 - DAY,"In [65、INT. COMMITTEE ROOM 712 - DAY], What is Linton's emotional state during the scene?",Quietly horrified,"Linton is with Adriano, quietly horrified by all these people.",character states
33、INT. STATE DEPARTMENT. KAREN'S OFFICE - DAY,Why did Karen leave the meeting?,She was bleeding from her mouth and couldn't continue.,She is. But she doesn't want to leave the meeting. Karen gets up to go.,causal/relational queries
61、INT. STATE DEPARTMENT - DAY,"In [61、INT. STATE DEPARTMENT - DAY], What is Liza's emotional state during her interaction with Toby?",Uncomfortable,They're uncomfy with each other,character states
57、INT. LIZA'S APARTMENT - DAY,"In [57、INT. LIZA'S APARTMENT - DAY], What is Toby's behavioral state after recalling events?",He springs out like a Ninja and scrambles for his phone.,"springs out like a Ninja and starts pulling his clothes on, while scrabbling for his phone.",character states
32、INT. SIMON'S OFFICE/BOX ROOM - DAY,When does Simon decide to leave Judy behind?,After Toby's joke about the husband in Tower Hamlets.,She's staying behind.,temporal references
43、INT. WASHINGTON HOTEL ROOM,"In [43、INT. WASHINGTON HOTEL ROOM], Where does Toby go to open the curtain?",A room with a window overlooking the Capitol,"TOBY goes to window, opens curtain. The Capitol it just visisble through a building site.",scene localization
