scene,question,answer,evidence,qa_type
2、EXT. HONOLULU - DAY,"In [2、EXT. HONOLULU - DAY], What is Matt's emotional state regarding his friends' perceptions of Hawaii?",Frustrated with friends' assumptions about life in Hawaii,Matt's rhetorical questions about his friends' beliefs about Hawaii,character states
63、INT. MATT AND LIZ'S BEDROOM - NIGHT,What is Matt doing while sitting in the area off the bedroom?,Nursing a whiskey and pressing a phone to his ear,This is where Matt now sits nursing a whiskey and pressing a PHONE to his ear.,detailed description
4、INT. NEUROLOGIST'S OFFICE - DAY,What does Matt say about Elizabeth's accusations?,It was exactly what Elizabeth used to accuse me of.,MATT (V.O.) It was exactly what Elizabeth used to accuse me of.,dialogue/beliefs
27、INT. FAMILY CONSULTATION ROOM - DAY,What is the purpose of considering the shortest possible survival time for Matt's wife?,To plan for organ donations.,You should work off the shortest possible scenario. I know I need to get the ball rolling on organ donations right away.,causal/relational queries
57、INT. MATT'S CAR - DAY,How does Matt react when Sid insults his wife?,Slams on the brakes and points a menacing finger,"SLAMMING ON THE BRAKES, Matt turns around, points a menacing finger.",detailed description
29、INT. HOSPITAL ROOM - CONTINUOUS,Why does Matt smile despite expecting a grim moment?,Because the room is filled with warmth and life.,"Matt smiles -- he'd been expecting a grim moment alone with Elizabeth, but instead he finds a room full of warmth and life.",causal/relational queries
29、INT. HOSPITAL ROOM - CONTINUOUS,Why is Kai applying makeup to Elizabeth?,Because she's been looking pale and cooped up.,Kai: 'she's been looking a little pale lately all cooped up in here',causal/relational queries
10、INT. HOSPITAL GIFT SHOP - DAY,"In [10、INT. HOSPITAL GIFT SHOP - DAY], What is Matt's emotional state when he looks at the postcard?",He is barely containing his rage.,"Barely containing his rage, Matt stares at postcard",character states
35、INT. AIRPLANE - DAY,What belief does Matt express about families?,A family seems exactly like an archipelago.,"A family seems exactly like an archipelago -- all part of the same geographic expression but still islands -- separate and alone, always drifting slowly apart.",dialogue/beliefs
13、INT. HOSPITAL ROOM - CONTINUOUS,What causes Scottie to bolt out the door?,Matt's confrontation and taking her phone.,Scottie fights him as he snatches her phone away. ... Scottie bolts out the door.,causal/relational queries
9、INT. HOSPITAL HALLWAY - DAY,"In [9、INT. HOSPITAL HALLWAY - DAY], What emotional state does Matt express about his responsibilities?",He feels burdened and wants to hide.,I just want to hide.,character states
54、EXT. KING SWIMMING POOL - DAY,How is Sid described physically and in terms of expression when he rises from his chair?,Lanky and odd with a permanent smirk,"Lanky and odd, a permanent smirk on his face",detailed description
46、EXT. KING SWIMMING POOL - DAY,What does Alexandra believe about Scottie's behavior?,That spending more time with her would prevent her from acting like a spaz.,"Maybe if you spent more time with her, she wouldn't act like such a complete spaz.",dialogue/beliefs
60、EXT. BRIAN SPEER'S BLOCK - KAHALA - DAY,How do the characters react to the plumbing truck?,They reflexively crouch down before catching themselves.,A PLUMBING TRUCK drives up the road. The three of them reflexively crouch down before catching themselves.,detailed description
39、INT. DORM SUPERVISOR'S ROOM HALLWAY - NIGHT,What caused Matt to arrive at the dormitory?,He needed to pick up his daughter Alexandra.,"I've come to pick up my daughter, Alexandra.",causal/relational queries
31、EXT. OCEAN OUTRIGGER BEACH - DAY,What prompts Matt to suggest getting something to eat?,Scottie's statement about being hungry,SCOTTIE: I'm hungry! MATT: What else is new? Let's get you something to eat.,causal/relational queries
35、INT. AIRPLANE - DAY,What does Matt say about finding his daughter on a different island?,It feels natural to find a daughter of mine on a different island.,Somehow it feels natural to find a daughter of mine on a different island.,dialogue/beliefs
7、EXT. ELEMENTARY SCHOOL - DAY,What causes Matt to disagree with Scottie's art project?,He believes their mother's condition is private.,you don't share personal stuff like that with strangers. What's going on with Mom is private,causal/relational queries
9、INT. HOSPITAL HALLWAY - DAY,"In [9、INT. HOSPITAL HALLWAY - DAY], What is Matt's role in the family's land decision?",He is the sole trustee and controlling trustee.,"I'm the sole trustee, the controlling trustee, so I hold all the cards.",character states
16、INT. KING HOUSE - DAY,How does Matt react after the conversation with Barb?,Draws a long exasperated breath,"Matt draws a long exasperated breath, as if everything else weren't enough already.",detailed description
2、EXT. HONOLULU - DAY,"In [2、EXT. HONOLULU - DAY], What behavioral state does Matt describe regarding surfing?",Hasn't been on a surfboard in fifteen years,Matt's statement about not having surfed in fifteen years,character states
54、EXT. KING SWIMMING POOL - DAY,What specific action does Sid take when shaking hands with Matt?,Pulls Matt into a man-hug and thumps him on the back,Sid pulls Matt into a man-hug and thumps him on the back,detailed description
11、INT. HOSPITAL STAIRWAY - DAY,What action does Matt take when he forgoes the elevator?,"Trudges upstairs, possibly to squeeze in exercise.",Forgoing the elevator -- perhaps to squeeze in a little exercise -- Matt trudges upstairs.,detailed description
41、EXT. SOCCER FIELD - NIGHT,What does Alexandra exclaim after hearing about her mother?,Fuck Mom!,ALEXANDRA Fuck Mom!,dialogue/beliefs
41、EXT. SOCCER FIELD - NIGHT,What does Alexandra say when she sees her father?,My fucking dad is here!,"ALEXANDRA (laughing, to Emily) My fucking dad is here!",dialogue/beliefs
13、INT. HOSPITAL ROOM - CONTINUOUS,Why does Matt take Scottie's phone?,Because she was lying and texting excessively.,"MATT: Jesus Christ, enough with the goddamn texting! Give me that phone! ... Scottie fights him as he snatches her phone away.",causal/relational queries
