id,scene,question,answer,evidence,qa_type
1,4、INT. CHILTON'S OFFICE - BALTIMORE STATE HOSPITAL FOR THE,"In [4、INT. CHILTON'S OFFICE - BALTIMORE STATE HOSPITAL FOR THE], Why does Clarice try to hide her distaste for Dr. Chilton?",Because he rudely left her standing and made inappropriate remarks.,He has rudely left her standing... I can't ever remember one so attractive...,causal/relational queries
2,6、INT. DIFFERENT CORRIDOR - LOWER FLOOR - DAY,Why did Chilton smile after showing the photo?,"Because Clarice was stopped in her tracks, which pleased him.","Looking at it, she is stopped in her tracks. This pleases Chilton.",causal/relational queries
3,43、INT. BALTIMORE STATE HOSP. FOR THE CRIMINALLY INSANE - DAY,What action does Chilton take with his pen when confronting Clarice?,Points his gold pen at her accusingly,He points his gold pen at her accusingly.,detailed description
4,43、INT. BALTIMORE STATE HOSP. FOR THE CRIMINALLY INSANE - DAY,How does Clarice respond to Chilton's physical contact?,Stares at him with pity and distaste until he lets go,"She stares at him, with pity and distaste, till he lets go.",detailed description
5,45、INT. MR. GUMB'S CELLAR - DAY,What visual details describe the female mannequins in the cellar?,"Some nude, some wearing colorful leather jackets, in various stages of completion","We pass a row of female mannequins, some nude, some wearing colorful leather jackets, designer knockoffs, in various stages of completion",detailed description
6,59、INT. ATTIC CRAWL-SPACE,"In [59、INT. ATTIC CRAWL-SPACE], What is Clarice's behavioral state?",Poking her head through a ceiling hatch and looking around.,"Clarice, lit from underneath, pokes her head through, looking around.",character states
7,5、INT. ASYLUM CORRIDOR - UPPER FLOOR - DAY,"In [5、INT. ASYLUM CORRIDOR - UPPER FLOOR - DAY], What is Clarice's emotional state when the gate shuts?",Clarice is startled or afraid.,Clarice flinches as a heavy steel gate CLANGS shut behind her,character states
8,40、INT. LABORATORY - DAY,What visual detail is observed on the moth's back?,a ghostly human skull between the wing bases,nature's perfect reproduction of a ghostly human skull,detailed description
9,25、INT. HALLWAY - CLASSROOM BUILDING - DAY,"In [25、INT. HALLWAY - CLASSROOM BUILDING - DAY], Why is Clarice going to West Virginia?",A body was found that's a Buffalo Bill-type situation.,Some fishermen in West Virginia found an unidentified girl's body. It's a Buffalo Bill-type situation.,causal/relational queries
10,9、INT. FBI ACADEMY FIRING RANGE - DAY,What caused the target to stop moving?,Clarice's shots hit the target's chest.,"Her shots, tightly grouped, are all finding the center chest. The target stops",causal/relational queries
