id,scene,question,answer,evidence,qa_type
1,"47、INT. APARTMENT, TOKYO - CONTINUOUS","In [47、INT. APARTMENT, TOKYO - CONTINUOUS], What object is spun on the table by Cobb?",PEWTER SPINNING TOP,"Pulls out a PEWTER SPINNING TOP, SPINS it on the table...",objects/props
2,2、INT. SAME - MOMENTS LATER,How is the cone described when the Elderly Japanese Man spins it onto the table?,It CIRCLES gracefully across the polished ebony,"ELDERLY JAPANESE MAN
I know what this is.
He SPINS it onto a table- it CIRCLES gracefully across the polished ebony...",detailed description
3,3、INT. SAME ELEGANT DINING ROOM - NIGHT (YEARS EARLIER),"In [3、INT. SAME ELEGANT DINING ROOM - NIGHT (YEARS EARLIER)], What is Saito's behavioral state when he leaves the table?",Gives a flicker of a smile,Saito gives this a flicker of a smile. Rises,character states
4,27、INT. FILTHY BATHROOM - CONTINUOUS,Why does Cobb fall backwards?,"Nash pushes him, causing him to fall.",Nash puts his hand on Cobb's forehead and PUSHES HIM BACKWARDS- as Cobb starts to FALL BACKWARDS in the chair,causal/relational queries
5,"30、INT. GRAND STAIRCASE, JAPANESE CASTLE - NIGHT",Why is Cobb submerged in water?,Because water exploded through the windows and flooded the hall,"WATER EXPLODES IN THROUGH ALL THE WINDOWS, FLOODING THE ENTIRE HALL",causal/relational queries
6,"23、INT. DINING ROOM, JAPANESE CASTLE - NIGHT","In [23、INT. DINING ROOM, JAPANESE CASTLE - NIGHT], What is Saito's physical condition after the ceiling cracks?",He is crushed by a ton of stone.,CRUSHING HIM,character states
7,26、INT. DILAPIDATED HOTEL ROOM-CONTINUOUS,What action does Saito take to signal silence?,Points a gun to Arthur's head and gestures silence,"Saito with a gun to his head and a finger to his lips, gesturing silence",dialogue/beliefs
8,29、INT. FILTHY BATHROOM - DAY,What action does Cobb perform when he hits the water?,Cobb hits the water in slow motion with his head thrashing as he goes under.,"Cobb in SLOW MOTION, hits the WATER- head THRASHING as he goes under- and we- CUT TO:",detailed description
9,31、INT. FILTHY BATHROOM - DAY,"In [31、INT. FILTHY BATHROOM - DAY], What is Cobb's state when he first appears in the scene?",Awake and gulping air.,"Cobb's AWAKE, GULPING AIR, getting his bearings.",character states
10,2、INT. SAME - MOMENTS LATER,What camera direction is specified for the spinning top scene?,MOVE IN on the GRACEFULLY SPINNING TOP,MOVE IN on the GRACEFULLY SPINNING TOP...,detailed description
11,38、INT. DILAPIDATED HOTEL ROOM-DAY,Why does Saito believe he is still dreaming?,Because he is not lying on his carpet in his apartment,"Which means I'm not lying on my carpet, in my apartment... You've lived up to your reputation, Mr. Cobb... I'm still dreaming.",causal/relational queries
12,50、INT. HELICOPTER ON PAD - CONTINUOUS,Why does Saito's bodyguard offer Cobb a gun?,Because Nash sold them out.,He sold you out. Thought to come to me and bargain for his life...,causal/relational queries
13,50、INT. HELICOPTER ON PAD - CONTINUOUS,Why does Saito offer Cobb the information?,To exchange it for Inception.,"In exchange, I'll give you the information you were paid to steal.",causal/relational queries
14,34、INT. DILAPIDATED HOTEL ROOM - DAY,What did Saito call the encounter?,An audition,SAITO: An audition.,dialogue/beliefs
15,48、INT. CORRIDOR - CONTINUOUS,What does Arthur do after Cobb mentions Buenos Aires?,"Arthur looks at Cobb, nods, and shows sympathy.",Arthur looks at Cobb. Nods. Sympathetic.,detailed description
16,"16、INT. DINING ROOM, JAPANESE CASTLE - CONTINUOUS","In [16、INT. DINING ROOM, JAPANESE CASTLE - CONTINUOUS], What is Saito's emotional state?",Panic,Saito and the Guards PANIC,character states
17,25、INT. FILTHY BATHROOM - CONTINUOUS,What does Nash say about Cobb?,He won't wake!,NASH: He won't wake!,dialogue/beliefs
18,53、INT. PRIVATE JET - LATER,How is Arthur behaving while eating?,"Picks at a salad, angry","Arthur picks at a salad, angry.",detailed description
19,35、INT. BULLET TRAIN COMPARTMENT - DAY,When does Todashi hit play on the MP3 player?,When the first countdown reaches 30,"Todashi waits for the first countdown to hit '30,' then HITS PLAY on the MP3 player",temporal references
20,"13、INT. DINING ROOM, JAPANESE CASTLE - CONTINUOUS","In [13、INT. DINING ROOM, JAPANESE CASTLE - CONTINUOUS], Where is the safe located?",Behind a painting in the room,"Cobb moves to a PAINTING. With practiced hands he removes it from the wall, revealing a SAFE.",scene localization
21,43、INT. BULLET TRAIN COMPARTMENT - DAY,What does Cobb do to Saito's wrist?,Rips the tape off and rolls up his tubes.,"Cobb RIPS the tape off Saito's wrist, ROLLS up his tubes.",detailed description
22,66、INT. WORKSHOP - CONTINUOUS,"In [66、INT. WORKSHOP - CONTINUOUS], What is Ariadne's emotional state?",Puzzled,"Ariadne looks at Arthur, puzzled.",character states
23,20、INT. DILAPIDATED HOTEL ROOM - DAY,What does Arthur say about his ability to complete the task?,I'm not going to make it!,I'm not going to make it! Wake Cobb!,dialogue/beliefs
24,"47、INT. APARTMENT, TOKYO - CONTINUOUS",What does Cobb state about his apology to Arthur?,Cobb states that he will only offer one apology.,Cobb tells him he will only offer one apology.,character states
25,27、INT. FILTHY BATHROOM - CONTINUOUS | 42、INT. DILAPIDATED HOTEL ROOM - DAY,What does Nash state after Cobb disappears?,Nash states that they are in his dream.,"After Cobb disappears, Saito turns to Nash, who calmly states, 'We're in mine.'",character states
26,"18、INT. DINING ROOM, JAPANESE CASTLE - CONTINUOUS | 16、INT. DINING ROOM, JAPANESE CASTLE - CONTINUOUS",Why does Saito order the guards to stop Mal?,"Saito orders the guards to stop Mal because he discovers that the papers in the envelope are blank, indicating that Mal may have deceived him or taken something important.","Saito rips open the envelope and pulls out several sheets of paper. He looks at Mal, his expression panicked. He turns to the guards and shouts, 'Stop him!' Mal glances at the papers, sees they are blank, and smiles, visibly amused.",causal/relational queries
27,"47、INT. APARTMENT, TOKYO - CONTINUOUS | 50、INT. HELICOPTER ON PAD - CONTINUOUS",Why does Cobb refuse Saito's initial offer to perform inception?,"Cobb refuses because he does not want to accept the responsibility or risk associated with attempting to plant an idea, even though he believes it is possible.","When Saito asks if he can do it, Cobb refuses. Saito offers the stolen information as payment. Cobb asks if he is being given a choice. Saito says he is. Cobb chooses to leave.",causal/relational queries
28,"47、INT. APARTMENT, TOKYO - CONTINUOUS | 48、INT. CORRIDOR - CONTINUOUS",Where does Cobb say he is going after leaving?,Cobb says he is heading to Buenos Aires to lie low and maybe find work when things quiet down.,Cobb says he’s heading to Buenos Aires to lie low and maybe find work when things quiet down.,character states
29,"1、INT. ELEGANT DINING ROOM, JAPANESE CASTLE - LATER | 2、INT. SAME - MOMENTS LATER",What does the elderly Japanese man state about the man he once met?,He recalls that the man was known for radical ideas.,"He speaks softly, recalling a man he once met in a distant, dreamlike encounter—a man known for radical ideas.",character states
30,"34、INT. DILAPIDATED HOTEL ROOM - DAY | 47、INT. APARTMENT, TOKYO - CONTINUOUS",What does Cobb state about the mission's status when deciding to leave without Nash?,Cobb states that the mission has failed and that Cobol Engineering already knows they failed because their delivery was due two hours ago.,"Cobb says they were supposed to deliver Saito's expansion plans to Cobol Engineering two hours ago and that by now, they know the mission has failed.",character states
31,"36、INT. DILAPIDATED HOTEL ROOM - DAY | 40、INT. DILAPIDATED HOTEL ROOM - DAY | 47、INT. APARTMENT, TOKYO - CONTINUOUS",What does Saito state about the material of the carpet?,Saito states that the carpet is polyester.,"He comments on how he's always hated it—stained, frayed, and supposedly wool. Then he corrects himself: it's polyester.",character states
32,"8、EXT. JAPANESE CASTLE WALL - CONTINUOUS | 47、INT. APARTMENT, TOKYO - CONTINUOUS | 50、INT. HELICOPTER ON PAD - CONTINUOUS | 7、INT. BEDROOM SUITE, JAPANESE CASTLE - MOMENTS LATER",What happens after Cobb stops at the window with a glass cutter?,"Cobb starts to fall, dropping away from the window and losing his grip on the wall.","Without warning, he starts to fall, dropping away from the window and losing his grip on the wall.",temporal references
33,"47、INT. APARTMENT, TOKYO - CONTINUOUS | 50、INT. HELICOPTER ON PAD - CONTINUOUS | 7、INT. BEDROOM SUITE, JAPANESE CASTLE - MOMENTS LATER",What does Cobb state about his apology to Arthur?,Cobb states that he will only offer one apology.,Cobb tells him he will only offer one apology and asks where Nash is.,character states
34,"34、INT. DILAPIDATED HOTEL ROOM - DAY | 40、INT. DILAPIDATED HOTEL ROOM - DAY | 47、INT. APARTMENT, TOKYO - CONTINUOUS | 50、INT. HELICOPTER ON PAD - CONTINUOUS | 7、INT. BEDROOM SUITE, JAPANESE CASTLE - MOMENTS LATER",What does Cobb state about offering apologies after the mission fails?,Cobb states that he will only offer one apology.,Cobb tells Arthur he will only offer one apology.,character states
35,"1、INT. ELEGANT DINING ROOM, JAPANESE CASTLE - LATER | 2、INT. SAME - MOMENTS LATER",What does the elderly Japanese man recall while watching the spinning top?,"He recalls a man he once met in a distant, dreamlike encounter who was known for radical ideas.","He speaks softly, recalling a man he once met in a distant, dreamlike encounter—a man known for radical ideas.",character states
36,"50、INT. HELICOPTER ON PAD - CONTINUOUS | 3、INT. SAME ELEGANT DINING ROOM - NIGHT (YEARS EARLIER) | 47、INT. APARTMENT, TOKYO - CONTINUOUS",When did Cobb and Arthur realize their mission had failed?,Cobb and Arthur realized their mission had failed two hours after their delivery was due.,Cobb states their delivery was due two hours ago and that Cobol Engineering now knows they failed.,temporal references
37,"47、INT. APARTMENT, TOKYO - CONTINUOUS | 50、INT. HELICOPTER ON PAD - CONTINUOUS",What does Cobb state about his ability to return home during the phone call with his children?,Cobb states that he cannot return home yet because he is still working.,"He tells them he can’t return yet, explaining again that he’s working.",character states
38,31、INT. FILTHY BATHROOM - DAY | 42、INT. DILAPIDATED HOTEL ROOM - DAY,What happens to the room after the rioters enter and find it empty?,"The music stops, the light dims and fades, and the room becomes silent with Saito standing amidst the motionless rioters.","The music cuts out abruptly. The light dims, fading steadily, until only silence remains. Saito stands amidst the darkness, the rioters motionless around him.",temporal references
