scene,question,answer,evidence,qa_type
63 BACK IN CAMP 63,"In [63 BACK IN CAMP 63], What does Tuvia mean by 'We are not thieves. Or murderers. We may be hunted like animals but we will not become animals.'?",They will survive without losing their humanity or moral principles.,We are not thieves. Or murderers. We may be hunted like animals but we will not become animals.,dialogue/beliefs
4 THE VILLAGE OF NALIBOKI 4,"In [4 THE VILLAGE OF NALIBOKI 4], What are Einsatzgruppen as mentioned in the passage?",Mobile killing squads assisted by local police in rounding up Jews.,"German Einsatzgruppen, mobile killing squads, round up Jews.",terminology/abbreviation/concept
5 TWO MEN HIDE IN THE NEARBY WOODS (ZUS & ASAEL BIELSKI) 5,What emotions are visible on the characters' faces in the scene?,"Impotent rage, terrible fear, overwhelming grief, and secret relief.","We study their faces: a turbulent portrait of impotent rage, terrible fear, overwhelming grief, and secret relief.",character states
26 IN THE LOFT 26,What is Tuvia's emotional state when listening to the talk about his parents' death?,Distressed and pained by the casual discussion of his parents' death.,Tuvia listens to this casual talk of his parent's death.,character states
8 A MODEST MILL - LATER THAT DAY 8,What does Asael's utterance suggest about his relationship to the person he addresses?,"Asael refers to the person as 'Papa,' indicating a father-child relationship.","Asael says, 'Papa-- Gottenyu...'",dialogue/beliefs
13 LATER - THE NALIBOCKI FOREST - A LOAF OF STALE BREAD 13,What is Asael's emotional attitude toward his older brother Tuvia?,Asael worships his big brother.,Asael worships his big brother.,character states
7 A BOURGEOIS APARTMENT -- DAY 7,What does Rifka suggest she and Tuvia can do to avoid the ghetto?,Get false papers and pass as gentiles.,RIFKA: I can get false papers and pass as a gentile. So can you.,dialogue/beliefs
14 POURING RAIN - A NEW HIDE-OUT (CAMP #1) 14,What does Zus's dialogue reveal about his current behavioral state?,"Defiant and aggressive, willing to steal and confront authority.",ZUS: Fuck the dogs. We...Take...It. I have run from the police my whole life.,character states
30 A FOREST TRAIL - DAY 30,Why does Shimon say his resolve has been shaken?,Because recent events have challenged his certainty about teaching the right way to live.,"My whole life I presumed to teach others the right way to live. I had no doubt: this is God's way, this isn't. You'll forgive me if recent events have somewhat shaken my resolve.",dialogue/beliefs
30 A FOREST TRAIL - DAY 30,What causes Tuvia to invite Shimon to join the followers?,Shimon's admission of doubt and vulnerability moves Tuvia to offer him companionship and inclusion.,"Tuvia touches Shimon and says, 'Teacher...Come... Come,' then gestures to the followers and says, 'Please.'",causal/relational queries
37 A FOREST TRAIL - STILL RAINING 37,What emotional state is Tuvia in when he speaks to the Lord?,Guilt-ridden and seeking forgiveness for having killed.,"Tuvia says, 'Lord of the universe, forgive me, I have murdered -- but they were monsters and did not deserve to live.'",character states
1 NEW YORK CITY - PARK AVENUE - NIGHT - 1982 1,Why does the elderly man stare at the cabby's hack license?,He recognizes the last name 'Bielski' and seems to have a past connection with the cabby.,"The elderly man stares at the cabby's hack license with the last name 'Bielski' and says, 'Can it be? Bielski. Can it possibly be?'",causal/relational queries
1 NEW YORK CITY - PARK AVENUE - NIGHT - 1982 1,What is the relationship between the elderly man's reaction and the cabby's response?,"The cabby avoids eye contact at first, then looks back, suggesting shared recognition or a hidden history.","After the elderly man asks if the cabby is Bielski, the cabby looks away and then back, indicating a mutual, unspoken recognition.",causal/relational queries
42 MOMENTS LATER - JUST OUTSIDE OF CAMP -- 42,How does Tuvia feel about becoming like their enemies?,He is strongly opposed and fearful.,TUVIA: We cannot become...like them.,character states
41 LATER - BY THE FIRE 41,What is Zus's emotional state when he speaks about killing Germans?,"Determined and intense, as shown by his bloodied face and challenging statement.","They stare up at him, his face a mask of blood and filth. ZUS (CONT'D) We will kill all the Germans you can handle. Starting tonight. If you're not afraid to use that rifle.",character states
40A ANOTHER DAY (CAMP #1) 40A,What emotional state is Zus in after learning about his family?,He is overwhelmed with grief and sobs uncontrollably.,Zus's shoulders begin to heave. Soon his body convulses with deep wracking sobs. He is absolutely unself-conscious in his grief.,character states
51 IN THE DITCH - ZUS 51,What physical action does Zus take immediately after leaping up in the ditch?,Brandishes the knife and stabs the Sergeant.,"ZUS LEAPS UP brandishing the KNIFE. He's on the Sergeant before he can get the gun off his shoulder. Stabbing him through his greatcoat, the BLADE BREAKS OFF IN HIS HAND.",detailed description
62 THE FOREST CAMP - DAWN 62,What does Shimon quote from the Talmud to Tuvia about saving a life?,"If you save a life, you must take responsibility for it.","SHIMON
The Talmud says if you save a life
you must take responsibility for
it.",dialogue/beliefs
62 THE FOREST CAMP - DAWN 62,What does Zus believe should happen to Lazar for letting Ben Zion pass undetected?,He should be shot if they were real partisans.,"ZUS
If we were real partisans he'd be
shot.",dialogue/beliefs
70 A FOREST TRAIL 70,Why does Zus offer to teach Bella how to swim?,Because Bella says she cannot swim and Chaya saved her from a bog.,Bella says she can't swim at all and Chaya saved her from a bog; Zus responds by offering to teach her.,causal/relational queries
101B BACK TO TUVIA ON HORSEBACK 101B,What does Tuvia claim the rifle represents?,Bar Kochba's spear and Ehud's sword.,This is not a gun. It is Bar Kochba's spear. It is Ehud's sword.,dialogue/beliefs
119 IN THE TRUCK (TRAVELING) 119,What does 'malbushim' refer to in the context of the dialogue?,People who live because fighters die to protect them.,"Fighters die so that malbushim may live, that's what you believe, yes?",terminology/abbreviation/concept
117 INTERCUT - FLASHES OF WHAT IS HAPPENING INSIDE... 117,What sequence of actions occurs immediately after the policeman shoots Krensky?,Ben Zion whirls and kills the policeman who shot Krensky.,Ben Zion whirls and kills him.,detailed description
109E A STABLE - NIGHT 109E,"What does Zus believe Jews are good at, according to his statement?",Dying.,"ZUS: 'A Jew can't drink, a Jew can't fight.' What is it we are good at, Viktor? Dying. That is what we are good at.",dialogue/beliefs
109E A STABLE - NIGHT 109E,"In [109E A STABLE - NIGHT 109E], What does Zus call Tuvia Bielski when referring to him?","The Great Tuvia Bielski, Savior of the Jews and all around Big Shit.",ZUS: I know who you mean... The Great Tuvia Bielski. Savior of the Jews and all around Big Shit.,dialogue/beliefs
120 A MOURNER'S CIRCLE IN THE TREES 120,How does Shimon describe the group's emotional and physical state during his speech?,"They have no more prayers, tears, or blood left.","We have no more prayers, no more tears. We have run out of blood.",character states
120 A MOURNER'S CIRCLE IN THE TREES 120,What does Shimon ask God to do regarding the group's holiness?,Take back the gift of their holiness.,Grant us but one more blessing -- Take back the gift of our holiness.,dialogue/beliefs
"137 A GERMAN SS SCOUT, HANDS TIED BEHIND HIS BACK 137",What does 'Passover' refer to in the context of the documents found on the German courier?,The day the assault on the forest is set to begin.,Assault begins in two days. Passover. How fitting.,terminology/abbreviation/concept
151 AT THE ENTRY WAY TO A ZEMYLANKA 151,What does Malbin shout to make the group start moving?,The Cossacks are coming!,"MALBIN (CONT'D)

          THE COSSACKS ARE COMING!",dialogue/beliefs
123A INT. PANCHENKO'S TENT -- MOMENTS LATER 123A,Why does Zus confront Gramov and the others in the scene?,Because Gramov beat Comrade Lova for being Jewish.,"Zus reports that Gramov beat Comrade Lova for no reason, and Gramov states the reason was that Lova is a Jew.",causal/relational queries
123A INT. PANCHENKO'S TENT -- MOMENTS LATER 123A,What causes Panchenko to reprimand Gramov during the conversation?,"Zus states that anti-semitism violates Party discipline, prompting Panchenko to demand an apology.","After Zus declares anti-semitism a violation of Party discipline, Panchenko tells Gramov to apologize to Lova.",causal/relational queries
122A IN HIS ZEMYLANKA - LATER 122A,What does Tuvia express about the people around him while he is sick?,He says they look at him with pasty faces and should starve since they're all going to die anyway.,"TUVIA
...the way they look at me... with
their pasty faces. Let them starve,
we're all going to die out here
anyway.",dialogue/beliefs
122A IN HIS ZEMYLANKA - LATER 122A,What does Shimon believe about leaders in society?,"He believes society cannot function without leaders and that without them, people falter.","SHIMON
But what is society
without leaders. Without leaders,
we falter.",dialogue/beliefs
131 THE SUNSHINE IS WARM 131,Why does Tamara refuse to bathe with the other women?,She is pregnant and does not want others to find out.,Tamara says she can't join because she's pregnant and has kept it hidden.,causal/relational queries
131 THE SUNSHINE IS WARM 131,What causes Tamara to feel afraid of Tuvia finding out about her pregnancy?,"She was raped by a man who pretended to be a Partisan, and fears Tuvia's reaction.",Tamara reveals she was assaulted while escaping and is terrified of Tuvia discovering the truth.,causal/relational queries
140 VIKTOR AND TUVIA 140,What does Viktor unfold from his pocket to show Tuvia?,A paper flyer with a wanted poster offering fifty thousand marks for Tuvia's capture.,Viktor unfolds a paper flyer from his pocket... The Germans are offering fifty thousand marks for information leading to your capture.,objects/props
141 LATER - A SPOTTER PLANE BUZZES HIGH ABOVE - HUNTING 141,What does Viktor say is the reason for the sacrifice of Tuvia's camp?,So we can keep fighting. Everyone must sacrifice in the struggle.,VIKTOR: No. So we can keep fighting. Everyone must sacrifice in the struggle.,dialogue/beliefs
141 LATER - A SPOTTER PLANE BUZZES HIGH ABOVE - HUNTING 141,What does Viktor call Zus's concern for his brothers and what does he label it as?,He calls it Jewish sentimentality and labels it as counter-revolutionary.,"Your Jewish sentimentality is heart-warming, but counter-revolutionary.",dialogue/beliefs
150 IN REAL TIME -- THE CAMP IS BEING TORN APART 150,What does Tuvia say when Malbin asks him if he is alright?,MUST...GO! THE GERMANS...COMING...!,"TUVIA
MUST...GO!
...
THE GERMANS...COMING...!",dialogue/beliefs
139 VIKTOR AND ZUS 139,What does Zus whisper to Asael when embracing him?,Hide this. Wolnicky stores ammunition for us in his barn. There's no guard.,"ZUS (CONT'D)

          (WHISPERING)
          Hide this.
          (shoves a revolver
          into his pocket)
          Wolnicky stores ammunition for us
          in his barn. There's no guard.",dialogue/beliefs
135 OUTSIDE THE BUNKER 135,What does Lilka believe is the best way to hold onto humanity in a world of suffering and death?,Bringing a new life into the world is the best way to hold onto humanity.,"Lilka says, 'What better way than by bringing a life into this world of suffering and death. It's our only hope.'",dialogue/beliefs
142 THE SPOTTER PLANE -- FLIES OVER THE BIELSKI CAMP 142,What does Shimon say about the children of Israel and Moses during his dialogue?,The children of Israel were afraid to leave Egypt until Moses told them to trust in God.,"SHIMON
...but the children of Israel were
afraid to leave Egypt. Until Moses
said, 'Do not trust in me, trust in
God.' He will take care of you'",dialogue/beliefs
156 MOMENTS LATER -- THE DEFENDERS WAIT ANXIOUSLY 156,What is the immediate effect of the fusillade from the woods?,Rosa falls dead immediately after the fusillade begins.,SUDDENLY -- A FUSILLADE from the woods. Rosa falls dead.,causal/relational queries
160 BACK AT THE CAMP 160,What is Miriam's physical condition after she is hit?,She is dying but continues firing.,"Then she is hit. She keeps firing anyway, her finger locked on the trigger even as she is dying.",character states
162 A RISE REVEALS THE IMMENSITY OF THE KRASNAYA GORKA SWAMP 162,What is Tuvia's emotional state when he sinks to his knees?,"He is overwhelmed and unable to speak, showing helplessness and despair.",Tuvia sinks to his knees as if his legs can no longer bear his weight. Tuvia can't speak. He has no more answers. Nothing to say.,character states
162 A RISE REVEALS THE IMMENSITY OF THE KRASNAYA GORKA SWAMP 162,How does Asael's behavior toward Tuvia reflect his role in the group?,"Asael shows determination and leadership, urging Tuvia to act and inspiring the group.","Asael meets Tuvia's eyes, willing his older brother to be strong. He declares, 'Nothing is impossible!' and organizes the group into a human chain.",causal/relational queries
172 A SQUAD OF GERMAN INFANTRY ADVANCES 172,"In [172 A SQUAD OF GERMAN INFANTRY ADVANCES 172], What is Malbin's physical condition after he is cut down by the tank's fire?",Malbin is dead after being cut down by enemy fire.,Malbin is cut down.,character states
