scene,question,answer,evidence,qa_type
19、EXT. THE SANDLOT - DAY,"In [19、EXT. THE SANDLOT - DAY], What emotional state does Scotty experience when the ball approaches him?",Frozen stiff and scared shitless.,"tracks it, frozen stiff. Scared shitless.",character states
59、EXT. PUBLIC POOL - DAY,Why did the gang tolerate going to the pool?,They lied about seeing Playboy magazines and considered it the next best thing.,We figured the pool was the next best thing to being there.,causal/relational queries
54、INT. TREE HOUSE - NIGHT,Why does something that goes over the fence stay there?,It becomes the property of The Beast forever.,HAM: 'Whatever goes over that fence... stays there.' SQUINTS: 'It becomes the property of The Beast... Forever.',causal/relational queries
51、EXT. MR. MERTLE'S FRONT PORCH - DAY,Why does the policeman mouth 'F-O-R-E-V-E-R'?,Because the V.O. says 'They said... until forever.',"A POLICEMAN 'mouths' the word, 'F-O-R-E-V-E-R.' SQUINTS (V.O.) They said... until forever.",causal/relational queries
20、EXT. THE BLOCK - DUSK,"In [20、EXT. THE BLOCK - DUSK], What decision did Benny make regarding team play?",He refused to play if they couldn't stay together,"Benny told 'em that if they couldn't play together, they shouldn't play at all.",character states
8、EXT. THE BLOCK - DUSK,"In [8、EXT. THE BLOCK - DUSK], What emotional state does the narrator feel toward the Timmons twins' tree house?",Envy.,Even before I knew any of them I envied that tree house...,character states
30、EXT. SCOTTY'S HOUSE - DAY,"In [30、EXT. SCOTTY'S HOUSE - DAY], What is Scotty's emotional state when he sits on the porch?",Pitiful and forlorn,Scotty emerges. Sits on the porch. Pitiful and forlorn.,character states
59、EXT. PUBLIC POOL - DAY,Why did Squints push through the crowd?,Because he couldn't take the lifeguard's oiling and smiling.,Squints: 'I've swum here every summer... lotioning... oiling... smiling. I can't take this no more!',causal/relational queries
7、EXT. THE SANDLOT - DAY,What does HAM say about the duration of their baseball season?,"Fifth grade's history, man. A hundred days of baseball.","HAM: Fifth grade's history, man. A hundred days, man. A Hundred days of baseball.",dialogue/beliefs
33、EXT. REAR OF FIVE & DIME - DAY,How does the gang react when Scotty misidentifies Ham?,"They go silent, spit, and show disapproval",The gang goes SILENT. They spit - they're tough. Scotty dribbles - he's wimpy,detailed description
62、EXT. SANDLOT - SUNSET,What does 'magic hour' refer to in the passage?,"The time of day with soft, golden light.",The Guys play in magic hour.,terminology/abbreviation/concept
21、EXT./INT. BENNY'S ROOM - NIGHT,"In [21、EXT./INT. BENNY'S ROOM - NIGHT], What is Benny doing at the window?",Clutching a baseball and staring at Scotty's house,"Benny's at the window, clutching a baseball, staring over at Scotty's house.",character states
24、INT. SCOTTY'S HOUSE - DINING ROOM - DAY,"In [24、INT. SCOTTY'S HOUSE - DINING ROOM - DAY], What is Scotty's emotional state after his mother intervenes?",Embarrassed,Scotty's been 'Mom-embarrassed.',character states
34、EXT. SANDLOT - DAY,What action does Scotty perform when the ball is hit?,Raises the glove and skippers around as if tracking a falling leaf.,"Scotty who raises the glove, and skippers around, as if he were tracking a falling leaf.",detailed description
3、EXT. ELEMENTARY SCHOOL - DRINKING FOUNTAIN - DAY,What does Benny say when Ham asks to switch spigots?,Do I look stupid?,BENNY Do I look stupid?,dialogue/beliefs
25、EXT. SCOTTY'S HOUSE - BACKYARD - DAY,"In [25、EXT. SCOTTY'S HOUSE - BACKYARD - DAY], What is Bill's emotional state when Scotty repeatedly misses the ball?",Disbelief,"BILL (DISBELIEF) Oh, my God.",character states
58、EXT. SANDLOT - LATER,When do the brothers decide to call the day off?,After they look at each other on the miscue,"SQUINTS Face it, Benny. It's not a fit day out for man nor beast. We gotta call it for the day.",temporal references
33、EXT. REAR OF FIVE & DIME - DAY,What does Ham do when he imitates Babe?,Chomps on a candy cigar and does a Babe imitation,Ham's chompin' on a candy cigar doing a BABE IMITATION,detailed description
62、EXT. SANDLOT - SUNSET,"In [62、EXT. SANDLOT - SUNSET], What is a 'MATCH DISSOLVE TO' in film terminology?",A scene transition technique blending two shots.,MATCH DISSOLVE TO:,terminology/abbreviation/concept
22、INT. SCOTTY'S HOUSE - DINING ROOM - DAY,"In [22、INT. SCOTTY'S HOUSE - DINING ROOM - DAY], What is Bill's behavioral state while at the table?",Sifting through paperwork,Bill sifting through mounds of paperwork.,character states
32、INT. FIVE & DIME - DAY,What does Benny grab from the soda fountain counter?,A new baseball and a handful of bazooka,"Benny grabs a new baseball on the stride, and handful of bazooka from a jar on the soda fountain counter",detailed description
3、EXT. ELEMENTARY SCHOOL - DRINKING FOUNTAIN - DAY,What does Ham say when he receives the pee from the spigot?,"Great, I'm dyin' a thirst and you pee me out!","HAM Great, I'm dyin' a thirst and you pee me out!",dialogue/beliefs
