scene,question,answer,evidence,qa_type
18. 小树林，夜，外,"在[18. 小树林，夜，外]中, 武月对严守一的行为表现出什么状态？",持续亲昵纠缠,武月继续咬着，吻着严守一。,character states
30. 卧室，夜，内,严守一脱下内衣后，于文娟有何反应？,于文娟脸上一阵难过，差点哭出来。,于文娟脸上一阵难过，差点哭出来。,detailed description
30. 卧室，夜，内,严守一脱下内衣后，于文娟看到了什么？,肩背上留着上下牙齿咬过的印痕。,严守一肩背上赫然留着上下牙齿咬过的印痕。,detailed description
73. 518房间，日，内,"在[73. 518房间，日，内]中, 严守一的当前状态如何？",疲惫且情绪低落,揉了揉眼睛，呆住了,character states
76. 严守一家，日，内,"在[76. 严守一家，日，内]中, 沈雪在对话中表现出什么情绪？",自责和愤怒,我想了一宿，我就是个傻子……你心里有鬼。,character states
60. 洗脚屋，夜，内,严守一为什么不接听电话？,认为是记者，不想给自己找事,肯定又是记者，甭给自己找事了,causal/relational queries
52. 育婴房，日，内,严守一如何评价文娟的隐瞒？,她是在惩罚我,严守一说：唉，她是在惩罚我,dialogue/beliefs
57. 严守一家，日，内,沈雪对严守一说了什么？,你是个骗子,你是个骗子！,dialogue/beliefs
53. 病房，日，内,费墨为什么给儿子起名严实？,因为想表达孩子长得结实且长大后实实在在。,费墨：文娟啊，我给娃儿起了个名字，不晓得中不中你的意？是个儿子嘛，就叫他严实。哎，不是那个石头的石，取个谐音，一是说娃儿长得结实，二是说娃儿长大了以后，实实在在。,causal/relational queries
62. 严守一家，夜，内,严守一为什么背着沈雪打电话？,处心积虑证明在乎她。,处心积虑证明在乎你。,causal/relational queries
65. 公路上，夜，外,沈雪为什么怀疑严守一？,认为严守一旧情复发，与他人预谋,你老是这么疑神疑鬼的，我都不敢说真话啊,causal/relational queries
50. 大门口，夜，外,"在[50. 大门口，夜，外]中, 沈雪的情绪状态如何？",沉默且严肃,沈雪挪着步子不说话,character states
62. 严守一家，夜，内,沈雪为什么质疑严守一的手机设置？,因为怀疑他有事瞒着她。,你今儿洗脚的时候，手机好好的干嘛改振动啊？有事瞒着我吧？,causal/relational queries
13. 严守一家，日，内,"在[13. 严守一家，日，内]中, 严守一在听到武月电话时的情绪状态如何？",惊讶,看到武月打过电话，禁不住“哎呦”叫出了声。,character states
31. 市立戏剧学院大门内，日，外,沈雪如何回应严守一未到场？,用点名册打了两下他的头,沈雪笑着走到严守一跟前，用点名册打了两下严守一的头,detailed description
61. 严守一家，夜，内,严守一为何手机掉在地上？,沈雪闯入厕所导致他慌张,沈雪忽然闯进厕所，严守一慌的手机也掉在地上,causal/relational queries
73. 518房间，日，内,"在[73. 518房间，日，内]中, 武月在对话中表现出什么情绪？",哽咽和流泪,眼泪掉了下来（哽咽中）,character states
29. 严守一家，夜，内,于文娟在严守一说话后做了什么？,按了下遥控器，站起来，向严守一走去。,于文娟按了下遥控器，站起来，向严守一走去。,detailed description
53. 病房，日，内,严守一为什么把手机24小时开机？,以便于文娟和孩子能随时找到他。,严守一：你和孩子有什么事，随时能找到我（把手机放到了于文娟面前），从今天起，我这手机，二十四小时都为你开着。,causal/relational queries
59. 小岛，日，外,严守一在节目中讨论的话题是什么？,人该不该撒谎。,电视里的严守一：大家晚上好，这里是有一说一，我是严守一。 （武月站起来把门关上）我们今天讨论的话题是：人该不该撒谎。,dialogue/beliefs
41. 路上，日，外,费墨对沈雪说了什么？,这枣吃下去，责任很大。,费墨对沈雪说，这枣吃下去，责任很大。,dialogue/beliefs
13. 严守一家，日，内,"在[13. 严守一家，日，内]中, 于文娟对严守一的提醒表现出什么态度？",关心,于文娟从厨房出来：把手机忘了吧？,character states
