scene,question,answer,evidence,qa_type
53、EXT. PAUL'S HOUSE - SUNSET,Why does Paul prevent Margaret from opening the door?,To prevent her from exiting due to her distress,Paul grabs the door handle to keep Margaret from opening it,causal/relational queries
59、INT. BARNELL HOME / STUDY - EVENING,What causes Paul to mention the cruise as a memory of happiness?,To comfort Margaret by reminding her of a happier time.,Paul mentions the cruise: 'I saw you. You were happy.',causal/relational queries
59、INT. BARNELL HOME / STUDY - EVENING,Why does Margaret start crying after receiving the HMO letter?,The letter's content about her health issues caused her breakdown.,"Margaret starts to CRY, holding the letter up to her face the SOBS building to a full blown breakdown.",causal/relational queries
50、EXT. BOTTOM OF RIDGE - DAY,What caused the police to track Paul through his brother's ID?,An anonymous phone tip from a Jamaican guy,Anonymous phone tip from some Jamaican guy. Said he saw what looked like a body. We tracked you through his ID.,causal/relational queries
54、INT. BRANCH'S OFFICE - DAY,Why does Cam hustle Ted toward the door?,To prevent him from getting into trouble,"Cam, seeing his partner is about to get himself into a heap of trouble, hustles him toward the door.",causal/relational queries
54、INT. BRANCH'S OFFICE - DAY,Why does Branch say they have no case if the police say the guy was eaten by wolves?,The police's statement invalidates their case,"if the police say this guy was... Eaten by wolves, then we've got no case.",causal/relational queries
7、INT. INSIDE A TRASH DUMPSTER - NIGHT,Why did the second man pull the first man away?,To prevent discovery by approaching sirens.,"SIRENS closer. A second man looks in, then pulls the first man away.",causal/relational queries
7、INT. INSIDE A TRASH DUMPSTER - NIGHT,What caused the lid to drop after the men left?,The action of the second man pulling the first away.,"A second man looks in, then pulls the first man away. The lid drops.",causal/relational queries
28、EXT. TOP OF THE HILL - CONTINUOUS,"In [28、EXT. TOP OF THE HILL - CONTINUOUS], What emotional state does the nephew display when his toy is taken?",Desperate to retrieve his toy.,"NEPHEW
Leggo... it's mine. Uncle Gary!",character states
6、EXT. TRASH DUMPSTER - NIGHT,What happens immediately after the street lamp buzzes to life?,The man checks to ensure he's alone,"Night time now, as a street lamp BUZZES to life. A middle aged MAN... checks to make sure he's alone",temporal references
6、EXT. TRASH DUMPSTER - NIGHT,When does the man check to ensure he's alone?,After the lid reopens and before balancing the mini-bar fridge,"He gently lowers the lid, opens it again a moment later",temporal references
1、EXT. ROAD - WINTER DAY,What describes the police car's visibility?,Intermittently visible through blowing snow,"A police car, nothing more than a speck on the landscape, is intermittently visible through the blowing snow.",detailed description
9、EXT. CITY STREET - DAY,When does Howard realize Ted is taping him?,After he pulls off his mitt to shake hands and sees the camera,"HOWARD (cont'd) More than I could normally afford, I'll tell ya. (seeing the camera) Hey! What do you think you're you doing?",temporal references
