scene,question,answer,evidence,qa_type
65、EXT. BANK - NIGHT,Why couldn't the police shoot the group emerging from the bank?,"The group was shielded by hostages and drapes, making it impossible to target without risking harm to civilians.",The girls were completely protected on all sides by hostages... drapes from the bank that further prevent the police from drawing a clear head on Sonny or Sal without hitting a girl.,causal/relational queries
36、INT. BARBERSHOP,Why did Moretti walk over to the phone?,To take the receiver after being informed by the cop.,"Moretti walks over to phone, takes receiver from cop.",causal/relational queries
60、EXT. BANK - NIGHT,Why did Vi contact the FBI?,To get Sonny out of the situation by informing them of his background.,"VI: 'I talked to the FBI, I told them about you...'",causal/relational queries
60、EXT. BANK - NIGHT,What caused Sonny to want to leave with Sal?,To avoid the police and the situation they're in.,SONNY: 'We can't stay here.',causal/relational queries
65、EXT. BANK - NIGHT,What caused the group to hesitate and stumble after exiting the bank?,"Sonny couldn't see well, and the hostages were uncertain about their direction due to lack of briefing.","Sonny can't see well enough to go direct to the car... the girls are uncertain which direction to go in, not having been briefed.",causal/relational queries
15、INT. VI'S APARTMENT - DAY,"In [15、INT. VI'S APARTMENT - DAY], Where is Vi when the Fat Woman enters?","In a small, jammed room with sentimental items and cheap furniture","Small, jammed with little things of sentimental value and cheap furniture, clean, but well-worn.",scene localization
42、INT. BANK - NIGHT (APPROX. 8 P.M.),When do Sonny and SAL hear Moretti's voice?,After the phones are dead and they rush to the front,They hear Moretti's voice over a bull-horn outside after Sonny finds the phones dead,temporal references
53、EXT. BANK - NIGHT,Why did Sonny rush outside?,Because the manager was diabetic and in bad condition.,"Sonny rushes outside. SONNY Hey! Is there a doctor over there? ... SHELDON What's wrong? SONNY The manager, he's diabetic, he's lookin' bad.",causal/relational queries
53、EXT. BANK - NIGHT,Why did Sonny dump the contents of the doctor's black bag?,To look for weapons.,Sonny then dumps contents of his Black Bag and looks for weapons.,causal/relational queries
19、EXT. ROCKAWAY BEACH - DAY,"In [19、EXT. ROCKAWAY BEACH - DAY], What is Heidi's emotional state as she reacts to the radio?",Panicked and hyperactive,"She is a one woman panic: she hustles away across the broiling sand carrying the radio wadded up in towels, and lugging a child...",character states
20、EXT. BROOKLYN STREET - DAY,"In [20、EXT. BROOKLYN STREET - DAY], What is the woman's behavioral state?",Struggling while pulling two kids,"she struggles, pulling the two kids by the hand",character states
24、INT. BANK - LATE AFTERNOON - APPROX. 5 PM,What does Maria say about who would go to the electric chair?,You would... you told me to do it.,"MARIA
You would... you told me to do it.",dialogue/beliefs
31、EXT. SIDEWALK NEAR BANK - DAY,What instruction does the Commissioner give about the jet?,Don't let 'em off the ground.,COMMISSIONER: They jet's comin' out. But don't let 'em off the ground.,dialogue/beliefs
31、EXT. SIDEWALK NEAR BANK - DAY,What does Moretti say about smiling?,He never smiles any more.,MORETTI: No. I never smile any more.,dialogue/beliefs
64、INT. BANK - NIGHT,Why does Sonny pay the money?,To settle his debts and achieve a clean slate.,"Sonny says, 'I owe a couple hundred dollars! I don't wanta leave owing anybody anything! A clean slate, a new leaf...'",causal/relational queries
