scene,question,answer,evidence,qa_type
14A INT. MAVERICK'S F-14,"What is Maverick's emotional or behavioral state when he says 'Gotcha covered, don't nobody move'?","Confident and in control, asserting dominance over the situation.","Maverick says 'Gotcha covered, don't nobody move' to himself, indicating a sense of control.",character states
14 EXT. COUGAR'S F-14,What is the relationship between the steady BLIPBLIPBLIPBLIP tone and the characters' actions?,"The steady tone signals missile lock, prompting alarm and evasive maneuvers.","The tone grows insistent and steady, leading Goose to declare missile lock and Cougar to attempt evasive swings.",causal/relational queries
28 EXT. FLIGHT DECK,"In [28 EXT. FLIGHT DECK], What does the LSO urgently command when wind shear causes the plane to drop suddenly?",Add power and wave off the landing.,"LSO
POWER...POWER!..POWER!...WAVE OFF! WAVE OFF WAVE OFF!",dialogue/beliefs
48A EXT. CAR - NIGHT,What causes Maverick to say he's in love?,His romantic feelings for Charlie lead him to declare he's in love.,MAVERICK: I think I'm in love.,causal/relational queries
"42 AERIAL COMBAT - VIETNAM ERA - F4'S, MIG 17'S - STOCK","In [42 AERIAL COMBAT - VIETNAM ERA - F4'S, MIG 17'S - STOCK], What caused the Navy kill ratio to fall in Vietnam, according to Viper?",Pilots depended on missiles and lost their dogfighting skills.,"In Vietnam, this ratio fell to three-to-one. Our pilots depended on missles. They lost their dogfighting skills.",causal/relational queries
43 INT. DAY - TOP GUN ORIENTATION ROOM.,What does Viper say is the dangerous thing in air combat preparedness?,The dangerous thing is being unprepared and not knowing what you can do.,"My answer is: the dangerous thing is being unprepared. You want trouble, that's what you get when things don't work out, when you can't do what you say you can. When you don't know what you can do.",dialogue/beliefs
47 WOMEN'S ROOM.,"Why does Charlie say she doesn't go out with pilots, and what is the effect of her saying it?","She says it to reject Maverick; he is left holding her lipstick, awkwardly trying to engage the next girls.",Charlie says she doesn't go out with pilots after their flirtatious exchange. Maverick is left holding her lipstick and then awkwardly addresses the new girls.,dialogue/beliefs
52A EXT. MIRAMAR - LANDING PATTERN.,"In [52A EXT. MIRAMAR - LANDING PATTERN.], Why does Goose refer to the maneuver as 'self immolation' instead of a 'victory roll'?",He feels the maneuver is dangerously reckless rather than celebratory.,"Goose says, 'I wouldn't call it victory. It's more like...self immolation,' after Maverick calls it a victory roll.",dialogue/beliefs
81 INT. DIRTY DAN'S - A BAR -,What does Viper mean by 'cardinal sin' in the context of the training exercise?,Losing or abandoning one's wingman during combat.,You lost your wingman. That's a cardinal sin...don't ever do it again.,dialogue/beliefs
51 INT. HANGAR,What is the significance of the term 'Negative G push over' in relation to the MiG 21?,It is a maneuver the MiG 21 cannot perform due to risk of flame out from inverted flight tanks.,"Charlie states, 'A MiG 21 has a problem with the inverted flight tanks. It won't do a Negative G push over. Even below one G, they risk a flame out.'",terminology/abbreviation/concept
53D ANGLE ENLISTED (MEN),Why does Viper ask Jester if he would want Maverick in combat despite Maverick breaking the rules?,Viper wants to know if Maverick's skills outweigh his disregard for rules in a real combat situation.,"Viper asks Jester, 'If you had to go into combat, would you want him with you?' after criticizing Maverick for breaking rules.",causal/relational queries
59D THE BEACH,"In [59D THE BEACH], What does Maverick believe about killing and doing one's own dirty work?",It's more honest to do your own killing rather than rely on others.,"Maverick says, 'Somebody does. It's more honest this way. You do your own dirty work.'",dialogue/beliefs
59D THE BEACH,"In [59D THE BEACH], What does Maverick say he fears more than death?",He fears living too long and deteriorating with age.,"Maverick says, 'You know what really scares me? Living too long. Losing my hair and my teeth...and my guts and my wind. And my brains...'",dialogue/beliefs
85E TWILIGHT,"In [85E TWILIGHT], What is Maverick's emotional state after pulling Goose's body into the raft?",He is emotionally overwhelmed and his mind shuts down.,He holds Goose in his arms. His mind shuts down again.,character states
85E TWILIGHT,"In [85E TWILIGHT], What is Goose's physical condition when Maverick retrieves him from the water?",Goose is dead.,Goose is dead. Maverick releases the parachute and pulls Goose into the raft on top of him.,character states
89B CLOSE UP - MAVERICK.,What is the emotional or psychological state of Maverick at the beginning of the scene?,"He has a thousand-yard stare, indicating detachment or trauma.",He sits staring right through us...the thousand-yard stare.,character states
105 INT. TERMINAL,How does Charlie describe her own emotional need in the conversation with Maverick?,She wants to be with the right man and finds happiness in that connection.,Sometimes...I just get happy being with the right man.,dialogue/beliefs
106 EXT. BEACH AT VIPER'S HOUSE - LATER,What is Maverick's emotional state when Viper suggests he could quit flying?,"Maverick becomes irritated and defensive, then struggles with guilt and responsibility.",Maverick looks irritated...starts to get his back up...I feel so... responsible.,character states
106 EXT. BEACH AT VIPER'S HOUSE - LATER,How does Viper describe his own emotional stance toward Maverick's situation?,Viper feels responsible too and carries guilt for not removing Maverick from the cockpit.,I'll carry it too. I should have taken you out of that cockpit.,dialogue/beliefs
103 INT. LOCKER ROOM - IMMEDIATELY AFTER,What is Maverick's emotional state when he is packing his belongings?,"He is resigned and detached, indicating a sense of finality.","Maverick grabs his stuff out of the locker, throws them in a bag. He glances up as Fungus enters, continues to pack.",character states
14 EXT. COUGAR'S F-14,"In [14 EXT. COUGAR'S F-14], Why does Goose warn of missile lock despite Cougar's belief that the MiG 21 lacks radar missiles?",The persistent BLIPBLIPBLIPBLIP tone indicates an active missile lock despite the aircraft type.,"Goose hears the BLIPBLIPBLIPBLIP tone growing steady and identifies it as missile lock, contradicting Cougar's claim about MiG 21 capabilities.",causal/relational queries
38 EXT - CARRIER - NIGHT AND STORM,Why does the man punch the night as he stands on the bow of the ship?,He is maddened by the storm and the overwhelming force of the waves.,It is maddened. He raises his fist and punches the night.,causal/relational queries
56C COCKPIT,What is the relationship between Maverick's flight maneuver and the technical failure in the aircraft?,"The extreme maneuver caused a technical failure, triggering alarms and lights.","After Maverick performs an extremely fast turn, there is a WHUMMP, then ALARMS and lights activate. Goose says, 'You broke it!'",causal/relational queries
27 DARK TURBULENT CLOUDS,Where is Maverick flying in relation to Cougar's aircraft during the inverted flight?,"Wing tip to wing tip, inches apart.","Maverick pulls up wing tip to wing tip, inches apart.",scene localization
3 FLIGHT DECK - THE LANDING SIGNAL OFFICER - (LSO),What is the emotional state of the LSO during the landing operation?,Calm and professional despite extreme conditions.,"His calm, professional commands belie the extreme conditions.",character states
