doc_title,chunk_id,description,scene_context
105.录制现场|内|日,doc_104_chunk_0,夏洛突然想到什么，不管不顾的起身直接离开现场。,
112.豪车内|外|夕阳下,doc_111_chunk_0,夏洛躲在车里遥望着马冬梅,
116.豪华会所包房|内|夜,doc_115_chunk_0,夏洛醉酒瘫坐在沙发上,
116.豪华会所包房|内|夜,doc_115_chunk_0,左拥右抱着两个小姐。,
124.卡车|内|日,doc_123_chunk_0,夏洛面带笑容驾驶着卡车,
124.卡车|内|日,doc_123_chunk_0,夏洛狠狠的拍打关闭了收音机,
107.马冬梅家里|内|日-黄昏,doc_106_chunk_5,夏洛离开,
107.马冬梅家里|内|日-黄昏,doc_106_chunk_4,夏洛起身走向冬梅，想上前拥抱,
123.沿海公路|外|日,doc_122_chunk_0,夏洛的豪华玛莎拉蒂一个急加速别在卡车之前停驻,
120.夏洛工作室|内|日,doc_119_chunk_3,夏洛突然站起来。,
120.夏洛工作室|内|日,doc_119_chunk_3,夏洛掏出打火机，默默的点燃了身后自己的巨幅海报，火苗瞬间窜起。,
120.夏洛工作室|内|日,doc_119_chunk_3,夏洛双手拄着桌面。,
120.夏洛工作室|内|日,doc_119_chunk_3,夏洛淡然一笑。,
120.夏洛工作室|内|日,doc_119_chunk_1,夏洛主观看着在坐的所有人,
120.夏洛工作室|内|日,doc_119_chunk_1,夏洛坐在椅子上，沉默少许，拿起了立在旁边的吉他。,
108.豪华会所包房|内|夜,doc_107_chunk_0,小姐与夏洛合唱着《人在旅途》。,包房内，合唱《人在旅途》。
110.学校操场|内|夜,doc_109_chunk_0,夏洛只身漫步在操场上，滑过曾经被袁华千锤百炼的那棵大树。,操场
【闪回】 122.马冬梅家|内|夜,doc_121_chunk_0,吃着羊蝎子，红着脸干杯,
114.夏洛家客厅|内|日,doc_113_chunk_0,夏洛站在旁边孤独的看着母亲和张扬等人打着麻将。,家庭打麻将场景
101.海边别墅客厅|内|日,doc_100_chunk_0,夏洛怔怔的听着，沉默了。,
101.海边别墅客厅|内|日,doc_100_chunk_0,夏洛拿起酒杯,
101.海边别墅客厅|内|日,doc_100_chunk_0,突然掀翻桌子,
101.海边别墅客厅|内|日,doc_100_chunk_0,夏洛扬长而去。,
107.马冬梅家里|内|日-黄昏,doc_106_chunk_1,斜躺在沙发上，修吉他,107a：冬梅和夏洛的家/内/日
130.特护病房|内|日,doc_129_chunk_1,夏洛凝固的脸,
115.录音棚|内|日,doc_114_chunk_0,夏洛捧着吉他录歌,
115.录音棚|内|日,doc_114_chunk_0,唱不下去,
115.录音棚|内|日,doc_114_chunk_0,发泄的砸吉他,
115.录音棚|内|日,doc_114_chunk_0,夏洛一脚踹进吉他洞里,
115.录音棚|内|日,doc_114_chunk_0,脚上拖着吉他狼狈的离开,
103.好声音录制现场|内|日,doc_102_chunk_0,夏洛迟到,
103.好声音录制现场|内|日,doc_102_chunk_0,夏洛晃晃悠悠衣衫褴褛的走进直播厅,
103.好声音录制现场|内|日,doc_102_chunk_0,夏洛不理导演，在助理们的拥簇下径直走进向舞台,
113.夏洛豪宅卧室|内|夜,doc_112_chunk_0,夏洛打开卧室房门，看见邱雅躺在床上已经睡着,卧室
113.夏洛豪宅卧室|内|夜,doc_112_chunk_0,夏洛悄悄关上门,卧室
125.马冬梅家楼下|外|黄昏,doc_124_chunk_0,夏洛坐在卡车内遥望着马冬梅家窗户犹豫不决。,马冬梅家附近
125.马冬梅家楼下|外|黄昏,doc_124_chunk_0,夏洛移到副驾驶位置。,卡车内
11.婚礼会场|内|日,doc_10_chunk_0,夏洛潇洒的褪下风衣，搭在手上。,
11.婚礼会场|内|日,doc_10_chunk_0,衣服价签掉了出来，被他悄悄塞进去。,
11.婚礼会场|内|日,doc_10_chunk_0,夏洛整理头型，推开大门,
102.海边别墅平台|外|傍晚,doc_101_chunk_0,颓废的穿着睡衣,
102.海边别墅平台|外|傍晚,doc_101_chunk_0,眼睛盯着旁边的一盆发财树,
102.海边别墅平台|外|傍晚,doc_101_chunk_0,从里面拔出了冬梅当年留下的标枪,
102.海边别墅平台|外|傍晚,doc_101_chunk_0,默默的擦拭着,
120.夏洛工作室|内|日,doc_119_chunk_0,夏洛蓬松着头发邋遢的走进来,工作室会议中
120.夏洛工作室|内|日,doc_119_chunk_0,夏洛一阵反感,工作室会议中
120.夏洛工作室|内|日,doc_119_chunk_0,夏洛指了指自己的脑袋,工作室会议中
104.导播间|内|日,doc_103_chunk_0,夏洛半死不活的躺在椅子上发呆。,
104.导播间|内|日,doc_103_chunk_0,夏洛拿胳膊拄着挠头。,
104.导播间|内|日,doc_103_chunk_0,夏洛忽然瞪大眼睛，手扶着脑门。,
104.导播间|内|日,doc_103_chunk_0,夏洛捂着嘴吐了一地。,
137.酒店内走廊|内|日,doc_136_chunk_0,夏洛飞奔着穿过走廊跑向一楼大堂。,
130.特护病房|内|日,doc_129_chunk_0,夏洛吊着药瓶，望着窗外,医院病房
107.马冬梅家里|内|日-黄昏,doc_106_chunk_0,夏洛环顾屋子里的曾经非常熟悉的陈设。,客厅内
107.马冬梅家里|内|日-黄昏,doc_106_chunk_0,夏洛用手摆弄着风铃，,客厅内
107.马冬梅家里|内|日-黄昏,doc_106_chunk_0,夏洛看到柜子上摆着一块砖头。,客厅内
107.马冬梅家里|内|日-黄昏,doc_106_chunk_0,夏洛抚摸着沙发，环顾着四周的陈设。,客厅内
120.夏洛工作室|内|日,doc_119_chunk_2,深情地唱完歌曲,新歌发布会现场
120.夏洛工作室|内|日,doc_119_chunk_2,忐忑地看所有人,新歌发布会现场
120.夏洛工作室|内|日,doc_119_chunk_2,静静地看着邱雅,新歌发布会现场
121.沿海公路|外|日,doc_120_chunk_0,夏洛驾驶着玛莎拉蒂跑车,沿海公路上
121.沿海公路|外|日,doc_120_chunk_0,夏洛看到前面有一辆满载向日葵的卡车,沿海公路上
121.沿海公路|外|日,doc_120_chunk_0,夏洛联想起了马冬梅,沿海公路上
118.豪华会所包房|内|夜,doc_117_chunk_0,夏洛拿着麦克风大吼着唱,尾声：《人在旅途》
118.豪华会所包房|内|夜,doc_117_chunk_0,夏洛向天空洒了一把钞票,尾声：《人在旅途》
16.豪华酒店|内|日,doc_15_chunk_0,夏洛已然喝多,
140.派出所|内|日,doc_139_chunk_0,夏洛依然紧紧的埋头抱着冬梅。,
139.警车里|内|日,doc_138_chunk_0,夏洛仍然紧紧的埋头抱着马冬梅。,警车里
130.特护病房|内|日,doc_129_chunk_2,夏洛坐在床上看着自己,
130.特护病房|内|日,doc_129_chunk_2,夏洛拍着邱雅的手,
107.马冬梅家里|内|日-黄昏,doc_106_chunk_2,夏洛看着那碗面，捧在手上，拿起筷子，眼眶湿润,
107.马冬梅家里|内|日-黄昏,doc_106_chunk_2,夏洛埋着头大口大口吃面，眼泪滴在面汤里,
107.马冬梅家里|内|日-黄昏,doc_106_chunk_2,夏洛吃完面放下碗,
107.马冬梅家里|内|日-黄昏,doc_106_chunk_2,夏洛突然认真的看着冬梅，眼睛湿润,
130.特护病房|内|日,doc_129_chunk_4,夏洛静静的看着一切。,病房内，袁华和邱雅争吵。
130.特护病房|内|日,doc_129_chunk_4,夏洛看着张扬。,病房内，张扬走回病房后。
135.特护病房|内|深夜,doc_134_chunk_0,眼睛里挤出一滴眼泪。,月光下，心电图停止跳动
14.婚礼现场|内|日,doc_13_chunk_0,夏洛很尴尬,
14.婚礼现场|内|日,doc_13_chunk_0,夏洛端起酒一饮而尽,
14.婚礼现场|内|日,doc_13_chunk_0,夏洛表情不自然,
16.豪华酒店|内|日,doc_15_chunk_2,夏洛在旁边尴尬。,
16.豪华酒店|内|日,doc_15_chunk_2,夏洛一饮而尽。,
126.大型游戏厅|内|接上,doc_125_chunk_0,夏洛输，坐在椅子上。,游戏机前
126.大型游戏厅|内|接上,doc_125_chunk_0,夏洛掏出手机拨通了号码。,游戏机前
126.大型游戏厅|内|接上,doc_125_chunk_0,夏洛被打翻在地，脑袋撞在凳子上。,游戏机前
126.大型游戏厅|内|接上,doc_125_chunk_0,夏洛瘫在地上，头上流着血。,游戏机前
18.豪华酒店|内|日,doc_17_chunk_0,夏洛已然喝多，直奔邱雅走去，握住邱雅的手，直勾勾看着邱雅。,同学聚会婚礼现场，敬酒环节
13.教室里|内|日,doc_12_chunk_0,击鼓传花，花传到夏洛手里，鼓停。,冬天元旦晚会，舞台
13.教室里|内|日,doc_12_chunk_0,夏洛在元旦联欢会舞台上唱《伤心太平洋》。,冬天元旦晚会，舞台
13.教室里|内|日,doc_12_chunk_0,夏洛紧张的哭了。,冬天元旦晚会，舞台
18.豪华酒店|内|日,doc_17_chunk_4,拿东西砸袁华,
