scene,question,answer,evidence,qa_type
62、INT. MASTER BEDROOM - NIGHT,What does 'rats-in-a-maze shot' refer to in the passage?,A camera shot showing characters from above in a tense situation.,"We rise up, above them, above the room, looking down on them, the rats-in-a-maze shot.",terminology/abbreviation/concept
9、INT. PANIC ROOM - DAY,What does Evan say about the panic room's phone line?,A buried phone line completely separate from the house's main line.,"EVAN: 'Buried phone line, completely separate, not connected to the house's main line'",dialogue/beliefs
46、INT. SARAH'S BEDROOM - NIGHT,What action is Meg performing on Sarah?,Dragging her out of the room and into the hallway,"On the top floor, Meg is already dragging Sarah out of the room and into the hallway.",detailed description
19、INT. MASTER BEDROOM - NIGHT,"In [19、INT. MASTER BEDROOM - NIGHT], What is Meg's state at the beginning of the scene?","In a hard, boozy sleep","Meg is in a hard, boozy sleep.",character states
54、INT. ENTRY FLOOR - NIGHT,When does Junior freeze?,When he hears the elevator stop and start again,"In the foyer, Junior freezes, hearing the elevator stop and start again",temporal references
7、INT. DEN - DAY,What sound is heard from the hallway along with the little girl's laughter?,GROANING METALLIC sound of the elevator,"From the hallway, there is a GROANING METALLIC sound, the elevator, and the happy laughter of the little girl",detailed description
72、INT. KITCHEN - NIGHT,What additional action does Junior take after wiping sweat?,pulls the phone out of the wall and cuts the cord for the handset,"Not satisfied, he pulls the phone itself out of the wall, cuts the cord for the handset too.",detailed description
25、INT. SARAH'S BEDROOM - NIGHT,"In [25、INT. SARAH'S BEDROOM - NIGHT], What is The Man's emotional state?",aghast and beside himself,"The Man stands in the doorway, staring, aghast, at the mountain of moving boxes... His lips mouth a word, soundlessly. Doesn't take a lip reader to guess it.",character states
4、EXT. WEST 83RD STREET - DAY,Why does Lydia apologize to Evan?,"Because he waited for them, as she acknowledges.","I am so sorry, you were a saint to wait for us!",causal/relational queries
40、INT. PANIC ROOM - NIGHT,"In [40、INT. PANIC ROOM - NIGHT], What is Meg's behavioral state?",Leaps to her feet and dashes out of the room,Meg moves. Leaps to her feet and dashes out of the room.,character states
35、INT. MASTER BEDROOM - NIGHT,"In [35、INT. MASTER BEDROOM - NIGHT], What is Meg's emotional state when she notices the lights are on?",Frustrated,She TSKS,character states
69、INT. PANIC ROOM - NIGHT,How does Meg express her fear while watching the screens?,Barely audible whisper of 'locking us in',MEG (barely audible) ... locking us in...,detailed description
5、INT. TOWNHOUSE - FOYER - DAY,Why does Sarah stop bouncing the ball?,Because Lydia tells her to stop.,"LYDIA No ball, kid. Sarah immediately stops bouncing.",causal/relational queries
49、INT. TOP FLOOR HALLWAY - NIGHT,What does Raoul shout to the open stairwell?,IN THE ELEVATOR! BOTH OF 'EM HEADED TOWARD YOU!,"Raoul turns from the elevator, SHOUTS to the open stairwell. RAOUL IN THE ELEVATOR! BOTH OF 'EM HEADED TOWARD YOU!",dialogue/beliefs
7、INT. DEN - DAY,How does Evan react to the child's noise?,He winces and speaks as if his mouth hurts,"Evan winces, speaks as if his mouth hurts when he moves it",detailed description
59、INT. PANIC ROOM - NIGHT,When does the panic room door shut after Meg presses the red button?,In a split-second after the spring is released,the steel barrier leaps forward out of the wall -- and WHANGS shut in a split-second,temporal references
70、INT. LIBRARY - NIGHT,What does Raoul do with the window in the library?,"Screws shut a window, driving the long screws into its frame.","Raoul screws shut a window, driving the long screws into its frame.",detailed description
23、INT. MASTER BEDROOM - NIGHT,What does 'alcohol sleep' mean in the passage?,A restless sleep caused by alcohol consumption.,"An alcohol sleep is a restless one, and she's suffering.",terminology/abbreviation/concept
9、INT. PANIC ROOM - DAY,What does Lydia believe about the panic room for Meg?,It's perfect for her as a woman living alone.,"LYDIA: 'Hey, this is perfect for you...'",dialogue/beliefs
67、INT. KITCHEN - NIGHT,What was dumped on the kitchen counter?,"Every kind of tool imaginable, many unfamiliar","The contents of one of the satchels is dumped out over the kitchen counter, every kind of tool imaginable, many that are unfamiliar to us",detailed description
6、INT. TOP FLOOR BEDROOM - DAY,"What is the description of the first room Evan, Lydia, and Meg enter?",An upstairs bedroom that is roomy and overlooks the courtyard.,"First, an upstairs bedroom. Nice, roomy, looks out on the courtyard.",detailed description
71、INT. PANIC ROOM - NIGHT,What physical actions is Meg exhibiting in the scene?,"Meg's hands are over her mouth, she's trembling, shaking her head side to side.","Meg's hands are over her mouth, she's trembling, shaking her head from side to side.",detailed description
35、INT. MASTER BEDROOM - NIGHT,"In [35、INT. MASTER BEDROOM - NIGHT], What is Meg's behavioral state when she rolls over?",Trying to go back to sleep,"Meg rolls over, to go back to sleep",character states
10、INT. MASTER BEDROOM - DAY,"In [10、INT. MASTER BEDROOM - DAY], What is Meg's physical condition after the door closes?",Still rattled and wiping sweat from her face.,"She looks at herself, still rattled. She wipes a trickle of sweat from the side of her face.",character states
54、INT. ENTRY FLOOR - NIGHT,What happens after Junior warns Burnham?,"Burnham takes off after Junior, following him upstairs","He takes off up the stairs again. Burnham can't take it anymore, he takes off after Junior, following him upstairs",temporal references
