id,scene,question,answer,evidence,qa_type
1,20、INT. SCHUYLER ENTRANCE HALL - DAY,"In [20、INT. SCHUYLER ENTRANCE HALL - DAY], What is Stew's emotional state as he approaches the drawing room?","Hesitant and determined, as he looks longingly at the front door before entering.","Stew looks longingly in the direction of the front door - then back at the drawing room, squares his shoulders and goes in.",character states
2,23、INT. STEW'S BEDROOM,What does Stew believe about Anne's friends?,He believes they are social parasites who bore him and give him the jitters.,STEW: 'I'm talking about - I'm not going out. ... They give me the jitters.',dialogue/beliefs
3,33、EXT. SCHUYLER HOME - NIGHT,Why did Stew give the panhandler the gold garters?,To mock his request for coffee by offering a symbolic gesture,"Stew says, 'Coffee? How would you like to be a Knight of the Garter?' and gives him the garters",causal/relational queries
4,26、INT. GALLAGHER'S ROOM - NIGHT,What does Stew say about his location?,I'm on the coast of Norway and I can't get out.,STEW I'm on the coast of Norway and I can't get out - will you come and get me out of the coast of Norway?,dialogue/beliefs
5,23、INT. STEW'S BEDROOM,What suggestion does Stew make to Anne?,"He suggests sneaking out with his gang of writers, musicians, and artists.",STEW: 'I'll take you and introduce you to all my gang... writers and musicians and artists.',dialogue/beliefs
6,27、INT. SCHUYLER ENTRANCE HALL - NIGHT,What does Stew say when Joe mentions Johnson is outside?,"No, no, bring him in. The more the merrier.","STEW No, no, bring him in. The more the merrier.",dialogue/beliefs
7,18、INT. SCHUYLER LIBRARY,"In [18、INT. SCHUYLER LIBRARY], What behavioral state does Bingy exhibit when he delivers the message from Garcia?",conciliatory,Bingy assumes a conciliatory attitude.,character states
8,6、INT. CITY ROOM OF MORNING POST - DAY,"In [6、INT. CITY ROOM OF MORNING POST - DAY], What is Stew's emotional state?",Nervous and jumpy,It is evident that he is nervous and jumpy about something.,character states
9,1、INT. JOE'S SPEAKEASY - DAY,What action does Stew perform to demonstrate he is 'sizzling'?,"He moistens a finger, touches it to his wrist, and makes a sizzle noise.","He moistens a finger, touches it to his wrist, and makes a sizzle noise.",detailed description
10,10、INT. CITY ROOM OF NEWSPAPER OFFICE -,"In [10、INT. CITY ROOM OF NEWSPAPER OFFICE -], What is Stew's emotional state when reading the newspaper?",Glum and depressed,"As Stew reads this, he looks very glum and depressed.",character states
11,33、EXT. SCHUYLER HOME - NIGHT,What caused Stew to consider the scene as a great idea?,Gallagher's comment about the second act curtain's declaration of independence,"Gallagher asks, 'How about that declaration of independence for the second act curtain?'",causal/relational queries
12,32、INT. STEW'S SITTING ROOM,What caused Stew to forget about the mob downstairs?,His interest in the play,I guess I got so interested in the play I forgot all about them.,causal/relational queries
13,19、INT. SCHUYLER HOME,"In [19、INT. SCHUYLER HOME], What behavioral state does Mrs. Schuyler exhibit after reading the article?",Pacing wildly and in a frenzy,Mrs. Schuyler gets up. Paces wildly about room. In a frenzy.,character states
14,13、INT. CORRIDOR SCHUYLER HOME,What does Miss Wilson say about Mr. Smith's condition?,He's probably very tired. He's had to meet all these people personally tonight.,"He's probably very tired. You see, he's had to meet all these people personally tonight.",dialogue/beliefs
15,29、INT. SCHUYLER ENTRANCE HALL,Why does Stew kick Bingy?,Because Bingy pretended to be a native and offered to let Stew kick him.,Bingy... let white man kick Big Chief where sun never shines.,causal/relational queries
16,30、INT. STEW'S SITTING ROOM,What causes Stew to consider writing about his own experiences?,"Gallagher's mention of Conrad, who wrote about things he knew.",GALLAGHER: 'Didn't he go to sea before he wrote about it?' STEW: 'Right.',causal/relational queries
17,21、INT. SCHUYLER DRAWING ROOM,"In [21、INT. SCHUYLER DRAWING ROOM], What is Stew's emotional state when he first enters the room?",He feels terror,It strikes terror into his soul,character states
18,19、INT. SCHUYLER HOME,"In [19、INT. SCHUYLER HOME], What is Mrs. Schuyler's emotional state when she sees the front page of the paper?",Horror and panic,Her face freezes in horror. She screams.,character states
19,28、INT. SCHUYLER DRAWING ROOM,Why are the gang members strumming the piano and inspecting the room?,They took Stew's suggestion to make themselves at home seriously.,The gang have taken seriously Stew's suggestion that they make themselves at home.,causal/relational queries
20,26、INT. GALLAGHER'S ROOM - NIGHT,What does Stew believe about Hank?,Hank would be my idea of a perfect bodyguard.,STEW Hank would be my idea of a perfect bodyguard.,dialogue/beliefs
21,21、INT. SCHUYLER DRAWING ROOM,"In [21、INT. SCHUYLER DRAWING ROOM], What is Anne's emotional state during the scene?",She is crying softly,Anne is crying softly,character states
22,18、INT. SCHUYLER LIBRARY,"In [18、INT. SCHUYLER LIBRARY], What physical action does Bingy take after being clipped by Stew?",reels backward and sags,"Bingy, caught unawares, reels backward. Bingy sags in the ...",character states
23,2、INT. SCHUYLER DINING ROOM,What action does Stew perform with Anne's chin?,He takes her chin in his hand and gets an eyeful.,"He gets closer, takes her chin in his hand and gets an eyeful.",detailed description
24,1、INT. JOE'S SPEAKEASY - DAY,How does Stew describe the woman's nose?,He calls it a 'little snozzle' and says it's the berries.,"That little snozzle of hers is the berries, I tell you.",detailed description
25,4、INT. PENTHOUSE APT. - NIGHT,"In [4、INT. PENTHOUSE APT. - NIGHT], What is Dexter Grayson's emotional state?",Frowning with disapproval,Dexter looks off with a frown of disapproval.,character states
26,5、EXT. ROOF GARDEN,"In [5、EXT. ROOF GARDEN], What does 'FADE OUT' indicate in the scene description?",The scene ends with a fade-out effect.,This will continue to the FADE OUT of the scene.,terminology/abbreviation/concept
27,31、INT. SCHUYLER ENTRANCE HALL,Why did the guest attempt to block Anne and her mother?,He believed it was a private party,Guest: 'You can't come in here - this is a private party.',causal/relational queries
28,2、INT. SCHUYLER DINING ROOM | 8、INT. SCHUYLER DRAWING ROOM - DAY | 32、INT. STEW'S SITTING ROOM,Why does Stew decide to leave the house despite Anne's invitation to stay?,"Stew decides to leave the house because he refuses to live on Anne's money, as his pride and concerns about social perception prevent him from accepting financial support from her.","He firmly refuses, saying he won’t live on her money, pride and social perception weighing on his mind.",causal/relational queries
29,22、INT. SCHUYLER DRAWING ROOM | 32、INT. STEW'S SITTING ROOM | 23、INT. STEW'S BEDROOM,What does Anne state about her friends during her confrontation with Stew?,Anne states that her friends are worthwhile and that Stew has made it clear he thinks otherwise.,"She snaps back that her friends are worthwhile, and he has made it clear he thinks otherwise.",character states
30,6、INT. CITY ROOM OF MORNING POST - DAY,Why does Conroy confront Stew in the newsroom?,"Conroy confronts Stew because he discovers that Stew secretly married Anne Schuyler, which Conroy believes is a newsworthy story that Stew failed to report.","Conroy discovers a front-page story in a rival newspaper about Stew's marriage to Anne Schuyler and confronts him, shouting, 'You're married to Anne Schuyler? And you didn't think that was news?' He criticizes Stew for not recognizing it as a story and for not using a byline.",causal/relational queries
31,2、INT. SCHUYLER DINING ROOM | 32、INT. STEW'S SITTING ROOM | 9、INT. STEW'S BEDROOM - MORNING | 10、INT. CITY ROOM OF NEWSPAPER OFFICE -,Why do the reporters gather around Stew while he is reading the newspaper?,"The reporters gather around Stew because one of them notices his trouser leg has ridden up, revealing a gold garter, which draws their attention and prompts them to silently investigate.","A reporter passing by notices one of Stew's trouser legs has ridden up, revealing a garter. The reporter stops, glances around, and quietly lifts the fabric higher, exposing a solid-gold garter in full view. He stares in astonishment, then calls over other reporters with a hushed signal. They gather silently around Stew's feet, peering at the garters as Stew remains unaware.",causal/relational queries
32,23、INT. STEW'S BEDROOM | 32、INT. STEW'S SITTING ROOM | 33、EXT. SCHUYLER HOME - NIGHT,What does Stew state about his feelings toward Anne's friends?,"Stew states that he dislikes Anne's friends, describing them as social parasites who bore and unsettle him.","He expresses his dislike for her friends, calling them social parasites who bore and unsettle him.",character states
33,1、INT. JOE'S SPEAKEASY - DAY | 13、INT. CORRIDOR SCHUYLER HOME | 32、INT. STEW'S SITTING ROOM | 33、EXT. SCHUYLER HOME - NIGHT,Why does Stew decide to leave the Schuyler house?,"Stew decides to leave the Schuyler house because he feels constrained by the household's rules and wants to assert his independence, especially after being challenged by Anne and Mrs. Schuyler.","Stew announces his departure with sharp metaphors, declaring his liberation from the household’s constraints, and later demands recognition of his marital identity under his name before exiting with Gallagher.",causal/relational queries
34,1、INT. JOE'S SPEAKEASY - DAY,Why does Gallagher react with resentment when Stew tells her not to 'turn female' on him?,"Gallagher reacts with resentment because Stew implies that expressing emotions or opinions in a certain way is inferior by associating it with being 'female,' which she perceives as a dismissive and condescending remark about her behavior.","Gallagher responds with mild resentment when Stew tells her she’s talking like a woman, and she watches him with a quiet intensity as he insists she shouldn’t 'turn female' on him, indicating she is offended by his gendered dismissal of her perspective.",causal/relational queries
