id,scene,question,answer,evidence,qa_type
1,64、EXT. POLICE PRECINCT - DAY,How does Randolph respond to being called the most hated man in America?,"He calls it a badge of honor, stating the average citizen is a fuckin' Neanderthal.","RANDOLPH: In a country like this, where your average citizen is a fuckin' Neanderthal, I wear it as a badge of honor.",dialogue/beliefs
2,9、INT. STOKES' OFFICE - DAY,"In [9、INT. STOKES' OFFICE - DAY], What is Nora's emotional state when discussing Rainbow Randolph?","Frustrated and angry, with violent fantasies.",Nora kicks the table in frustration and vows to strangle Rainbow Randolph.,character states
3,66、INT. STUDIO C - CONTINUOUS ACTION,What belief does Smoochy express about the world?,The world is just props and scenery.,That pretty world you think you know is just props and scenery.,dialogue/beliefs
4,51、INT. SQUAD CAR - CONTINUOUS ACTION,"In [51、INT. SQUAD CAR - CONTINUOUS ACTION], What happens to the Smoochy costume?",It is set on fire and burns to ashes.,BLACK LIMBO The Smoochy costume is in flames. It slowly burns to ashes.,objects/props
5,62、INT. ANGELO'S APARTMENT - NIGHT,What does Randolph say when he wakes up after the door pounds?,"I'm trying to sleep, asshole! Read the fucking meter some other time!","RANDOLPH
I'm trying to sleep, asshole!
Read the fucking meter some other
time!",dialogue/beliefs
6,63、EXT. TIMES SQUARE - SERIES OF DISSOLVES - BEFORE DAWN,What does the headline claim about Smoochy and Smiley?,"Smoochy is set up, and Smiley is behind a Nazi plot",SMOOCHY SET UP - SMILEY BEHIND NAZI PLOT,dialogue/beliefs
7,61、INT. SPINNER DUNN'S - NIGHT,What does Spinner believe about Smoochy?,He believes Smoochy didn't do the things they say and isn't a Nazi.,SPINNER: 'He never woulda done the things they say he done. He ain't no Nazi. Someone's making stuff up.',dialogue/beliefs
8,4、INT. TELEVISION STUDIO - DAY,What action is Randolph Smiley performing during the show?,Dances through Rainbowland with the Krinkle Kids,RANDOLPH SMILEY... dances through Rainbowland with the 'Krinkle Kids',detailed description
9,7、INT. TELEVISION STUDIO - DAY,Why are workers sweeping up glittery 'magic Rainbow dust'?,To clean up after dismantling the Rainbow Randolph/Krinkle Kid set,Workers with push brooms sweep up tons of glittery 'magic Rainbow dust.',causal/relational queries
10,60、INT. NORA'S LIVING ROOM - EVENING,What does Randolph believe about Mopes?,"Randolph believes Mopes is a Nazi, evil, and possibly gay.",The public is clamoring for me! I'm a fucking patriot! Mopes is a Nazi! He's evil! He's probably even gay!,dialogue/beliefs
11,11、INT. RECEPTION AREA - SHORT WHILE LATER,What is inside the shopping bag Sheldon carries?,Smoochy's head,carries a large shopping bag which holds Smoochy's head,detailed description
12,13、EXT. DOCK BY RIVER - NIGHT (POURING RAIN),"In [13、EXT. DOCK BY RIVER - NIGHT (POURING RAIN)], What is Randolph's emotional state during his conversation with Stokes?",Desperate and pleading for help,"Randolph suddenly breaks down. RANDOLPH (pleading)... I'm in deep, deep shit.",character states
13,19、EXT. PATSY'S - CONTINUOUS ACTION,"In [19、EXT. PATSY'S - CONTINUOUS ACTION], What role does Randolph claim for Burke?",He claims Burke is his agent.,You're my agent! Or did you forget that?,character states
14,43、INT. CORPORATE PENTHOUSE - NIGHT,Why does Nora apologize to Sheldon?,Because she was harsh in their previous conversation.,NORA I may have been a little harsh when we spoke the other day.,causal/relational queries
15,50、EXT. TIMES SQUARE - NIGHT,Why does the president condemn Smoochy?,Because he is associated with fascist activities.,President Condemns 'Smoochy the Fascist',causal/relational queries
16,38、INT. SPINNER DUNN'S - EVENING,Why does Sheldon tear the contract?,Because he opposes ice shows as mindless spectacles.,Sheldon's statement about ice shows representing everything he's against.,causal/relational queries
17,41、EXT. BROADWAY (TIMES SQUARE) - NIGHT,Why does Merv reveal the revolver?,To compel Sheldon to get in the limo.,Merv pulls his jacket back to reveal a revolver after Sheldon refuses to enter.,causal/relational queries
18,59、INT. STOKES' OFFICE - DAY,What does Chick claim about their control over Takashi?,They own every hair on Takashi's head.,We own every hair on this bastard's head,dialogue/beliefs
19,42、INT. LIMOUSINE - CONTINUOUS ACTION,Why does Merv mention the Parade of Hope's sponsorship of ice shows?,To establish their long-term involvement and pressure Sheldon.,MERV: 'Parade of Hope has sponsored every Kidnet ice show since 1964.',causal/relational queries
20,24、INT. STAIRWELL - MOMENTS LATER,What happened to Randolph after the guards dragged him down the stairwell?,He was beaten and tossed through the exit door.,Three burly Kidnet security guards drag Randolph down the stairwell. They beat the shit out of him and toss him through the exit door.,causal/relational queries
21,41、EXT. BROADWAY (TIMES SQUARE) - NIGHT,What causes Merv to pull out the revolver?,Sheldon's refusal to enter the limo.,Merv reveals the revolver following Sheldon's statement he's going uptown.,causal/relational queries
22,37、INT. ANGELO'S APARTMENT - RANDOLPH,What caused Sheldon to look confused after Nora leaves?,The 'Around Town' column's headline about the event.,Sheldon's action of looking at the 'Around Town' column after Nora exits,causal/relational queries
23,40、INT. BACKSTAGE - AFTER SHOW,Why did Sheldon correct Nora's comment about Spinner?,"To clarify Spinner is an ex-boxer with a childlike mind, not a mental patient.",He is not a mental patient. He's an ex-boxer and nightclub owner who happens to have the sweet innocent brain of a five-year-old!,causal/relational queries
24,10、EXT. CONEY ISLAND - EARLY EVENING,"In [10、EXT. CONEY ISLAND - EARLY EVENING], What is Smoochy?",A rhinoceros-costumed character who sings to patients.,"Smoochy. Or to be more specific, SHELDON MOPES.",terminology/abbreviation/concept
25,29、INT. ANGELO'S APARTMENT - SHORT WHILE LATER,"In [29、INT. ANGELO'S APARTMENT - SHORT WHILE LATER], What is Randolph's physical condition when Angelo finds him?",Half-conscious and passed out.,Randolph (half-conscious). He passes out and falls off the chair.,character states
26,36、INT. SHELDON'S OFFICE - SHORT TIME LATER,Why did Sheldon refuse Ben's gift?,Because it was a bribe for the Smoochy contract,"BEN: 'FunZone Toys would very much like the Smoochy contract, Mr. Mopes.' SHELDON: 'Is this... a bribe?'",causal/relational queries
27,36、INT. SHELDON'S OFFICE - SHORT TIME LATER,What caused Sheldon to escort Ben out?,Ben's attempt to bribe him for the Smoochy contract,"SHELDON: 'Normally, sir, we take the trash out... I'll make an exception in your case.'",causal/relational queries
28,35、INT. SHELDON'S OFFICE - SHORT WHILE LATER,What causes Sonny Gordon to mention the need for a crew?,Sheldon's plan to bring in many animals requires a crew.,SONNY: If you're looking to bring in that many pieces I gotta put a crew together.,causal/relational queries
29,28、INT. ANGELO PIKE'S RUNDOWN APARTMENT,"In [28、INT. ANGELO PIKE'S RUNDOWN APARTMENT], What is Randolph's emotional state when he asks to stay?",Crying like a child and desperate,Randolph starts crying like a child and asks to stay.,character states
30,68、INT. SPINNER DUNN'S - NIGHT,What does Burke believe about cutting out vendors?,He thinks it's suicide and essential for the ice show.,BURKE: You can't do an ice show and cut out the vendors... It's suicide.,dialogue/beliefs
31,68、INT. SPINNER DUNN'S - NIGHT,What does Sheldon say about the methadone clinic?,He will build a methadone palace for luxury withdrawal.,SHELDON: I'm going to build a methadone palace. A place where men and women can withdraw in luxury.,dialogue/beliefs
32,64、EXT. POLICE PRECINCT - DAY,What does Randolph say about Ms. Bishop's accusation of an unhealthy obsession?,"He denies knowing her, calling her a wacko and opportunist, and claims to be the most accused since Jimmy Hoffa.","RANDOLPH: Listen, I barely know that broad. She's a wacko. An opportunist. I'm the most accused man since Jimmy Hoffa.",dialogue/beliefs
33,71、EXT. CENTRAL PARK - DAY,"In [71、EXT. CENTRAL PARK - DAY], Where are Stokes and Burke walking when they discuss the Takashi deal?",by the lake framed by the New York skyline,"It's a chilly, grey afternoon. Stokes and Burke walk along the lake framed by the New York skyline.",scene localization
34,2、INT. BACKSTAGE - MOMENTS LATER,What action occurs to the rhino after he lumbers down the hallway?,He is grabbed by two large men and dragged out through the exit,The rhino lumbers down the hallway toward wardrobe. He is suddenly grabbed by two large men and dragged out through the exit,detailed description
35,12、EXT. CONEY ISLAND BOARDWALK - NATHAN'S HOT DOGS - SHORT,"In [12、EXT. CONEY ISLAND BOARDWALK - NATHAN'S HOT DOGS - SHORT], What object does Sheldon pull from the shopping bag?","the stained, misshapen Smoochy head","He pulls the stained, misshapen Smoochy head from the shopping bag.",objects/props
36,49、EXT. WAREHOUSE - SHORT WHILE LATER,When does the squad car drive off?,After Sheldon is shoved into the back seat,"Sheldon is shoved into the back seat of a squad car. It drives off, SIRENS BLARING",temporal references
37,29、INT. ANGELO'S APARTMENT - SHORT WHILE LATER,"In [29、INT. ANGELO'S APARTMENT - SHORT WHILE LATER], What physical injuries does Randolph have?",A nasty bump near his eye and a missing tooth.,He points to a nasty bump near his eye. He yanks his lip back to reveal a missing tooth.,character states
