id,scene,question,answer,evidence,qa_type
1,56、INT. BAR -- DAY,Why does Damon believe staying free is harder than escaping?,Because avoiding detection and maintaining freedom requires constant vigilance.,Escaping is easy; the hardest part is staying free.,causal/relational queries
2,15、INT. BRENNAN HOUSE - FOYER,"In [15、INT. BRENNAN HOUSE - FOYER], What emotional state is Luke in?",He is scared after seeing the police.,LUKE sees the police rush past him and gets scared.,character states
3,32、INT. COUNTY JAIL - VISITING BOOTHS -- DAY,What does John try to communicate by nodding to Lara?,He wants her to pick up her phone.,John fights to keep his smile and nods for her to pick up her phone,dialogue/beliefs
4,28、EXT. BRENNAN HOUSE - GARAGE AND ALLEY -- MORNING,What does 'cap vs. bottle' refer to in the passage?,The distinction between recyclable bottles and non-recyclable caps.,They won't recycle these unless you take off the cap. (cap vs. bottle) This is trash. This is recyclable.,terminology/abbreviation/concept
5,32、INT. COUNTY JAIL - VISITING BOOTHS -- DAY,What does Lara's reaction indicate about her understanding?,She recognizes the verdict on John's face.,"Lara sees something in his face and doesn't pick up her phone, just stares at him",dialogue/beliefs
6,46、INT. UNIVERSITY HOSPITAL - SEVENTH FLOOR -- NIGHT,What caused Dr. Becsey to share a look with the nurse after John's statement?,John revealed his wife's suicide attempt.,JOHN: My wife attempted suicide.,causal/relational queries
7,46、INT. UNIVERSITY HOSPITAL - SEVENTH FLOOR -- NIGHT,Why is John determined to see his wife despite the nurse's refusal?,She attempted suicide.,JOHN: My wife attempted suicide.,causal/relational queries
8,33、EXT. GRACE AND GEORGE'S HOUSE -- DAY,"In [33、EXT. GRACE AND GEORGE'S HOUSE -- DAY], What is John's emotional state in the scene?",Trying to pull himself together,"John sits in his car, trying to pull himself together.",character states
9,24、INT. COUNTY JAIL - CONTACT VISITING ROOM -- DAY,What does Lara ask John about his letters?,Is Daddy reading you my letters?,"LARA
Is Daddy reading you my letters?",dialogue/beliefs
10,50、INT. LUKE'S ROOM -- NIGHT,Why is Luke staring at the jar?,He is lost in confused thoughts of his mother.,"Luke lie awake, staring at the jar, lost in confused thoughts of his mother.",causal/relational queries
11,56、INT. BAR -- DAY,What causes guards to make mistakes according to Damon?,Their complacency from performing the same routine daily.,"Guards get comfortable doing the same thing every day. Something happens where they have to think, adapt.",causal/relational queries
12,51、INT. BRENNAN HOUSE - KITCHEN -- NIGHT,"In [51、INT. BRENNAN HOUSE - KITCHEN -- NIGHT], What is John's emotional state after failing to find the tool?",Frustrated and feeling destroyed and needy,"the harder he searches the more he becomes frustrated, until he slams the drawer and leans on the counter, feeling destroyed and needy",character states
13,53、INT. COMMUNITY COLLEGE - JOHN'S CLASSROOM -- DAY,What causes the triumph of irrationality in the book according to John?,Rational thought destroying the soul,It is about how rational thought destroys the soul. It is about the triumph of irrationality,causal/relational queries
14,3、EXT. STEAK HOUSE PARKING LOT -- NIGHT,"In [3、EXT. STEAK HOUSE PARKING LOT -- NIGHT], What is Lara's emotional state when she and John step into the foreground?",Still fuming,Lara still fuming,character states
15,16、INT. BRENNAN HOUSE - DOWN THE HALL,What action does Lara take upon exiting the bathroom?,She sees the coat with a water spot and nods to a team member,"She sees the coat with the water spot; nods to a team member, who takes it and bags it under:",detailed description
16,51、INT. BRENNAN HOUSE - KITCHEN -- NIGHT,"In [51、INT. BRENNAN HOUSE - KITCHEN -- NIGHT], What is John's behavioral state when he sees Lara's hand?",Afraid to move and look up,"John stares at the hand, afraid to move, afraid to look up",character states
17,37、INT. JOHN'S BEDROOM -- NIGHT,"In [37、INT. JOHN'S BEDROOM -- NIGHT], What is John's current activity?",Sifting through evidence,As John sifts through the evidence,character states
18,35、EXT. GRACE AND GEORGE'S HOUSE - BACK YARD -- LATE AFTERNOON,What does Erit say to John before leaving?,I know you won't want to hear this...,"ERIT
I know you won't want to hear this...",dialogue/beliefs
19,31、INT. COURTROOM -- A SHORT TIME LATER,What does John claim about the incident involving Lara's purse?,It was a robbery! Someone stole her purse!,"JOHN
It was a robbery! Someone stole her purse!",dialogue/beliefs
20,27、INT. JOHN'S BATHROOM -- NIGHT,What does John say while staring at his watch?,"Twenty-eight, twenty-nine, thirty.","JOHN Twenty-eight, twenty-nine, thirty.",dialogue/beliefs
21,14、INT. BRENNAN HOUSE - DOWNSTAIRS BATHROOM,What does Lara believe about the blood on her coat?,She believes she doesn't know how the blood got there.,"Lara looks at her coat, wonders how the hell she got blood on her shoulder.",dialogue/beliefs
22,146、INT. COUNTY JAIL - CORRIDOR -- DAY | 130、INT. BRENNAN HOUSE - BACK DOOR -- NIGHT | 148、INT. MAJOR'S OFFICE -- A SHORT TIME LATER,Why does the Major show John the broken piece of a key?,"The Major shows John the broken piece of a key to warn him about the consequences of his actions, implying that if John is responsible for using the bump key, it could lead to both of John's parents being imprisoned, endangering his children.","The Major places a small metal object on the desk—the broken piece of a key that had jammed in a lock—and uses it to warn John by suggesting that if it was John’s, he should consider what would happen to his children if both parents ended up in prison.",causal/relational queries
23,148、INT. MAJOR'S OFFICE -- A SHORT TIME LATER | 146、INT. COUNTY JAIL - CORRIDOR -- DAY | 147、INT. COUNTY JAIL - ANOTHER CORRIDOR -- DAY,When does John attempt to insert the bump key into the elevator's lock?,John attempts to insert the bump key into the elevator's lock while the group of visitors pauses for a door to open.,"As the group of visitors pauses for a door to open, John moves close to the elevator. He folds his coat over his arm to hide his hand and slips a bump key into the elevator's lock.",temporal references
24,135、INT. COUNTY JAIL - CONTACT VISITING ROOM -- MORNING,Why does Lara say she won’t know where to picture John anymore?,"Lara says she won’t know where to picture John anymore because he will no longer be in the familiar places she associates with him, such as on the sofa by the window.","Lara explains that when she closes her eyes, she sees John on the sofa by the window and their son in his bedroom, indicating these are the images she holds of him; with the change in their situation, she won’t know where to picture him anymore.",causal/relational queries
25,157、EXT. PARK -- DAY,What does John state about remembering Nicole?,"John states that he only remembers her daughter, not her.","When Nicole questions whether John remembers her, he admits with a smile that he actually only remembers her daughter.",character states
26,143、EXT. DON'S PARKING LOT - MANCHESTER -- AFTERNOON,What does Mike state about John's desire for the documents?,Mike states that John wants the documents too much and is going to ruin everything because of it.,Mike tells John he wants this too much and is going to mess it up.,character states
27,135、INT. COUNTY JAIL - CONTACT VISITING ROOM -- MORNING,What does Lara state about where she pictures John when she closes her eyes?,"Lara states that when she closes her eyes, she pictures John on the sofa by the window.","She says she won't know where to picture him anymore, explaining that when she closes her eyes, she sees him on the sofa by the window and their son in his bedroom.",character states
28,170、EXT. P.M.H. LAB -- MORNING | 176、EXT. MEDICAL FACILITY -- DAY | 165、EXT. COUNTY JAIL -- MORNING | 172、EXT. MEDICAL FACILITY -- DAY,What does John do immediately after the driver locks the van and enters the building?,"John approaches the driver's door, checks that no one is watching, and uses a tennis ball to unlock the door.","The driver steps out of the van, locks it with his key fob, and walks into the building, leaving the vehicle unattended. John approaches the driver's door and scans the area, ensuring no one is watching. He places a tennis ball over the key slot, presses down, and pushes it flat. The door lock disengages with a click, and he opens the door.",temporal references
