scene,question,answer,evidence,qa_type
16、EXT. MONASTERY SCHOOL - CONTINUOUS,What does Carter instruct the students to do?,Start practicing the LAPD choke hold.,CARTER: 'And that's how you use the LAPD choke hold. Now start practicing...',dialogue/beliefs
1、EXT. HONG KONG SKYLINE - ESTABLISHING,What does 'East meets West' refer to in the passage?,The city's role as a meeting point between Eastern and Western cultures for five and a half million people daily.,"Skyscrapers sit like watchtowers over the city, where East meets West for five and a half million people a day.",terminology/abbreviation/concept
23、INT. LEE'S OFFICE - DAY,"In [23、INT. LEE'S OFFICE - DAY], What is Carter's behavioral state when he confronts Lee?",Confrontational and accusatory,Carter challenges Lee's choices and accuses him of being 'pathetic',character states
8、INT. RAVEN CLUB - CONTINUOUS,What does Carter claim about his status in the bar?,"I'm a star, Lee. A god to these people!","CARTER Are you kidding, they love me. I'm a star, Lee. A god to these people!",dialogue/beliefs
47、EXT. YACHT - STERN - CONTINUOUS,When do Lee and Carter run to the stern?,At the same time as Hu Li gets away in the speed boat,Lee and Carter run up to the stern at the same time -- watching helplessly as Hu Li gets away in the speed boat,temporal references
32、INT. TAXI - EVENING,"In [32、INT. TAXI - EVENING], What is Carter's emotional state when he orders the Cab Driver?","Urgent and threatening, demanding the driver to follow the limo.",CARTER (loud) Follow that limo. ... drive the car or I will kill you!,character states
45、INT. SHIP'S HALLWAY - CONTINUOUS,What happens immediately after Carter challenges Hu Li?,Hu Li savages Carter with a series of punishing blows.,Hu Li savages Carter with a series of punishing blows.,temporal references
39、INT. SHIP'S HALLWAY - NIGHT,What does Lee claim about Ricky Tan?,He killed a detective today and isn't getting away.,LEE: 'He killed a detective today and he's not getting away with it.',dialogue/beliefs
7、INT. RAVEN CLUB - BACK HALL - NIGHT,What does Carter say in his voiceover?,"Get closer to my body now. And just love me, till you don't know how...","CARTER (V.O.) Get closer to my body now. And just love me, till you don't know how...",dialogue/beliefs
8、INT. RAVEN CLUB - CONTINUOUS,What does Carter say about Lee's honesty?,I knew you were lying.,CARTER I knew you were lying.,dialogue/beliefs
13、INT. LEE'S UNMARKED POLICE CAR - LATER THAT NIGHT,What caused the deaths of the two American translators?,The explosion at the American Embassy.,LEE: 'There was an explosion at the American Embassy today -- two American translators were killed.',causal/relational queries
49、INT. 747 PASSENGER COMPARTMENT,When did Steven Reign order Hu Li around?,Just before Ricky got smoked,He was on Ricky Tan's boat ordering Hu Li around just before Ricky got smoked,temporal references
42、INT. RICKY TAN'S YACHT - MAIN CABIN - NIGHT,What does 'GUNSHOTS' refer to in the passage?,The sound of gunfire echoing from the deck above.,Reactions from the crowd as GUNSHOTS echo from the deck above.,terminology/abbreviation/concept
13、INT. LEE'S UNMARKED POLICE CAR - LATER THAT NIGHT,Why couldn't Lee take Carter home?,There was an explosion at the American Embassy.,LEE: 'No time. There was an explosion at the American Embassy today -- two American translators were killed.',causal/relational queries
23、INT. LEE'S OFFICE - DAY,"In [23、INT. LEE'S OFFICE - DAY], What is Lee's emotional state during his argument with Carter?",Angry and frustrated,Lee shouts 'Stop! I'm sick of your bullshit!' and slams the door,character states
26、INT. CAPTAIN DIEL'S OFFICE - LAPD HEADQUARTERS - DAY,"In [26、INT. CAPTAIN DIEL'S OFFICE - LAPD HEADQUARTERS - DAY], What is Carter's behavioral state during the conversation?",He is playful and humorous.,He jokes about dinner vs. diner and mentions biscuits and gravy.,character states
28、INT. HONG KONG POLICE STATION - BULLPEN/LEE'S OFFICE - DAY,"In [28、INT. HONG KONG POLICE STATION - BULLPEN/LEE'S OFFICE - DAY], What action does Lee take despite the danger?",Pushes through the crowd of smoke and fire,Lee pushes through the crowd -- it's all smoke and fire,character states
39、INT. SHIP'S HALLWAY - NIGHT,What does Carter say about Detective Yu?,He denies knowing him.,CARTER: 'Detective Yu? Never met him.',dialogue/beliefs
43、INT. SHIP'S HALLWAY - CONTINUOUS,When does Carter trip Hu Li?,After he runs to the sound of the gunshot,"It's Carter, who ran to the sound of the gunshot, and TRIPPED Hu Li with his leg.",temporal references
31、EXT. HEAVEN ON EARTH MASSAGE PARLOR - AFTERNOON,"In [31、EXT. HEAVEN ON EARTH MASSAGE PARLOR - AFTERNOON], What is Carter's emotional state after seeing Ricky Tan?",Determined,Carter has a determined look on his face.,character states
