id,scene,question,answer,evidence,qa_type
1,"23、EXT. A BRIDGE, NEW ORLEANS - NIGHT,","In [23、EXT. A BRIDGE, NEW ORLEANS - NIGHT,], What is Thomas's behavioral state after deciding not to throw the baby?",Cradling the newborn,"Instead, cradles the newborn",character states
2,"23、EXT. A BRIDGE, NEW ORLEANS - NIGHT,","In [23、EXT. A BRIDGE, NEW ORLEANS - NIGHT,], What is Thomas's emotional state when he encounters the baby?",Brokenhearted and conflicted,"brokenhearted, he lifts the baby to throw it into the black water... despite his sadness, he can't bring himself to do it... cradles the newborn",character states
3,"35、EXT. THE PORCH, NOLAN HOUSE, NEW ORLEANS - NIGHT,",How does Benjamin come to an abrupt stop?,An oldster sticks his cane in the spokes of his wheelchair.,one of the oldsters... sticks his cane in the spokes of his wheelchair,detailed description
4,"37、INT. THE PARLOR, NOLAN HOUSE, LATE AT NIGHT,",What does Benjamin do when he wheels to the window?,"Benjamin wheels to the window, looking at streetlights and the world beyond the gate, trying to see what's dangerous.","He wheels himself over to sit at the window looking outside... looking at the streetlights, the world beyond the gate... trying to see what's dangerous.",detailed description
5,"42、INT. CHURCH TENT, NEW ORLEANS - A SATURDAY NIGHT,",Why does the preacher attempt to heal Benjamin?,Because Queenie told him Benjamin has the devil on his back.,QUEENIE: He's got the devil on his back... trying to ride him into the grave before his time...,causal/relational queries
6,"31、INT. QUEENIE'S ROOM - STILL LATER THAT NIGHT,","In [31、INT. QUEENIE'S ROOM - STILL LATER THAT NIGHT,], What does Benjamin's voiceover reveal about his state?",He feels he has found a home,Benjamin Button's (V.O.) I found a home...,character states
7,"27、INT. QUEENIE'S ROOM, OLD HOUSE, NEW ORLEANS - NIGHT","In [27、INT. QUEENIE'S ROOM, OLD HOUSE, NEW ORLEANS - NIGHT], What is the Baby's physical condition?",The Baby has the face of an old man.,the Baby with the face of an old man,character states
8,"31、INT. QUEENIE'S ROOM - STILL LATER THAT NIGHT,","In [31、INT. QUEENIE'S ROOM - STILL LATER THAT NIGHT,], What is Queenie's emotional state when Tizzy arrives?",Distressed and anxious,"Queenie, unable to sleep, lying in bed, looking out a small window... She nods... The baby cries out... and then it's quiet...",character states
9,"51、INT. THE STREETCAR, NEW ORLEANS - DAY,",Why does Ngunda Oti file his teeth?,To scare children by appearing like a cannibal.,They have me file my teeth like a cannibal...,causal/relational queries
10,"41、INT. KITCHEN, NOLAN HOUSE - NIGHT,",Why does Tizzy know Shakespeare?,His grandfather brought home plays for him to read.,My grandfather was a dresser for a famous actor. He'd bring home every play for me to read. (Shakespeare),causal/relational queries
11,"7、EXT. OLD TRAIN STATION, NEW ORLEANS - DAY,","In [7、EXT. OLD TRAIN STATION, NEW ORLEANS - DAY,], What is Mr. Gateau's behavioral state as he watches his son leave?",Blindly waving his hat goodbye.,"Mr. Gateau, blindly waving his hat goodbye to his son...",character states
12,"48、INT. THE PARLOR, NOLAN HOUSE - ANOTHER TIME,",Why does Mr. Oti mock white people?,"To mock their insanity, as described in his story about their treatment at the 1904 World's Fair.",but it's a completely different tone... a mockery of white people and their insanity...,causal/relational queries
13,"29、INT. QUEENIE'S ROOM - THAT NIGHT,","In [29、INT. QUEENIE'S ROOM - THAT NIGHT,], What physical conditions does the Baby exhibit according to Dr. Rose?","Severe arthritis, cataracts, loss of skin elasticity, ossified hands and feet, and signs of old age.",DOCTOR ROSE... His bones indicate severe arthritis... His skin has lost all elasticity... His hands and feet are ossified... His body is failing him before his life's begun.,character states
14,"30、INT. PARLOR, NOLAN HOUSE - THAT NIGHT,","In [30、INT. PARLOR, NOLAN HOUSE - THAT NIGHT,], What is Benjamin's physical condition according to the passage?",He is prematurely old and not a well child.,He's prematurely old... not a well child...,character states
15,"33、INT. ""NEW"" TRAIN STATION, NEW ORLEANS - ANOTHER DAY,",How is the clock marking time?,Still marking time backwards,still marking time backwards,detailed description
16,"46、EXT. THE FRONT PORCH, THE NOLAN HOUSE - DUSK,",Why did Benjamin find the place wonderful?,Because he was with people who had put away life's inconsequences,It was a wonderful place to grow up. I was with people who had put away all the inconsequences of life,causal/relational queries
17,"46、EXT. THE FRONT PORCH, THE NOLAN HOUSE - DUSK,",Why did one of the old people fart?,To underscore the point about their state of purely being,"And one of them, as if to underscore the point, farts...",causal/relational queries
