doc_title,chunk_id,fact,scene_context
102、INT. THEATRE BOX - NIGHT,doc_101_chunk_10,Louis and Claudia are left alone in the empty theatre.,Theatre after the performance
110、INT. ARMAND'S ROOM - NIGHT,doc_109_chunk_4,Louis explicitly agrees that the answers provided are the ones he came for.,
112、INT. HOTEL SUITE - NIGHT,doc_111_chunk_4,Louis agrees that Claudia must leave him.,"Claudia declares she must leave Louis, and Louis responds with agreement."
112、INT. HOTEL SUITE - NIGHT,doc_111_chunk_0,Louis sees Madeleine and Claudia in the mirror.,Room with mirror
109、INT. THEATRE - NIGHT,doc_108_chunk_0,Louis departs from the box.,"Theater box, during a play when curtains draw back to reveal Santiago as death."
119、INT. COFFIN,doc_118_chunk_0,Louis loses consciousness.,In the coffin
113、EXT. HOTEL BALCONY - LATER,doc_112_chunk_1,Louis sees many vampire shadows approaching.,"After kissing Claudia, Louis looks up at the curtains."
114、INT. CORRIDOR OF THEATRE DES VAMPIRES - NIGHT,doc_113_chunk_0,Louis is struck to the ground by Santiago.,"Ballroom, vampire chaos"
122、EXT. NOTRE DAME DOOR - NIGHT,doc_121_chunk_1,Louis issues a warning to Armand not to go near the cell in the Theatre Des Vampires.,
103、INT. FOOT OF STAIRWAY,doc_102_chunk_4,Louis sees the puncture marks on the boy's neck.,
13、EXT. CEMETERY - NIGHT,doc_12_chunk_2,Louis is spellbound,
104、INT. MEDIEVAL ROOM,doc_103_chunk_5,Louis is pulled out by Claudia.,"Armand and Louis discussing the maker, Claudia interrupts and pulls Louis out."
113、EXT. HOTEL BALCONY - LATER,doc_112_chunk_0,Louis is weakened terribly.,Balcony scene: Louis is weakened and observes Madeleine as a vampire and Claudia's alarm.
13、EXT. CEMETERY - NIGHT,doc_12_chunk_3,Louis agrees to become Lestat's companion.,"Lestat proposes to Louis, and Louis capitulates."
114、INT. CORRIDOR OF THEATRE DES VAMPIRES - NIGHT,doc_113_chunk_4,Louis is forced into the coffin.,Vampires force Louis into a coffin while Lestat struggles to prevent it.
133、INT. ROOM. SAN FRANCISCO - NIGHT (PRESENT),doc_132_chunk_4,Louis has vanished from the scene.,after Louis drops Malloy
136、EXT. GOLDEN GATE BRIDGE - NIGHT,doc_135_chunk_2,The tape contains a voice-over by Louis.,
123、EXT. THEATRE DES VAMPIRES - DAWN,doc_122_chunk_0,The door of Armand's cell is unlocked.,Alleyway outside Armand's cell at 5 a.m.
140、INT. WATERFRONT TAVERN - NIGHT,doc_139_chunk_0,Louis holds four aces.,Gaming table
142、EXT. WHARF - NIGHT,doc_141_chunk_4,Louis is at the surface of the water at the wharf.,"At the wharf, after falling from the shipmast."
142、EXT. WHARF - NIGHT,doc_141_chunk_1,Louis is awake.,"wharf, staring at the bodies of the thief and whore"
145、INT. LAVISH FRENCH-FURNISHED BEDROOM AT POINT DU LAC,doc_144_chunk_4,Louis is becoming spellbound.,Lestat sits on the bed and Louis becomes spellbound.
132、EXT. GARDEN DISTRICT - NIGHT,doc_131_chunk_8,Louis states that he must leave.,
140、INT. WATERFRONT TAVERN - NIGHT,doc_139_chunk_2,Louis has won coins in a gambling game.,Gambling scene: Louis wins coins from the Gambler.
148、EXT. PLANTATION - NIGHT,doc_147_chunk_2,Louis flees the scene.,
13、EXT. CEMETERY - NIGHT,doc_12_chunk_11,Louis stops resisting.,
13、EXT. CEMETERY - NIGHT,doc_12_chunk_11,Louis is engorged with blood.,
145、INT. LAVISH FRENCH-FURNISHED BEDROOM AT POINT DU LAC,doc_144_chunk_0,Louis is delirious.,"Bedroom: Louis is in a four-poster bed, shrouded with mosquito netting."
157、INT. DINING ROOM - NIGHT,doc_156_chunk_6,Louis follows Lestat.,After Lestat invites Louis to New Orleans and rises.
167、EXT. CHICKEN-COOP - NIGHT,doc_166_chunk_0,Louis hears a scream.,Chicken coop entrance
142、EXT. WHARF - NIGHT,doc_141_chunk_0,Louis is insensible.,"dank wharf over the water, Louis propped against wall by the whore"
150、EXT. CEMETERY - NIGHT,doc_149_chunk_2,Louis agrees to become Lestat's companion.,"Lestat asks Louis to join him, Louis capitulates."
163、EXT. LAWNS. NIGHT,doc_162_chunk_1,Louis possesses a strength he was previously unaware of.,
142、EXT. WHARF - NIGHT,doc_141_chunk_2,Blood is being drained from Louis.,
178、EXT. LARGE GRAVEYARD - DAWN,doc_177_chunk_0,Louis is unconscious.,In a crypt
175、INT. POINTE DU LAC DINING ROOM - NIGHT,doc_174_chunk_4,Louis breaks her neck.,
184、INT. HOUSE - NIGHT,doc_183_chunk_3,Louis sees the tiny wounds on Claudia's throat,"After placing unconscious Claudia in a chair, Louis sees wounds on her throat"
188、INT. SEWER-PIPE - EVENING,doc_187_chunk_2,Louis follows Lestat.,In the dialogue with Lestat
175、INT. POINTE DU LAC DINING ROOM - NIGHT,doc_174_chunk_3,Louis has blood on his lips,"Louis kisses Yvette's wrist, and she sees blood on his lips"
20、INT. DINING ROOM - NIGHT,doc_19_chunk_0,Louis awoke the next evening to a different world.,
192、INT. FLAT,doc_191_chunk_1,Louis is in an inner room.,"Dressmaking scene: Claudia being fitted, Louis in inner room."
182、INT. INN - EVENING,doc_181_chunk_8,Louis departs the scene without speaking.,After the girl's death and Lestat's speech about the dark gift.
16、EXT. MANSION - NIGHT,doc_15_chunk_0,Louis appears as a fully-fledged vampire.,"Mansion steps, Louis approaches mansion"
20、INT. DINING ROOM - NIGHT,doc_19_chunk_5,Louis drinks the blood.,"Dinner table, Lestat serves blood from a rat to Louis."
204、INT. CLAUDIA'S BEDROOM - NIGHT,doc_203_chunk_0,"Louis is in the doorway, watching Claudia.","Claudia's room, Claudia writing in diary, sees Louis in doorway"
189、INT. INN - SUPPER ROOM,doc_188_chunk_10,Louis has vampire skin and hair.,
210、EXT. STREETS - NIGHT,doc_209_chunk_0,Louis is inside the cathedral.,Cathedral: Louis enters.
177、INT. BURNING MANSION - NIGHT,doc_176_chunk_0,Louis is weakening due to the fumes and heat.,"burning mansion, Louis wandering"
20、INT. DINING ROOM - NIGHT,doc_19_chunk_7,Louis follows Lestat.,Lestat rises and Louis follows.
204、INT. CLAUDIA'S BEDROOM - NIGHT,doc_203_chunk_1,A beautiful pen and ink portrait of Louis exists inside Claudia's book.,Claudia opens her book to reveal a portrait of Louis.
202、INT. CLAUDIA'S BEDROOM - NIGHT,doc_201_chunk_0,Louis is in his coffin.,Louis' bedroom
218、INT. FLAT - NIGHT,doc_217_chunk_7,Louis rescues Claudia from the burning house.,burning house
239、INT. THEATRE BOX - NIGHT,doc_238_chunk_11,Louis battles desire and hunger with anger.,Vampire feeding scene
239、INT. THEATRE BOX - NIGHT,doc_238_chunk_12,Louis and Claudia are left alone in the empty theatre.,"Theatre after the show, audience leaving"
237、EXT. LATIN QUARTER - NIGHT,doc_236_chunk_2,"Louis realizes that Santiago has assumed the same attitude, posture, clothes, and hair-style as Louis.",under the gaslight
24、EXT. LAWNS - NIGHT,doc_23_chunk_0,Louis bites the widow.,"Walking with the widow in the moonlight, after the minuet spills from the french windows."
240、INT. FOOT OF STAIRWAY,doc_239_chunk_0,Louis is in the underground ballroom.,Entering the underground ballroom.
242、INT. DARKENED CORRIDORS AND THEATRE - NIGHT,doc_241_chunk_1,Louis is stunned.,"Santiago confronts Louis about a name, and other vampires appear."
247、INT. ARMAND'S ROOM - NIGHT,doc_246_chunk_1,Louis explicitly states his intention to leave.,
