id,scene,question,answer,evidence,qa_type
1,47、INT. KITCHEN -- AFTERNOON,What does Ellen believe about Rob?,That he's never going to ask her,ELLEN I just know that Rob's never going to ask me.,dialogue/beliefs
2,12、INT. BANK - LATER,Why is Stephanie considered for the Assistant Manager position?,She handled the situation with the old lady properly.,MR. JACKS: 'You handled that just right... You're at the top of the list.',causal/relational queries
3,69、EXT. OAKWOOD CEMETERY - RAINY NIGHT,How does Stephanie dispose of the white envelope?,Jams the white envelope down the old woman's throat,She jams the white envelope down the old woman's throat,detailed description
4,69、EXT. OAKWOOD CEMETERY - RAINY NIGHT,How does Stephanie open the coffin?,Jams the shovel blade between two boards and pries off the coffin's top,She jams the shovel blade between two boards and pries off the coffin's top,detailed description
5,4、EXT. VENTURA BOULEVARD PARKING STRUCTURE - MORNING,How does Stephanie rescue the kitten?,"Races into the intersection, snatches up the kitten, and places it safely down on the other side of the street.","Stephanie races into the intersection, snatches up the kitten and places it safely down on the other side of the street.",detailed description
6,5、INT. BANK OF CALIFORNIA -- DAY,"In [5、INT. BANK OF CALIFORNIA -- DAY], Where does Stephanie look longingly before turning back?",The vacant office of the former Assistant Manager,Stephanie looks longingly to... THE VACANT OFFICE of the former Assistant Manager.,scene localization
7,62、INT. GREAT ROOM - NIGHT,What does Milos do with the goat when he reenters the room?,"Milos pulls a black goat by a chain, tethers it to a post after it bleats and tries to run.",Milos reenters the room pulling a black goat along by a chain. The goat catches sight of Stephanie. It BLEATS in fear and attempts to run. But Milos holds it fast and tethers it to a post.,detailed description
8,24、INT. RAY'S HOUSE - NIGHT,Why is Stephanie pressing frozen peas against her lip?,She has a bloody lip from the old woman knocking her down.,"Ray hurries in, handing her a pack of frozen peas that she presses against her bloody lip. ... after she knocked me down, and pulled the button from my coat.",causal/relational queries
9,1、INT. BEDROOM - BEFORE DAWN,"In [1、INT. BEDROOM - BEFORE DAWN], What is Stephanie Browne's emotional state when she hits the snooze button?",She is tired and reluctant to wake up.,She hits the snooze button and plops back down onto the pillow after being jarred from a peaceful sleep.,character states
10,24、INT. RAY'S HOUSE - NIGHT,Why does Stephanie believe something is coming for her?,The old woman told her that after she knocked her down and pulled the button from her coat.,"She said that something was coming for me... and it did. ... after she knocked me down, and pulled the button from my coat.",causal/relational queries
11,37、EXT. INTERSECTION - DAY,"In [37、EXT. INTERSECTION - DAY], What is Stu Rubin's situation when Stephanie sees him?",He is being escorted into First National Bank.,Stu Rubin walking with two well dressed executives. The men warmly escort into the First National Bank.,character states
12,53、EXT. DALTON HOUSE - MOMENTS LATER,"In [53、EXT. DALTON HOUSE - MOMENTS LATER], Where does Ray stop Stephanie?",Outside the location where she was about to enter her car,Ray rushes outside stopping Stephanie as she is about to get into her car.,scene localization
13,56、INT. STEPHANIE'S HOUSE - NIGHT,What does Stephanie imply about Ellen's actions?,She implies Ellen is investigating the cat's death.,"STEPHANIE: What are you, a cat detective?",dialogue/beliefs
14,68、INT. STEPHANIE'S CAR - NIGHT,What does Stephanie do after the car crashes?,She pulls herself from the crash and glances up at the lightning-illuminated cemetery gates.,Stephanie pulls herself from the crash. She glances up to a flash of lightning. It illuminates: The wrought iron gates of the OAKWOOD CEMETERY.,detailed description
15,4、EXT. VENTURA BOULEVARD PARKING STRUCTURE - MORNING,What does the kitten do when the car's horn blares?,Darts into the intersection and freezes at the sight of an oncoming VAN.,"A car's HORN blares, spooking the kitten. It darts into the intersection and freezes at the sight of an oncoming VAN.",detailed description
16,33、INT. MRS. GANUSH'S LIVING ROOM - DAY,"In [33、INT. MRS. GANUSH'S LIVING ROOM - DAY], What is Stephanie's emotional state when she leaves?",Terrified,"Terrified, Stephanie runs from the place.",character states
17,31、EXT. MRS. GANUSH'S HOUSE - DAY,"In [31、EXT. MRS. GANUSH'S HOUSE - DAY], What is Stephanie's emotional state when she knocks on the door?",She is nervous/hesitant,She gathers her courage and KNOCKS.,character states
18,36、INT. STEPHANIE'S CAR,"In [36、INT. STEPHANIE'S CAR], What is Stephanie's emotional state as she eats the cookies?",Joylessly consuming them,joylessly jamming one after another into her mouth,character states
19,27、INT. RAY'S BEDROOM - MORNING,When does Stephanie awaken after the final dream?,"She awakens with a GASP, realizing it was a dream within a dream.",Stephanie suddenly awakens with a GASP. It was all a dream within a dream.,temporal references
20,23、INT. STEPHANIE'S HOUSE - KITCHEN - NIGHT,Why does Stephanie's mouth bleed?,Because she was struck by an invisible hand.,Suddenly Stephanie's face is struck by an invisible hand! She cries out. Her mouth is bleeding.,causal/relational queries
21,65、EXT. STEPHANIE'S HOUSE - NIGHT -- LATER,What does Stephanie do after realizing the envelope is missing?,Opens the car door and frantically rummages through Ray's papers,"She opens the car door and frantically rummages around the floor, through Ray's papers.",detailed description
22,63、EXT. PASADENA HOUSE - NIGHT - LATER,What action does Stephanie perform with her hand while in the scene?,"Stephanie's hand emerges from her coat pocket, studying a brass button.",STEPHANIE'S HAND Slowly emerges from her coat pocket. She studies the thin brass button in her palm.,detailed description
23,62、INT. GREAT ROOM - NIGHT,What actions does Shaun San Dena take with the cattle slaughtering blade?,"Shaun San Dena lifts a velvet cloth, blesses the blade, and pours holy water over it.",Milos... lifts a velvet cloth revealing a large cattle slaughtering blade. Shaun San Dena... blesses this knife... pours a vial of holy water over the blade.,detailed description
24,66、INT. DENNY'S RESTAURANT - NIGHT,What specific action does Stephanie take with the newspaper?,She rips the obituary listing from the paper.,She rips the listing from the paper.,detailed description
25,45、INT. STEPHANIE'S KITCHEN -DAY,What does Stephanie claim caused the red spot on her sleeve?,Tomato juice from cutting a tomato while making a salad.,STEPHANIE: That's just tomato juice. I was inside making a salad and... I cut a tomato and I must have gotten it on my sleeve.,dialogue/beliefs
26,52、INT. DALTON HOUSE - DINNING ROOM - LATER,What does Trudy say about Alicia?,"She was dreadful, ill-mannered, and had no ambition.",She was dreadful. So ill-mannered. And no ambition.,dialogue/beliefs
27,56、INT. STEPHANIE'S HOUSE - NIGHT,What does Stephanie say about the cat's death?,She believes the cat fell out the window and died.,STEPHANIE: I didn't want to tell you. It fell out the window and died.,dialogue/beliefs
28,27、INT. RAY'S BEDROOM - MORNING,When does Stephanie realize the second dream is over?,"After checking the bathroom and under the bed, confirming normalcy.",She checks the bathroom. Under the bed. All normal.,temporal references
29,68、INT. STEPHANIE'S CAR - NIGHT,What happens to the hankie after it gets caught on the wiper blade?,"The hankie is yanked back and forth, then slapped over Stephanie's eyes by the wind.","The hankie is yanked-back and forth across the windshield... It slaps over Stephanie's eyes, plastered there by the wind!",detailed description
30,21、INT. STEPHANIE'S HOUSE - KITCHEN - NIGHT,What action does Ellen perform when she comes downstairs?,Snuggles the kitten and picks up her overnight bag.,"Her roommate, ELLEN, comes down the stairs, snuggling the kitten. ELLEN sets down, the kitten and picks up her overnight bag.",detailed description
31,64、INT. RAY'S BMW - NIGHT,What occurs when Mrs. Ganush appears in the headlights?,"Stephanie screams, the car screeches to a halt, and the purse falls.","Stephanie SCREAMS as... Mrs. Ganush appears in the headlights, standing on the road before them! Ray hits the breaks. The car SCREECHES to a halt! Stephanie's purse... fall to the floor.",detailed description
32,45、INT. STEPHANIE'S KITCHEN -DAY,What does Stephanie say about her situation?,She had some problems but thinks everything is going to be good now.,STEPHANIE: I had some problems. A situation. But I think everything is going to be good now.,dialogue/beliefs
33,41、INT. STEPHANIE'S BEDROOM,What does Stephanie declare upon seeing a shadow under the door?,I know that you're there!,She says this when she sees a shadow beneath the crack in the door.,dialogue/beliefs
34,43、EXT. STEPHANIE'S HOUSE - DAY,What happens to the kitten's scream over time?,It is heard repeatedly and then silenced.,We hear it again and again until it is finally silenced.,detailed description
35,12、INT. BANK - LATER,"Why does Stephanie load contracts, a ruler, and a desk stapler into a box?","The bank is closing, and she is leaving.",The bank is closing. Stephanie loads... into a cardboard box and exits the bank.,causal/relational queries
36,36、INT. STEPHANIE'S CAR,"In [36、INT. STEPHANIE'S CAR], What action does Stephanie take after remembering something?",She sets down the cookies and rummages through her purse,She sets down the cookies and rummages through her purse,character states
37,26、INT. RAY'S BEDROOM - NIGHT | 27、INT. RAY'S BEDROOM - MORNING | 25、INT. RAY'S HOUSE - LATER,What does Ray state about the trip he has planned for him and Stephanie?,"Ray states that he has planned a trip for them to take a train to Santa Barbara on Saturday morning, where they will stay at his family's cabin in the hills overlooking a river, light a fire, drink champagne, and have a chance to talk without interruptions.","He tells her he’s planned a trip for them—Saturday morning, a train to Santa Barbara. His family has a cabin in the hills, overlooking a river. They’ll light a fire, drink champagne, be alone together. Ray adds that it’ll be a chance to talk, without interruptions.",character states
38,15、EXT. VENTURA BLVD - LATER THAT NIGHT | 26、INT. RAY'S BEDROOM - NIGHT | 27、INT. RAY'S BEDROOM - MORNING,What does Ray state about Doctor Rangervertz's availability?,Ray states that Doctor Rangervertz said Stephanie could stop by his office during her lunch hour.,"Ray says, 'Doctor Rangervertz said you could stop by his office during your lunch hour.'",character states
39,4、EXT. VENTURA BOULEVARD PARKING STRUCTURE - MORNING | 30、INT. BANK OF CALIFORNIA -- DAY,What does Stephanie state to the kitten after rescuing it?,She tells the kitten to go home.,"She tells it to go home and begins walking toward the bank, but the kitten follows.",character states
40,49、INT. STEPHANIE'S CAR - DUSK | 50、EXT. DALTON HOUSE - DUSK | 20、INT. STEPHANIE'S HOUSE - FOYER - NIGHT,What does Stephanie state about her plans for dessert for dinner at Ray's parents' house?,Stephanie states that she will bake her special cake for dessert.,"Stephanie says no, she’ll bake her special cake.",character states
41,26、INT. RAY'S BEDROOM - NIGHT | 27、INT. RAY'S BEDROOM - MORNING | 25、INT. RAY'S HOUSE - LATER,What does Doctor Rangivertz state about Stephanie's medical condition?,"Doctor Rangivertz states that Stephanie is medically fine but very distressed, showing signs of paranoia and panic, likely from being assaulted by the old woman.","He said Stephanie was medically fine but very distressed, showing signs of paranoia and panic, likely from being assaulted by the old woman.",character states
42,4、EXT. VENTURA BOULEVARD PARKING STRUCTURE - MORNING | 20、INT. STEPHANIE'S HOUSE - FOYER - NIGHT,What does Stephanie state about her plans for dessert for dinner at Ray's parents' house?,Stephanie states that she will bake her special cake for dessert.,Stephanie says she’ll bake her special cake when Ray offers to pick up dessert for dinner at his parents' house.,character states
43,8、INT. RAY'S UNIVERSITY OFFICE - LATER | 9、INT. HALL OUTSIDE RAY'S OFFICE - DAY | 50、EXT. DALTON HOUSE - DUSK | 9、INT. HALL OUTSIDE RAY'S OFFICE - DAY,What does Ray state about his relationship with Stephanie during his conversation with his mother?,Ray states that he is with Stephanie and not looking for anyone else.,"Ray interrupts, sounding frustrated, and defends his relationship, saying he’s with Stephanie and not looking for anyone else.",character states
44,27、INT. RAY'S BEDROOM - MORNING | 25、INT. RAY'S HOUSE - LATER,What does Ray state about the doctor's appointment?,Ray states that Doctor Rangervertz said Stephanie could stop by his office during her lunch hour.,"He sits beside Stephanie on the bed and gently strokes her hair. 'Doctor Rangervertz said you could stop by his office during your lunch hour,' he says.",character states
