id,scene,question,answer,evidence,qa_type
1,57、INT. VENTILATION SHAFT -- LATER,"In [57、INT. VENTILATION SHAFT -- LATER], What is Nadia's emotional state when she says they can't get through the shaft?",Nadia is filled with dread.,NADIA sighs with dread.,character states
2,33、INT. OFFICER'S QUARTERS - CONT.,What does BOWER say about leaving someone?,How could I have... left her? Why would I have done that? I loved her...,BOWER (under his breath) How could I have... left her? Why would I have done that? I loved her...,dialogue/beliefs
3,56、INT. SLEEP CHAMBER/CONTROL DESK - LATER,"In [56、INT. SLEEP CHAMBER/CONTROL DESK - LATER], What is Gallo's physical condition when he is pulled out of the shaft?","Naked, with hands in claw-like grips, trembling uncontrollably, and rapid, unsteady gasps.","GALLO collapses onto the floor, crumbling into a fetal position, naked. His hands are locked in claw-like grips, trembling uncontrollably. His gasps are rapid and unsteady.",character states
4,"58、INT, PERSONNEL SLEEP CHAMBER/MAIN CORRIDOR - LATER","In [58、INT, PERSONNEL SLEEP CHAMBER/MAIN CORRIDOR - LATER], What is Nadia's role based on her actions?",Authoritative figure directing others and maintaining silence.,NADIA: 'Keep your light down.' 'Keep moving.' 'Quiet!' (GROWL),character states
5,"58、INT, PERSONNEL SLEEP CHAMBER/MAIN CORRIDOR - LATER","In [58、INT, PERSONNEL SLEEP CHAMBER/MAIN CORRIDOR - LATER], What is Bower's emotional state when he mentions his wife?",Worried and concerned about his wife's whereabouts.,BOWER: 'My wife could be in here.' 'Do you know where the family members are...',character states
6,3、EXT. OUTER SPACE,"In [3、EXT. OUTER SPACE], Where is the skull located when it is shown?",Inside a sleep pod in an asteroid field,"We PUSH IN towards one pod, moving towards the SKULL, still locked in a SCREAMING position.",scene localization
7,49、INT. CORRIDOR,"In [49、INT. CORRIDOR], What is Bower's emotional state?",Bower is terrified and desperate,He's knows he's done for and...,character states
8,60、INT. SLEEP CHAMBER/MAIN CORRIDOR - CONT.,"In [60、INT. SLEEP CHAMBER/MAIN CORRIDOR - CONT.], What behavioral state does Bower exhibit when diving into the chamber?",Frenzied and panicked,"In a frenzied panic, BOWER dives into the chamber",character states
9,60、INT. SLEEP CHAMBER/MAIN CORRIDOR - CONT.,"In [60、INT. SLEEP CHAMBER/MAIN CORRIDOR - CONT.], What is Nadia's emotional state as she tries to close the hatch?",Frantic and panicked,frantically trying to pull the hatch closed,character states
10,17、INT. SLEEP CHAMBER/CONTROL DESK,"In [17、INT. SLEEP CHAMBER/CONTROL DESK], What is Payton's emotional state?",Helpless,PAYTON is helpless,character states
11,17、INT. SLEEP CHAMBER/CONTROL DESK,"In [17、INT. SLEEP CHAMBER/CONTROL DESK], What is Bower's physical condition?",Panicked and unable to breathe,Bower is heard on the radio starting to FREAK OUT. I can't... breath!,character states
12,28、INT. STORAGE COMPARTMENT/CORRIDOR -- MOMENTS LATER,How does Bower force the door open after the panel is busted?,Bower jabs a pipe into the gap to force the door open.,"A panel is BUSTED open and BOWER jabs a pipe into the gap, forcing the door open.",detailed description
13,59、INT. PROCESSING DOCK -CONT.,"In [59、INT. PROCESSING DOCK -CONT.], What is Bower's emotional state when he discovers the human finger bone?",Horrified,BOWER (CONT'D) (HORRIFIED) My God! Wait- Where are we going!?,character states
14,50、INT. SLEEP CHAMBER/CONTROL DESK - LATER,"In [50、INT. SLEEP CHAMBER/CONTROL DESK - LATER], What is Payton's emotional state when he collapses?",Exhausted and frustrated,He collapses with exhaustion and frustration,character states
