scene,question,answer,evidence,qa_type
46  防守阵地  日,谷子地在爆炸前呼喊了什么？,快闪开！茂才！闪开！,谷子地发现了这一惊人的场面，扒着沟沿儿吼叫：快闪开！茂才！闪开！,dialogue/beliefs
60  窑里 傍晚,王金存写下战斗结果后做了什么？,举枪推弹上堂，饮弹自尽。,写毕，合上小本子。举枪推弹上堂，饮弹自尽。,causal/relational queries
60  窑里 傍晚,王金存为何饮弹自尽？,因九连余部共四十七人全体阵亡，连长谷子地遗体未找到。,除连长谷子地遗体没有找到，九连余部共四十七人全体阵亡。指导员王金存。,causal/relational queries
6  内景  排污暗道  日,尉官在画外音中下达了什么命令？,火炮！快！把火炮架过来！,尉官（画外音）：火炮！快！把火炮架过来！,dialogue/beliefs
8外景  铁桥/西桥头  日,谷子地咽下尖刻的话后做了什么？,扭头观察着对岸偷袭的动静,谷子地看着指导员的样子，把尖刻的话咽了回去，扭头观察着对岸偷袭的动静。,detailed description
37内景  窑场  日,王金存如何写信？,用弹药箱垫着信纸，就着窑口的光亮奋笔疾书,王金存用弹药箱垫着信纸，就着窑口的光亮奋笔疾书,detailed description
5   外景  铁桥/西桥头  日,指导员为何决定带领战士冲锋？,因为听到南桥的枪炮声并认为三连可能占了桥头,指导员（绝望）：哪儿的动静？是南桥吗？是不是南桥？焦大棚：听着像……八成是三连那帮狗日的占了桥头了。,causal/relational queries
50  阵地前沿 傍晚,王金存说了什么？,我要写信告诉媳妇，我不怕死了……,王金存：我要写信告诉媳妇，我不怕死了……,dialogue/beliefs
51  阵地  傍晚,王金存对罗广田说了什么？,你去告诉大家，活着的把死了的背窑里去！最后一个把窑口炸了！,王金存抱住死去的战士对罗广田说：你去告诉大家，活着的把死了的背窑里去！最后一个把窑口炸了！,dialogue/beliefs
15  外景  铁桥/西桥头  日,焦大棚为什么怏怏地跑开？,发现指导员已经死去,焦大棚觉出对方的神色不正常，又突然发现指导员已经死去，便怏怏地跑开了。,causal/relational queries
40  阵地前沿 日,姜茂才在敌阻击手再次射击后做了什么？,他一枪击中敌阻击手的眉心。,当敌阻击手再次射击时，枪口的火光被姜茂才捕捉到了，他一枪命中的敌阻击手的眉心。,temporal references
9外景  街口  日,"在[9外景  街口  日]中, 谷子地在爆炸中处于什么状态？",对子弹无动于衷，情绪麻木,谷子地在烟雾中乱摸乱撞，对身边纷飞的子弹无动于衷,character states
13  外景  街口  日,"在[13  外景  街口  日]中, 谷子地在血泊中的行为状态是什么？",跪在血泊中抱着指导员的肩膀发呆,谷子地跪在血泊之中，抱着指导员的肩膀发呆,character states
7外景  街口  日,"在[7外景  街口  日]中, 指导员的情绪状态如何？",目光湿润，情绪低落,指导员默默地吞咽着吐沫，目光湿润。,character states
4内景  一幢房屋内  日,"在[4内景  一幢房屋内  日]中, 谁启动了引爆器？",指挥者通过下劈动作启动了引爆器。,那只手猛然向下一劈，引爆器被相继启动。,character states
5   外景  铁桥/西桥头  日,谷子地为何要求罗广田改用点射？,为了减少暴露时间并更有效地射击,谷子地：广田！别疯打！点射！罗广田：是！机枪的射速立即减慢了。,causal/relational queries
8外景  铁桥/西桥头  日,指导员换子弹夹时有什么举动？,降低了隐蔽的警觉，枪体大幅晃动,指导员换子弹夹，降低了隐蔽的警觉，枪体大幅晃动。,detailed description
40  阵地前沿 日,姜茂才在击中敌阻击手后做了什么？,他拼命向吕宽沟爬过去施救。,而后姜茂才拼命向吕宽沟爬过去施救。,temporal references
11  内景  排污暗道  日,吕宽沟为什么拉燃导火索？,准备破釜沉舟,吕宽沟和姜茂财守在下水口两侧，准备破釜沉舟。,causal/relational queries
