doc_title,chunk_id,description,scene_context
48 街道	外	日,doc_47_chunk_0,耿良辰被众人按倒在地,
29 陈识家	内	日,doc_28_chunk_0,耿良辰坐在床边小板凳听师父给自己讲曾经的故事,
56 郊外	外	日,doc_56_chunk_0,耿良辰将路过拉菜的板车上，扯下一块麻布护在自己的腰上，跟着板车一直走,
25 陈识家	内	夜,doc_24_chunk_0,耿良辰拿着螃蟹,院内
58 大桥	外	夜,doc_58_chunk_0,耿良辰躲在一旁，看到脚行的弟兄推着车过来帮忙去推,
58 大桥	外	夜,doc_58_chunk_0,满手是血的推了一小段路，耿良辰倒地,
30 练习房	内	日,doc_29_chunk_0,耿良辰对着木桩练习刀法,
30 练习房	内	日,doc_29_chunk_0,耿良辰更加猛烈的对着木桩使刀，突然木桩一转，耿良辰倒在地上,
30 练习房	内	日,doc_29_chunk_0,耿良辰突然一醒亲了茶汤女一口,
30 练习房	内	日,doc_29_chunk_0,耿良辰用力打了木桩上的双刀,
57 街道	外	夜,doc_57_chunk_0,耿良辰一瘸一拐的走过来，直接跪倒在茶汤女脚边,书摊
37 街道	外	日,doc_36_chunk_0,耿良辰在一旁花痴的看着正在工作的茶汤女,
37 街道	外	日,doc_36_chunk_0,耿良辰看着车夫的腿不对劲，跑过去两人比试了几招散开,
37 街道	外	日,doc_36_chunk_0,耿良辰摸了摸自己的帽子，一脸赌气的离开,
38 邹馆	内	日,doc_37_chunk_0,耿良辰快速跑进邹馆长的武馆内，馆内的人都阻止不了,邹馆长的武馆内
38 邹馆	内	日,doc_37_chunk_0,耿良辰看着拿刀围上来的手下,邹馆长的武馆内
13 大桥	外	日,doc_12_chunk_0,耿良辰跟上看到陈识揽着赵国卉的腰离去,大桥上，混混事件后
44 街道	外	日,doc_43_chunk_0,耿良辰在书摊吹着口哨擦鞋，周围坐满了男子在摊位边看书,书摊
18 街道	外	日,doc_17_chunk_0,耿良辰在街面上摆书摊，望着街对面的茶汤女示意要一碗汤,街面上，摆书摊
18 街道	外	日,doc_17_chunk_0,耿良辰突然拿起双刀卡住东家的脖子,街面上，书摊被围，逼到墙脚
18 街道	外	日,doc_17_chunk_0,耿良辰倒在小车旁，手臂全是血,街面上，被东家制住
1 某咖啡店	内	日,doc_0_chunk_0,耿良辰打倒男子,咖啡馆，比武交手
1 某咖啡店	内	日,doc_0_chunk_0,耿良辰嘴角带血从咖啡馆出来离开,咖啡馆，离开
46 街道	外	日,doc_45_chunk_0,跑了过去,街边茶汤摊
46 街道	外	日,doc_45_chunk_0,在男子间找书,街边茶汤摊
34 某武馆	外	日,doc_33_chunk_0,耿良辰转身去武馆,比试前巷道
34 某武馆	外	日,doc_33_chunk_0,耿良辰阻击到了袭击,巷道中，陈识偷袭
34 某武馆	外	日,doc_33_chunk_0,耿良辰向武馆走去,武馆前
