doc_title,chunk_id,fact,scene_context
48 街道	外	日,doc_47_chunk_0,耿良辰被众人按倒在地。,街道上，百姓围观时
34 某武馆	外	日,doc_33_chunk_0,耿良辰成功阻击了陈识的偷袭。,比试前巷道
1 某咖啡店	内	日,doc_0_chunk_0,男子被耿良辰打倒在地,咖啡馆内，耿良辰与男子再次交手后
1 某咖啡店	内	日,doc_0_chunk_0,耿良辰嘴角带血,咖啡馆外，耿良辰从咖啡馆出来离开时
30 练习房	内	日,doc_29_chunk_0,耿良辰明确承诺不再去踢馆。,木桩旁，茶汤女劝阻后耿良辰承诺不再踢馆
87 火车	内	日,doc_87_chunk_0,耿良辰的书有血迹。,火车行驶在田野间
14 陈识家	外	日,doc_13_chunk_0,耿良辰向陈识和赵国卉跪拜。,
13 大桥	外	日,doc_12_chunk_0,耿良辰看到了陈识揽着赵国卉的腰离去。,大桥上
37 街道	外	日,doc_36_chunk_0,耿良辰被茶汤女禁止来吃茶汤。,茶汤摊位
58 大桥	外	夜,doc_58_chunk_0,耿良辰倒地,天津，脚行推车场景
59 仓房	内	夜,doc_59_chunk_0,耿良辰曾经训练过木桩,木桩旁，邹馆长一行人进入
49 茶馆	内	日,doc_48_chunk_0,耿良辰被一群人围攻,茶馆阳台
38 邹馆	内	日,doc_37_chunk_0,耿良辰成功进入邹馆长的武馆。,邹馆长武馆内
36 仓房	内	日,doc_35_chunk_0,耿良辰的家人只剩他一人。,仓房
36 仓房	内	日,doc_35_chunk_0,耿良辰与脚行的兄弟关系已终止。,仓房
36 仓房	内	日,doc_35_chunk_0,耿良辰现在只剩赵国卉和师父。,仓房
28 某武馆	内	日,doc_27_chunk_0,耿良辰控制了旗袍女子。,武厅比试
28 某武馆	内	日,doc_27_chunk_0,耿良辰将旗袍女子敲晕。,武厅比试
28 某武馆	内	日,doc_27_chunk_0,耿良辰赢得了比试。,武厅比试
46 街道	外	日,doc_45_chunk_0,耿良辰收到了男子给的书。,街边茶汤摊，耿良辰找书过程中
46 街道	外	日,doc_45_chunk_0,耿良辰被男子打倒在地。,街边茶汤摊，耿良辰找书过程中
