scene,question,answer,evidence,qa_type
4、INT. OFFICE NIGHT,What does HELPMANN believe about the government's battle against terrorists?,He believes the government is winning and that their morale is higher.,HELPMANN: 'On yes. Our morale is much higher than theirs... knocking them for six.',dialogue/beliefs
45、INT. SAM'S FLAT NIGHT,"In [45、INT. SAM'S FLAT NIGHT], What does the GIRL deliver?",A singing telegram for Mrs. Ida Lowry's party,GIRL (singing) Mrs Ida Lowry requests the pleasure of your company... R.S.V.P. by singing telegram,objects/props
26、EXT. MOTORWAY TUNNEL DAY,"In [26、EXT. MOTORWAY TUNNEL DAY], What is Sam doing in the Messerschmidt?",Singing along to an obscure arrangement of 'BRAZIL'.,CUT to SAM in interior of the Messerschmidt. He is singing along to an obscure arrangement of 'BRAZIL'.,character states
20、EXT. BRILLIANT SKY DAY,"In [20、EXT. BRILLIANT SKY DAY], What is the GIRL's situation?",Imprisoned in a floating cage,floating cage imprisoning the GIRL.,character states
17、INT. MR KURTZMAN'S OFFICE DAY,"In [17、INT. MR KURTZMAN'S OFFICE DAY], How does SAM react when KURTZMAN suggests his mother influenced the transfer?",He explodes and calls her a bitch,SAM (explodes) 'What a BITCH!',character states
21、INT. SAM'S BEDROOM NIGHT,"In [21、INT. SAM'S BEDROOM NIGHT], What is Sam's physical condition when he first appears in the scene?",Dripping with sweat and screaming due to the oppressive heat.,"SAM is in bed, grappling with the bedclothes. He is dripping with sweat and screaming. The room is oppressively hot.",character states
6、INT. BUTTLE FLAT NIGHT,What does Mr. Buttle have wrapped for Christmas?,A neatly wrapped Christmas present identical to the 'executive toy',MR. BUTTLE is putting the final touches to a neatly wrapped Christmas present which looks identical to the 'executive toy' we have just seen in the TECHNICIAN'S office,detailed description
23、INT. SAM'S FLAT NIGHT,"In [23、INT. SAM'S FLAT NIGHT], What is SAM's emotional state when he asks 'What is this?'",Indignant,SAM (indignantly) What is this?,character states
31、INT. BUTTLE SITTING ROOM DAY,Why is the hole still in the ceiling?,Because the Father was taken from the flat at the beginning of the film.,This is the same flat from which the FATHER was taken at the beginning of the film: the hole is still in the ceiling.,causal/relational queries
55、EXT. ICY SEA ANTI-DAY,"In [55、EXT. ICY SEA ANTI-DAY], Where does SAM emerge after climbing the ship?",Over an enormous abyss formed by the outer hull and inner stone core,Emerging from the opening he finds himself teetering over an enormous abyss formed by the outer hull and the inner stone core of the ship.,scene localization
29、INT. BUTTLE FLATS DAY,Why did Sam turn towards the stairs?,Because the lift was malfunctioning,"Resignedly, he turns towards the stairs.",causal/relational queries
41、INT. SAM'S FLAT EVENING,What causes SPOOR and DOWSER to huddle?,DOWSER's discovery of TUTTLE's spare part,DOWSER points to TUTTLE's spare part which is hanging out of the wall,causal/relational queries
39、INT. TRANSPORT CAGE EVENING,Why is SAM drawing on the computer print-out of JILL?,To turn her into the DREAM GIRL,SAM is busy drawing long flowing hair with a pencil on the computer print-out of JILL turning her into the DREAM GIRL,causal/relational queries
13、INT. MR KURTZMAN'S OFFICE DAY,What does Mr Kurtzman shout into the intercom?,Where the hell is Sam Lowry?,MR KURTZMAN (Shouting into intercom) Where the hell is Sam Lowry?!,dialogue/beliefs
5、EXT. HOUSING TOWERS NIGHT,How are the residential tower blocks described visually?,Massive residential tower blocks looming over a poorer city area,TIGHTEN in on one of several massive residential tower blocks that loom over what appears to be a poorer part of the city,detailed description
41、INT. SAM'S FLAT EVENING,Why does SPOOR play back SAM's phone call?,To prove SAM's claim of an emergency,"SPOOR plays back SAM's original phone call to Central Services, claiming 'an emergency'",causal/relational queries
18、INT. DOCTOR'S OFFICE DAY,"In [18、INT. DOCTOR'S OFFICE DAY], What is Sam's emotional state when he confronts his mother?","He is angry and frustrated, raving and groaning.","SAM is pacing around, raving. ... groans",character states
