id,scene,question,answer,evidence,qa_type
1,23、EXT. DESERT. DAY.,"In [23、EXT. DESERT. DAY.], What is the character's physical condition during the climb?",Gasping for oxygen and legs screaming for rest,"Gasping for oxygen, his legs screaming for rest",character states
2,32、EXT. OUTSIDE THE CAVE. DAY (LATER).,"In [32、EXT. OUTSIDE THE CAVE. DAY (LATER).], What is Megan's emotional state as described in the passage?",Self-conscious but sweet-natured and fun.,A little self consciousness has returned but it's sweet-natured and fun still,character states
3,22、EXT. DESERT. DAY.,"In [22、EXT. DESERT. DAY.], What emotion does the man experience?",Exhilaration from challenging nature,you get a sense of the exhilaration this man gets from pitting himself alone against what nature can offer,character states
4,36、EXT. BLUE JOHN CANYON. DAY.,What belief does Aron express regarding beer?,He believes beer is enjoyable at the end of the day.,ARON (CONT'D) ...end of the day.,dialogue/beliefs
5,37、EXT. CANYON. GULLEY.,What steps does Aron describe for descending the gulley?,"Place one foot on each wall, squat onto right heel, move right foot across, position left foot under butt, scootch butt down, avoid slick black part.",Aron's detailed instructions on chimneying down the gulley with specific foot and body movements.,detailed description
6,"38、EXT. CONJUNCTION OF BLUE JOHN CANYON, WEST FORK, EAST FORK.",What does Megan say about Aron's plan?,She says he'll never get out before dark.,You'll never get out before dark.,dialogue/beliefs
7,17、EXT. PARKING AREA. NIGHT.,What is the relationship between the signs and the encampments at the Trailhead?,"The signs prohibit camping, but encampments exist despite this.","three other vehicles and two encampments at the Trailhead, despite signs prohibiting camping",causal/relational queries
8,28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO.,"In [28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO.], What is Aron's behavioral state?","Crazy, but harmless","He's crazy, but harmless.",character states
9,42、EXT. BLUE JOHN CANYON. DAY.,What prevents the character from landing hard on his ass?,his arms and the proximity of the walls,Only his arms and the proximity now of the walls prevent him landing hard on his ass,detailed description
10,20、EXT. DESERT. VARIOUS.,What does the man do after parking his motorized transport?,He plows into the land like an ad for extreme sports.,Having parked his motorized transport he ploughs into the land like an ad for extreme sports.,detailed description
11,18、INT. ARON'S TRUCK. NIGHT.,Why did he fling everything out of the way?,To make space for his sleeping bag and pad.,flings everything out of the way of his sleeping bag and pad,causal/relational queries
12,66、INT. CANYON FLOOR. DAY.,"In [66、INT. CANYON FLOOR. DAY.], What is Aron's hand doing despite his efforts?",It is stuck and cannot be moved.,"Pulls and pulls, yanks until his shoulder will dislocate, but nothing moves.",objects/props
13,39、EXT. CANYON FORK. DAY. POV VARIOUS.,What does a character say about eating vegetarian hotdogs?,"I really can't eat all these vegetarian hotdogs by myself... never mind, yes I can!","I really can't eat all these vegetarian hotdogs by myself... never mind, yes I can!",dialogue/beliefs
14,40、EXT. MAIN BLUE JOHN CANYON. DAY.,When does Aron check his watch?,As he picks up the pace,he picks up the pace as he checks his watch,temporal references
15,27、EXT. APPROACH TO BLUE JOHN CANYON. DAY.,Why does Aron rush towards the girls?,He sees them passing a map,He can see now it's 2 girls passing a map back and forth between them. He rushes towards them,causal/relational queries
16,15、EXT. HIGH ABOVE ARON'S TRUCK. NIGHT.,"In [15、EXT. HIGH ABOVE ARON'S TRUCK. NIGHT.], What does 'CUT TO' signify in the context of screenplay notation?",A film editing term indicating a scene transition.,CUT TO:,terminology/abbreviation/concept
17,35、EXT. OUTSIDE THE CAVE.,What does Aron do with the packaging after the conversation?,He gathers all their packaging and stuffs it in his backpack.,He gathers all their packaging and stuffs it in his backpack.,detailed description
18,29、INT. CAVE. APPARENTLY SMOOTH DOME. DAY,"In [29、INT. CAVE. APPARENTLY SMOOTH DOME. DAY], What is Aron's physical condition?",Stripped to his underwear and lithe,He's stripped to his underwear. He's lithe to say the least.,character states
19,42、EXT. BLUE JOHN CANYON. DAY.,What action does the character take to maintain balance on the pebbles?,skates/snap-kicks trying to keep his balance,his feet suddenly slide forward from under him and he skates/snap-kicks trying to keep his balance on a floor of scattering pebbles,detailed description
20,25、EXT. DESERT. DAY.,"In [25、EXT. DESERT. DAY.], What is the character's behavioral state as he leaves the tree?","U-locks his bike, pockets the keys, and scoffs a muffin.","At what seems like the only tree for miles he U-locks his bike in the shade, pockets the keys, scoffs a muffin and heads off into the desert.",character states
21,"27、EXT. APPROACH TO BLUE JOHN CANYON. DAY. | 28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO. | 38、EXT. CONJUNCTION OF BLUE JOHN CANYON, WEST FORK, EAST FORK.",What does Kristi state about their map when Aron asks if they are looking for the rock paintings or the Cathedral?,Kristi states that their map isn’t much help.,"Kristi looks at Megan and says they’ve become disoriented, adding that their map isn’t much help.",character states
22,"28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO. | 38、EXT. CONJUNCTION OF BLUE JOHN CANYON, WEST FORK, EAST FORK.",When does Aron offer Kristi a ride back to her car?,Aron offers Kristi a ride back to her car after suggesting she join him for the Big Drop Rappel at a fork in the path.,"At a fork in the path, Aron suggests Kristi join him for the Big Drop Rappel and offers her a ride back to her car afterward.",temporal references
23,"32、EXT. OUTSIDE THE CAVE. DAY (LATER). | 38、EXT. CONJUNCTION OF BLUE JOHN CANYON, WEST FORK, EAST FORK.",What does Aron state about the beers he will have at the party?,Aron states that he will have three cold beers waiting for Kristi and Megan at the party.,Aron tells Kristi and Megan that he’ll have three cold beers waiting for them at the party.,character states
24,29、INT. CAVE. APPARENTLY SMOOTH DOME. DAY | 28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO. | 30、INT. CAVE. DAY.,What does Aron state about the holds as he nears the center?,Aron states that there are no more holds.,"As he nears the center, he declares there are no more holds—and lets go, falling into a deep emerald pool sixty feet below.",character states
25,"27、EXT. APPROACH TO BLUE JOHN CANYON. DAY. | 28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO. | 38、EXT. CONJUNCTION OF BLUE JOHN CANYON, WEST FORK, EAST FORK.",What does Aron state about his biking trip to the canyon?,Aron states that he biked from Horseshoe Canyon and that the ride was windy.,Aron replies that he biked from Horseshoe Canyon. Aron adds that the ride was also windy.,character states
26,"28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO. | 32、EXT. OUTSIDE THE CAVE. DAY (LATER). | 38、EXT. CONJUNCTION OF BLUE JOHN CANYON, WEST FORK, EAST FORK.",When does the party that Aron invites Kristi and Megan to begin?,The party begins late the next night.,Aron invites Kristi and Megan to a party at his friends' place the next night and says the party starts late and goes all night.,temporal references
27,"28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO. | 38、EXT. CONJUNCTION OF BLUE JOHN CANYON, WEST FORK, EAST FORK.",Why do Kristi and Megan find Aron's journey to the canyon impressive?,"Kristi and Megan find Aron's journey impressive because he biked from Horseshoe Canyon, which is a long distance, and the ride was windy, making the trip challenging.","Megan reacts with surprise, pointing out how far Horseshoe Canyon is, and Aron adds that the ride was also windy. The two women glance at each other, then laugh, indicating their amazement at the difficulty of his journey.",causal/relational queries
28,"38、EXT. CONJUNCTION OF BLUE JOHN CANYON, WEST FORK, EAST FORK.",Why does Aron mention the inflatable Scooby Doo on the east road?,Aron mentions the inflatable Scooby Doo as a landmark to help Kristi and Megan find the turnoff to the party location.,Aron tells them to take the east road and look for a large inflatable Scooby Doo several miles out. He says to turn off there and follow a track for about two miles.,causal/relational queries
29,28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO. | 29、INT. CAVE. APPARENTLY SMOOTH DOME. DAY | 30、INT. CAVE. DAY.,What does Aron state about the holds as he leads the group downward?,"Aron states that there are thousands of holds, but they can only be seen when nearly inverted.","He explains that thousands of holds exist but can only be seen when nearly inverted, urging the others to follow and shed as much clothing as they dare.",character states
30,27、EXT. APPROACH TO BLUE JOHN CANYON. DAY. | 28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO. | 29、INT. CAVE. APPARENTLY SMOOTH DOME. DAY,What does Aron state about encountering other people in the desert?,Aron states that he did not expect to run into anyone out there.,"Aron says he didn’t expect to run into anyone out here, his voice tinged with genuine surprise.",character states
31,"28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO. | 32、EXT. OUTSIDE THE CAVE. DAY (LATER). | 38、EXT. CONJUNCTION OF BLUE JOHN CANYON, WEST FORK, EAST FORK.",What does Aron say about his current romantic relationship status when asked by Kristi?,Aron says there is no one special in his life.,"When Kristi asks if he has a girlfriend, he smiles and says there’s no one special.",character states
32,"27、EXT. APPROACH TO BLUE JOHN CANYON. DAY. | 28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO. | 38、EXT. CONJUNCTION OF BLUE JOHN CANYON, WEST FORK, EAST FORK.",What does Aron state about his biking trip to the canyon?,Aron states that he biked from Horseshoe Canyon and that the ride was windy.,Aron replies that he biked from Horseshoe Canyon. Aron adds that the ride was also windy.,character states
33,"27、EXT. APPROACH TO BLUE JOHN CANYON. DAY. | 28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO. | 38、EXT. CONJUNCTION OF BLUE JOHN CANYON, WEST FORK, EAST FORK.",What does Aron state about the party's start time and duration?,Aron states that the party starts late and goes all night.,He adds that the party starts late and goes all night.,character states
