doc_title,chunk_id,fact,scene_context
142、INT. RAND'S HOSPITAL ROOM - MORNING,doc_141_chunk_4,Ben Rand is dead.,
141、EXT. RAND MANSION - PATIO - MORNING,doc_140_chunk_2,Ben Rand has requested to see Chance.,"Teresa reports Ben Rand's request to see Chance, leading Chance to follow Teresa into the house."
218、INT. RAND'S HOSPITAL ROOM - MORNING,doc_217_chunk_0,Ben Rand is dressed for his meeting with the President.,"in a room, preparing for a meeting with the President"
124、EXT. SOPHIE'S - EVENING,doc_123_chunk_0,Ben owns a tuxedo.,"Sophie's house, limousine arrival"
117、INT. RAND'S HOSPITAL ROOM - NIGHT,doc_116_chunk_2,Ben Rand is being readied for an injection by Allenby,"After Eve and Chance leave the room, Allenby prepares Ben Rand for injection."
218、INT. RAND'S HOSPITAL ROOM - MORNING,doc_217_chunk_1,Ben is thanked by Chauncey.,
213、INT. RAND'S POOL ROOM - NIGHT,doc_212_chunk_4,Ben Rand requests Allenby to examine Chance's leg.,"Chance complains of a sore leg, and Ben Rand asks Allenby to look at it."
227、INT. RAND LIBRARY - MORNING,doc_226_chunk_1,Rand introduces Chance to the President.,Meeting with the President
273、INT. RAND'S HOSPITAL ROOM - NIGHT,doc_272_chunk_1,Ben Rand asks Chauncey for a favor to attend Senator Rowley's widow's reception.,Medical procedure preparation
273、INT. RAND'S HOSPITAL ROOM - NIGHT,doc_272_chunk_2,Allenby readies Ben Rand for the injection.,After Eve and Chance leave the room.
298、INT. RAND'S HOSPITAL ROOM - MORNING,doc_297_chunk_4,Ben Rand is dead,Rand dies
55、INT. RAND'S HOSPITAL ROOM - NIGHT,doc_54_chunk_0,Rand is receiving a transfusion.,"Rand Memorial Hospital, during a transfusion."
212、INT. RAND DINING ROOM - NIGHT,doc_211_chunk_3,Ben Rand promises to show the gardens to Chauncey tomorrow.,"In the house, after Chance asks about the garden"
57、INT. RAND'S POOL ROOM - NIGHT,doc_56_chunk_4,Ben Rand instructs Allenby to examine Chance's leg.,"Chance complains of sore leg, Ben Rand asks Allenby to examine it."
56、INT. RAND DINING ROOM - NIGHT,doc_55_chunk_4,Ben Rand promises that Chance will see the gardens tomorrow.,"Inside a house, after Chance asks about the garden."
68、INT. RAND'S HOSPITAL ROOM - MORNING,doc_67_chunk_0,Rand instructs Mrs. Aubrey to show the President to the library.,"Phone call with Mrs. Aubrey, arranging the President's arrival in the library."
68、INT. RAND'S HOSPITAL ROOM - MORNING,doc_67_chunk_0,Rand commits to meeting the President on his own two feet.,"After hanging up the phone, Rand refuses the wheelchair and states he will meet the President standing."
78、INT. RAND'S BEDROOM - DAY,doc_77_chunk_3,Rand is receiving aid.,at bedside
62、INT. RAND'S HOSPITAL ROOM - MORNING,doc_61_chunk_0,Ben Rand is dressed for his meeting with the President.,"Room with nurses, preparing for President meeting."
230、INT. LIBRARY - MORNING,doc_229_chunk_6,The President thanks Ben Rand for his time and thoughts.,Meeting with the President
230、INT. LIBRARY - MORNING,doc_229_chunk_6,The President conveys Nancy's best wishes to Ben Rand.,Meeting with the President
