scene,question,answer,evidence,qa_type
13、INT. HOTEL ROOM - DAY,Why does Joe arrange his cuffs?,To show off the yellow sunburst at the ankle,arranging his cuffs to show off the yellow sunburst at the ankle,causal/relational queries
6、INT. TV STUDIO - DAY,What question does the Moderator pose?,Will American know-how create a marketable male to replace men worried by women's sexual demands?,MODERATOR My question is this -- will American know-how come up with a marketable male to replace all the men who are worrying themselves into an early grave over women's increasing sexual demands?,dialogue/beliefs
46、EXT. MANHATTAN SKYLINE - DAY,What does Joe say he will do?,Gonna swing my lasso and rope that whole goddam island,"Gonna swing my lasso and rope that whole goddam island, yeah!",dialogue/beliefs
23、EXT. BUS DEPOT - DAY,What is the pattern of shots in the scene?,Alternating high shots with close-ups of the bus wheels,alternating high shots with close-ups of the bus wheals,detailed description
41、INT. BUS - DAY,What do the Veterans sing as they segue into the song?,"Over hill, over dale, we will hit the dusty trail, as the caissons go rolling along","the Veterans segue into ""Over hill, over dale, we will hit the dusty trail, as the caissons go rolling along...""",dialogue/beliefs
39、INT. BUS - DAY,What does Joe say about his last laugh?,"I ain't laughed so hard since I was out at Fort Benning, Georgia","JOE
Jesus goddam Christ, I ain't laughed so hard since I was out at Fort Benning, Georgia.",dialogue/beliefs
30、INT. BUS - NIGHT,What does Joe say about the deal with Sister Rosella?,"You throw in Sister Rosella and you got a deal, right, old timer?","JOE
You throw in Sister Rosella and you got a deal, right, old timer?",dialogue/beliefs
16、INT. SUNSHINE CAFETERIA - DAY,Why is the Manager holding his watch?,To check the time for the four o'clock appointment.,"Holding his watch, You're due here at four o'clock.",causal/relational queries
3、EXT. SIDEWALK INTERVIEW - DAY,What visual image does the COOL WOMAN describe?,A man eating a woman,"This, this image of the, the man eating woman",detailed description
35、INT. BUS - MORNING,When does Joe call out to the Old Cowhand?,After the Old Cowhand starts toward the front,starts toward the front of the bus,temporal references
31、INT. REMEMBERED BEDROOM - ANOTHER TIME,What does Sally Buck exclaim when Woodsy lifts her?,Woodsy Niles! The boy!,SALLY BUCK: Woodsy Niles! The boy!,dialogue/beliefs
47、EXT. BROADWAY PARADE - DAY,What does 'INTERCUT NEWSREEL CLIP' refer to in the passage?,A scene transition showing a newsreel clip of Charles Lindbergh waving.,"INTERCUT NEWSREEL CLIP
Charles Lindberg (or James Stewart) waving at the crowd.",terminology/abbreviation/concept
39、INT. BUS - DAY,What does the Marine say about the deal?,Big peni-goddam-cillin bargain,"MARINE
Big peni-goddam-cillin bargain, right?",dialogue/beliefs
42、INT. REMEMBERED BEAUTY SALON - ANOTHER TIME,What action does Sally Buck perform on Joe's lips?,Sally Buck wipes lipstick from Joe's lips.,Sally Buck fondly wipes lipstick from Joe's lips.,detailed description
24、EXT. FREEWAY CLOVERLEAF - DAY,"In [24、EXT. FREEWAY CLOVERLEAF - DAY], Where is the montage of traffic lines, arrows, and signs visible?",Through the bus windshield,"Through the bus windshield -- a dizzying montage of traffic lines, arrows and signs as the bus sweeps around and up onto the freeway.",scene localization
43、INT. BUS - DAY,What does Joe attempt to follow while performing the action?,"the song into 'Off we go, into the wild blue yonder...'","trying to follow the song into 'Off we go, into the wild blue yonder...'",detailed description
40、INT. REMEMBERED WHOREHOUSE - ANOTEER TIME,What does the prostitute claim about the soldier?,"You gonna cost me money, soldier!","PROSTITUTE
You gonna cost me money, soldier!",dialogue/beliefs
35、INT. BUS - MORNING,When does Joe wave at the Old Cowhand?,As the bus pulls away,as the bus pulls away,temporal references
29、EXT. HIGHWAY - NIGHT,What do the bus headlights illuminate?,A huge sign reading 'JESUS SAVES' on a barn's slant roof.,"The headlights of the bus flash past a huge sign, painted on the slant roof of a barn: JESUS SAVES.",detailed description
23、EXT. BUS DEPOT - DAY,What camera angles are used in the scene?,High angle and close-ups of the bus wheels,high angle of the departing bus... close-ups of the bus wheals,detailed description
