id,scene,question,answer,evidence,qa_type
1,阿祖家，日，外,薇薇如何回应阿达的惊讶？,确认棺材存在并问是否吓人,薇薇：是啊，吓不吓人？,detailed description
2,小剧场，夜，内,薇薇为什么感到委屈？,她第一次看着亲近的人去世。,薇薇委屈的抱住阿达：我第一次看着一个人就这么没了，而且还是我这么亲近的人。,causal/relational queries
3,岳惠英家，夜，内,岳惠英为什么关掉床头灯？,她猜到女儿回来了,她猜到是女儿回来了，赶紧将床头灯关上了,causal/relational queries
4,学校门口，日，外,卢晓光为何要抢夺摄像师的相机？,因之前迁坟事件引发的矛盾,卢晓光冲过来去抢摄像师的相机。,causal/relational queries
5,乡村街道办事处，日，外,工作人员提到法律不承认什么？,家谱作为有效证明。,光有这个家谱是不行的，法律是不承认的。,causal/relational queries
6,村长家，日，内,阿祖在律师的话后如何回应？,着急又结巴,阿祖因为着急又结巴起来,detailed description
7,民政局，日，内,在[民政局，日，内]中，工作人员要求岳惠英如何证明父母的夫妻关系？,到当时父母办理结婚登记的街道查询原始资料,你到当时你父母办理结婚登记的街道去查询一下原始资料,detailed description
8,民政局，日，内,"在[民政局，日，内]中, 岳惠英递给了工作人员什么资料？",53年的原始婚姻资料,岳惠英来到了民政局，把资料递给了一个工作人员。,objects/props
9,学校操场，日，外,卢晓光射门导致什么结果？,球砸中岳惠英的眼角,卢晓光一个射门，球朝着岳惠英飞了过去。几个学生过来要阻止，岳惠英发现不对劲扭了一下头，球正好砸在了她的眼角。,causal/relational queries
10,阿祖家，日，外,阿祖为什么朝门口扭头？,因为听到外面传来滑倒的声音,阿祖听到外面传来一阵滑倒的声音，她朝门口扭了一下头。,causal/relational queries
11,学校门口，日，外,岳惠英为何在听到记者提问后脸色大变？,记者提到父亲的坟墓问题,岳惠英看到了摄像师，瞬间脸色大变，直接低头走开。,causal/relational queries
12,阿祖家，夜，内,阿祖如何处理家谱？,用陈旧的布包起来并放入盒子上锁,阿祖将家谱用一块陈旧的布慢慢包起来。把包好的家谱放在了一个陈旧的盒子里，然后慢慢用锁锁上。,detailed description
13,街道，日，外,尹笑平为什么拍照？,确认南墙位置,尹笑平掏出手机照片：别动啊，照一张。,causal/relational queries
14,医院，日，内岳惠英的梦境,岳惠英的呻吟声变大与什么有关？,与她从梦中醒来有关,画面切回 岳惠英的呻吟声越来越大，动作幅度也越来越大,causal/relational queries
15,火葬场，日，内,"在[火葬场，日，内]中, 尹笑平在火葬后做了什么？",把颅骨装了起来,尹笑平把颅骨装了起来。,character states
16,乡村村口，日，外,"在[乡村村口，日，外]中, 薇薇拍摄的牌坊上刻着什么字？",坚辉节操、妇职还兼、慈亲即是,薇薇看着牌坊：真有贞节牌坊这种东西啊！（拿出相机拍了一张照片，看着上面的字）坚辉节操、妇职还兼、慈亲即是。,objects/props
17,阿祖家，日，外,"在[阿祖家，日，外]中, 尹笑平面对棺材时的情绪状态如何？",很淡定,尹笑平很淡定,character states
18,田地，日，外,为什么薇薇问外婆临终前没说迁坟的事？,因为岳惠英提到要迁坟合葬,岳惠英：我妈说的，我懂。,causal/relational queries
19,阿祖家，夜，内,阿祖如何评价薇薇的行为？,不像话，都是湿的，脏死了。,阿祖：你这不像话啊，不像话。阿祖：你别脱，你别脱，不像话，都是湿的，脏死了，快起来。,dialogue/beliefs
20,乡村街道办事处，日，外,工作人员为何拒绝接受家谱？,法律不承认家谱作为有效证明。,法律是不承认的。,causal/relational queries
21,宾馆，日，内,薇薇在红衣女孩儿离开后对阿达表现出怎样的情感状态？,薇薇表现出强烈的情感冲动和占有欲，通过扑倒阿达并要求同居和领证来表达她对关系的迫切确认。,薇薇在红衣女孩儿离开后将阿达扑倒在床上，激烈亲吻并主动提出搬过来住和去领证，表明她急于确立与阿达的亲密关系。,character states
22,岳惠英家，夜，内 | 医院，日，内岳惠英的梦境,岳惠英在梦中与男孩相握后，醒来时的身体反应和情绪表现是什么？,岳惠英醒来时脸上还带着笑意，身体微微蹭着床单，嘴里发出轻微的呻吟，随后翻身睁眼，见到卢伟光后显得有些羞窘。,她醒来时脸上带着笑意，身体微微蹭着床单，发出呻吟，见到卢伟光后侧身，神情羞窘。,character states
23,岳惠英家，夜，内 | 岳惠英家，日，内,在薇薇离家出走后，岳惠英表现出怎样的情绪状态？,岳惠英表现出悲伤和压抑的情绪状态，她在女儿离开后低声哽咽、流泪，并跪在母亲的遗像前低头不语。,岳惠英在薇薇离开后哽咽落泪，随后跪在母亲遗像前低头不语。,character states
24,火葬场，日，内 | 岳惠英家，日，内 | 医院病房，日，内,在火葬师引导家属鞠躬告别时，尹笑平表现出怎样的情绪状态？,文本未直接描述尹笑平在鞠躬告别时的具体情绪状态，仅描述其参与了鞠躬仪式。,火葬师引导家属鞠躬时，一家三口低头弯腰行礼，尹笑平作为家庭成员之一参与了全过程，但无关于其个人情绪的明确陈述。,character states
25,医院病房，日，内 | 小剧场，夜，内,在医院病床上最后一次苏醒时，外婆的身体状态表现出哪些迹象表明她已极度虚弱？,外婆睁开眼睛时只能轻微活动嘴唇却发不出声音，呼吸逐渐变得微弱，最终停止，表明她已极度虚弱。,外婆嘴唇轻轻动了动但没能发出声音，呼吸渐渐微弱直至停止。,character states
26,岳惠英家，日，内 | 学校门口，日，外,在女记者提出迁坟问题后，岳惠英的情绪和态度发生了怎样的变化？,岳惠英最初对女记者表现出热情和信任，但在对方拿出话筒并准备拍摄时，她立刻变得紧张并选择回避。,岳惠英一开始主动询问薇薇下落，表现出亲近态度，但一看到摄像设备就脸色突变、低头离开。,character states
27,岳惠英家，日，内 | 岳惠英家，夜，内 | 医院，日，内岳惠英的梦境,薇薇在决定离家时，对母亲岳惠英表达了怎样的情绪和立场？,薇薇情绪激动，表达了对母亲长期控制家庭事务的不满，明确表示希望母亲不要再干涉自己的事。,薇薇情绪激动地质问母亲是否所有事都得听她安排，并提到迁坟和过去被迫去乡下的事，最后声明上一代的事请母亲别插手，自己的事也请以后不要再管。,character states
28,街道，日，外,在尹笑平指出刘春生家杂货铺的原址后，他根据什么推断出街道办事处的位置？,他根据杂货铺原来的位置和旧时布局推断出街道办事处应该在杂货铺里面的区域。,尹笑平提到杂货铺以前在这附近，并依据原来的布局判断街道办事处应在其中,temporal references
29,岳惠英家，日，内 | 岳惠英家，夜，内 | 岳惠英家，日，内,在薇薇离家出走后，岳惠英表现出怎样的情绪状态？,岳惠英在薇薇离开后感到极度悲伤和无助，她先是低声哽咽、流泪，随后走到母亲的遗像前跪下，表现出内心的痛苦和情感崩溃。,薇薇离开后，岳惠英回到沙发上哽咽落泪，随后走到母亲遗像前跪下，低头不语。,character states
30,乡下村口，日，外 | 田地，日，外,在电视台车辆离开时，阿祖表现出怎样的情绪状态？,阿祖表现出愤怒和抗拒的情绪状态。,阿祖拿着小木棍追着电视台的车，表现出对拍摄行为的激烈反对。,character states
31,阿祖家，日，外 | 浴室，夜，外 | 阿祖家，夜，内,薇薇在洗澡时提到外婆临终前没有说话，她此时对阿祖表现出怎样的态度？,薇薇表现出试图拉近距离、寻求沟通的态度，她主动叫住准备离开的阿祖，提出要讲外婆临终前的话，即使后来说明外婆其实什么也没说，仍继续与阿祖对话，表现出想建立情感联结的意愿。,薇薇在洗澡时叫住阿祖，提出要讲外婆临终前的话，即使后来说明外婆什么也没说，仍继续询问阿祖关于棺材和浴缸的事，表现出持续沟通的意图。,character states
32,公交车，日，外 | 岳惠英家，日，内 | 岳惠英家，夜，内,在尹笑平与岳惠英争吵后，岳惠英表现出怎样的心理状态？,岳惠英感到不满和回避，通过回房和关灯假装睡着来避免进一步冲突。,岳惠英在争执后拿着装信的盒子走进卧室，并在听到女儿回来时关灯假装睡着，表现出回避情绪。,character states
33,阿祖家，夜，内 | 宾馆，日，内,薇薇在决定和阿达去领证时表现出怎样的心理状态？,薇薇表现出坚定且急切的心理状态，她主动提出搬过来住并要求去领证，面对阿达的犹豫反复强调自己不后悔。,薇薇主动扑倒阿达并激烈亲吻，坚持要搬过来住，多次表示不后悔，最后主动提出去领证。,character states
34,学校门口，日，外,在记者提到岳惠英父亲的原配正在守坟后，岳惠英的情绪和行为发生了怎样的变化？,岳惠英在听到记者提及父亲原配守坟后，脸色突然改变，低头快步离开，随后情绪激动地阻止拍摄并要求删除录像。,岳惠英听到摄像机声音后脸色突变，看到摄像机就低头快走，之后因记者追问而情绪激动，上前捂住镜头并要求删除 footage。,character states
35,田地，日，外,为什么岳惠英坚持要继续迁坟，即使村长表现出犹豫？,因为岳惠英认为迁自己父亲的坟没有错，而且钱已经付了，所以她坚持继续。,岳惠英反问迁自己父亲的坟有什么错，并在村长犹豫时强调钱都付了。,causal/relational queries
