id,scene,question,answer,evidence,qa_type
1,9、INT THE KITTREDGE.'S LIVING ROOM NIGHT,What does Geoffrey believe about staying in South Africa?,"He believes one must stay to educate black workers, considering their killing a sign of success.",One has to stay there to educate the black workers and we'll know we've been successful when they kill us.,dialogue/beliefs
2,36、EXT DR. FINE'S BROWNSTONE DAY,Why did Dr. Fine give Paul the keys to the brownstone?,"Under false pretenses, as Paul lied about his identity.","Yes, but under false pretenses. This fucking black kid crack addict comes into my office LYING",causal/relational queries
3,9、INT THE KITTREDGE.'S LIVING ROOM NIGHT,What does Flan say about Geoffrey's safety?,Flan tells Geoffrey he must move out of South Africa to avoid being killed.,"Geoffrey, you have to move out of South Africa. You'll be killed. Why do you stay in South Africa?",dialogue/beliefs
4,37、EXT THE STRAND BOOKSTORE 12th STREET AND BROADWAY DAY,Why didn't Dr. Fine meet the boy before?,"His mother had custody, and he lived out West. After graduation, she moved west, and he moved east.","DR. FINE: His mother had custody. I lived out West. After he graduated from high school, she moved west. I moved east.",causal/relational queries
5,29、INT THE MORGAN LIBRARY NIGHT,Why does OUISA want to contact the man's father?,To verify the truth of the story,I wish I knew how to get hold of his father. Just to see if there is any truth in it.,causal/relational queries
6,36、EXT DR. FINE'S BROWNSTONE DAY,What caused Paul to roll over when the cop appeared?,Because the cop had a gun drawn.,"when the COP appears with the gun, PAUL rolls over on his side out of the chair",causal/relational queries
7,30、EXT CENTRAL PARK DAWN,What caused Ouisa to scream?,Paul's fall over the window ledge,OUISA screams. PAUL falls over backward into space.,causal/relational queries
8,19、INT KENNEDY AIRPORT THE GATE,"In [19、INT KENNEDY AIRPORT THE GATE], What is FLAN's emotional state when he and OUISA look at each other?",Amazement,FLAN and OUISA look at each other in amazement.,character states
9,30、EXT CENTRAL PARK DAWN,Why did Ouisa open the window?,She heard someone tapping on the window pane,OUISA sits up when SHE hears someone tapping insistently on the window pane.,causal/relational queries
10,11、INT THE WHITE WALL,What did Paul's father say about his childhood poverty?,"He said, 'so poor they didn't even own dirt.'","PAUL
He grew up on Cat Island, ""so poor they didn't even own
dirt"" he has said.",dialogue/beliefs
11,25、INT PRECINCT,"In [25、INT PRECINCT], What emotion does LARKIN express about the incident?",Guilt,We feel so guilty.,character states
12,41、EXT ELIOT HOUSE,Why do the parents leave the Harvard building?,Because Woody's wrath drives them out.,"WOODY's wrath grows and grows and drives OUISA and FLAN, indeed all the PARENTS, out of the serene, venerable Harvard building onto the street.",causal/relational queries
13,5、EXT HENRY HUDSON PARKWAY DAY,What causes FLAN to turn off the tape deck?,He blames Maria Callas for the near-accident.,It's that fucking Maria Callas! Turn that damn thing off!,causal/relational queries
14,5、EXT HENRY HUDSON PARKWAY DAY,Why does FLAN drive recklessly?,He believes driving calms him.,FLAN (FURIOUS) Driving calms me!,causal/relational queries
15,37、EXT THE STRAND BOOKSTORE 12th STREET AND BROADWAY DAY,What is the common thread linking the group?,Their children went to the same boarding school.,OUISA: All we have in common is our children went to boarding school together.,causal/relational queries
16,11、INT THE WHITE WALL,What did Paul's father express about his career success?,"He said, ""I still don't fully understand how all that came about.""","PAUL
Dad said to me once ""I still don't fully understand
how all that came about in the sequence it came
about"".",dialogue/beliefs
17,17、INT JFK THE TERMINAL,"In [17、INT JFK THE TERMINAL], How does Flan react to the suggestion of calling?",Refuses with 'No! We'll call!',FLAN No! We'll call!,character states
18,10、INT MILLBROOK CLUB BAR,"In [10、INT MILLBROOK CLUB BAR], What is the condition of Paul's shirt?",Ripped and bloodied,PAUL's shirt front is ripped and bloodied. Fresh blood.,objects/props
19,21、INT/EXT THE CAR TACONIC PARKWAY DAY,"In [21、INT/EXT THE CAR TACONIC PARKWAY DAY], What is the emotional state of FLAN and OUISA as they drive back?",Composed and pleased,THEY are more composed now than when THEY left - and even pleased.,character states
20,34、INT EXAMINING ROOM DAY,What caused Dr. Fine to gain direction and confidence?,The bravery of the matinee idol's films.,"This kid's father - the bravery of his films - had given me a direction, a confidence.",causal/relational queries
21,35、INT COLLEGE DORM ROOM DAY,Why does Doug accuse his father of being a rotten father?,Because his father gave keys to a stranger and other negative actions.,DOUG... You gave the keys to a stranger... Mom said sleeping with you was like sleeping with a salad...,causal/relational queries
22,46、INT TRENT CONWAY'S APARTMENT NIGHT,"In [46、INT TRENT CONWAY'S APARTMENT NIGHT], Where does PAUL pace around the room, looking into the address book?",Trent Conway's Apartment,"TRENT CONWAY'S APARTMENT PAUL paces around the room, looking into this book.",scene localization
23,34、INT EXAMINING ROOM DAY,What caused Dr. Fine's self-hatred and fear?,The death of his grandparents in the war.,"My grandparents were killed in the war. I had this sense of self-hatred, of fear.",causal/relational queries
24,3、EXT KITTREDGE'S APARTMENT BUILDING 910 FIFTH AVENUE DAY,When does Ouisa offer to drive?,After Flan says he's shaking,FLAN (a statement of fact) I'm shaking. OUISA Then I'll drive.,temporal references
25,1、INT KITTREDGE'S APARTMENT LIVING ROOM DAWN,What happens when Flan and Ouisa discover the Kandinsky painting is missing?,"Flan and Ouisa become alarmed when they notice the Kandinsky is missing from the wall, as indicated by discoloration on the wallpaper; Ouisa panics and wants to call the police, but Flan finds the painting leaning against a Chippendale chair, and after Ouisa examines both its chaotic and geometric sides, she decides to hang it back with the calm, ordered side facing forward.","Ouisa notices discoloration on the wallpaper and steps closer. The Kandinsky is gone. She cries out, her voice rising in panic, and insists they call the police. Flan scans the room, then spots the painting leaning against a Chippendale chair. He calls out, and Ouisa rushes over. She picks up the canvas, turns it over in her hands, and sees both sides—geometric and chaotic. She hangs it back on the wall, choosing the calm, ordered side to face the room.",detailed description
26,22、EXT EAST 67TH STREET DAY | 24、INT MORTIMER'S RESTAURANT AFTERNOON | 25、INT PRECINCT | 28、INT THE PRECINCT | 37、EXT THE STRAND BOOKSTORE 12th STREET AND BROADWAY DAY,Why does the detective refuse to take action after hearing Flan and Ouisa's account?,The detective refuses to take action because there are no formal charges filed.,"After hearing them out, the detective closes his notebook and says he cannot take action without formal charges.",causal/relational queries
27,"5、EXT HENRY HUDSON PARKWAY DAY | 6、EXT ST PETER'S EPISCOPAL CHURCH LITHGOW, NEW YORK DAY",What does Flan state about driving during the argument after the close call with the truck?,Flan states that driving calms him.,FLAN shouts that driving calms him.,character states
28,1、INT KITTREDGE'S APARTMENT LIVING ROOM DAWN,Why do Flan and Ouisa become frightened and begin searching the dark hallway?,"They become frightened because Flan suddenly stops and calls out 'Hello?' in fear, prompting Ouisa to rush to him, and they then move together down the hallway, scanning for someone else in the apartment.","Flan suddenly stops, his face filled with fear, and calls out, 'Hello?' Ouisa rushes to him, terrified, and he pulls her close. They stand together in the dim light, then move slowly down the dark hallway, scanning the shadows, stepping carefully as they search for any sign of someone else in the apartment.",causal/relational queries
