scene,question,answer,evidence,qa_type
13、INT. AMY'S HOTEL ROOM - NIGHT,What does Marla say about her fate when she addresses Amy in the tape?,"I knew you'd come. Course if you're watching this tape, it's already too late for me. But maybe you can stop it.","MARLA (a little sad) I knew you'd come. Course if you're watching this tape, it's already too late for me. But maybe you can stop it.",dialogue/beliefs
44、INT. SUBWAY TUNNEL - NIGHT,What is the purpose of self-inflicted harm according to Marla?,It is the final preparation for giving her soul willingly.,You have to come to the point where you can do it to yourself -- that's the acceptance. The final preparation before you give your soul to it. Willingly.,causal/relational queries
50、INT. HALLWAY - DAY (FLASHBACK),What does Amy's father do after looking down the corridor?,He turns and storms off in the opposite direction.,He turns and storms off in the opposite direction.,detailed description
57、INT. WINTER'S ROOM - DAY,"In [57、INT. WINTER'S ROOM - DAY], What object is described as being in a solved configuration on the altar?",The PUZZLE BOX,"With a glance she can see that the PUZZLE BOX, in its solved configuration, sits on a make-shift altar at the head of the mattress.",objects/props
15、INT. AMY'S HOTEL ROOM - NIGHT,"In [15、INT. AMY'S HOTEL ROOM - NIGHT], What visual changes occur when the puzzle box unlocks?","Light emanates from within as it clicks into another form, and the table trembles.","Light seems to emanate from within as it clicks into another form. The table beneath it seems tremble, the ice in her drink taps against the edge of the glass.",detailed description
15、INT. AMY'S HOTEL ROOM - NIGHT,What does Amy do when she first interacts with the puzzle box?,"She explores its edges with her fingers, rolling it over and over.","She begins to explore it's edges with her fingers, rolling it over and over in her hands.",detailed description
21、EXT. POLICE HEADQUARTERS - DAY,What does Amy say about the story's reality?,It's real -- or I'm crazy.,AMY: It's real -- or I'm crazy.,dialogue/beliefs
34、INT. AMY'S HOTEL ROOM - NIGHT,What does Amy believe about the story she is writing?,Amy believes she is destined to write the story.,"if there was ever a story I was born to write, this is it.",dialogue/beliefs
34、INT. AMY'S HOTEL ROOM - NIGHT,How does Amy describe her mental state?,Amy describes herself as 'fucked in the head' but insists she's fine.,"I'm just a little... fucked in the head. That's all. It's just a funk, but I'm fine.",dialogue/beliefs
13、INT. AMY'S HOTEL ROOM - NIGHT,What warning does Marla give Amy regarding the puzzle box?,Don't open the box Amy. If you do Winter wins.,"MARLA Don't open the box Amy. If you do Winter wins, and if he wins-",dialogue/beliefs
10、INT. MARLA'S ROOM - DAY,What caused the flies to buzz when Amy approached?,Amy's approach alarmed the flies.,"There's a sudden loud buzzing as the flies that crawl on Marla abruptly rise up, alarmed (or whatever it is flies are) at her approach.",causal/relational queries
3、INT. CRACK DEN - DAY,What does Amy do after determining the Man is asleep?,Slides her way off the mattress and rolls quietly onto the floor.,"She freezes for a beat, then after determining that the Man is asleep, she slides her way off the mattress and rolls quietly onto the floor.",temporal references
25、INT. THE BATHROOM - DAY,"In [25、INT. THE BATHROOM - DAY], What behavioral state does Amy exhibit before entering the passage?",hesitating,"Hesitating only a moment, Amy turns sideways and slides herself into the claustrophobic slot.",character states
25、INT. THE BATHROOM - DAY,"In [25、INT. THE BATHROOM - DAY], What emotional state is Amy in when she examines the bathroom?",puzzled,"She stands in the dark, claustrophobic place, puzzled.",character states
18、INT. SUBWAY PLATFORM - NIGHT,"In [18、INT. SUBWAY PLATFORM - NIGHT], What is Amy's emotional state when she sees the man in the green raincoat?",Fearful and struggling for balance,"Amy gasps, takes a step back -- and her heel lands on the edge... struggles for balance",character states
58、INT. CHARLES RICKMAN'S OFFICE - DAY,What action does Betty take to summon the reporter?,Leans her head out of the room to signal someone in the hall.,Betty leans her head out of the room signalling someone out in the hall to come in.,detailed description
