scene,question,answer,evidence,qa_type
39、INT. UNDERGROUND GROTTO,What does Flash say about his need to find Dale and Zarkov?,I've got to find Dale and that nut Zarkov too -- rescue them and try to save Earth too.,"FLASH
Let's get one thing straight -- I've
got to find Dale and that nut Zarkov
too -- rescue them and try to save
Earth too.",dialogue/beliefs
49、INT. COCKPIT - IN FLIGHT,What instruction does AURA give FLASH?,Pull up and go starboard around Ardentia.,AURA: 'Now pull up -- go starboard around that next moon rising -- Ardentia.',dialogue/beliefs
3、INT. PLANE IN FLIGHT - DAY,What does Dale's book suggest about her beliefs?,She believes in self-defense and survival skills.,KARATE FOR THE SINGLE GIRL.... A Guide to Survival In The City,dialogue/beliefs
21、EXT. GREENHOUSE - LONG SHOT (MINIATURE),What caused the capsule to rise from the inferno?,The explosion of the central tower.,"The whole central tower explodes outward. From the inferno a MIRROR-BRIGhT capsule slowly rises, hovers, begins picking up speed again as it ascends.",causal/relational queries
19、INT. TOP LEVEL OF GREENHOUSE TOWER,"In [19、INT. TOP LEVEL OF GREENHOUSE TOWER], What is Dale's emotional state when Zarkov threatens him?",He shows fear by gasping and shrinking back.,DALE gasps and shrinks back.,character states
23、EXT. CAPSULE IN FLIGHT - POV,What is the 'RED PATCH' mentioned on Jupiter's surface?,"A storm 20,000 miles across that has raged for 200 Earth centuries.","The RED PATCH on its surface is a storm 20,000 miles across which has raged without intermission for 200 EARTH centuries.",terminology/abbreviation/concept
35、INT. PALACE - ON THE STAIRCASE,"In [35、INT. PALACE - ON THE STAIRCASE], What is FLASH's emotional state while trying to reach DALE?",Struggling and desperate,FLASH struggles to get through to DALE. reaches desperately back down for FLASH.,character states
19、INT. TOP LEVEL OF GREENHOUSE TOWER,"In [19、INT. TOP LEVEL OF GREENHOUSE TOWER], What behavioral action does Zarkov take toward Dale?",He pushes Dale off-balance into the capsule.,"ZARKOV suddenly pushes DALE off-balance, INTO the capsule.",character states
26、EXT. CAPSULE IN FLIGHT,"In [26、EXT. CAPSULE IN FLIGHT], What is Ming's emotional state as depicted in the scene?",Gleaming with evil amusement.,"Deep in shadow, gleaming with evil amusement.",character states
31、EXT. GRASSY AREA - POV THROUGH OPENING,"In [31、EXT. GRASSY AREA - POV THROUGH OPENING], What is Dale's emotional state during the scene?",Horrified and attempting to cope by pretending it is a dream.,DALE has one brief horrified GLIMPSE... shutting her eyes -- dreaming I booked us to Disneyland.,character states
29、INT. CAPSULE,"In [29、INT. CAPSULE], What is Dale's emotional state upon seeing the strange men?","Anxious and hesitant, preferring the confined space.",DALE gasps... 'Don't. Suddenly I like it in here just fine --',character states
21、EXT. GREENHOUSE - LONG SHOT (MINIATURE),Why does the capsule begin picking up speed again?,The central tower exploded outward.,"The whole central tower explodes outward. From the inferno a MIRROR-BRIGhT capsule slowly rises, hovers, begins picking up speed again as it ascends.",causal/relational queries
44、INT. UPPER PALACE AREA - CORRIDOR,"What does 'Royal Pilot, First Class' refer to in the narrative?",A title given to FLASH by AURA to disguise her as a pilot.,"AURA (CONT'D) I've dressed you as a Royal Pilot, First Class. We'll slip into my personal car and you'll fly it.",terminology/abbreviation/concept
41、INT. GROTTO - HIS POV IN CAVERN - ON A CATWALK,"In [41、INT. GROTTO - HIS POV IN CAVERN - ON A CATWALK], What does AURA warn FLASH about regarding ZARKOV?","You can't reach him. If a soldier spots you, it's instant death.","AURA: You can't reach him. If a soldier spots you, it's instant death! -- Come!",dialogue/beliefs
20、INT. CAPSULE,"In [20、INT. CAPSULE], What is ZARKOV's physical condition during the capsule's rotation?","Drained white and distorted by G-Force, losing consciousness.","ZARKOV plastered against another part of the whirling capsule, his face drained white and distorted by the terrific G-Force... ZARKOV'S eyes close. He loses consciousness.",character states
20、INT. CAPSULE,"In [20、INT. CAPSULE], What is ZARKOV's role in the narrative?",He built the capsule to send a message to 'them' in Friendship.,Friendship...Built this to send to them in...Friendship...The end now...End of the world....Unless we...,character states
30、EXT. GRASSY AREA - DAY,"In [30、EXT. GRASSY AREA - DAY], What is the Leader's role in the scene?","The Leader captures Flash and others, taking them to Ming.","LEADER You are prisoners. I will take you now to Ming the Merciless, Ruler of the universe!",character states
27、INT. CAPSULE - SHOOTING FROM WITHIN,"In [27、INT. CAPSULE - SHOOTING FROM WITHIN], What is ZARKOV's emotional state when he realizes their destination?",Horror,with horror SEES where they are headed,character states
45、INT. MING'S DOME,"In [45、INT. MING'S DOME], When will Earth be reborn according to MING?",Long after you have died.,"And as it will be in yet another time, long after you have died.",temporal references
29、INT. CAPSULE,"In [29、INT. CAPSULE], What is Zarkov's emotional state after landing?",Excited but uncertain about their location.,"ZARKOV: 'By God, we did it! We made it!' I don't know.",character states
