scene,question,answer,evidence,qa_type
44、INT. E BLOCK - DAY,Why does Paul rush to join the fray?,Coffey's warning and the door unlocking prompt him to act.,"Paul hears him, glances back...door, which is being unlocked...",causal/relational queries
6、INT. HALLWAY PAST KITCHEN - MORNING,"In [6、INT. HALLWAY PAST KITCHEN - MORNING], What is Paul's behavioral state as he leaves?",Paul is trying to avoid being seen,Paul slips to the back door unnoticed,character states
37、INT. PAUL'S BEDROOM - NIGHT,When does Paul come down the stairs?,After he sits up and feels pain in his groin,"He sits up, clutching at a queasy stab of pain in his groin... LIVING ROOM STAIRS ... and comes hurrying down the steps",temporal references
32、INT. EXECUTION CHAMBER - NIGHT,When does Bitterbuck surge forward again?,After the switch is thrown a second time,The switch is thrown a second time. Bitterbuck surges forward again...,temporal references
32、INT. EXECUTION CHAMBER - NIGHT,When does the switch get thrown a second time?,After the doctor checks for a heartbeat and shakes his head,"Van Hay kills the current. Bitterbuck goes limp. A DOCTOR steps forward, checks for a heartbeat, shakes his head. BRUTAL Again. The switch is thrown a second time.",temporal references
25、INT. E BLOCK - NIGHT,What does the mouse do after trotting a short distance?,"It peers right and left as if checking the snoring inmates, then makes another forward spurt.","A tiny brown mouse is coming up the Mile. It trots a short distance, peers right and left as if checking the snoring inmates in their cells, then makes another forward spurt.",detailed description
34、INT. COFFEY'S CELL - DAY,When are the guards' jaws hanging open?,After Delacroix demonstrates the mouse's fetch trick,"By now, the guard's jaws are hanging open.",temporal references
26、INT. E BLOCK - DAY,What does Percy do when the mouse approaches him?,"Keeps combing his hair until he hears a squeak, then freezes and turns to see the mouse",Percy keeps working that comb--and freezes at the sound of a TINY SQUEAK. His head swivels slowly... and there's the mouse. Staring at him.,detailed description
1、EXT. FIELD - DAY(SLOW MOTION),What does the whispering voice say to the characters?,"You love your sister? You make any noise, know what happens?","WHISPERING VOICE (V.O.) You love your sister? You make any noise, know what happens?",dialogue/beliefs
18、EXT. DETTERICK FARM - DAWN (FLASHBACK),"In [18、EXT. DETTERICK FARM - DAWN (FLASHBACK)], What is Klaus Detterick's behavioral state when the scream occurs?",Urgently running toward the house after dropping the pail,"Klaus reappears, dropping the pail, running toward the house",character states
21、EXT. COUNTRY ROAD/FIELD - DAY (FLASHBACK),"In [21、EXT. COUNTRY ROAD/FIELD - DAY (FLASHBACK)], What is Klaus's emotional state when he finds the fabric?",Klaus is in emotional distress.,Klaus... screams... this belongs to my Katie...,character states
20、INT. DETTERICK HOUSE - DAWN (FLASHBACK),"In [20、INT. DETTERICK HOUSE - DAWN (FLASHBACK)], What is Klaus's behavioral state when instructing Marjorie?",Shouting orders frantically,"KLAUS: GODDAMN IT, WOMAN, GET ON THE PHONE NOW!",character states
20、INT. DETTERICK HOUSE - DAWN (FLASHBACK),"In [20、INT. DETTERICK HOUSE - DAWN (FLASHBACK)], What is Marjorie's emotional state during the crisis?",Sobbing incoherently,Marjorie sobbing incoherently,character states
11、INT. TV ROOM - DAY,What does Elaine believe about Paul's conflict?,"It's not everybody he has it in for, Paul. It's you.","ELAINE: It's not everybody he has it in for, Paul. It's you.",dialogue/beliefs
9、INT. SHACK - MORNING,"In [9、INT. SHACK - MORNING], What does 'DISSOLVE TO' indicate in film terminology?",A film editing transition where one scene fades out while another fades in.,DISSOLVE TO:,terminology/abbreviation/concept
17、EXT. E BLOCK PRISON YARD - DAY,What is Paul doing with Coffey's file and his sandwich?,"Sitting by himself on the bleachers with Coffey's file on his knees, thoughtfully unwrapping his brown-bagged sandwich.","Paul sitting by himself on the bleachers with Coffey's file on his knees, thoughtfully unwrapping his brown-bagged sandwich.",detailed description
22、EXT. FIELD - DAY (FLASHBACK),"In [22、EXT. FIELD - DAY (FLASHBACK)], What is John Coffey's emotional state during the scene?","In monstrous grief, howling, and crying",John Coffey sits on the riverbank... face twisted in monstrous grief... howling... eyes still streaming tears,character states
36、INT. WARDEN MOORES' OFFICE - DAY,When will Hal's wife die according to the doctors?,By Christmas,They say she'll be dead by Christmas,temporal references
22、EXT. FIELD - DAY (FLASHBACK),"In [22、EXT. FIELD - DAY (FLASHBACK)], What is Klaus Detterick's condition after his sons' deaths?",Sobbing into his hands and overwhelmed with grief,"He falls to his knees on the riverbank, sobbing into his hands... overwhelmed with grief",character states
33、INT. E BLOCK ACCESS TUNNEL - NIGHT,What is the consequence of Paul refusing Percy's request to take Brutal's spot?,Percy threatens to stay and make a career of this.,"PERCY: 'I might just stick around for good, make me a career of this.'",causal/relational queries
8、EXT. WOODS - MORNING,"In [8、EXT. WOODS - MORNING], What object is Paul wearing that resembles Red Riding Hood?",A plastic poncho,Paul... in his plastic poncho,objects/props
54、INT. E BLOCK - DAY,"In [54、INT. E BLOCK - DAY], What item does Paul have when approaching Billy's cell?",A canvas straitjacket,Paul has a canvas straitjacket,objects/props
12、INT. SUN ROOM - DAY,"In [12、INT. SUN ROOM - DAY], Why was death row referred to as the Green Mile?",Because the floor was the color of faded limes.,"We called ours the Green Mile, because the floor was the color of faded limes.",causal/relational queries
52、INT. PAUL'S MODEL T - DAY,"In [52、INT. PAUL'S MODEL T - DAY], Where does Paul drive back to?",Cold Mountain,"Paul drives back to Cold Mountain, his heart conflicted...",scene localization
18、EXT. DETTERICK FARM - DAWN (FLASHBACK),"In [18、EXT. DETTERICK FARM - DAWN (FLASHBACK)], What does Klaus Detterick do after hearing the woman's scream?",Dropping the pail and running toward the house,"Klaus reappears, dropping the pail, running toward the house",character states
26、INT. E BLOCK - DAY,What does the mouse do as it approaches Percy?,"Cruises up the Mile, keeps coming closer, and stares at Percy",cruising inexorably up the Mile... THE MOUSE keeps coming closer... staring at him.,detailed description
39、INT. PAUL'S KITCHEN - MORNING,When does Paul plan to go to the doctor?,"Today, as soon as the new inmate is squared away.",PAUL: 'Today. Just as soon as we get the new inmate squares away.',temporal references
48、INT. BEDROOM - MORNING,"In [48、INT. BEDROOM - MORNING], What does 'CUT TO:' indicate in the passage?",A scene transition,CUT TO:,terminology/abbreviation/concept
16、INT. E BLOCK (THE GREEN MILE) - DAY,"In [16、INT. E BLOCK (THE GREEN MILE) - DAY], What is Paul's physical condition?","Pale, sweaty, and in pain","The door opens, revealing Paul's pale and sweaty face. ... a THIN TRICKLE, accompanied by a stifled groan of pain",character states
