id,scene,question,answer,evidence,qa_type
1,60、INT. RICHMOND PALACE - RECEIVING CHAMBER - NIGHT,"In [60、INT. RICHMOND PALACE - RECEIVING CHAMBER - NIGHT], What accusation does Young Elizabeth make against Young Oxford?",She accuses him of bedding her for a commission,"YOUNG ELIZABETH
Is this why you bedded me? For a
commission?",dialogue/beliefs
2,18、INT. CHANGING ROOMS/ESSEX HOUSE - DAY,"In [18、INT. CHANGING ROOMS/ESSEX HOUSE - DAY], What did Essex mention was intercepted from William Cecil?",Recent correspondence with King James of Scotland,Essex: 'Some of my men have intercepted... some of William Cecil's recent correspondence with King James of Scotland',objects/props
3,3、INT. BROADWAY THEATER - BACKSTAGE/EMPTY STAGE - DUSK,"In [3、INT. BROADWAY THEATER - BACKSTAGE/EMPTY STAGE - DUSK], What action does the Stage Manager take while waiting for The Man in the Grey Suit?",Anxiously checks his watch,anxiously checks his watch,character states
4,3、INT. BROADWAY THEATER - BACKSTAGE/EMPTY STAGE - DUSK,"In [3、INT. BROADWAY THEATER - BACKSTAGE/EMPTY STAGE - DUSK], What is the Stage Manager's emotional state when he sees The Man in the Grey Suit?",Relief floods his face,relief floods his face,character states
5,29、EXT. CECIL HOUSE - DAY,"In [29、EXT. CECIL HOUSE - DAY], What object does William Cecil constantly hold?",an ornately carved white cane,He constantly holds an ornately carved white cane.,objects/props
6,25、INT. A JAIL CELL - DAY,"In [25、INT. A JAIL CELL - DAY], What object does the guard toss onto Jonson's lap?",A wax-sealed piece of parchment,The guard tosses a wax-sealed piece of parchment onto Jonson's lap.,objects/props
7,22、EXT. THE GROUNDS AT CECIL HOUSE - NIGHT,Why does Oxford experience deep emotion?,Seeing the Queen again after many years stirs him.,Oxford watches... seeing her again after so many years stirs up some deep emotion in him.,causal/relational queries
8,15、INT. THE ENTRY OF THE ROSE THEATER - CONTINUOUS,"In [15、INT. THE ENTRY OF THE ROSE THEATER - CONTINUOUS], What is Oxford's emotional state as he observes the theater?","Intrigued by the theater, almost despite himself","Oxford is becoming intrigued by the theater, almost despite himself",character states
9,49、INT. OXFORD STONE - STUDY - DAY,What does Oxford claim about Jonson's voice?,You have no voice! That's why I chose you!,OXFORD (CONT'D) You have no voice! That's why I chose you!,dialogue/beliefs
10,47、INT. THE ROSE THEATER - DAY,How does the play degenerate as more audience members join?,It becomes a bloody brawl between actors and audience.,The play quickly degenerates into a bloody brawl between actors and audience.,detailed description
11,9、EXT/INT. THE ROSE THEATER - CONTINUOUS,"In [9、EXT/INT. THE ROSE THEATER - CONTINUOUS], Where does Jonson hide from the soldiers?",Under the stage among props and costumes,Jonson's gone. Because-- JONSON has moved under the stage silently scurrying like a rat trying to find a place to hide among the stacks of props and costumes,scene localization
12,63、INT. ROSE THEATER - DAY,"In [63、INT. ROSE THEATER - DAY], What advice does Polonius give about handling quarrels?","Beware of entrance to a quarrel, but being in, bear it that the opposed may beware of thee.","""POLONIUS""
(over-acting)
...Beware of entrance to a quarrel,
but being in, bear it that the opposed
may beware of thee. Give every man
thy ear, but few thy voice, take each
man's censure, but reserve thy
judgment....",dialogue/beliefs
