scene,question,answer,evidence,qa_type
七十六、法庭 春 黄昏,法官宣布了什么？,程蝶衣汉奸一案暂停审理，被告人交保具结，予以释放。休庭。,"法官起立：“程蝶衣汉奸一案暂停审理，被告人交保具结，予以释
放。休庭。”",dialogue/beliefs
二、地坛市场,"在[二、地坛市场]中, 豆子娘对地痞的态度如何？",她打了地痞一巴掌，表现出愤怒。,豆子娘给了地痞一巴掌。,character states
二、地坛市场,"在[二、地坛市场]中, 小石头在表演时的表情如何？",双眼圆睁，嘴角有一丝谑笑。,小石头亮相，双眼圆睁，嘴角有一丝谑笑。,character states
二十六、关家科班春黄昏,"在[二十六、关家科班春黄昏]中, 小豆子在事件中处于什么状态？",主动认错并接受惩罚,小豆子:“师父，是我自个儿跑的，不关师哥的事，您打我。”小豆子转过身，走到院内板凳旁，趴下。,character states
二十三、戏园内,"在[二十三、戏园内]中, 小豆子观看表演时的情绪状态如何？",被震撼且充满向往,小豆子泪水莹莹看着楚霸王。,character states
五、关家堂屋,"在[五、关家堂屋]中, 小豆子左手有什么特殊特征？",长着六指,小豆子左手上长着六指。,character states
四十五、花满楼春夜,晓楼为何敬酒？,因今天是他们定亲的喜日子,晓楼：‘今儿不是咱俩定亲的喜日子吗？’,causal/relational queries
三十、关家科班春黄昏,小石头为何强迫小豆子张嘴？,因小豆子念《思凡》词时说'又不是女娇娥'。,小豆子：'我本是男儿郎……又不是女娇娥，为何……',causal/relational queries
七十四、法庭,"在[七十四、法庭]中, 检查官出示的相片内容是什么？",敌酋青木三郎与被告往来的罪证,敌酋青木三郎在日军投降后，仍有反抗举动，已被我军击毙，其与被告往来之罪证，相片已落入我方,objects/props
五十一、袁宅 春夜,“观世音”在对话中象征什么？,集阴阳精粹的神圣存在,观世音，尘世中，男子阳污，女子阴秽，独观世音集两者之精于一身，欢喜无量。,terminology/abbreviation/concept
七十四、法庭,"在[七十四、法庭]中, 程蝶衣被日本人用什么物品威胁？",手铐和手枪,程蝶衣是被日本人用手铐铐走的，还用手枪顶其项背威协,objects/props
三十五、太监内室春黄昏,小豆子说今年是什么年？,民国二十一年,是民国二十一年。,temporal references
三十四、厢房走廊春黄昏,戏园老板对虞姬的扮演有何看法？,虞姬怎么演她都有一死。,戏园老板:“关师傅，您要不明白可就说不过去了，这虞姬怎么演她都有一死不是？您说呢？”,dialogue/beliefs
十三、陶然亭,小石头唱了什么？,力拔山兮气盖世，时不利兮骓不逝,小石头唱：‘力拔山兮气盖世，时不利兮骓不逝……’,dialogue/beliefs
七、关家堂屋,关师傅要求小豆子如何站立？,两胳膊不准打弯，两脚朝天一条线,关师傅(画外音):“那院里的，两胳膊不准打弯，两脚朝天一条线，拿稳啰！”,detailed description
七十五、法庭外春黄昏,晓楼对四爷说了什么？,四爷您不能走,晓楼：'四爷您不能走，四爷，您不能走。',dialogue/beliefs
六十五、科班院内,关师傅为何责打段晓楼？,因段晓楼吃喝嫖赌、玩蛐蛐、当行头,关师傅:“我叫你吃喝嫖赌。我叫你玩蛐蛐！我叫你当行头。”,causal/relational queries
五十一、袁宅 春夜,“红尘知己”在文中指什么？,指在世俗中互相理解的朋友,自古宝剑酬知己，程老板愿做我的红尘知己吗？,terminology/abbreviation/concept
三十三、太监府书房春黄昏,小石头认为如果霸王有这把剑会怎样？,霸王会杀刘邦当皇上，她成为正宫娘娘。,小石头拿着剑:“霸王要是有这把剑，早就把刘邦给宰了，当上了皇上，那你就是正宫娘娘了。”,dialogue/beliefs
三十二、厢房一走廊 春黄昏,大管家对两位小角儿说了什么？,这是老公公特地赏给两位小角儿的，谢赏去吧。,大管家:“这是老公公特地赏给两位小角儿的，谢赏去吧。”,dialogue/beliefs
四十四、后台春黄昏,袁四爷为什么邀请晓楼和蝶衣去喝酒？,为了细谈戏的学问。,袁四爷:“如不嫌弃请两位到舍下小酌几杯，然后细谈。实话说，这出戏的学问，还真是不浅。”,causal/relational queries
