id,scene,question,answer,evidence,qa_type
1,24、EXT. CAMARO,"In [24、EXT. CAMARO], What change in Landon's emotional state is described?",Annoyance turns to mild respect,His annoyance turns to mild respect.,character states
2,12、EXT. DUMPSTER,When does Clay climb into the Camaro?,After Eric opens the door and empties fall from the back seat.,Eric pushes a door open. Empties fall from the back seat. Clay climbs in.,temporal references
3,20、EXT. CAMARO,"In [20、EXT. CAMARO], What is Jamie's emotional state when she approaches Landon's window?",Tentative,"JAMIE (to Landon, tentative)",character states
4,6、INT. CAR - TRAVELING,"In [6、INT. CAR - TRAVELING], What personality traits does Landon exhibit?",Boyish whimsy and sense of irony,retains his boyish whimsy and sense of irony,character states
5,43、INT. CYNTHIA'S BEDROOM,Why does Cynthia refuse to drive?,She is sleepy and annoyed.,"sleepy, annoyed; I'm not getting up to drive you somewhere",causal/relational queries
6,18、EXT. CAMARO,What does Eric tell Landon he must do to save his life?,"To save your life, you have to either go deaf or go numb in your dick and balls.","ERIC (calling over, repeating) Landon. To save your life, you have to either go deaf or go numb in your dick and balls.",dialogue/beliefs
7,52、INT. PRINCIPAL KELLY'S OFFICE - MOMENTS LATER,Why does Mr. Kelly assign Landon tasks like helping the janitorial staff and tutoring?,To make him part of the school community.,"You could grace our hallowed halls again, if, while you're here, you make a sincere effort to be part of our little school community",causal/relational queries
8,19、INT. CAMARO,"In [19、INT. CAMARO], What is Belinda's emotional state when speaking to Eric?",Annoyed,"(to Eric, annoyed)",character states
9,11、INT. CAMARO,What does 'Richie princess' refer to?,A bad-girl pretender.,"Richie princess, a bad-girl pretender.",terminology/abbreviation/concept
10,14、EXT. CAMARO - TRAVELING,Who drops Clay's student monitor vest onto the road?,Landon drops Clay's student monitor vest onto the road.,Landon drops Clay's student monitor vest out onto the road.,detailed description
11,15、EXT. ROAD,"In [15、EXT. ROAD], What is Mr. Kelly's emotional state?",Frustrated,Frustrated,character states
12,32、EXT. ROAD,What happens immediately after the old man drops to the asphalt?,The CAMARO SLAMS into a light pole.,"The old man -- sideswiped, drops to the asphalt. The CAMARO SLAMS into a light pole.",temporal references
13,36、INT. CHEVETTE,What does Landon say about Kelly's likelihood of expelling him?,Kelly wouldn't do that.,LANDON: Kelly wouldn't do that.,dialogue/beliefs
14,39、EXT. SCHOOL ENTRANCE - MINUTES LATER,What does Landon express upon exiting?,Freedom.,Freedom.,dialogue/beliefs
15,34、EXT. STREET,"Why are Clay, Eric, and Belinda dazed?",The Camaro crumpled into the light pole.,"The Camaro crumpled into the light pole. Headlights askew. Clay and Eric and Belinda getting out, dazed.",causal/relational queries
16,52、INT. PRINCIPAL KELLY'S OFFICE - MOMENTS LATER,What motivates Landon to agree to Mr. Kelly's conditions?,He wants to graduate.,I want to graduate.,causal/relational queries
17,46、EXT. UNDER CAMARO - LATER,Why does Landon roll out after pausing?,Because Cynthia wanted to talk to him.,"CYNTHIA (O.S.) I want to talk to you. He pauses, annoyed, then rolls himself out.",causal/relational queries
18,12、EXT. DUMPSTER,When does Clay heave the empty trash can into the Camaro?,As the Camaro pulls up.,He quickly heaves in the empty trash can as the Camaro pulls up.,temporal references
19,21、INT. CAMARO,"In [21、INT. CAMARO], What is Belinda doing when Landon flicks the high beams?",snickering,"Belinda, Eric, and Clay snicker and snort as they see --",character states
20,51、INT. PRINCIPAL KELLY'S OUTER OFFICE - EARLY AFTERNOON,"In [51、INT. PRINCIPAL KELLY'S OUTER OFFICE - EARLY AFTERNOON], What is Landon's behavioral state as he paces?",Jumpy,"Landon paces, jumpy.",character states
21,21、INT. CAMARO | 23、INT. CAMARO | 59、EXT. AUDITORIUM - LATER THAT EVENING,What does Landon state about how he feels when Eric calls Jamie a name?,Landon states that he does not want Eric to call Jamie that name.,"Landon immediately tells Eric not to call him that, referring to the nickname 'dipshit' that Eric used when correcting Clay.",character states
22,65、INT. SULLIVAN LIVING ROOM - MOMENTS LATER | 66、INT. PARSONAGE - KITCHEN - MINUTES LATER | 68、INT. HALLWAY,When does Jamie leave the house?,Jamie leaves the house after checking that her father is asleep and then quietly descending the stairs.,"Jamie peers into her father's room. He is asleep. She steps quietly to the staircase and descends without making a sound. She reaches the bottom and leaves the house, closing the door carefully behind her.",temporal references
23,29、INT. CAMARO | 34、EXT. STREET,How does Landon react when he approaches the injured man after the crash?,"Landon kneels beside the man, shakes his shoulder, and flinches in fear and anguish when the man's terrier lunges at him.","Landon ran to the old man, knelt beside him, and shook his shoulder. There was no response. The man's terrier lunged at Landon, barking fiercely. Landon flinched, his face twisted with fear and anguish.",character states
24,23、INT. CAMARO | 34、EXT. STREET,How does Landon react when he realizes the old man is unresponsive after the crash?,Landon flinches with a face twisted in fear and anguish when the old man does not respond to being shaken.,"Landon flinched, his face twisted with fear and anguish. The man didn't respond when Landon shook him.",character states
25,64、EXT. PARSONAGE PORCH - WIDER - NEXT EVENING | 63、EXT. ACROSS STREET FROM FIRE - LITTLE LATER | 59、EXT. AUDITORIUM - LATER THAT EVENING,What does Jamie state about Landon's motivation for attending school?,Jamie states that Landon likes school because he is popular and knows he will never be on top again.,"Jamie says he doesn’t care about classes or graduating, but likes school because he’s popular and knows he’ll never be on top again.",character states
26,53、INT. SCIENCE CLASSROOM - AFTER SCHOOL | 63、EXT. ACROSS STREET FROM FIRE - LITTLE LATER | 65、INT. SULLIVAN LIVING ROOM - MOMENTS LATER | 59、EXT. AUDITORIUM - LATER THAT EVENING,What does Jamie state about Landon's motivation for liking school?,"Jamie states that Landon likes school because he is popular and knows he will never be on top again, not because he cares about classes or graduating.","Jamie says he doesn’t care about classes or graduating, but likes school because he’s popular and knows he’ll never be on top again.",character states
