scene,question,answer,evidence,qa_type
24、EXT. CAMARO,"In [24、EXT. CAMARO], What change in Landon's emotional state is described?",Annoyance turns to mild respect,His annoyance turns to mild respect.,character states
12、EXT. DUMPSTER,When does Clay climb into the Camaro?,After Eric opens the door and empties fall from the back seat.,Eric pushes a door open. Empties fall from the back seat. Clay climbs in.,temporal references
20、EXT. CAMARO,"In [20、EXT. CAMARO], What is Jamie's emotional state when she approaches Landon's window?",Tentative,"JAMIE (to Landon, tentative)",character states
6、INT. CAR - TRAVELING,"In [6、INT. CAR - TRAVELING], What personality traits does Landon exhibit?",Boyish whimsy and sense of irony,retains his boyish whimsy and sense of irony,character states
43、INT. CYNTHIA'S BEDROOM,Why does Cynthia refuse to drive?,She is sleepy and annoyed.,"sleepy, annoyed; I'm not getting up to drive you somewhere",causal/relational queries
18、EXT. CAMARO,What does Eric tell Landon he must do to save his life?,"To save your life, you have to either go deaf or go numb in your dick and balls.","ERIC (calling over, repeating) Landon. To save your life, you have to either go deaf or go numb in your dick and balls.",dialogue/beliefs
52、INT. PRINCIPAL KELLY'S OFFICE - MOMENTS LATER,Why does Mr. Kelly assign Landon tasks like helping the janitorial staff and tutoring?,To make him part of the school community.,"You could grace our hallowed halls again, if, while you're here, you make a sincere effort to be part of our little school community",causal/relational queries
19、INT. CAMARO,"In [19、INT. CAMARO], What is Belinda's emotional state when speaking to Eric?",Annoyed,"(to Eric, annoyed)",character states
11、INT. CAMARO,What does 'Richie princess' refer to?,A bad-girl pretender.,"Richie princess, a bad-girl pretender.",terminology/abbreviation/concept
14、EXT. CAMARO - TRAVELING,Who drops Clay's student monitor vest onto the road?,Landon drops Clay's student monitor vest onto the road.,Landon drops Clay's student monitor vest out onto the road.,detailed description
15、EXT. ROAD,"In [15、EXT. ROAD], What is Mr. Kelly's emotional state?",Frustrated,Frustrated,character states
32、EXT. ROAD,What happens immediately after the old man drops to the asphalt?,The CAMARO SLAMS into a light pole.,"The old man -- sideswiped, drops to the asphalt. The CAMARO SLAMS into a light pole.",temporal references
36、INT. CHEVETTE,What does Landon say about Kelly's likelihood of expelling him?,Kelly wouldn't do that.,LANDON: Kelly wouldn't do that.,dialogue/beliefs
39、EXT. SCHOOL ENTRANCE - MINUTES LATER,What does Landon express upon exiting?,Freedom.,Freedom.,dialogue/beliefs
34、EXT. STREET,"Why are Clay, Eric, and Belinda dazed?",The Camaro crumpled into the light pole.,"The Camaro crumpled into the light pole. Headlights askew. Clay and Eric and Belinda getting out, dazed.",causal/relational queries
52、INT. PRINCIPAL KELLY'S OFFICE - MOMENTS LATER,What motivates Landon to agree to Mr. Kelly's conditions?,He wants to graduate.,I want to graduate.,causal/relational queries
46、EXT. UNDER CAMARO - LATER,Why does Landon roll out after pausing?,Because Cynthia wanted to talk to him.,"CYNTHIA (O.S.) I want to talk to you. He pauses, annoyed, then rolls himself out.",causal/relational queries
12、EXT. DUMPSTER,When does Clay heave the empty trash can into the Camaro?,As the Camaro pulls up.,He quickly heaves in the empty trash can as the Camaro pulls up.,temporal references
21、INT. CAMARO,"In [21、INT. CAMARO], What is Belinda doing when Landon flicks the high beams?",snickering,"Belinda, Eric, and Clay snicker and snort as they see --",character states
51、INT. PRINCIPAL KELLY'S OUTER OFFICE - EARLY AFTERNOON,"In [51、INT. PRINCIPAL KELLY'S OUTER OFFICE - EARLY AFTERNOON], What is Landon's behavioral state as he paces?",Jumpy,"Landon paces, jumpy.",character states
