scene,question,answer,evidence,qa_type
64、INT. SHOWER ROOM - SAME NIGHT,Why does Jim become angry when Patricia reveals she called his house?,Because she exposed his lie about his father's death.,"Patricia: 'You didn't really think you'd get away with that, Morrison. An Admiral in the United States Navy...'",causal/relational queries
28、INT. BACKSTAGE - THE FOG - THAT NIGHT,What does Jim say about the audience's desire for suffering?,"The greater the suffering, the more terrible the events, the greater the pleasure. They want it, it's catharsis. Like the ancient Greeks.","JIM (explains it, gentle) The greater the suffering, the more terrible the events, the greater the pleasure Jerry. They want it, it's catharsis. Like the ancient Greeks.",dialogue/beliefs
66、INT. NEW HAVEN STAGE - THAT NIGHT,What causes the Kids to jeer more at the cops?,The cops' apparent impotence during the confrontation.,Their apparent impotence brings redoubled jeering from the Kids.,causal/relational queries
57、INT. ROOM - LIMBO,Why does the Count recognize Jim?,Because he saw Jim at Ondine's with Bobby and Jimmy.,I see you at Ondine's with Bobby and Jimmy.,causal/relational queries
64、INT. SHOWER ROOM - SAME NIGHT,What causes Patricia to confront Jim about his father's identity?,She discovered his father is alive and an Admiral.,Patricia: 'Your Dad's a Deputy Chief of Operations...' and Jim's reaction to her phone call.,causal/relational queries
23、EXT. VENICE BEACH - DAY,What does Jim suggest doing with Tijuana acid?,Start a religion or plan a murder.,Jim: 'Then we'll start a religion or plan a murder or go to Tijuana.',dialogue/beliefs
15、EXT. SPEEDING CAR - NIGHT,"In [15、EXT. SPEEDING CAR - NIGHT], What is Jim's emotional state during the scene?",Screaming and laughing like a maniac,"Screaming, laughing like a maniac",character states
12、EXT. TURKEY JOINT WEST - NIGHT,"In [12、EXT. TURKEY JOINT WEST - NIGHT], What action does Jim take when considering his thoughts?","He slows, a dramatic young lion pose, surveying the girls.","He slows, a dramatic young lion pose, surveying the girls.",character states
19、EXT. VENICE BEACH - NIGHT,"In [19、EXT. VENICE BEACH - NIGHT], What is Pam's emotional state during her conversation with Jim?",Upset and crying,I've been real upset... She breaks into sobs,character states
19、EXT. VENICE BEACH - NIGHT,"In [19、EXT. VENICE BEACH - NIGHT], What is Jim's behavioral state when Pam is upset?",Comforting her by hugging and stroking her hair,He hugs her... strokes her hair affectionately,character states
14、INT. RAY'S CAR - FREEWAY - NIGHT,"In [14、INT. RAY'S CAR - FREEWAY - NIGHT], What is Jim's behavioral state?",Recklessly attempting to drive the car,"reaching over the wheel to try to drive the car, crawling out of the car",character states
65、INT. BACKSTAGE CORRIDOR - SAME NIGHT,Why does Siddons block the cops?,To prevent Jim's arrest.,Are you NUTS! ... I'm going to have to issue a warrant for his arrest.,causal/relational queries
26、EXT. LONDON FOG - NIGHT,How does the girl respond when asked for her ID?,She claims to be on the list despite forgetting it.,GIRL Oh please. I forgot my I.D.. I'm on the list.,detailed description
31、EXT. DESERT - DAY,What belief does Jim express about confronting the serpent?,Kissing the snake on the tongue without fear will lead to freedom through the garden and gate.,We must kiss the snake on the tongue... the snake will take us through the garden and out the gate. To our freedom -we must ride this snake. To the end of time.,dialogue/beliefs
21、EXT. VENICE ROOFTOP - NIGHT,"In [21、EXT. VENICE ROOFTOP - NIGHT], What type of books are mentioned as part of Jim's collection?","Mythological works, shamanistic books, a library of stolen ideas.","Books are everywhere -- panning Kerouac, Ginsberg, Nietzsche, Rimbaud, Mailer, Artaud, mythological works, shamanistic books, a library of stolen ideas.",objects/props
61、INT. ELEVATOR,Why does Pamela scream and hide her eyes during the scene?,She sees Nico and Jim's intimate moment.,"Pamela... screams loud and long, hiding his eyes... not wanting to know.",causal/relational queries
32、INT. CAR - MOVING - DESERT,What does Jim observe in the desert scene?,"Overturned truck, bodies in the road, an older Indian, and a dying Indian's eyes.","At the overturned truck, the bodies in the road... the older Indian looking at him... finally at the dying Indian... his eyes.",detailed description
22、INT. RAY'S HOUSE - VENICE BEACH - DAY,What does John suggest to improve the song's style?,Try it with a Latin beat.,How 'bout trying it with a Latin beat.,dialogue/beliefs
31、EXT. DESERT - DAY,What does Jim say about the serpent's appearance?,"It has a ten-foot-long head, one red eye, one green eye, and writes history on its scales.","When the serpent appears, his head is ten feet long and five feet wide. He has one red eye and one green eye... on his scales is written all the history of the world.",dialogue/beliefs
35、INT. ROCK PALACE - DAY,What does the lizard do when it assesses Jim?,Spits a forked tongue and drills black pearly eyes into his skull,"A large LIZARD perches on a boulder assesses him calmly, tatters of a former skin clinging to its throat, spits a forked tongue and drills its black pearly eyes into his skull",detailed description
56、INT. DOWNTOWN LOFT - NEW YORK - NIGHT (WINTER),Why do the people's voices become foreign and incoherent?,Because the drugs distort everything.,"drugs distort everything and their voices are foreign, incoherent",causal/relational queries
56、INT. DOWNTOWN LOFT - NEW YORK - NIGHT (WINTER),What causes Jim to wander through a distorted dream?,His consumption of drugs and alcohol.,"drinking, smoking, swallowing pills. PEOPLE look at him, talk to him (AD LIBS) but drugs distort everything",causal/relational queries
37、INT. WHISKY A GO GO - NIGHT,"In [37、INT. WHISKY A GO GO - NIGHT], Where are the GO GO GIRLS located during the performance?",In their gilded cages at the club,GO GO GIRLS in their white plastic boots and dresses hang motionless in their gilded cages,scene localization
21、EXT. VENICE ROOFTOP - NIGHT,"In [21、EXT. VENICE ROOFTOP - NIGHT], What is contained in Jim's notebooks?",Powerful sketches colored in visionary hallucinogenic William Blake mode with writing between.,"In the notebooks, at intervals during the conversation, we see powerful sketches colored in visionary hallucinogenic William Blake mode with writing between.",objects/props
58、INT. BEDROOM - SAME NIGHT,Why did Andy give Jim the gold telephone?,"To let Jim talk to God, as Edie gave it to Andy for that purpose.","Edie gave this to me and said mmmmm, I could talk to God with this. But I don't really have anything to say. So... mmmm now you can talk to God.",causal/relational queries
38、INT. BACKSTAGE WHISKY HALLWAY - THAT NIGHT,What does Jerry believe about art?,He hates art,FUCK ART!! GET THE FUCK ART OUT!!!,dialogue/beliefs
38、INT. BACKSTAGE WHISKY HALLWAY - THAT NIGHT,What does Jim say he is into?,Killing the father and fucking the mother,"Kill the father, fuck the mother -- that's what I'm into!",dialogue/beliefs
57、INT. ROOM - LIMBO,Why does the PR man insist Jim meet Andy Warhol?,Because he believes Andy is art and more than an artist.,"You must meet Andy Warhol, Jim. He's more than an artist. Andy is art.",causal/relational queries
58、INT. BEDROOM - SAME NIGHT,What is the reason for the PR Man's suggestion of a show with blank walls?,"Because it's about people, not what they do.","it's the astronaut that matters, not the voyage, the actor, not the movie -- how do I say, it's the trip, not arriving.",causal/relational queries
70、EXT. POLICE STATION - THAT NIGHT,"In [70、EXT. POLICE STATION - THAT NIGHT], What is Ray's belief about Jim's future?",Ray believes Jim could become president.,He could go all the way man! In five years he could be in the White House.,character states
25、EXT. SUNSET STRIP (TRAVELLING) - NIGHT,What does Jim's voice describe about the music?,The music was new black polished chrome and came over the summer like liquid night.,JIM VOICE (last session) The music was new black polished chrome and came over the summer like liquid night.,dialogue/beliefs
30、EXT. SUNSET STRIP -- THAT NIGHT,What action does Jim perform in front of the cop car?,Jumps through teeming traffic with horns and anger,"Jim jumps through the TEEMING TRAFFIC (horns, anger) right in front of a COP CAR",detailed description
24、INT. RAY'S HOUSE - DAY,What does RAY do to the group before the music starts?,Cueing them like a schoolmaster,TIGHT on RAY like a schoolmaster cueing them,detailed description
34、EXT. DESERT - DAY,What is the old woman doing when she appears?,beckoning to him from an opening in the mountain's face,An OLD WOMAN is beckoning to him from an opening in the face of the mountain,detailed description
27、INT. LONDON FOG - NIGHT,What actions does Jim perform while singing to Pam?,"Jumps around violently, rubs leather pants against the mike stand, leans against it, and closes his eyes.","Jim jumps around violently to the front, rubbing his leather pants against the mike stand, leaning against it, not yet comfortable with the extrovert side of himself, eyes closed, but starting to enjoy it.",detailed description
39、EXT. ALLEY & STAIRCASE OUTSIDE WHISKY - THAT NIGHT,What is Holzman's purpose in offering to record the band?,To make a lot of money.,we could really have something... and we could make a lot of money...,causal/relational queries
23、EXT. VENICE BEACH - DAY,"In [23、EXT. VENICE BEACH - DAY], What does Jim believe is the purpose of a rock and roll band?",To party all night and do bad things.,"Jim: 'What's a rock and roll band for man, if you can't party all night and do bad things?'",dialogue/beliefs
66、INT. NEW HAVEN STAGE - THAT NIGHT,Why do the cops chase the teenage boy and girl?,They made a break through the cordon to reach Jim.,A TEENAGE BOY & GIRL make a break thru the cordon of COPS... heading for Jim. The Cops chase them down mid-stage...,causal/relational queries
70、EXT. POLICE STATION - THAT NIGHT,"In [70、EXT. POLICE STATION - THAT NIGHT], What is Jim's physical condition after emerging from the station?",Jim's ribcage and spleen are hurting.,"Jim waves, does a small pained victory jig in front of the thwarted Gestapo, ribcage and spleen hurting.",character states
14、INT. RAY'S CAR - FREEWAY - NIGHT,"In [14、INT. RAY'S CAR - FREEWAY - NIGHT], What is Jim's emotional state?",Intoxicated and emotionally unstable,"JIM is insane on beers, barely comprehensible",character states
7、EXT. VENICE BOARDWALK - LOS ANGELES - DAY,Why does Jim start following the young beauty?,He contemplates her for a fraction of eternity before pursuing her.,He thinks about it -- a fraction of eternity -- and he's off... after her.,causal/relational queries
