id,scene,question,answer,evidence,qa_type
1,60、INT. KITCHEN - MORNING,Why are Japanese relief workers staging a desperate effort?,To rescue hundreds of people stranded by a tidal wave.,Japanese relief workers are staging a desperate effort to rescue hundreds of people stranded by a freak tidal wave.,causal/relational queries
2,17、INT. SMALL WONDER DAY CARE - SAME TIME,"In [17、INT. SMALL WONDER DAY CARE - SAME TIME], What is Grace's emotional state?",Concerned,She's concerned.,character states
3,12、INT. HALLWAY - MOMENTS LATER,"In [12、INT. HALLWAY - MOMENTS LATER], What is Bruce's emotional state when snubbed by Susan?",Bruce feels embarrassed.,Bruce blanches at this obvious snubbing.,character states
4,18、INT. STUDIO CONTROL ROOM - CONTINUOUS,"In [18、INT. STUDIO CONTROL ROOM - CONTINUOUS], What is Bruce's physical condition?",Frozen solid,"CONSOLE OPERATOR
Frozen solid.",character states
5,7、EXT. SMALL WONDERS DAY CARE - MORNING,What causes Bruce's reluctance to donate blood?,His belief that blood is stockpiled in warehouses,They stockpile that stuff. They have an endless supply frozen in a warehouse somewhere then tell everyone there's a shortage.,causal/relational queries
6,39、INT. BATHROOM,What is written on the note stuck in the bathroom mirror?,I LOVE YOU. WE NEED TO TALK. Grace,A note is stuck in the bathroom mirror... The note simply says: 'I LOVE YOU. WE NEED TO TALK. Grace',detailed description
7,28、EXT. NIAGARA FALLS - CONTINUOUS,What does Bruce suggest might be the reason he didn't get the anchor job?,"His hair, teeth, or the erosion of his life's bedrock","BRUCE: Do you think it's my hair? Maybe my teeth aren't white enough? Or like the great falls, is the bedrock of my life slowly eroding...",dialogue/beliefs
8,27、INT. SMALL .WONDERS DAY CARE - CONTINUOUS,What does Grace say about the situation?,This isn't happening. This isn't happening...,GRACE This isn't happening. This isn't happening...,dialogue/beliefs
9,32、INT. STUDIO CONTROL ROOM - .CONTINUOUS,What action does Susan Ortega perform in the scene?,Stares frozen blankly into camera,Susan Ortega stares frozen blankly into camera.,detailed description
10,16、EXT. NIAGARA FALLS - CONTINUOUS,"In [16、EXT. NIAGARA FALLS - CONTINUOUS], What is Bruce's emotional state?",Numb,"He stares into camera, numb.",character states
11,10、INT. NEWSROOM - DAY,"In [10、INT. NEWSROOM - DAY], What emotional state does Bruce display when tasting the quiche?",Exasperated,Bruce feigns liking it with exasperation.,character states
