scene,question,answer,evidence,qa_type
3、INT. NORLAND PARK - MR DASHWOOD'S BEDROOM - NIGHT,What is Norland?,"The estate left to Mr. Dashwood, which cannot be divided between families.",the estate of Norland was left to me in such a way as prevents me from dividing it between my families,terminology/abbreviation/concept
32、INT. NORLAND PARK - MORNING ROOM - DAY,Why does Mrs. Dashwood decide to hide the letter?,She believes Edward and Elinor have formed an attachment and doesn't want to take Elinor away.,"Mrs. Dashwood says, 'I think--I believe that Edward and Elinor have formed an attachment' and mentions Devonshire is far.",causal/relational queries
34、INT. NORLAND PARK - BREAKFAST ROOM - DAY,What causes Mrs. Dashwood to feel appalled and furious?,Fanny's disclosure about the mother's financial threats towards Edward.,It is impossible for MRS DASHWOOD not to get the point. She is appalled and furious.,causal/relational queries
63、EXT. BARTON COTTAGE - FRONT DOOR - DAY,What does the stranger say about his identity?,"John Willoughby of Allenham--your servant, ma'am!","THE STRANGER mounts Bedivere and turns to her. THE STRANGER John Willoughby of Allenham--your servant, ma'am!",dialogue/beliefs
61、INT. BARTON COTTAGE - FRONT DOOR - DAY,What does Elinor ask Marianne after the Stranger arrives?,Are you in pain?,"ELINOR Marianne, are you in pain?",dialogue/beliefs
59、EXT. DOWNS NEAR BARTON COTTAGE - DAY,What does Marianne say about felicity?,Is there any felicity in the world superior to this?,Is there any felicity in the world superior to this?,dialogue/beliefs
16、INT. NORLAND PARK - DINING ROOM - EARLY EVE,"What action does FANNY perform secretly, and what object does she examine?",Surreptitiously checks the hallmark on her butterknife,FANNY surreptitiously checks the hallmark on her butterknife.,detailed description
9、INT. NORLAND PARK - DRAWING ROOM - DAY,"In [9、INT. NORLAND PARK - DRAWING ROOM - DAY], What is Marianne's emotional state?",She is in a mournful mood.,Marianne plays a sad piece and continues with a lugubrious one.,character states
52、INT. SIR JOHN'S CARRIAGE - NIGHT,"In [52、INT. SIR JOHN'S CARRIAGE - NIGHT], What is Marianne's emotional state during the argument with Margaret?",Angry and emotionally agitated,MARIANNE colours and attacks MARGARET again,character states
36、INT. NORLAND PARK - DINING ROOM - EVE,Why must the family leave as soon as possible?,Because they can no longer trespass upon your sister's goodwill.,MRS DASHWOOD: 'We can no longer trespass upon your sister's good will. We must leave as soon as possible.',causal/relational queries
32、INT. NORLAND PARK - MORNING ROOM - DAY,What causes Marianne to doubt Edward's suitability for Elinor?,His reserved nature and lack of passion as observed in his reading.,"Marianne states, 'He is too sedate his reading last night' and questions his ability to satisfy romantic ideals.",causal/relational queries
52、INT. SIR JOHN'S CARRIAGE - NIGHT,"In [52、INT. SIR JOHN'S CARRIAGE - NIGHT], What is Margaret's behavioral state during the conflict?",Defiant and persistent,MARGARET challenges MARIANNE's assertions and continues the argument,character states
11、EXT. NORLAND PARK - MARGARET'S TREE-HOUSE - DAY,"In [11、EXT. NORLAND PARK - MARGARET'S TREE-HOUSE - DAY], What is Elinor's behavioral state after Margaret's statement?",Pondering,CLOSE on ELINOR as she ponders the truth of this statement,character states
64、INT. BARTON COTTAGE - PARLOUR - DAY,What does Marianne say about Mr. Willoughby's strength?,He lifted me as if I weighed no more than a dried leaf.,"MARIANNE
He lifted me as if I weighed no more than a dried leaf!",dialogue/beliefs
6、INT. LAUNDRY - NORLAND PARK - DAY,What action does the MAID perform with the frock?,Plunges a beautiful muslin frock into a vat of black dye,A red-eyed MAID (BETSY) plunges a beautiful muslin frock into a vat of black dye.,detailed description
8、INT. JOHN AND FANNY'S CARRIAGE - DAY,What does Fanny say is the real issue in the negotiation?,The question is what you can afford.,"The question is, what can you afford?",dialogue/beliefs
30、EXT. FIELDS NEAR NORLAND - DAY,Why does Edward say their circumstances are the same?,Because they both feel idle and without hope of occupation.,ELINOR: 'You talk of feeling idle and useless... no hope of any occupation.' EDWARD: 'Our circumstances are therefore precisely the same.',causal/relational queries
34、INT. NORLAND PARK - BREAKFAST ROOM - DAY,Why is Fanny concerned about Edward's potential marriage?,Her mother threatens to cut off financial support if he doesn't marry well.,"My mother has always made it perfectly plain that she will withdraw all financial support from Edward, should he choose to plant his affections in less... exalted ground than he deserves.",causal/relational queries
48、EXT. BARTON PARK - EVE,"In [48、EXT. BARTON PARK - EVE], What is Sir John's emotional state?",Concerned about Brandon's whereabouts and well-being,"Where can Brandon be, poor fellow? I hope he has not lamed his horse.",character states
49、INT. BARTON PARK - DINING ROOM - EVE,"In [49、INT. BARTON PARK - DINING ROOM - EVE], What is Marianne's emotional state when she glances at her sister?",Alarmed concern,MARIANNE flashes an unmistakable glance of alarmed concern at her sister,character states
35、INT. NORLAND PARK - MRS DASHWOOD'S DRESSING ROOM - DAY,Why is Mrs. Dashwood searching through her wardrobe?,To find the gown containing Sir John's letter.,searching through her wardrobe for the gown which contains SIR JOHN's letter,causal/relational queries
37、INT/EXT. NORLAND PARK - STABLES - DAY,Why does Fanny urgently demand Edward leave?,Because family affairs are in chaos due to his absence.,FANNY: 'Family affairs are in chaos owing to your absence. Mother is quite adamant that you should leave at once.',causal/relational queries
60、INT. BARTON COTTAGE - DINING ROOM - DAY,What does Elinor believe about the rain based on Marianne's statement?,It will rain regardless.,"ELINOR
Which invariably means it will.",dialogue/beliefs
8、INT. JOHN AND FANNY'S CARRIAGE - DAY,"In [8、INT. JOHN AND FANNY'S CARRIAGE - DAY], What does Fanny believe a brother would do for his sisters?",A brother would not do half so much for his real sisters.,What brother on earth would do half so much for his real sisters--let alone half-blood?,dialogue/beliefs
51、INT. BARTON PARK - MUSIC ROOM - EVE,When does the song end?,The song ends before Sir John greets Brandon.,The song finishes. Everyone claps. The MAN ventures out into the light and SIR JOHN springs from his seat.,temporal references
36、INT. NORLAND PARK - DINING ROOM - EVE,Why is Fanny thrilled?,Because the offer includes a charming cottage.,"FANNY: 'Oh, a cottage! How charming. A little cottage is always very snug.'",causal/relational queries
