scene,question,answer,evidence,qa_type
54、INT. PLANE - IN FLIGHT - LATER,What does Barry do when he sees the baby?,"Barry wells with tears, cringes, his veins pop, and smiles crazily.","HE WELLS WITH TEARS AND A SMILE, CRINGES IN HIS FACE AND WE SEE THE BUILD UP OF EMOTION, HIS VEINS POP FROM HIS FACE AND THEN HE SMILES LIKE CRAZY, SMILING AND SMILING AND SMILING, BRIGHT RED AND PAINFUL.",detailed description
1、INT. WAREHOUSE - EARLY MORNING,What caused Barry to get distracted during his phone call?,The distant sound of a car skidding and screaming.,"OC DISTANT SOUND OF A CAR SKIDDING TO A STOP, SOME VAGUE, DISTANT SCREAMING IS HEARD...THEN SILENCE. Barry hears this, gets distracted",causal/relational queries
12、INT. BARRY'S APARTMENT - LATER,"In [12、INT. BARRY'S APARTMENT - LATER], Why does Barry request to be called Jack?",To keep his identity confidential,I don't want anyone to know it's me.,character states
18、INT. BARRY'S WORK/WAREHOUSE - MORNING/LATER,"In [18、INT. BARRY'S WORK/WAREHOUSE - MORNING/LATER], What action does Barry take that indicates a significant change in his behavior?",He cuts up his credit card with scissors and throws it away.,Barry paces around... cuts up his CREDIT CARD with some scissors. He throws it away.,character states
63、INT. ROYAL HAWAIIAN HOTEL ROOM - MOMENTS LATER,What analogy does Barry use to describe his feelings about cuteness?,Squeeze a puppy and smash its skull.,BARRY: 'Have you ever held a little puppy...you get this feeling...squeeze it...smash its skull...',dialogue/beliefs
23、INT. DEAN'S OFFICE/UPSTAIRS/BACKROOM - MOMENTS LATER,"In [23、INT. DEAN'S OFFICE/UPSTAIRS/BACKROOM - MOMENTS LATER], What is David's emotional state when Dean refuses to cover his expenses?",He is frustrated.,It's....whatever....that's not cool.,character states
28、INT. BATHROOM - MOMENTS LATER,"In [28、INT. BATHROOM - MOMENTS LATER], What is Barry's emotional state when he hits the stall?",Mad at himself and crazier after damaging the stall.,He's mad at himself and he HITS a stall....it seems loose already and falls straight to the floor. This makes him go crazier,character states
21、INT. LOCAL BAR/PROVO - LATER,"In [21、INT. LOCAL BAR/PROVO - LATER], What behavioral action does Dean take after being bumped?",Smashes a beer bottle and threatens Regular Joe,"Dean takes a BEER BOTTLE, SMASHES it, and holds it up while yelling",character states
21、INT. LOCAL BAR/PROVO - LATER,"In [21、INT. LOCAL BAR/PROVO - LATER], What is Dean's emotional state when he confronts Regular Joe?",Angry and aggressive,"Dean explodes, uses threatening language, and smashes a beer bottle",character states
34、INT. HALLWAY - THAT MOMENT,What does 'HOLD' indicate in the scene description?,A directive to maintain the current camera shot,HOLD.,terminology/abbreviation/concept
14、INT. BARRY'S APARTMENT - MOMENTS LATER,Why does Barry mention wanting to diversify his business?,Because he wishes he was making more money and wants to improve.,I wish I was making more... I'd like to diversify...,causal/relational queries
29、INT. RESTARAUNT - MOMENTS LATER,"In [29、INT. RESTARAUNT - MOMENTS LATER], What is Barry's emotional state when the Manager confronts him?",He appears distressed and defensive.,BARRY: 'Please don't do this to me.' and 'I didn't do it.',character states
28、INT. BATHROOM - MOMENTS LATER,"In [28、INT. BATHROOM - MOMENTS LATER], What does Barry do after collecting himself?","He hesitates, looks around, and tries to collect the bathroom.","HOLD. He collects himself and then he hesitates, looks around, tries to collect the bathroom but it's in ruins",character states
63、INT. ROYAL HAWAIIAN HOTEL ROOM - MOMENTS LATER,What does Lena say she wants to do to Barry's face?,Bite his cheek and chew it.,LENA: 'I just...your face is so adorable...I wanna bite your cheek and chew on it....',dialogue/beliefs
18、INT. BARRY'S WORK/WAREHOUSE - MORNING/LATER,"In [18、INT. BARRY'S WORK/WAREHOUSE - MORNING/LATER], What is Barry's emotional state after discovering something unexpected in the warehouse?",Upset and frustrated about something being in the warehouse.,BARRY: 'This is not supposed to be here. Seriously... It already did hurt someone: It hurt me...',character states
27、INT. RESTAURANT - NIGHT,"In [27、INT. RESTAURANT - NIGHT], Why did Lena come to meet Barry?",She wanted to meet him and didn't want to hide her intention.,"I came to drop my car off there on purpose, to try and meet you.",character states
23、INT. DEAN'S OFFICE/UPSTAIRS/BACKROOM - MOMENTS LATER,"In [23、INT. DEAN'S OFFICE/UPSTAIRS/BACKROOM - MOMENTS LATER], What is Latisha's emotional state when Dean makes a sudden move?",She is frightened.,She FLINCHES.,character states
17、INT. KITCHEN - MOMENTS LATER,Why does Georgia call Barry?,To ask for financial help.,I just wanted to call and talk to you... I was wondering if you could help me out with a little bit of money.,causal/relational queries
20、INT. STEVENS BROTHERS HOUSE - DAY,"In [20、INT. STEVENS BROTHERS HOUSE - DAY], What is David's physical condition?",He has a knee injury.,But it's gotta wait until my knee is better. I can't risk it.,character states
7、INT. WAREHOUSE/NEAR LANCE'S DESK - LATE AFTERNOON,What does Elizabeth say about bringing a friend to the party?,"She says it's a free country, we can look at you if we want to.","ELIZABETH
It's a free country, we can look at you if we want to.",dialogue/beliefs
