scene,question,answer,evidence,qa_type
1、户籍办理处，日，内,余国伟如何递送释放证明？,动作缓慢，愣了一会儿，铺平后递送,余国伟动作缓慢，愣了一会儿，把手里的释放证明铺平递给了工作人员。,detailed description
13、工厂大厅，日，内,"在[13、工厂大厅，日，内]中, 余国伟在获得劳动模范称号时的情绪如何？",激动且感到不可思议,余国伟：这次跟上次不一样，这次有点像做梦啊！,character states
11、小饭馆，夜，外,"在[11、小饭馆，夜，外]中, 张队的情绪状态如何？",疲惫，因工作压力大,余国伟看着疲惫的张队：没睡好啊？,character states
56、公路，日，外,中年男子为何撞到余国伟？,因疲劳驾驶导致注意力不集中,中年男子有些疲惫，时不时打个瞌睡，他抽了自己几个嘴巴，但还是没用。,causal/relational queries
14、饭馆，夜，外,余国伟如何回应关于上调的建议？,他问鸡头凤尾分得清吗，并劝大家喝酒。,余国伟：鸡头凤尾分得清吗？（几个人尴尬的笑了笑）很多事情都是有定数的，别他妈瞎惦记，喝酒。,dialogue/beliefs
49、乡间小路，日，外,余国伟对宋军说了什么？,余国伟说：你认得这地方，想起来了吧！,余国伟望了望四周，然后看向宋军：你认得这地方，想起来了吧！,dialogue/beliefs
57、旧小区，日，内,余国伟为什么沉默？,因为死者与多起命案有关且身份不明,余国伟沉默了。,causal/relational queries
1、户籍办理处，日，内,余国伟如何回答工作人员关于姓氏的问题？,重复回答‘余下的余’,余国伟：余下的余。工作人员：姓什么？余国伟：余下的余。,detailed description
51、天桥上，日，外,余国伟为何无法及时反应？,燕子坠落导致围栏震动,余国伟趴在围栏下，望着呼啸而过的火车，但一切为时已晚,causal/relational queries
56、公路，日，外,余国伟为何被后续卡车撞死？,因被前车撞伤导致行动不便,男子爬出来后艰难起身，然后一瘸一拐的往路边的田地走。一辆卡车开过来，将男子的身体撞成了碎末。,causal/relational queries
8、田地，日，外,"在[8、田地，日，外]中, 余国伟在殴打小刘后处于什么状态？",思索,余国伟蹲下来点着烟思索着什么。,character states
9、乡间小路，日，外,男子认为死者为何被杀？,她可能在灯光球场得罪了不该得罪的人。,男子：她肯定是在那儿得罪了不该得罪的人，让人给杀了。,dialogue/beliefs
58、工厂大厅，日，内,余国伟为什么记得1997年的讲话？,因为那是他人生中最得意的时候。,那是他人生中最得意的时候。,causal/relational queries
21、工厂，日，外,"在[21、工厂，日，外]中, 余国伟追捕时如何行动？",以机器为掩体寻找男子,余国伟以机器为掩体，寻找着消失的男子,character states
12、工厂宿舍，日，内,小刘为什么踹那个工人？,因为工人承认偷了三次,小刘踹了那个工人一脚：去你妈的。,causal/relational queries
58、工厂大厅，日，内,老头为什么让余国伟离开？,因为工厂即将被拆除，不让生人进入。,这都要拆了，不让生人来，赶紧走吧！,causal/relational queries
16、河边，日，外,"在[16、河边，日，外]中, 女尸出现在哪里？",河边的空地,河边的空地上出现了一具女尸，法医正在检查尸体。,scene localization
6、警察局走廊，日，内,"在[6、警察局走廊，日，内]中, 余国伟在警察局的行动表明他的身份是什么？",工厂代表,余国伟领着厂里的工人走进了警察局。,character states
18、河里，日，外,"在[18、河里，日，外]中, 余国伟坐在岸边时处于什么状态？",发呆,余国伟坐在岸边发呆。,character states
55、旧小区，日，外,中年男子提到的事情发生地点是哪里？,炼钢厂外的公路,中年男子：记得，炼钢厂外的公路上,detailed description
