scene,question,answer,evidence,qa_type
19 INT.  DUTY ROOM/CORRIDOR/ADMIN.  POLICE STATION.  NIGHT.,What important object is handed from Berlin to Venables?,Six rolls of film.,Sure he will and six rolls of film are handed across.,objects/props
11 EXT.  WORKING FACE.  INFILL.  GARBAGE DUMP.  DAY.,What does Berlin believe about the suicide that indicates it was well planned?,He believes it was well rehearsed because there are three trial cuts before the fatal cut.,"He's well rehearsed .. Cut your own throat, you're nervous about it, tend to hesitate. He's got three trial cuts, lower left side of the neck, before he works up courage for the big one.",dialogue/beliefs
25 INT.  CRIME LAB.  POLICE STATION.  NIGHT.,What is Citrine's emotional state as he questions the connection between the cases and the absence of the body?,"He is skeptical, frustrated, and tense, doubting the case connection and pressing for answers.",CITRINE: I don't see that at all .. I don't know nothing about this 'Jennifer' girl... why's he hidden this one?,character states
1 INT.  COMMUNITY HALL.   DAY.,What belief does Berlin express about his current journey compared to his past behavior?,He believes he is not running away this time but moving forward intentionally.,I'm going for it coz this time I know I'm not running away - I'm actually two miles into a 600 mile journey,dialogue/beliefs
48 INT.  MERCEDES SEDAN.  SHASTA-TRINITY INSTITUTE.  DAY.,How does Berlin describe his reason for leaving Los Angeles?,He felt like he'd said sorry in every street and couldn't take another day of it.,I couldn't take another minute of Los Angeles .. Felt like I'd said sorry in every street in the city ..,dialogue/beliefs
47 INT.  RESTAURANT/DINER.  TRINITY VALLEY.  DAY.,"How does Berlin describe his dream about God, and what does God say about prayers in the dream?",God was a nasty-looking little guy who said prayers are like junk mail.,"He said, don't you listen to people's prayers? He said, prayers? Not often. They're Junk Mail.",dialogue/beliefs
72 INT.  APARTMENT.  INSTITUTE.  DAY.,What is the significance of the 'Forget-Me-Nots' in the scene?,"They are part of a surprise dinner setup, symbolizing remembrance.",A pathetic little table with candles and Forget-Me-Nots and can of Diet Coke by his plate.,causal/relational queries
68 INT.  OFFICE.  POLICE STATION.  NIGHT.,What is Berlin's emotional state when Taylor tells him he is in the wrong cabinet?,"Berlin feels humiliated and diminished, as if he is only 2 inches tall.",BERLIN feels about 2 inches tall.,character states
73 INT.  APARTMENT.  INSTITUTE.  DUSK.,What is Helena's emotional state when she offers to make more coffee?,"She is perceptive and empathetic, responding gently to Berlin's silence.",Coz you hardly said a word since you got here. But you been thinking pretty loud .. I'll make some more coffee.,character states
73 INT.  APARTMENT.  INSTITUTE.  DUSK.,What does Berlin's hesitation suggest about his emotional state before speaking to Helena?,"He is reluctant and emotionally burdened, avoiding saying something difficult.",But first he's gotta toll her something he doesn't want to hear himself.,character states
126 INT.  INTERROGATION ROOM.  POLICE STATION.  DAY.,What reason does Berlin give for believing the suspect targeted Miss Robertson?,The suspect feared she was a witness to his crimes and knew he was being investigated.,"BERLIN: Because he reads I'm investigating the disappearance of her friend, & Miss Robertson becomes the focus of his anxiety.",causal/relational queries
