scene,question,answer,evidence,qa_type
54、EXT./INT. ST. CLOUD'S ROAD - TRUCK CAB - DAY,Why does Homer mention the incinerator compared to their current situation?,To highlight their survival as preferable to a worse fate.,We could have ended up in the incinerator!... Happy to be alive,causal/relational queries
67、INT. GIRLS' DIVISION - NIGHT,What is Mary Agnes doing in the girls' washroom?,Repetitively slapping her face in front of the mirror by the sinks.,"In the girls' washroom, in front of the mirror by the row of sinks, Mary Agnes is repeatedly slapping her face.",detailed description
57、INT. CORRIDOR - DAY,Why can't Homer get excited according to his own explanation?,Because he has a heart defect that prevents him from getting excited.,"Homer They wouldn't take me. I'm Class IV--I've got a heart defect. No strain, no stress. I try to keep calm all the time.",causal/relational queries
4、INT. LARCH'S OFFICE - DAY,"In [4、INT. LARCH'S OFFICE - DAY], Who possesses the infant before handing him over?",Dr. Larch,"Dr. Larch shows couple #1 their newly adopted son, HOMER, an infant who lies smiling in Dr. Larch's arms.",objects/props
55、EXT. ORPHANAGE DRIVEWAY - DAY,Why does Wally give chocolates to the children?,"To ease his anxiety about Larch, Homer, and Buster","Nervously, Wally gives the children chocolates. They are anxious of Larch and Homer and Buster...",causal/relational queries
57、INT. CORRIDOR - DAY,Why did Wally open the window after exiting the O.R.?,To regain composure after the ether's smell affected him.,Wally breathes deeply to regain his composure. WALLY I think it was the ether--the smell got to me.,causal/relational queries
32、EXT. ST. CLOUD'S - THE HILL - NIGHT,When does the evening come according to Edna's dialogue?,When the shadows lengthen and the busy world is hushed,"until the shadows lengthen and the evening comes, and the busy world is hushed, and the fever of life is over, and our work is done",temporal references
37、INT. BABY ROOM - MORNING,What does Larch claim about naming the baby?,Henceforth you shall be... Little Dorrit!,LARCH: Henceforth you shall be... Little Dorrit!,dialogue/beliefs
56、INT. LARCH'S OFFICE - DAY,What causes Edna to correct her statement?,She sees that all three have misunderstood her.,Edna quickly sees that all three of them have misunderstood her.,causal/relational queries
56、INT. LARCH'S OFFICE - DAY,Why is Wally relieved after Homer's response?,Because Homer says Dr. Larch will perform the procedure.,No. Dr. Larch will be performing the procedure.,causal/relational queries
28、INT. DINING HALL - AFTERNOON,What emotion does Buster express toward Dr. Larch?,Disgust.,"Buster makes a face, disgusted.",dialogue/beliefs
45、INT. HOSPITAL ROOM - NIGHT,Why does the distraught woman hold Homer's head against her belly?,Because she believes no one should have a baby without someone wanting to connect with it.,You shouldn't have a baby if there's no one who wants to put his face right there!,causal/relational queries
26、INT. DELIVERY ROOM - DAY,"In [26、INT. DELIVERY ROOM - DAY], What is Carla's emotional state after giving birth?",Distressed and anxious.,"Carla screams, refuses to see the baby, and avoids knowing the sex.",character states
24、INT. CORRIDOR - DAY,"In [24、INT. CORRIDOR - DAY], What belief does Larch express about helping women?",You have to feel obligated to help women who can't get help elsewhere.,LARCH: How can you not feel *obligated* to help them when they can't get help anywhere else?,dialogue/beliefs
17、INT. DELIVERY ROOM - DAY,"In [17、INT. DELIVERY ROOM - DAY], What is Homer's emotional state towards Dr. Larch?",Adoring,Homer looks adoringly at Dr. Larch,character states
53、EXT. ST. CLOUD'S - GRAVEYARD - EARLY MORNING,Why is Buster bewildered after Larch's explanation?,Because Larch's explanation about the girl's death being due to secrecy and ignorance is confusing to him.,"Buster nods, but he's totally bewildered.",causal/relational queries
53、EXT. ST. CLOUD'S - GRAVEYARD - EARLY MORNING,What causes Homer to roll his eyes during Larch's conversation?,He has heard Larch's argument too many times.,Homer has heard this too many times; he rolls his eyes.,causal/relational queries
42、INT. GIRLS' DIVISION - NIGHT,Why is Edna happy for Hazel?,Because Hazel has found a family.,Let us be happy for Hazel. Hazel has found a family.,causal/relational queries
20、EXT. INCINERATOR - DAY,"In [20、EXT. INCINERATOR - DAY], What is Homer's emotional state when he looks into the pail?",Disgusted,Homer's disgusted expression,character states
20、EXT. INCINERATOR - DAY,"In [20、EXT. INCINERATOR - DAY], What status does Larch claim for Homer?",An orphan,God forgive me. I have *made* an orphan by loving him too much.,character states
"7、INT. BOY'S DIVISION, DOORWAY - NIGHT","In [7、INT. BOY'S DIVISION, DOORWAY - NIGHT], What is Homer's behavioral state when first presented to Larch?",He never makes a sound.,There's something wrong with him! He never makes a sound.,character states
59、EXT. ORPHANAGE DRIVEWAY - DAY,Why does Homer examine the car?,To cover the awkward silence.,"An awkward silence, which Homer covers by examining the car.",causal/relational queries
11、INT. DELIVERY ROOM - DAY,"In [11、INT. DELIVERY ROOM - DAY], What is Larch's emotional state when he sees Homer?",Faintly smiling,He smiles faintly.,character states
11、INT. DELIVERY ROOM - DAY,"In [11、INT. DELIVERY ROOM - DAY], What is the physical condition of the woman?",Very pregnant,The naked belly of a VERY PREGNANT WOMAN.,character states
17、INT. DELIVERY ROOM - DAY,"In [17、INT. DELIVERY ROOM - DAY], What is Homer's status according to Dr. Larch?",He is an orphan,had I created a true and everlasting orphan?,character states
29、EXT. INCINERATOR - AFTERNOON,What does Homer claim about his medical qualifications?,He hasn't been to medical school or high school.,I'm *not* a doctor. I haven't been to medical school--I haven't even been to high school!,dialogue/beliefs
22、INT. CORRIDOR - DAY,"In [22、INT. CORRIDOR - DAY], What is Homer's behavioral state in the passage?",He is calling out as though he's just coming down the corridor.,Homer calls out as though he's just coming down the corridor.,character states
62、INT. KITCHEN - LATE AFTERNOON,Why is the person leaving according to the dialogue?,Because Angela said he needs to see the world.,LARCH (to Angela) you're the one who says he needs to see the world!,causal/relational queries
"10、EXT. HILL, ST. CLOUD'S - DAY",What action does Larch perform with Homer on the orphanage hill?,Larch carries Homer up the orphanage hill.,Larch carries Homer up the orphanage hill.,detailed description
65、INT./EXT. WALLY'S CAR - ON THE ROAD - AFTERNOON,"In [65、INT./EXT. WALLY'S CAR - ON THE ROAD - AFTERNOON], What object does Wally use to glance at Candy?",The rear-view mirror,Wally keeps glancing at Candy in the rear-view mirror,objects/props
