id,scene,question,answer,evidence,qa_type
1,35、INT. BRIDGE OF RELIANT,What action does Chekov perform as the camera widens?,Chekov turns away as the camera widens to reveal Khan by his side.,"Chekov, in a matched cut, turns away as CAMERA WIDENS TO REVEAL KHAN by his side.",detailed description
2,2、INT. ENTERPRISE BRIDGE - ANOTHER ANGLE,What happens to Sulu when the Enterprise is hit?,Sulu is hurled from his station.,"Sulu does his best, but Enterprise is hit; Sulu is hurled from his station, and Bones hurries to him.",detailed description
3,16、INT. RELIANT BRIDGE,"In [16、INT. RELIANT BRIDGE], What does Beach order Kyle to muster?",A landing party with full arms,muster a landing party with full arms,objects/props
4,5、INT. BRIDGE OF RELIANT,What does Terrell propose regarding the anomaly?,Contact Doctor Marcus to see if it can be transplanted.,"TERRELL
All right, let's get on the Comm-pic to
Doctor Marcus. Maybe it's something
we can transplant.",dialogue/beliefs
5,4、EXT. DEEP SPACE - NEAR CETI ALPHA V,"In [4、EXT. DEEP SPACE - NEAR CETI ALPHA V], Why is the USS Reliant approaching CETI ALPHA V?",To test the Genesis Experiments on a lifeless planet.,Starship log... project code name GENESIS... suitable test site for the Genesis Experiments.,causal/relational queries
6,"8、INT. CORRIDOR, SPACE STATION REGULA I",What does David say about procrastination?,Never put off tomorrow what you can put off today.,DAVID: Never put off tomorrow what you can put off today.,dialogue/beliefs
7,15、INT. CARGO HOLD - CETI ALPHA V,"In [15、INT. CARGO HOLD - CETI ALPHA V], What is Khan's role according to Chekov?","A criminal, a product of late 20th Century genetic engineering","CHEKOV: A criminal, Captain -- a product of the late 20th Century genetic engineering --",character states
8,43、INT. SPOCK'S QUARTERS,How does Kirk react when Spock states he has no ego?,Smiles in bemused wonderment.,Kirk smiles in bemused wonderment.,detailed description
9,53、INT. ENTERPRISE BRIDGE - FAVORING SPOCK,What action does Kirk take after Spock's warning?,He orders to raise shields and energize phasers.,"KIRK Raise shields! Energize phasers, stand by to --",detailed description
10,42、EXT. SPACE - ENTERPRISE (FEATURE STOCK),What action does the ship take after accelerating?,It undergoes an eye-filled burst and whips ahead to warp speed.,"The ship accelerates, and then, with an eye-filled burst, whips ahead to warp speed, disappearing.",detailed description
11,58、INT. ENTERPRISE BRIDGE,What caused the bridge to shake and fires to erupt?,Photon torpedoes striking the ship,"Photon torpedoes approach... Hang on! The bridge is shaken badly, screens go dark, fires spark and erupt",causal/relational queries
12,5、INT. BRIDGE OF RELIANT,What does Chekov suggest about the energy flux reading?,It could be a particle of preanimate matter.,"CHEKOV
I suppose it
could
be a particle
of preanimate matter caught in the
matrix...",dialogue/beliefs
13,15、INT. CARGO HOLD - CETI ALPHA V,"In [15、INT. CARGO HOLD - CETI ALPHA V], What was Khan's past status?",A prince with power over millions,"KHAN: On earth, two hundred years ago, I was a prince, with power over millions",character states
14,54、EXT.SPACE,What action is Reliant taking against the Enterprise?,Reliant firing phasers at Enterprise,Reliant firing phasers at Enterprise,detailed description
15,39、INT. KIRK'S QUARTERS,"In [39、INT. KIRK'S QUARTERS], What is Kirk's emotional state during the transmission?",Frustrated,Kirk is described as frustrated and pounds the Comm in frustration.,character states
16,38、INT. ENTERPRISE CORRIDOR,When does Kirk advise Saavik to retake the Kobayashi Maru test?,After their conversation about her performance on the test,KIRK: Take the test again.,temporal references
