id,scene,question,answer,evidence,qa_type
1,7、INT. MAIN HOUSE - DINING ROOM - NIGHT,What belief does Louise express about the stairs?,The Good Lord's liable to snatch two souls if she keeps climbing the stairs.,LOUISE ... The Good Lord's liable to snatch up two unwillin' souls at the same time if I keep on trampin' up those stairs...,dialogue/beliefs
2,"1、EXT. TOWNHOUSE GARDEN - WASHINGTON, D.C. - AFTERNOON","In [1、EXT. TOWNHOUSE GARDEN - WASHINGTON, D.C. - AFTERNOON], What is Chance's behavioral state while working?","Working slowly and precisely, engrossed in his surroundings","He works slowly, precisely, obviously engrossed in his surroundings.",character states
3,24、INT. DINING ROOM - DAY,"In [24、INT. DINING ROOM - DAY], How does Chance behave when meeting Franklin and Hayes?","He remains calm, shakes hands warmly, and smiles.","a smile, totally at ease; takes Franklin's hand warmly",character states
4,17、INT. MAIN HOUSE - OLD MAN'S ROOM - MORNING,"In [17、INT. MAIN HOUSE - OLD MAN'S ROOM - MORNING], What emotional state does Chance exhibit upon entering the room?",Respect and curiosity,"we sense a feeling of respect from Chance, as well as a bit of curiosity",character states
5,26、EXT. GARDEN - AFTERNOON,"In [26、EXT. GARDEN - AFTERNOON], What emotional state does Chance exhibit while describing his garden?",Pride.,describes his garden with pride,character states
6,18、EXT. GARDEN - MORNING,"In [18、EXT. GARDEN - MORNING], What is Louise's emotional state during her interaction with Chance?","Caring, as she shows concern and touches his shoulder.","She smiles slightly, with caring, and puts a hand on his shoulder.",character states
7,19、INT. MAIN HOUSE - FRONT HALLWAY - MORNING,Why are the two men in white carrying a stretcher?,They are transporting the old man's body.,Two men in white carrying a stretcher down the main staircase. She notices the ease with which they bring the Old Man's body down the stairs.,causal/relational queries
8,"40、EXT. WASHINGTON, D.C. STREET - LATE AFTERNOON",What is the function of the statue of Benito Juarez in the scene?,To indicate the direction Chance should go.,"He turns, looks behind him and sees a large statue of Benito Juarez pointing. Chance smiles and goes off in the direction that Benito points.",terminology/abbreviation/concept
9,56、INT. RAND DINING ROOM - NIGHT,What does Rand believe is harming business growth?,Kid-lawyers from the SEC.,RAND: 'Today the businessman is at the mercy of kid-lawyers from the SEC. All they want to do is regulate our natural growth!',dialogue/beliefs
10,55、INT. RAND'S HOSPITAL ROOM - NIGHT,What does Rand say about his wealth and sickness?,He would rather be wealthy and sick than poor and sick.,I think I would rather be wealthy and sick than poor and sick.,dialogue/beliefs
11,62、INT. RAND'S HOSPITAL ROOM - MORNING,What does Rand admire about Chance?,His peaceful nature and balance.,RAND: 'You're a truly peaceful man... your marvelous balance.',dialogue/beliefs
12,58、INT. MANSION - ELEVATOR - NIGHT,What does Wilson say when he apologizes?,"Wilson apologizes for laughing, citing he knew Chance would make another joke about the elevator.","WILSON (laughing, trying to apologize) ... Sorry, sir - I just couldn't contain myself... I knew you were going to come out with another one of your jests about the elevator...",dialogue/beliefs
13,57、INT. RAND'S POOL ROOM - NIGHT,What does Rand believe about the financial assistance program he proposes?,"Rand believes it will help businessmen harmed by inflation, taxes, and unions.","Rand: 'I've been thinking about beginning a financial assistance program... to help out American businessmen that have been harassed by inflation, excessive taxation, unions and other indecencies...'",dialogue/beliefs
14,3、INT. POTTING ROOM - AFTERNOON,How does the television create color in the Potting Room?,A wheel with colored gels spins on the screen.,"Attached to the front of the screen is a wheel containing colored gels. The wheels spins, creates an early form of color TV.",detailed description
15,19、INT. MAIN HOUSE - FRONT HALLWAY - MORNING,Why does Louise block the stretcher bearers?,She wants to exit the building first.,Louise steps in front of them. LOUISE (CONT'D) (to stretcher bearers) Wait up! I'm goin' out that door first.,causal/relational queries
16,61、INT. RAND MANSION - HALLWAY - MORNING,What does Chance request upon being approached?,He wants to see Ben.,"CHANCE: Yes, I would like to see Ben.",dialogue/beliefs
17,62、INT. RAND'S HOSPITAL ROOM - MORNING,What does Rand say about his appearance before the President?,He used make-up to avoid seeming like he was dying.,RAND: 'It's all make-up... I didn't want the President to think I was going to die during our talk.',dialogue/beliefs
18,18、EXT. GARDEN - MORNING,"In [18、EXT. GARDEN - MORNING], What is Chance's behavioral state while Louise is speaking to him?","Resumes working and continues working, focused on tasks.",He resumes working and keeps working while Louise speaks.,character states
19,27、INT. GARAGE - AFTERNOON,"In [27、INT. GARAGE - AFTERNOON], What is Chance's emotional state when asked about driving the car?",He blushes slightly.,"Chance is silent for a moment, he blushes slightly.",character states
20,55、INT. RAND'S HOSPITAL ROOM - NIGHT,What does Chance say about the hospital?,He says he's never seen anything like it on television.,I understand. I've never seen anything like this on television.,dialogue/beliefs
21,47、EXT. RAND MANSION - NIGHT | 42、EXT. BUSINESS DISTRICT - EVENING,Why does Wilson approach Eve after she exits the limousine?,Wilson approaches Eve to greet her and inform her that he will take Chance to the third-floor guest suite where Dr. Allenby is waiting.,"Wilson approaches Eve as she steps out of the limo and says, 'Good evening, Mrs. Rand.' Wilson adds that he will take Chance to the third floor guest suite, where Dr. Allenby is waiting.",causal/relational queries
22,7、INT. MAIN HOUSE - DINING ROOM - NIGHT | 14、INT. DINING ROOM - MORNING | 19、INT. MAIN HOUSE - FRONT HALLWAY - MORNING,What does Chance say about death when Louise tells him the Old Man has died?,Chance states that death happens to old people.,Chance acknowledges that death happens to old people.,character states
23,7、INT. MAIN HOUSE - DINING ROOM - NIGHT | 19、INT. MAIN HOUSE - FRONT HALLWAY - MORNING,What does Louise state about the Old Man's physical condition after seeing his body on the stretcher?,"Louise states that the Old Man had wasted away to almost nothing, even though he used to be a big man.","She says quietly, 'He used to be a big man... 'Spose he wasted away to about nothin'...'",character states
24,7、INT. MAIN HOUSE - DINING ROOM - NIGHT | 19、INT. MAIN HOUSE - FRONT HALLWAY - MORNING | 18、EXT. GARDEN - MORNING,What does Louise state about the Old Man's physical condition when she sees his body being carried out?,Louise states that the Old Man used to be a big man but has wasted away to almost nothing.,'He used to be a big man... 'Spose he wasted away to about nothin'...' she says quietly.,character states
25,14、INT. DINING ROOM - MORNING | 22、INT. DINING ROOM - DAY | 17、INT. MAIN HOUSE - OLD MAN'S ROOM - MORNING | 22、INT. DINING ROOM - DAY,What does Chance do after observing the President's handshake on television?,Chance unconsciously mimics the President's two-handed handshake by gripping one hand with the other.,"Chance looks on quietly, then slowly brings one hand up and grasps it with the other, holding the position without comment or awareness.",character states
26,"35、EXT. GHETTO STREET - WASHINGTON, D.C. - AFTERNOON",What does Chance state about why he came to the group?,Chance states that he came because Thomas Franklin told him the Old Man had died and instructed him to leave the Old Man's house.,Chance replies that Thomas Franklin told him to leave the Old Man's house because the Old Man has died.,character states
27,8、INT. CHANCE'S ROOM - DAWN | 9、INT. POTTING ROOM - DAWN | 4、INT. CHANCE'S ROOM - AFTERNOON,What does Chance state about the television after he changes the channel?,Chance does not make any verbal statement about the television after changing the channel.,"The passage describes Chance's actions, such as changing the channel and performing routine tasks, but does not include any spoken words or verbal expressions from him regarding the television.",character states
28,49、INT. ELEVATOR - NIGHT | 47、EXT. RAND MANSION - NIGHT | 4、INT. CHANCE'S ROOM - AFTERNOON,What does Chance state about his experience with elevators?,Chance states that he has never been in an elevator before.,"Chance says, 'I've never been in one of these,' referring to the elevator.",character states
29,14、INT. DINING ROOM - MORNING | 18、EXT. GARDEN - MORNING,What does Chance state he is going to do after Louise asks about his plans?,Chance states that he is going to work in the garden.,"When Louise asks what he plans to do now, Chance says he is going to work in the garden.",character states
30,22、INT. DINING ROOM - DAY | 14、INT. DINING ROOM - MORNING | 18、EXT. GARDEN - MORNING,Why does Chance change the channel on the television?,Chance changes the channel after Louise leaves the dining room and heads to the kitchen.,"Louise turns and walks out of the dining room, heading to the kitchen. Chance nods slightly, then reaches for the TV remote and changes the channel.",causal/relational queries
31,49、INT. ELEVATOR - NIGHT,When does the elevator stop moving?,The elevator stops moving when it reaches the third floor.,The elevator comes to a stop on the third floor.,temporal references
32,18、EXT. GARDEN - MORNING | 14、INT. DINING ROOM - MORNING | 18、EXT. GARDEN - MORNING,Why does Louise suggest that Chance find an older woman rather than a young one?,"Louise suggests that Chance find an older woman because she believes he would not be of use to a young one, implying he lacks the maturity or capability to support a younger person.","Louise said he would need someone around, suggesting he find an older woman because, as she put it, he wouldn’t be of use to a young one, adding that he would always be a little boy.",causal/relational queries
33,27、INT. GARAGE - AFTERNOON | 28、INT. CHANCE'S ROOM - AFTERNOON | 33、EXT. FRONT OF TOWNHOUSE - AFTERNOON,What does Chance state about his ability to sign the document presented by Franklin?,Chance states that he cannot sign the document because he does not know how.,Chance does not take the paper and says he cannot sign because he does not know how.,character states
34,14、INT. DINING ROOM - MORNING | 19、INT. MAIN HOUSE - FRONT HALLWAY - MORNING | 18、EXT. GARDEN - MORNING,Why does Louise leave the house after the Old Man's body is carried out?,"Louise leaves the house because she decides to depart after witnessing the stretcher bearers carry out the Old Man's body, asserting she would go out the door first before them, indicating her final break from the situation and Chance.","She steps toward the stretcher bearers and says, 'Wait up! I'm goin' out that door first,' then opens the front door and walks out after giving the covered body one last look.",causal/relational queries
35,28、INT. CHANCE'S ROOM - AFTERNOON | 29、INT. TOWNHOUSE - ATTIC - AFTERNOON | 15、INT. MAIN HOUSE - SERVANT'S STAIRWAY - MORNING,How does Chance prepare and what items does he select before ascending the stairs?,"Chance removes his boots and puts on slippers, takes a fine leather suitcase from among several in the attic, and selects a handmade suit from a long rack of clothing before beginning to climb the stairs.","Chance sits on the bed and removes his boots, then puts on a pair of slippers. He walks to the closet and opens the door, revealing rows of men's clothing. Chance entered the attic, which was filled with the Old Man's belongings. Nearby, several suitcases sat together. Chance picked one—a fine leather suitcase—from among them. He then walked to a long rack lined with clothing and took down a handmade suit. Chance enters an enclosed stairway and begins to climb, moving steadily upward step by step.",detailed description
