id,scene,question,answer,evidence,qa_type
1,43、INT WESTLAKE LAB/APARTMENT - DAY,What belief does Peyton express about his relationship with Julie?,He fears she no longer recognizes or loves him after the fire.,"PEYTON grabs the picture. In a fire ravaged voice; PEYTON When I'm W Do you still love me, now W can no u just some repulsive thing yo longer recognize? When I sicken YOU. When you run.",dialogue/beliefs
2,7、INT. HUNT CLUB LOBBY- DAY,How does Strack Sr. react when accepting Julie?,He scowls and ungraciously accepts her,"STRACK SR. scowls, ungraciously accepting her",detailed description
3,58、EXT. HIGH RISE - DAY,Why is Pauly trying to shriek?,Because he is falling,"Falling, trying to find the air to shriek as",causal/relational queries
4,58、EXT. HIGH RISE - DAY,Why does the skyscraper blur past?,Because Pauly is falling,THE SKYSCRAPER blurs past,causal/relational queries
5,12、INT LIMOUSINE - TEXACO STATION - DAY,"In [12、INT LIMOUSINE - TEXACO STATION - DAY], What is STRACK SR.'s emotional state?",Angry and frustrated.,What the hell! You should be. This'll come out of your wages.,character states
6,25、INT STRACK'S OFFICE - DAY,"In [25、INT STRACK'S OFFICE - DAY], What is Strack's emotional state when discussing his father's loss?","He displays a faint smile and refers to his father as a great man, indicating restrained grief.","STRACK (FAINT SMILE) Maison Reme 1967? ... My father was a great man, and his loss is felt by all of us.",character states
7,25、INT STRACK'S OFFICE - DAY,"In [25、INT STRACK'S OFFICE - DAY], How does Julie respond to Strack's question about being shocked by the bribes?","She responds hesitantly and quietly, indicating apprehension.","JULIE (QUIETLY) No. In fact I'd surmised as much. ... Julie continues, hesitantly:",character states
8,23、EXT. CITY STREET - MORNING,"In [23、EXT. CITY STREET - MORNING], What is Julie's emotional state when Peyton proposes?",Panicked and conflicted about marriage.,Freezes half in and half out of the cab door. Panicked.,character states
9,22、INT WESTLAKE LAB - MORNING,"In [22、INT WESTLAKE LAB - MORNING], What is Julie's emotional state when she is going over the papers?",Increasingly disturbed,her expression increasingly disturbed,character states
10,8、INT HUNT CLUB PRIVATE DINING. ROOM - DAY,"In [8、INT HUNT CLUB PRIVATE DINING. ROOM - DAY], What is Julie's behavioral state when she interacts with Strack Sr.?",She silences him by digging her heel into his toe,high heel as it digs into Strack Sr's toe to silence him.,character states
11,8、INT HUNT CLUB PRIVATE DINING. ROOM - DAY,"In [8、INT HUNT CLUB PRIVATE DINING. ROOM - DAY], What is Strack Jr.'s emotional state during the negotiation?",Trying to suppress a smile,Strack Jr. tries to suppress a smile.,character states
12,64、EXT. DURANT'S HOME - NIGHT,"In [64、EXT. DURANT'S HOME - NIGHT], What object is attached to the phone junction box and emits a flashing red light?",An electronic bug,An electronic bug attached to one of the terminals gives off a flashing red light.,objects/props
13,30、INT. WESTLAKE LAB - DAY - PEYTON,What does Durant imply about the houseboy's situation?,That it should jog Peyton's memory,DURANT: Should your houseboy's predicament not jog your memory...,dialogue/beliefs
14,19、INT. WESTLAKE LAB BUILDING - NIGHT,"In [19、INT. WESTLAKE LAB BUILDING - NIGHT], How does Julie behave when she reaches the landing?",She halts to listen and acts cautiously,She halts halfway up the stairs to listen... Julie reaches the landing and knocks... causing the door to open with a CREAK...,character states
15,61、EXT. CEMETERY - DAY - WIDE SHOT OF JULIE,What causes Peyton to flee from Julie after appearing to her?,"His synthetic cheek is melting, causing him to hide it",PEYTON'S EYES widen in alarm. He turns one side of his face sharply away from Julie... HIS SYNTHETIC CHEEK is melting,causal/relational queries
16,61、EXT. CEMETERY - DAY - WIDE SHOT OF JULIE,"In [61、EXT. CEMETERY - DAY - WIDE SHOT OF JULIE], Why does Peyton's face begin to melt when exposed to sunlight?",Because he was burned and his synthetic cheek is melting,HIS SYNTHETIC CHEEK is melting where the bright sunlight has burned through,causal/relational queries
17,56、INT. PAULY'S BEDROOM - DAY PAULY? DARXMAN/PAULY?,Why does Durant tuck the tickets into Pauly's jacket?,To ensure he doesn't miss his flight.,"Well, Pauly, I wouldn't want you to miss your flight.",causal/relational queries
18,9、EXT. HUNT CLUB LOBBY - DAY,What is the significance of the hundred dollar bill?,It reveals the steward's undisclosed payment,Strack Jr. unfurls the steward's fingers to reveal a hundred dollar bill,terminology/abbreviation/concept
19,6、INT WESTLAKE LAB,"In [6、INT WESTLAKE LAB], What is Yakitito's emotional state during the experiment?",Sad and frustrated,YAKITITO says 'SADLY' and repeatedly punches the wall while expressing despair,character states
20,62、INT. A BEDROOM,Why does Julie scream after the transformation?,Because she sees The Darkman's scarred face,his horrible scarred face pressed against Julie's. then lets out an EAR-PIERCING SCREAM.,causal/relational queries
21,9、EXT. HUNT CLUB LOBBY - DAY,What does 'labels' refer to in Strack Jr.'s accusation?,A deceptive action involving price tags or identifiers,Strack Jr. mentions 'that little trick with the labels',terminology/abbreviation/concept
22,43、INT WESTLAKE LAB/APARTMENT - DAY,What does Peyton ask Julie in the aftermath of the fire?,He questions if she still loves him despite his disfigured state.,"PEYTON grabs the picture. In a fire ravaged voice; PEYTON When I'm W Do you still love me, now W can no u just some repulsive thing yo longer recognize? When I sicken YOU. When you run.",dialogue/beliefs
23,35、EXT. GRAVEYARD - CLOSE SHOT - JULIE - DAY,What does the Gravedigger say about the body?,"He didn't find the guy's body, just an ear.","Never found the guy's body, just an ear.",dialogue/beliefs
24,55、INT. ONASSIS CONEY ISLAND RESTAURANT,Why does Guzman hesitate to slide the briefcase?,Because he suspects Darkman/Pauly.,He eyes Darkman/Pauly suspiciously.,causal/relational queries
25,38、EXT. ALLEY ENTRANCE/EMPTY STREET - DUSK,What does Peyton say when he reaches for Julie?,Juuuuulieeeeee. Heeeeeeeelp meeeeeee...,"DARK FIGURE/PEYTON
Juuuuulieeeeee. Heeeeeeeelp meeeeeee...",dialogue/beliefs
26,41、EXT. ALLEY - WIND FANS - NIGHT,What does the newspaper's headline state about the scientist?,Scientist dies in accidental blast. Body still missing.,SCIENTIST DIES IN ACCIDENTAL BLAST/Body still missing.,dialogue/beliefs
27,36、EXT. GRAVEYARD - LONG-SHOT - DAY,What does the Resident say about the Rangeveritz technique?,He explains it involves severing the spino-thalamic nerve to stop pain impulses.,"RESIDENT Here we have a 25-30 year-old-male... we use the Rangeveritz technique; quite simply, we sever his spino-thalamic nerve...",dialogue/beliefs
28,12、INT LIMOUSINE - TEXACO STATION - DAY,"In [12、INT LIMOUSINE - TEXACO STATION - DAY], What is the DRIVER's behavioral state?",Apologetic and submissive.,"We have a flat, sir. I'm sorry.",character states
29,44、INT. WOMAN'S POWDER ROOM,What does Julie say in response to the businessman's question about drowning her sorrows?,Just giving them something to swim around in.,"BUSINESSMAN
Drowning your sorrows, eh?
JULIE
Just giving them something to swim
around in.",dialogue/beliefs
30,44、INT. WOMAN'S POWDER ROOM,What does Julie state about the Belasarius Memorandum?,The decision's been made for both of us. The papers were destroyed in the fire.,"JULIE
The decision's been made for both of
us. The papers were destroyed in the
fire.",dialogue/beliefs
31,38、EXT. ALLEY ENTRANCE/EMPTY STREET - DUSK,What does Peyton whisper as he tries to convince Julie it's him?,It's meeeeeee.,"PEYTON
(ALMOST INTELLIGIBLE RASP)
It's meeeeeee.",dialogue/beliefs
32,3、INT PIER BUILDING -- NIGHT,How does Durant demonstrate his control over Black during the confrontation?,He uses a cigar trimmer to cut Black's fingers.,DURANT... slips one of Black's fingers into his cigar trimmer. SNIP! Black screams,detailed description
33,19、INT. WESTLAKE LAB BUILDING - NIGHT,"In [19、INT. WESTLAKE LAB BUILDING - NIGHT], What is Julie's emotional state as she ascends the stairs?",Uneasy,JULIE is uneasy. She halts halfway up the stairs to listen.,character states
34,30、INT. WESTLAKE LAB - DAY - PEYTON,What does Durant demand from Peyton?,The Bellasaurious memorandum,DURANT: We have come only for documents... tell us where to find the Bellasaurious memorandum,dialogue/beliefs
35,35、EXT. GRAVEYARD - CLOSE SHOT - JULIE - DAY,What does the Gravedigger believe people are paying for?,The real estate.,It's the real estate.,dialogue/beliefs
36,6、INT WESTLAKE LAB,"In [6、INT WESTLAKE LAB], How does Peyton behave during Yakitito's outburst?",Calm and analytical,Peyton calmly taps a plastic dunking bird and gives rational advice,character states
37,59、EXT. STREET - DAY,Why does the woman shriek and need to be restrained?,Because she sees Pauly's dead body and Darkman,A SHOCKED WOMAN looks up from Pauly's dead face to a nearby park-bench... THE WOMAN SHRIEKS and SHRIEKS. She has to be restrained by the crowd,causal/relational queries
38,10、INT WESTLAKE LAB - DAY - A GLASS BEAKER,What causes Peyton to mention his father's disapproval?,Yakitito's suggestion that he might ask Peyton to marry him.,YAKITITO Maybe I ask to marry you. PEYTON Your father would never approve of me.,causal/relational queries
39,13、EXT. LIMOUSINE,"In [13、EXT. LIMOUSINE], What is the driver's behavioral state when approaching the tire?",Discreetly removing a straight-razor,THE DRIVER discretely removes a straight-razor from his coat pocket and approaches the tire.,character states
40,55、INT. ONASSIS CONEY ISLAND RESTAURANT,Why is Guzman angry?,Because Durant is upset about not knowing Rick's location.,Durant piss me off. How de hell should we know where Rick is?,causal/relational queries
41,36、EXT. GRAVEYARD - LONG-SHOT - DAY,What instruction does the Resident give after describing the technique?,He says to stick the patient with a pin once pain impulses are blocked.,"RESIDENT No longer receiving impulses of pain, you stick him with a pin...",dialogue/beliefs
42,23、EXT. CITY STREET - MORNING,"In [23、EXT. CITY STREET - MORNING], What is Julie's current life situation as described in the passage?",Starting to build her career at the firm and wants her own place.,"I'm just starting to get things going at the firm. And, you know, I kind of like having my own PLACE.",character states
43,59、EXT. STREET - DAY,"In [59、EXT. STREET - DAY], Why is Darkman's synthetic cheek melting?",Because of the bright sunlight,His synthetic cheek is melting where the bright sunlight hits it,causal/relational queries
44,19、INT. WESTLAKE LAB BUILDING - NIGHT | 44、INT. WOMAN'S POWDER ROOM,What does Strack state about his reasons for offering Julie a position on his permanent staff?,"Strack states that he trusts his instincts and likes Julie's instincts, which is why he offers her a position on his permanent staff.","He tells her he trusts his instincts and likes hers, then formally offers her a position on his permanent staff.",character states
45,19、INT. WESTLAKE LAB BUILDING - NIGHT | 20、INT WESTLAKE LAB - NIGHT,What does Julie state about Peyton's need to explain his actions?,Julie states that Peyton did not have to explain his actions because she already understood what they meant.,"Julie says, 'You didn't have to explain it,' and adds, 'I know what it meant.'",character states
46,30、INT. WESTLAKE LAB - DAY - PEYTON | 43、INT WESTLAKE LAB/APARTMENT - DAY,What does Peyton state about his emotional state when he finds Durant's lighter?,"Peyton does not speak, but his actions and physical reactions indicate a surge of rage and determination upon finding Durant's lighter.","His breathing sharpens, his eyes lose their dullness, and a tremor runs through his body. Blood pulses visibly in a vein on his forehead as his grip tightens. The air seems to fracture around him—cracks spiderweb through the walls, ceiling, and floor. He raises his face, shaking, fists clenched, and roars silently at the sky.",character states
47,23、EXT. CITY STREET - MORNING | 29、EXT PAYPHONE - DAY -JULIE | 30、INT. WESTLAKE LAB - DAY - PEYTON | 31、EXT WESTLAKE LAB/APARTMENT BUILDING - TWILIGHT,What happens after the drinking bird's beak touches the ignition button?,"A spark clicks to life, grows in the stillness, and the flame catches and spreads rapidly.","The beak of the drinking bird dips down and touches the ignition button. A spark clicks to life, growing in the stillness. The flame catches, silent at first, then spreads rapidly.",temporal references
48,22、INT WESTLAKE LAB - MORNING | 23、EXT. CITY STREET - MORNING | 28、INT WESTLAKE LAB - DAY | 30、INT. WESTLAKE LAB - DAY - PEYTON,What does Peyton state about the intruders when he sees them in the lab?,Peyton does not state anything about the intruders when he sees them in the lab.,"The passage describes Peyton looking around in shock and being attacked, but there is no statement made by Peyton about the intruders.",character states
49,46、INT. RICK'S APARTMENT -- BEDROOM -- LATER | 47、INT. RICK'S APARTMENT - LATER,What does Darkman state about Rick's cooperation during the interrogation?,"Darkman states that he knows Rick already gave the names and information, but he wants to pretend that Rick didn't.","Darkman says, 'I know you did,' referring to Rick giving the names, and then adds, 'but let's pretend you didn't.'",character states
50,43、INT WESTLAKE LAB/APARTMENT - DAY | 38、EXT. ALLEY ENTRANCE/EMPTY STREET - DUSK,What does Peyton express about how he feels he has changed after the destruction of his lab?,"Peyton expresses that he feels unrecognizable and possibly repulsive, wondering if he has become someone Julie could no longer love.","He stares at the image, then speaks in a hoarse, broken voice, asking if she still loves him, wondering if he has become something unrecognizable, something repulsive.",character states
51,34、EXT - RIVER - CLOSER ON PEYTON - NIGHT | 35、EXT. GRAVEYARD - CLOSE SHOT - JULIE - DAY | 44、INT. WOMAN'S POWDER ROOM,What does Strack state about how to cope with grief while dancing with Julie?,"Strack states that while time is the only cure for grief, dancing helps ease the pain.","He tells her that while time is the only cure for grief, dancing helps ease the pain.",character states
52,28、INT WESTLAKE LAB - DAY | 30、INT. WESTLAKE LAB - DAY - PEYTON | 43、INT WESTLAKE LAB/APARTMENT - DAY,Why does Peyton smile after finding Durant's lighter?,"Peyton smiles because he is transforming into TheDarkman, indicating a shift toward vengeance or a darker identity in response to the attack.","The pain on his face slowly twists into a wicked smile, his eyes flickering with a sharp, cold light, as he sits among the ruins of his lab holding Durant's scorched lighter.",causal/relational queries
53,28、INT WESTLAKE LAB - DAY | 30、INT. WESTLAKE LAB - DAY - PEYTON | 43、INT WESTLAKE LAB/APARTMENT - DAY,What does Peyton state about whether he asked the woman the question?,"Peyton states that he did ask the woman, but she said she didn’t know.","Peyton says he did ask, but the woman said she didn’t know.",character states
54,15、EXT. LIMOUSINE | 17、EXT LIMOUSINE - HIS POV | 14、INT. LIMOUSINE | 15、EXT. LIMOUSINE,What happens after Strack Sr. steps out of the car to urinate?,Strack Sr. inspects a deflated tire and then approaches Taaf.,"After a pause, Strack Sr. rises heavily from his seat. He mutters about needing to take a leak, blaming his prostate. With a slow movement, he opens the car door and steps out, leaving the vehicle behind as he walks away. Strack Sr. crouches to examine a deflated tire, his expression darkening with frustration. He straightens and walks toward Taaf.",temporal references
55,41、EXT. ALLEY - WIND FANS - NIGHT | 43、INT WESTLAKE LAB/APARTMENT - DAY,What does Peyton realize when he sees the newspaper in the alley?,Peyton realizes that a newspaper is reporting his death.,He sees a photograph—his own face—and the headline: SCIENTIST DIES IN ACCIDENTAL BLAST/Body still missing.,character states
56,8、INT HUNT CLUB PRIVATE DINING. ROOM - DAY | 44、INT. WOMAN'S POWDER ROOM,Why did Julie prevent Strack Sr. from completing the toast?,Julie prevented Strack Sr. from completing the toast because she wanted to stop him from accepting the offer at sixty million dollars.,"As Strack Sr. started to raise his glass in response to Baron Von Hoffenstein’s toast at sixty million dollars, Julie pressed the heel of her shoe into his toe beneath the table. The sharp, sudden pressure made him pause, his hand stilling mid-motion. The toast was not completed.",causal/relational queries
57,45、EXT RICK'S APARTMENT | 47、INT. RICK'S APARTMENT - LATER,What does Rick state about the information he provided to Darkman?,"Rick states that he gave Darkman the names and where they lived, and that he told him everything.","Rick pleads, 'But I gave you the names. Where they lived... I told you everything.'",character states
58,45、EXT RICK'S APARTMENT | 47、INT. RICK'S APARTMENT - LATER,What does Rick state about the information he provided to Darkman?,"Rick states that he gave Darkman the names and where they lived, and that he told him everything.","Rick pleads, 'But I gave you the names. Where they lived... I told you everything.'",character states
