scene,question,answer,evidence,qa_type
29、INT. BY TANK - CONTINUOUS,"In [29、INT. BY TANK - CONTINUOUS], Why did the aliens slow down while pursuing Ripley?","She ripped out the wall, causing burning steam that slowed the aliens.","RIPS out of the wall, burning steam GUSHING out below her, slowing down the aliens.",causal/relational queries
27、INT. WASTE TANK 5 - CONTINUOUS,How is Ripley positioned after being cocooned?,Hung from the ceiling with legs encased and glued to the roof,"She finds herself basically hung from the ceiling, her legs encased and glued with glistening strands to the roof.",detailed description
33、INT. AIRLOCK - CONTINUOUS,Why is the collision imminent?,The braking system is nonfunctional.,Braking system nonfunctional. Collision imminent.,causal/relational queries
16、INT. CARGO BAY - CONTINUOUS,What does St Just's contraption resemble?,"A deringer holder, but a very complex one","It resembles a deringer holder, but a very complex one",terminology/abbreviation/concept
3、INT. MEDLAB,"In [3、INT. MEDLAB], What is the girl's emotional state when she sees the blood?",Perplexed and distressed.,The girl's expression becomes perplexed... more distraught.,character states
16、INT. CARGO BAY - CONTINUOUS,What are HARVESTERS?,Big rusty hovering threshers roughly the size of winnebagos,"two HARVESTERS, big rusty hovering threshers roughly the size of winnebagos",terminology/abbreviation/concept
12、INT. MESS HALL,"In [12、INT. MESS HALL], What is Ripley's emotional state during her interaction with Wren?",Bitter and sarcastic,"She laughs, bitterly.",character states
24、INT. THE GARDEN CONTINUOUS,What is the crew's reaction upon seeing the wheat and corn?,"Expressions change to pleased disbelief, St Just exclaims 'So this is what heaven looks like'",The crew's expressions change to one of pleased disbelief. You gotta be fucking me. St Just! Is this real? ST JUST So this is what heaven looks like.,detailed description
26、INT HALL NEARBY - CONTINUOUS,How does St Just reload his guns during the firefight?,He drops the empty guns and two more disposable guns fly into his palms.,He drops them both and jerks his wrists and TWO-MORE disposable guns fly into his palms,detailed description
29、INT. BY TANK - CONTINUOUS,What caused the creature to fall free after being struck by the stiletto?,The stiletto pierced its mouth and exited through its innards.,"the blade slides right into its mouth, ramming eight inches through its innards before it pokes out the other end.",causal/relational queries
33、INT. AIRLOCK - CONTINUOUS,What causes Ripley to crawl toward the hatch?,She is struggling to escape the failing ship.,Ripley tries to pick herself up... crawling toward the hatch.,causal/relational queries
28、INT. THE BETTY,When does the new alien emerge?,After the Queen's belly pops open,"THE QUEENS BELLY POPS OPEN. Blood shoots everywhere, burning into the walls. And all the screaming stops... Something emerges from the wound",temporal references
28、INT. THE BETTY,When does the Queen's belly pop open?,After the aliens become frantic and the Queen's belly begins moving violently,"the aliens franticly agitated as the Queens belly begins moving more violently. SHRIEKS, and RIPLEY does as well, from effort or sympathy, it is hard to tell, as THE QUEENS BELLY POPS OPEN",temporal references
31、INT. DOCKING BAY,Why does Ripley leap off the platform?,To escape the closing airlock doors.,the airlock doors move closer together... Ripley reaches the edge... LEAPS... airlock doors thirty feet below almost closed.,causal/relational queries
31、INT. DOCKING BAY,What causes Ripley to run towards the airlock?,The slam against the metal door indicates aliens are present.,A SLAM against the metal door behind her tells her the aliens are here.,causal/relational queries
22、INT..NEXT CHAMBER,"In [22、INT..NEXT CHAMBER], Where is the confrontation between Ripley and the figure taking place?",On a ghost ship,we're getting the fuck off this ghost ship,scene localization
32、INT. BETTY - CONTINUOUS,What causes Johner to suggest shaking off the problem on descent?,Vriess's report that something is on them.,VRIESS: Something's on us! JOHNER: Forget it! we'll shake it off on descent.,causal/relational queries
9、INT. OBSERVATION ROOM,Why does Wren correct Gediman's description of Ripley?,Because Gediman's description is unscientific.,Wren shoots Gediman a stern look at his unscientific parlance.,causal/relational queries
15、INT. COCKPIT CONTINUOUS,What causes Elgyn to threaten Rane with a Wichita stomp?,To intimidate him into compliance.,General Perez is gonna do a Wichita stomp on your virgin ass.,causal/relational queries
34、INT. AIRLOCK - CONTINUOUS,Why does Ripley scream after the newborn's action?,Because the newborn smashes through the window.,RIPLEY NOO!! NOOO! CUT TO:,causal/relational queries
20、INT. HALLWAY BY ENGINE ROOM - CONTINUOUS,What does the alien do after leaping into the lifeboat?,starts feeding on the men strapped down,an alien suddenly LEAPS into it.. starts feeding on the men strapped down - they are screaming,detailed description
2、INT. AURIGA,"In [2、INT. AURIGA], What is the emotional state of the guards?",empty and cold,expressions empty and cold,character states
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,What is left in the queen's chamber according to Wren?,A residue of slime,A residue of slime is all that's left here.,detailed description
24、INT. THE GARDEN CONTINUOUS,How does the jeep move through the Garden's access paths?,"Electric, emitting a low hum, through paths just wider than the jeep, surrounded by tall plants","The jeep pulls out. It's electric, so it emits just a low hum as she takes it at a good clip toward the other side. The access paths are just a bit wider than the jeep itself, plants rising tall all around them.",detailed description
19、INT. A CHAMBER,"In [19、INT. A CHAMBER], What is Gediman's emotional state?",Nervous,"Gediman looks a little nervous, not sure this is a good idea.",character states
17、INT. AIR LOCK,What action follows the outer doors closing?,Pressurized air shoots into the airlock.,Pressurized air shoot into the airlock for a few seconds,detailed description
12、INT. MESS HALL,"In [12、INT. MESS HALL], What is Ripley's emotional state when she recalls the memory?",Weary,She shakes her head wearily.,character states
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,What does Ripley observe about the aliens and soldiers?,Two aliens making short work of a group of soldiers,Ripley looks up and can just see two aliens making short work of a group of soldiers.,detailed description
7、INT. RIPLEY'S CELL,"In [7、INT. RIPLEY'S CELL], What object allows the guard to observe Ripley from above?",A thick pane of glass in the ceiling,"The only light on her comes from directly above, from a thick pane of glass in the center of the ceiling.",objects/props
20、INT. HALLWAY BY ENGINE ROOM - CONTINUOUS,What action does Vriess take when a drop of alien blood drips above him?,rolls out of the way just in time,A drop of alien blood is eating through right above him. It drips down -- and he rolls out of the way just in time,detailed description
27、INT. WASTE TANK 5 - CONTINUOUS,How do the aliens secrete resin around Ripley?,In spits and globs from their backs,The resin comes out of ther backs in spits and globs.,detailed description
