scene,question,answer,evidence,qa_type
55、INT. FITCH SENIOR HIGH SCHOOL/GYM - DAY,Why does Alex hesitate to confront Stan?,Alex is afraid of Stan's physical dominance and feels too small to compete.,ALEX: 'I'm too small anyway.' and 'You don't need to be afraid of them.',causal/relational queries
3、INT. FITCH SENIOR HIGH SCHOOL/GYM - NIGHT,What does Mike say about his nerves regarding the scout event?,This whole scout thing's got me wicked nervous.,"MIKE
I'm glad you're here, Scar. This
whole scout thing's got me wicked
nervous.",dialogue/beliefs
28、INT. AUDI - MOMENTS LATER,"In [28、INT. AUDI - MOMENTS LATER], What was Stan and Maggie's behavioral state before Mike intervened?",Making out,Stan and Maggie making out against Stan's Mustang,character states
24、EXT. ED'S HOUSE/BACKYARD - LATER,"In [24、EXT. ED'S HOUSE/BACKYARD - LATER], What is Mike's emotional state when he sees the toaster in the water?",Mike is frightened and panicking.,"Mike screams. Nothing happens. Light bulb goes off. He leaps out, runs for the house.",character states
3、INT. FITCH SENIOR HIGH SCHOOL/GYM - NIGHT,What does Mike tell Ed about his appearance?,I can't help you with the girls if you keep showing up places dressed like the Cookie Crisp guy.,"MIKE
Ed, I can't help you with the girls
if you keep showing up places
dressed like the Cookie Crisp guy.",dialogue/beliefs
39、INT. ED'S HOUSE/OFFICE - NIGHT,What type of pictures were added to the MySpace page?,Photoshopped pictures of Mike in exotic locations,Photoshopped pictures of Mike in exotic locations.,detailed description
62、INT. FITCH SENIOR HIGH SCHOOL/CALCULUS CLASS - DAY,Why did Stan pop the back of Mike's head?,Because he saw Maggie smile flirtatiously at Mike.,Stan catches this exchange and pops the back of Mike's head.,causal/relational queries
55、INT. FITCH SENIOR HIGH SCHOOL/GYM - DAY,Why does Mike believe Alex can make the team?,"Mike thinks Alex's speed, dribbling, and outside shot can compensate for his size.","MIKE: 'That's why we focus on your speed, dribbling and outside shot.'",causal/relational queries
57、INT. FITCH SENIOR HIGH SCHOOL/PRINCIPAL'S OFFICE - DAY,What causes Julie to threaten Mark with detentions?,"Due to Mark's prior incidents, including Krazy Glue and other troubles.",Julie mentions Mark may have Krazy glued a boy to his chair and warns about detentions.,causal/relational queries
30、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY,"In [30、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY], What is Ed's emotional state when Mike questions the legitimacy of the documents?",offended/cocky,offended/cocky,character states
29、INT. ED'S HOUSE/KITCHEN - NIGHT,"In [29、INT. ED'S HOUSE/KITCHEN - NIGHT], What is Ed's behavioral state regarding returning to Fitch?",Resistant,You'll never get me to go back to Fitch. Never!,character states
27、INT. FITCH SENIOR HIGH SCHOOL/BATHROOM - DAY,"In [27、INT. FITCH SENIOR HIGH SCHOOL/BATHROOM - DAY], What physical condition does Alex exhibit when Mike finds him?",Hanging from the door with sneakers dangling 3 feet off the ground,"HANGS Alex, sneakers dangling 3 feet off the ground.",character states
18、INT. MIKE'S AUDI - NIGHT,"In [18、INT. MIKE'S AUDI - NIGHT], What is Mike's emotional state at the beginning of the scene?",Somber,A somber Mike drives alongside the Los Angeles River.,character states
31、INT. PRINCIPAL'S OFFICE - DAY,"In [31、INT. PRINCIPAL'S OFFICE - DAY], What is Ed's marital status?","Single, had a child out of wedlock","I had him out of wedlock. So the answer is yes, I'm very single...",character states
24、EXT. ED'S HOUSE/BACKYARD - LATER,"In [24、EXT. ED'S HOUSE/BACKYARD - LATER], What behavioral state does Mike exhibit after realizing something?",Mike is in a state of sudden urgency.,"Light bulb goes off. He leaps out, runs for the house.",character states
30、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY,"In [30、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY], What professional achievement does Ed claim in the passage?",created software used to launch the space shuttle,I created software used to launch the space shuttle,character states
41、INT. ED'S HOUSE/MIKE'S BEDROOM - NIGHT,What is Ed wearing when he enters the room?,Seaweed wrapping his entire body and head.,"Ed stands in the doorway, his entire body and head wrapped in SEAWEED.",detailed description
36、INT. TRENDY HAIR SALON - NIGHT,What action is the HAIRDRESSER performing on Mike?,Cutting away and highlighting his long locks,A HAIRDRESSER cuts away and highlights Mike's long locks.,detailed description
57、INT. FITCH SENIOR HIGH SCHOOL/PRINCIPAL'S OFFICE - DAY,Why does Ed think Mark is out of control?,"Because Mark exhibits behaviors like not eating vegetables, shaving his back, and wetting his bed.","Ed lists Mark's misbehaviors including not eating vegetables, shaving his back, and wetting his bed.",causal/relational queries
23、INT. ED'S HOUSE/FOYER - DAY,"In [23、INT. ED'S HOUSE/FOYER - DAY], What action does the Maid perform upon appearing?",She genuflects and mutters prayers in Spanish.,The LATINO MAID stands in the doorway genuflecting. ... muttering prayers in Spanish.,character states
36、INT. TRENDY HAIR SALON - NIGHT,What is depicted on the mirror?,"A picture of a YOUNG, POPULAR STAR torn from a teen mag","A picture of a YOUNG, POPULAR STAR torn from one of the teen mags hangs on the mirror.",detailed description
34、INT. RESTAURANT/BAR - NIGHT,What specific drink does Ed order for Mike?,Shirley Temple with extra cherries,Get the boy a Shirley Temple. Extra cherries.,detailed description
2、INT. FITCH SENIOR HIGH SCHOOL/GYM - CONTINUOUS,What does Coach Harvey say about Mike's potential?,"You have half the season I know you're capable of, you can play anywhere you want, Mike.","COACH HARVEY
First game of the season and the scouts are already lining up. You have half the season I know you're capable of, you can play anywhere you want, Mike.",dialogue/beliefs
21、INT. ED'S HOUSE - MORNING,"In [21、INT. ED'S HOUSE - MORNING], What is Mike's physical condition when he arrives?","Covered in mud, wearing a ripped, grimy suit","Mike, covered in MUD. His ripped, grimy suit now hangs off of him.",character states
18、INT. MIKE'S AUDI - NIGHT,"In [18、INT. MIKE'S AUDI - NIGHT], What action does Mike take after the thunder scares him?",He turns the wipers on high and slows the car.,Mike turns the wipers on high. Not much help. He slows the car to a crawl.,character states
