scene,question,answer,evidence,qa_type
32、INT. MACHINE SHOP - NIGHT,What motivated the prince to return from exile?,To free his people and reclaim their land and freedom.,PRINCE: 'I have returned from exile to set us free... reclaim what has been taken from our people.',causal/relational queries
48、EXT. BOWLING ALLEY PARKING LOT - NIGHT,"In [48、EXT. BOWLING ALLEY PARKING LOT - NIGHT], What are the Schufften glasses used for?",To photograph fairies by filtering out their glamour.,Abe: 'In 1778 Emil Schufften... designed these optical sets with the intent of photographing fairies',objects/props
48、EXT. BOWLING ALLEY PARKING LOT - NIGHT,"In [48、EXT. BOWLING ALLEY PARKING LOT - NIGHT], What do the goggles allow the user to see?",The real appearance of fairy folk by removing the glamour spell.,"POV GOGGLES: the bag lady transforms into an ugly, muscle-bound troll",objects/props
39、INT. SECURITY POUND BPRD - SAME,Why was Johann Kraus brought in as the new public face?,Washington wanted a trustworthy public face for the BPRD.,Washington wants a new public face for the BPRD,causal/relational queries
69、EXT. STREET -- CONTINUOUS,What action does Hellboy take to defeat the Troll?,He rips off the Troll's Iron Mace and throws it away.,"WINK and HB duke it out for a few beats and then HB finally vanquishes the Troll, Ripping his Iron Mace off and throwing it away.",detailed description
4、INT. CORRIDOR - NIGHT,"In [4、INT. CORRIDOR - NIGHT], What object causes the STEWARD's mouth to vanish?",The SHADOWY FIGURE's hand,"the SHADOWY FIGURE covers the steward's mouth. When he withdraws his hand, the steward's mouth has VANISHED!!!",objects/props
5、INT. SALES ROOM - CONTINUOUS,What does Wink carry into the scene?,Two large iron boxes with a royal seal embossed on their sides.,"WINK walks in. He carries two large IRON BOXES on his back. On the sides of the boxes A ROYAL SEAL, embossed in the metal.",detailed description
46、EXT. BROOKLYN BRIDGE,What does Johann pray for in his speech?,Johann prays for defense of good fortune and a peaceful night's sleep.,I pray that you will allow us to defend your good fortune... a peaceful night's sleep.,dialogue/beliefs
39、INT. SECURITY POUND BPRD - SAME,Why is Hellboy nervous around Johann Kraus?,"Because Kraus is German, and Hellboy distrusts Germans.",You know I have a problem with Germans - Kraus is German,causal/relational queries
38、INT. HELLBOY'S ROOM - DAY,What is the consequence of Hellboy's 'outing'?,"A new team leader is appointed, and Manning faces review.",Manning states there's a new team leader and he's under review.,causal/relational queries
40、INT. CONTAINMENT AREA - DAY,What caused the Fairy to start babbling uncontrollably?,Johann's attempt to reactivate its neural system.,I can briefly take control of entities... reactivate their neural system,causal/relational queries
32、INT. MACHINE SHOP - NIGHT,Why is the king angry with the prince?,The prince broke a centuries-old truce.,KING: 'You have broken a truce that has lasted for centuries.',causal/relational queries
13、INT. SALES ROOM - SAME,"In [13、INT. SALES ROOM - SAME], Where does Abe discover an empty cage?",Near the auctioneer's overturned podium,"Abe, Liz and Agent Mudd fan out, moving cautiously toward the auctioneer's overturned podium. Abe discovers an empty cage...",scene localization
69、EXT. STREET -- CONTINUOUS,How does Liz reveal the truth about the old lady?,She uses a prism from the Schufftein Goggles in front of the camera lens.,"Liz runs over with a prism from the SCHUFFTEIN GOGGLES and sticks it in front of the camera lens, revealing the truth.",detailed description
5、INT. SALES ROOM - CONTINUOUS,What happens to the seeds thrown by the Shadowy Figure?,They sprout into massive branches and roots that engulf the Auctioneer.,"The SHADOWY FIGURE reaches into his pockets and throws a handful of seeds at the Auctioneer's feet. KRRRRR-K the seeds sprout into massive, thick branches and roots and instantly engulfing the Auctioneer amidst coils of wooden branches.",detailed description
67、INT. TROLL MARKET NARROW PASSAGES - NIGHT,How do the guards respond to Hellboy starting up the stairs?,Leap down to block his path,A couple of the GUARDS leap down to block his path,detailed description
65、INT. STORAGE CHAMBER - NIGHT,What was the golden army ordered to do while imprisoned?,"The golden army was ordered to lie dormant, locked inside the earth itself.","And the golden army was ordered to lie dormant, locked inside the earth itself.",detailed description
26、EXT. ABANDONED RAILYARD - NIGHT,Why is demolition occurring around the roundhouse?,To make way for the Three Points Shopping Mall.,"A sign reads: COMING NEXT SUMMER, THREE POINTS SHOPPING MALL.",causal/relational queries
34、INT. TUNNEL 1 - DAY,Why does the Prince double over and curse?,He has a wound in his left arm that is bleeding.,Blood pours from a wound in his left arm.,causal/relational queries
7、INT. BROOM'S LIBRARY - NIGHT,"In [7、INT. BROOM'S LIBRARY - NIGHT], What is Abe Sapien's physical condition described in the scene?",Floating in warm water on a cloud of bubbles,Floating in warm water on a cloud of bubbles is Abe Sapien.,character states
38、INT. HELLBOY'S ROOM - DAY,Why is Manning upset with Hellboy?,Because Hellboy's 'outing' caused public backlash and Manning's review.,"Manning calls it a disaster, mentions being under review, and the new team leader.",causal/relational queries
2、EXT. BLACKWOOD BUILDING - NIGHT,"In [2、EXT. BLACKWOOD BUILDING - NIGHT], What is Wink's physical condition?","An eight-foot tall troll with grey skin, a huge scar over his left eye socket, missing right hand, and an iron mace.",The passage describes Wink's appearance and equipment.,character states
52、INT. TROLL MARKET - NIGHT,"In [52、INT. TROLL MARKET - NIGHT], What is on the Princess's bandaged arm?",A bracelet adorned with the seal's coat of arms,On her bandaged arm: a bracelet adorned with the seal's coat of arms!,objects/props
17、INT. INTERCUT - SALES ROOM/CORRIDOR - SAME,What does Abe say about the creatures' behavior?,They're vicious and cruel.,They're vicious and cruel and-,dialogue/beliefs
23、EXT. AUCTION HOUSE - NIGHT,"In [23、EXT. AUCTION HOUSE - NIGHT], What is Manning's emotional state after the explosion?",Fuming,Manning alone and fuming,character states
15、INT. SALES ROOM - SAME,What sounds does Abe describe hearing in the passage?,"Sounds of movement from burrowing, unseen creatures","Sounds of MOVEMENT from burrowing, unseen creatures",detailed description
64、EXT. BATTLEFIELD - CONTINUOUS,How are the mechanical soldiers positioned after the battle?,In symmetrical ranks awaiting further instructions,The mechanical soldiers stand in symmetrical ranks awaiting further instructions,detailed description
33、INT. PRINCESS CHAMBER - DAY,What caused the gash in the princess' left arm?,"The troll's heavy, rusty sword",It opens a gash in the princess' left arm-,causal/relational queries
22、INT. SALES ROOM - CONTINUOUS,Why does Liz summon the fire?,Because Hellboy told her to 'do it.',"HELLBOY: 'Do it, Liz, do it!!!' and Liz obeys.",causal/relational queries
51、INT. BOWLING ALLEY BASEMENT,"In [51、INT. BOWLING ALLEY BASEMENT], What replaces the iron beams in the transformed room?",tree trunks and stone columns,"instead of a pile of boxes a tree trunk and a large, mossy rock are visible, where there were iron beams now tree trunks and stone columns are visible",objects/props
16、EXT. EAST SIDE AUCTION HOUSE - NIGHT,"In [16、EXT. EAST SIDE AUCTION HOUSE - NIGHT], What is Hellboy's current action in the corridor?",Shooting and peeking inside a hole.,"Hellboy shoots, blowing open a massive hole. He peeks inside-",character states
25、EXT. SIDEWALK - NIGHT,"In [25、EXT. SIDEWALK - NIGHT], What is Manning's emotional state upon witnessing the event?",Experiencing terror,"Manning hurries forward, witness to his worst nightmare.",character states
25、EXT. SIDEWALK - NIGHT,"In [25、EXT. SIDEWALK - NIGHT], What is Hellboy's emotional state after defeating the creatures?",Calm and dismissive,"calmly and efficiently shoots its fellows. He holds it up by the tail, like a rodent. (SHRUGS) I guess we're out now.",character states
40、INT. CONTAINMENT AREA - DAY,Why does the Fairy collapse after Johann interacts with it?,Johann's loss of control over its limbic system caused it to die.,I'm losing my grip on its limbic system... it's about to die,causal/relational queries
19、INT. CORRIDOR - SAME,"In [19、INT. CORRIDOR - SAME], What is Agent Marble's physical condition after being attacked by the creature?",His ribs crack and he bleeds after being attacked.,ribs crack... blood spurts. The agent falls.,character states
22、INT. SALES ROOM - CONTINUOUS,What causes Abe to take refuge?,The fire blooming into a cloud.,ABE: 'UH-OH-' and 'the gentle flame blooms into a cloud of fire.',causal/relational queries
27、INT. GUARD SHACK - NIGHT,What does Guard 2 question about HB's forehead?,He asks if it's goggles.,GUARD And what's with his forehead? Is that goggles?,dialogue/beliefs
19、INT. CORRIDOR - SAME,"In [19、INT. CORRIDOR - SAME], What is the creature's behavioral state when it attacks Agent Marble?","Aggressive, snarling and biting him.","SNARLS, leaps and sinks its tiny teeth into MARBLE's finger.",character states
21、INT. CORRIDOR - SAME,"In [21、INT. CORRIDOR - SAME], What emotion does Hellboy display when facing the creatures?",Disgust,Bellowing in disgust,character states
