id,scene,question,answer,evidence,qa_type
1,15、EXT. ST. PETERSBURG OFFICE - MOMENTS LATER,"In [15、EXT. ST. PETERSBURG OFFICE - MOMENTS LATER], What actions does Aleksei perform after receiving the Dented Box?","Closes the door of a Czarist-era building, checks his watch, and picks up the phone","who closes the door of a Czarist-era building. Aleksei checks his watch, picks up the phone",character states
2,24、INT. HOTEL ROOM - NIGHT - LATER,"In [24、INT. HOTEL ROOM - NIGHT - LATER], What is Chuck's emotional state when he hears Kelly's answering machine?",Frustrated and anxious,This is not what Chuck wanted to hear. He's stumbling over whether to say I love you.,character states
3,37、INT. SUPERHUB - NIGHT,"In [37、INT. SUPERHUB - NIGHT], What specific object is described as moving through the FedEx center?",A huge plastic Santa Claus,"A Christmas tree goes by, then a huge plastic Santa Claus, both with shipping labels.",objects/props
4,39、INT. CHUCK'S HOUSE - MOMENTS LATER,When did the fish die relative to Chuck fixing the filter?,Before Chuck fixed the filter,But for a couple of fish floating on top of the tank it's too late.,temporal references
5,30、INT. FEDEX OFFICES - ST. PETERSBURG - MINUTES LATER,When does Lev deliver his line about fingers?,After the truck leaves and everyone takes a breath.,"The truck roars out of the loading dock. Everyone takes a breath. They are happy, proud. LEV...",temporal references
6,8、INT. GLOBAL OPERATIONS CENTER - NIGHT,What is the purpose of the wall graphic in the room?,To chart hundreds of airplanes.,A jumbled room... dominated by a HUGE WALL GRAPHIC that charts hundreds of airplanes.,causal/relational queries
7,8、INT. GLOBAL OPERATIONS CENTER - NIGHT,Why is the Operator moving the yellow strip labeled Jumbo 12?,To update the wall graphic's airplane tracking.,An Operator moves a yellow strip labeled Jumbo 12 across the board.,causal/relational queries
8,45、INT. HALLWAY - NIGHT,"In [45、INT. HALLWAY - NIGHT], Where is the Xerox machine located relative to Chuck?",Ahead of Chuck in a semi-dark room with specimen racks,Ahead of him we see the flashing green light of a Xerox machine,scene localization
9,29、INT. FEDEX OFFICES - ST. PETERSBURG - MINUTES LATER,How does Chuck influence the office environment?,"Setting the example, leading the team to work together","Chuck is everywhere, setting the example. The whole office is energized, working together.",detailed description
10,20、INT. FEDEX OFFICES - DAY,"In [20、INT. FEDEX OFFICES - DAY], What is Chuck's behavioral state during the meeting?",Leadership-focused and instructive,"Chuck leads his team, gives instructions, and analyzes the sorting area",character states
11,23、EXT. HOTEL - ST. PETERSBURG,"In [23、EXT. HOTEL - ST. PETERSBURG], What is Chuck's emotional state when he enters the hotel?",Weary,A weary Chuck enters the hotel,character states
12,28、INT. FEDEX OFFICES - ST. PETERSBURG,When do the other executives follow Chuck?,After he begins pulling off packages,He heads toward the truck and begins pulling off packages. All the other executives follow him.,temporal references
13,39、INT. CHUCK'S HOUSE - MOMENTS LATER,When did Chuck notice the fish were dead?,After he fixed the filter,"CHUCK Sorry, I'm really sorry.",temporal references
14,36、INT. MD-11 - NIGHT,What instruction does Stan give regarding delivery?,You gotta do your own delivery from here.,STAN: You gotta do your own delivery from here.,dialogue/beliefs
15,28、INT. FEDEX OFFICES - ST. PETERSBURG,When does Chuck begin pulling off packages?,While the executives stand and watch,The executives all stand and watch. But not Chuck. He's hands on. CHUCK Let's go. He heads toward the truck and begins pulling off packages.,temporal references
16,30、INT. FEDEX OFFICES - ST. PETERSBURG - MINUTES LATER,When does the truck roar out of the loading dock?,After Chuck pounds the truck and says 'Go'.,Chuck pounds the truck on the side. Go. The truck roars out of the loading dock.,temporal references
17,"11、INT. ST. PETERSBURG FEDEX OFFICE, RUSSIA",Why does Yuri put down the Angel Box?,He sees an attractive co-worker.,"picks up the Angel Box, sees an attractive co-worker, puts it down",causal/relational queries
18,46、INT. XEROX ROOM,What does Chuck mean by 'follow the paper path'?,A specific route paper takes through the Xerox machine to diagnose jams.,"He pries up one feeder, then another. Chuck: 'Got to follow the paper path here.'",terminology/abbreviation/concept
19,60、EXT. FARM HOUSE - SHED - DAY,What is Amanda's relationship to Chuck?,She is his niece.,"This is AMANDA, his niece.",causal/relational queries
20,24、INT. HOTEL ROOM - NIGHT - LATER,"In [24、INT. HOTEL ROOM - NIGHT - LATER], What does Chuck's behavior indicate about his preparedness?",He is prepared for anything,The guy is prepared for anything.,character states
21,45、INT. HALLWAY - NIGHT | 46、INT. XEROX ROOM,What does Chuck state about his experience in Russia?,"Chuck states that he thought he had done a good job, but it all fell apart and it was as if he might as well have gone sailing.","He stops working, his hands stained with toner, and says he thought he’d done a good job, but it all fell apart—like he might as well have gone sailing.",character states
22,36、INT. MD-11 - NIGHT | 21、EXT. ST. PETERSBURG - DAY - MOMENTS LATER | 31、EXT. CHARLES DE GAULLE AIRPORT - DAY,What does Chuck do immediately after waking up?,Chuck removes his mask and takes out the earplugs from his ears.,"Chuck stirs, pulls off his mask, and removes the earplugs from his ears.",temporal references
23,44、INT. LAB - NIGHT | 45、INT. HALLWAY - NIGHT | 46、INT. XEROX ROOM,What does Chuck state about his experience in Russia?,"Chuck states that he thought he had done a good job, but it all fell apart and it was as if he might as well have gone sailing.","He stops working, his hands stained with toner, and says he thought he’d done a good job, but it all fell apart—like he might as well have gone sailing.",character states
24,34、INT. MD-11 - NIGHT | 36、INT. MD-11 - NIGHT | 21、EXT. ST. PETERSBURG - DAY - MOMENTS LATER | 31、EXT. CHARLES DE GAULLE AIRPORT - DAY,Why did Chuck and Stan remain still and quiet after taking the Valium and putting on their headphones?,They remained still and quiet because they were resting and relaxing under the effects of the Valium while listening to music.,"Chuck swallowed two Valium pills and put on headphones with an eye mask, Stan listened to the Rolling Stones with his eyes closed, and the two sat in silence with only the slow rise and fall of their breathing indicating movement.",causal/relational queries
25,46、INT. XEROX ROOM | 47、INT. KELLY'S OFFICE - MOMENTS LATER,What does Kelly state about the environment on the deck of the ketch in her fantasy?,Kelly states that the air is soft and the water is clear on the deck of the ketch in her fantasy.,"She describes being on the deck of a ketch, the air soft, the water clear.",character states
26,25、INT. FEDEX OFFICES - ST. PETERSBURG - SERIES OF SHOTS | 26、INT. FEDEX WAREHOUSE - ST. PETERSBURG - WEEK LATER | 30、INT. FEDEX OFFICES - ST. PETERSBURG - MINUTES LATER,What does Lev say about the strength of fingers when working together?,"Lev says that one finger is weak, but all fingers working together are strong.","Lev holds up his own hand and says, 'One finger, weak. All fingers working together, strong.'",character states
27,29、INT. FEDEX OFFICES - ST. PETERSBURG - MINUTES LATER | 30、INT. FEDEX OFFICES - ST. PETERSBURG - MINUTES LATER,What does Lev state about the strength of fingers working together?,"Lev states that all fingers working together are strong, while one finger alone is weak.","Lev raises his hand just before Chuck does, showing all fingers together. 'One finger, weak. All fingers working together, strong,' Lev says.",character states
28,17、INT. FEDEX OFFICES - MANILA - DAY - MOMENTS LATER | 21、EXT. ST. PETERSBURG - DAY - MOMENTS LATER | 25、INT. FEDEX OFFICES - ST. PETERSBURG - SERIES OF SHOTS,When does Chuck plan to catch the sweep after learning the item has arrived?,Chuck plans to catch the sweep that night after learning the item has arrived.,"He pauses, glances at his watch, and says he will catch the sweep that night.",temporal references
29,39、INT. CHUCK'S HOUSE - MOMENTS LATER,What does Chuck express to the fish after removing them from the tank?,Chuck expresses that he is sorry.,"As he removes the dead fish from the tank, Chuck speaks quietly and says he is sorry, repeating it with a low voice.",character states
30,41、INT. CHUCK'S HOUSE - LATER | 44、INT. LAB - NIGHT | 46、INT. XEROX ROOM | 47、INT. KELLY'S OFFICE - MOMENTS LATER,What does Kelly state about the condition of the Xerox machine?,Kelly states that the machine is jammed and that her last chapter is inside it.,"She gestures toward the Xerox and says, 'My last chapter’s in there, and it’s jammed.'",character states
31,24、INT. HOTEL ROOM - NIGHT - LATER | 17、INT. FEDEX OFFICES - MANILA - DAY - MOMENTS LATER | 49、EXT. FEDEX OFFICES - NEXT MORNING,When does Chuck plan to catch the sweep after learning the item has arrived?,Chuck plans to catch the sweep that night.,"He pauses, glances at his watch, and says he will catch the sweep that night.",temporal references
32,44、INT. LAB - NIGHT | 46、INT. XEROX ROOM,What does Chuck state about his experience in Russia?,"Chuck states that he thought he had done a good job, but it all fell apart and it was as if he might as well have gone sailing.","He stops working, his hands stained with toner, and says he thought he’d done a good job, but it all fell apart—like he might as well have gone sailing.",character states
33,26、INT. FEDEX WAREHOUSE - ST. PETERSBURG - WEEK LATER | 30、INT. FEDEX OFFICES - ST. PETERSBURG - MINUTES LATER,What does Chuck state about the team after the truck departs?,"Chuck states that the team did a great job and emphasizes the importance of working together, saying they are like a hand.","Chuck says, 'Great job, everyone,' and 'Remember, work together. We are like a hand.'",character states
34,24、INT. HOTEL ROOM - NIGHT - LATER | 17、INT. FEDEX OFFICES - MANILA - DAY - MOMENTS LATER,When does Chuck decide to catch the sweep after learning the item has arrived?,Chuck decides to catch the sweep that night.,"Chuck pauses, glances at his watch, and says he will catch the sweep that night.",temporal references
35,24、INT. HOTEL ROOM - NIGHT - LATER | 17、INT. FEDEX OFFICES - MANILA - DAY - MOMENTS LATER | 21、EXT. ST. PETERSBURG - DAY - MOMENTS LATER | 25、INT. FEDEX OFFICES - ST. PETERSBURG - SERIES OF SHOTS,When did Chuck notice the graffiti on the nearby walls?,Chuck noticed the graffiti on the nearby walls after the FedEx truck pulled out from the FedEx office.,"As the truck moves away, Chuck looks around and notices the graffiti covering the nearby walls.",temporal references
